from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,Benzene,Toluene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
01-Jan-2019 - 00:00,13.64,990.99,65.55,80.17,194.15,0.93,360.58,220.83,6.97,40.98,33.89,31.06,55.89,57.53,23.7,41.0,1.5,02-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Jan-2019 - 00:00,14.31,991.36,72.66,77.72,105.3,0.79,348.67,234.67,5.67,25.97,34.54,16.02,33.59,38.57,23.57,60.67,1.15,03-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Jan-2019 - 00:00,14.46,992.15,71.62,80.54,255.69,1.67,401.16,287.91,7.98,47.06,32.36,24.77,49.43,54.94,23.1,37.54,1.77,04-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Jan-2019 - 00:00,12.53,991.06,78.15,67.73,229.39,1.08,326.99,227.49,8.14,50.66,29.73,47.03,69.13,57.98,16.68,16.65,2.11,05-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Jan-2019 - 00:00,13.54,989.69,73.94,81.11,86.64,1.2,330.02,228.7,8.3,51.53,32.81,24.44,39.13,36.14,16.4,34.81,1.49,06-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Jan-2019 - 00:00,13.74,989.02,82.99,65.29,229.79,1.06,229.92,166.58,6.1,35.7,34.57,29.54,47.63,44.25,14.95,21.85,1.52,07-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Jan-2019 - 00:00,13.65,990.65,81.09,84.78,271.77,1.27,284.46,193.59,7.89,45.57,33.79,50.66,64.77,44.09,17.39,20.7,1.72,08-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Jan-2019 - 00:00,13.79,988.86,75.69,89.4,253.43,1.89,233.82,148.75,4.26,25.16,28.43,17.05,31.66,33.37,16.12,26.97,1.08,09-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Jan-2019 - 00:00,13.86,988.12,66.16,92.17,256.06,2.02,238.03,139.42,4.25,20.67,27.47,21.5,43.09,48.28,16.28,31.42,1.08,10-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Jan-2019 - 00:00,13.96,987.87,62.79,96.66,250.71,1.57,272.86,161.41,6.39,30.47,29.52,41.29,66.55,61.82,20.97,38.05,1.69,11-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Jan-2019 - 00:00,13.53,989.47,68.84,88.13,126.42,0.58,350.65,213.36,9.2,95.1,34.22,94.39,112.65,67.31,28.98,50.59,1.89,12-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Jan-2019 - 00:00,14.77,988.61,65.94,83.38,135.51,0.73,348.0,223.76,8.11,55.51,34.78,53.03,76.09,61.78,23.93,51.6,1.8,13-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Jan-2019 - 00:00,15.76,990.39,69.1,77.59,216.29,0.89,418.62,288.12,8.85,69.31,41.25,62.53,92.31,77.56,19.13,35.99,2.04,14-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Jan-2019 - 00:00,13.59,990.12,54.82,99.95,261.57,2.21,180.3,102.08,2.72,17.72,30.09,14.45,36.4,46.29,12.85,39.27,0.55,15-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Jan-2019 - 00:00,11.95,989.12,58.21,86.22,250.47,2.06,203.16,121.42,3.44,17.56,26.43,26.84,47.26,47.48,,43.43,1.0,16-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Jan-2019 - 00:00,12.31,989.21,70.94,88.33,135.87,0.71,327.66,219.11,6.35,40.95,32.24,40.68,65.07,60.02,,44.77,1.41,17-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Jan-2019 - 00:00,13.75,987.93,71.05,87.31,246.5,0.83,534.5,363.03,12.82,99.4,38.97,138.85,162.05,92.21,10.55,41.18,3.54,18-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Jan-2019 - 00:00,13.89,988.3,68.08,100.31,251.55,1.52,365.38,238.83,7.28,53.12,34.33,49.55,75.42,65.79,21.84,30.48,1.82,19-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Jan-2019 - 00:00,15.91,988.16,59.37,97.56,212.64,1.04,338.77,215.08,6.73,52.2,30.54,46.94,74.3,67.74,23.09,38.28,1.58,20-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Jan-2019 - 00:00,18.71,987.29,58.91,88.55,113.51,0.8,344.05,204.43,5.57,58.06,31.4,26.31,51.26,56.08,41.62,62.22,1.47,21-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Jan-2019 - 00:00,16.27,984.73,78.36,46.4,87.95,1.58,217.79,140.78,4.55,26.45,40.74,7.26,20.91,28.18,15.78,44.8,1.06,22-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Jan-2019 - 00:00,14.72,985.31,93.3,53.31,131.63,1.18,72.66,54.06,1.78,20.39,30.15,14.26,23.48,22.26,13.79,44.47,0.59,23-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Jan-2019 - 00:00,14.26,988.4,85.4,98.31,274.59,0.91,199.89,123.4,5.39,48.07,28.29,68.51,83.53,52.04,15.57,29.35,1.82,24-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
