from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,PM10,PM2.5,RH,SR,WD,WS,Temp,CO,NH3,NO,NO2,NOx,O Xylene,SO2,Ozone,to date,station
01-Jan-2019 - 00:00,14.27,12.93,42.68,46.4,147.27,95.83,52.08,157.55,170.37,0.45,20.54,1.88,126.34,54.41,68.86,79.63,22.52,26.25,112.37,02-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
02-Jan-2019 - 00:00,15.07,15.41,50.94,54.78,142.93,87.4,59.01,136.59,195.04,0.48,21.43,2.15,126.56,49.35,74.72,78.94,25.89,24.11,50.46,03-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
03-Jan-2019 - 00:00,15.39,15.42,49.86,55.34,164.37,101.32,62.82,130.07,171.77,0.45,21.81,2.16,128.07,49.26,71.97,77.94,25.73,31.73,70.3,04-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
04-Jan-2019 - 00:00,14.5,15.54,49.56,53.77,148.64,92.56,63.67,126.48,171.53,0.48,21.45,2.07,121.86,52.01,63.53,74.68,24.98,14.68,74.32,05-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
05-Jan-2019 - 00:00,15.36,14.72,50.0,54.71,166.05,110.72,68.13,131.0,188.38,0.44,22.16,2.28,119.03,49.73,74.87,79.8,25.33,21.9,71.65,06-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
06-Jan-2019 - 00:00,11.75,9.09,32.78,35.43,147.01,130.14,71.69,123.67,185.52,0.56,23.45,1.43,94.67,25.97,60.17,52.38,15.75,15.87,74.68,07-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
07-Jan-2019 - 00:00,6.98,5.01,20.41,22.82,128.25,78.66,59.27,117.2,171.65,0.47,23.16,0.88,71.13,15.08,46.54,36.28,9.71,31.67,67.55,08-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
08-Jan-2019 - 00:00,11.35,10.24,34.76,37.29,129.78,85.28,63.09,172.43,177.96,0.63,19.78,1.84,111.92,52.12,50.1,68.32,17.28,10.21,87.15,09-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
09-Jan-2019 - 00:00,14.72,14.72,49.19,53.0,154.6,97.74,66.06,164.58,186.85,0.59,20.05,2.02,125.75,55.66,64.4,78.44,25.17,15.62,81.51,10-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
10-Jan-2019 - 00:00,14.56,12.33,41.6,47.78,146.49,94.67,63.41,141.2,163.65,0.53,21.15,1.71,109.86,43.93,59.6,66.27,20.58,31.05,86.2,11-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
11-Jan-2019 - 00:00,13.26,12.55,42.67,46.94,152.69,97.0,64.01,132.56,182.23,0.58,22.15,1.6,97.75,30.96,61.51,57.46,21.35,15.85,85.25,12-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
12-Jan-2019 - 00:00,9.58,6.72,26.04,30.32,144.12,93.33,73.54,121.45,148.97,0.51,23.95,1.12,71.96,15.0,49.59,37.86,12.48,13.54,80.98,13-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
13-Jan-2019 - 00:00,8.41,5.54,20.61,24.58,139.2,97.65,81.84,124.62,172.27,0.48,24.82,1.13,66.65,12.07,43.23,32.49,10.72,9.09,112.7,14-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
14-Jan-2019 - 00:00,8.55,6.74,24.63,27.85,151.41,101.23,66.75,112.58,103.08,0.63,24.12,1.27,77.77,23.48,43.35,41.47,11.98,21.79,95.27,15-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
15-Jan-2019 - 00:00,9.52,8.6,29.89,32.54,122.18,76.98,57.09,131.31,202.02,0.61,22.15,1.25,96.36,33.12,55.33,55.46,14.63,25.21,79.01,16-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
16-Jan-2019 - 00:00,13.42,13.18,44.66,48.66,139.68,86.36,60.91,172.66,192.01,0.66,21.32,1.72,125.86,55.76,60.26,77.28,21.96,21.32,75.39,17-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
17-Jan-2019 - 00:00,16.41,19.15,63.72,65.76,151.25,88.79,58.86,145.33,195.13,0.54,22.44,1.92,149.4,63.6,81.24,93.77,32.16,15.45,80.9,18-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
18-Jan-2019 - 00:00,35.55,52.97,169.14,165.99,241.14,113.53,50.48,213.24,189.09,0.55,24.32,5.45,408.25,234.19,168.17,274.75,88.69,,63.75,19-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
19-Jan-2019 - 00:00,26.06,35.65,114.05,115.0,154.48,72.59,51.06,146.6,161.23,0.55,23.31,3.81,280.66,145.13,132.32,185.68,59.01,28.17,63.79,20-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
20-Jan-2019 - 00:00,11.57,10.1,34.54,38.99,66.82,41.31,53.75,180.68,187.48,0.62,23.83,1.3,104.95,39.13,61.25,63.3,16.91,16.2,112.3,21-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
21-Jan-2019 - 00:00,18.33,22.18,71.99,75.7,108.12,55.76,52.77,231.07,199.29,0.72,24.56,2.54,186.95,91.73,93.79,122.95,36.55,14.07,68.51,22-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
22-Jan-2019 - 00:00,6.99,7.76,30.65,32.34,93.88,47.61,47.98,207.22,180.37,0.82,29.26,0.91,59.46,9.45,46.68,31.9,14.15,7.59,75.19,23-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
23-Jan-2019 - 00:00,11.6,14.96,52.58,54.29,109.34,56.81,67.4,155.13,206.11,0.66,25.95,1.51,94.4,29.93,60.66,55.64,25.84,9.71,73.69,24-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
24-Jan-2019 - 00:00,33.17,48.71,158.13,154.42,184.98,102.31,65.98,144.75,133.12,0.79,26.07,3.93,238.34,113.23,115.69,150.63,79.79,8.86,45.4,25-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
25-Jan-2019 - 00:00,15.6,18.19,62.15,62.15,102.72,58.69,92.14,117.74,102.14,0.9,22.0,1.76,112.23,46.27,55.88,66.0,30.62,8.81,95.03,26-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
26-Jan-2019 - 00:00,2.91,0.59,3.37,5.78,64.6,46.64,85.11,119.21,103.48,1.15,22.1,0.47,34.91,7.68,17.63,15.27,1.3,4.97,150.02,27-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
27-Jan-2019 - 00:00,2.57,0.6,3.02,5.34,68.4,51.2,75.62,139.14,115.14,2.02,21.64,0.46,37.8,9.34,13.76,14.6,1.17,10.89,100.54,28-Jan-2019 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
