from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
13-Jul-2019 - 00:00,6.27,8.91,6.55,4.58,2.91,1.05,5.53,42.76,117.66,1.03,2.46,0.78,0.67,0.95,41.23,2.03,249.57,426.1,0.0,14-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
14-Jul-2019 - 00:00,13.76,14.11,7.79,5.98,2.21,1.16,3.63,37.33,97.83,2.16,5.5,1.26,1.65,2.17,44.46,1.2,228.0,,0.0,15-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
15-Jul-2019 - 00:00,14.69,14.42,7.3,5.21,2.81,0.96,5.69,64.72,171.99,2.01,3.25,1.07,1.53,2.12,59.3,1.44,152.12,336.26,0.0,16-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
16-Jul-2019 - 00:00,15.4,14.54,6.93,4.84,2.79,1.01,5.04,44.31,89.02,2.16,3.88,1.02,1.51,2.17,75.86,1.21,140.56,231.61,0.0,17-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
17-Jul-2019 - 00:00,11.68,12.19,6.7,4.46,2.82,1.05,7.01,29.49,63.93,1.96,3.41,0.95,1.37,1.87,75.75,1.5,159.44,296.81,0.0,18-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
18-Jul-2019 - 00:00,12.1,12.42,6.68,4.26,3.06,1.02,3.94,22.31,41.65,2.16,5.03,1.32,2.11,2.82,86.15,1.97,211.68,139.02,0.0,19-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
19-Jul-2019 - 00:00,11.94,12.27,6.61,4.22,2.96,0.97,9.52,1.09,56.96,2.07,3.28,0.96,1.3,2.03,74.6,1.35,148.89,392.39,0.0,20-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
20-Jul-2019 - 00:00,10.26,11.27,6.58,4.11,2.77,1.05,8.43,0.0,47.79,1.77,3.23,0.88,1.09,1.78,82.21,1.76,182.15,311.58,0.0,21-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
21-Jul-2019 - 00:00,12.65,12.91,6.89,4.36,3.11,1.08,3.91,0.0,51.24,3.29,5.32,1.48,2.55,3.59,82.98,1.55,186.82,404.54,0.0,22-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
22-Jul-2019 - 00:00,11.03,11.79,6.68,4.5,2.79,0.99,9.45,0.0,55.61,2.38,3.13,0.96,1.33,2.36,80.98,1.48,146.65,354.82,0.0,23-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
23-Jul-2019 - 00:00,11.28,12.38,7.24,6.84,2.95,0.98,7.0,0.0,53.14,2.49,3.36,1.12,1.42,2.39,70.45,1.73,216.83,437.43,0.0,24-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
24-Jul-2019 - 00:00,8.21,10.18,6.73,6.26,3.9,1.0,9.11,0.0,52.49,2.23,12.38,21.4,8.34,22.76,72.62,1.89,235.11,275.81,0.0,25-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
25-Jul-2019 - 00:00,10.0,11.37,6.89,6.25,2.78,1.06,9.88,0.0,23.71,1.25,3.89,19.09,4.11,2.76,91.8,1.89,208.13,112.36,0.0,26-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
26-Jul-2019 - 00:00,18.12,16.52,6.87,6.39,3.49,1.41,5.54,0.0,36.58,1.85,3.32,2.8,1.75,0.14,97.0,3.04,238.6,58.01,0.0,27-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
27-Jul-2019 - 00:00,13.47,13.16,6.62,7.15,2.97,2.01,6.56,0.0,26.12,1.94,3.45,2.38,2.46,0.27,93.96,1.74,139.88,221.51,0.0,28-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
28-Jul-2019 - 00:00,18.1,16.0,6.79,7.57,3.38,2.04,4.16,0.0,27.02,3.04,6.21,2.88,3.35,0.53,88.85,1.57,162.08,285.25,0.0,29-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
