from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Marhatal, Jabalpur - MPPCB"
