from date,BP,Benzene,O Xylene,Toluene,CO,Eth-Benzene,PM2.5,NO,NO2,NOx,Ozone,RH,SR,SO2,VWS,WD,WS,to date,station
27-Jan-2019 - 00:00,994.4,0.0,0.0,0.0,0.67,0.0,54.05,2.85,15.55,18.39,51.21,68.09,122.42,4.66,0.08,122.33,0.72,28-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Jan-2019 - 00:00,994.68,0.36,0.01,0.65,0.6,0.49,80.76,13.77,31.33,39.94,43.12,68.64,113.69,3.8,0.08,205.96,0.55,29-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Jan-2019 - 00:00,994.81,0.0,0.0,0.0,0.62,0.0,33.78,3.63,19.52,23.15,54.45,68.74,135.52,4.53,0.08,109.1,0.48,30-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Jan-2019 - 00:00,994.1,0.04,0.0,0.08,0.82,0.06,198.78,4.88,25.36,29.67,57.26,67.3,54.89,3.65,0.08,106.18,0.53,31-Jan-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-Jan-2019 - 00:00,989.8,0.0,0.0,0.0,0.6,0.0,55.52,2.57,16.47,18.92,74.3,59.4,142.19,4.53,0.08,97.62,0.66,01-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Feb-2019 - 00:00,988.03,0.0,0.0,0.0,0.59,0.0,53.27,3.41,22.02,25.41,62.99,56.03,136.65,4.69,0.08,103.02,0.53,02-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Feb-2019 - 00:00,987.83,0.0,0.0,0.0,0.58,0.0,53.87,2.88,19.68,22.37,66.97,55.55,130.44,4.77,0.08,97.31,0.49,03-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Feb-2019 - 00:00,988.7,0.0,0.0,0.0,0.76,0.0,43.68,2.7,14.0,16.7,63.87,57.37,140.69,3.83,0.08,103.19,0.62,04-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Feb-2019 - 00:00,988.45,0.0,0.0,0.0,0.72,0.0,34.34,3.48,14.95,18.43,49.94,57.86,149.41,4.05,0.08,93.18,0.6,05-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Feb-2019 - 00:00,989.94,0.0,0.0,0.0,0.96,0.0,44.71,2.77,12.3,15.07,66.88,60.43,112.05,3.79,0.08,101.71,0.81,06-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
