from date,BP,Benzene,O Xylene,Toluene,CO,Eth-Benzene,PM2.5,NO,NO2,NOx,Ozone,RH,SR,SO2,VWS,WD,WS,to date,station
28-Apr-2019 - 00:00,,1.72,0.02,3.08,1.11,2.35,104.09,3.04,28.87,31.91,42.21,46.53,123.51,1.92,-0.8,130.46,0.39,29-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Apr-2019 - 00:00,,1.21,0.01,2.16,0.99,1.65,90.87,2.86,22.36,24.78,47.15,53.86,199.21,3.39,-0.74,206.97,0.57,30-Apr-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Apr-2019 - 00:00,,1.11,0.02,1.98,0.58,1.51,70.2,3.48,21.03,24.5,49.86,56.09,266.06,2.52,-0.69,250.53,1.03,01-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-May-2019 - 00:00,,0.85,0.02,1.51,0.93,1.15,120.54,3.4,41.2,26.99,40.99,,,3.13,,,,02-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-May-2019 - 00:00,,0.98,0.02,1.75,0.72,1.33,74.99,4.04,23.08,27.11,38.39,,,2.67,,,,03-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-May-2019 - 00:00,,0.69,0.02,1.23,0.87,0.94,79.15,3.62,20.78,24.39,41.14,39.66,336.47,2.14,-0.85,234.83,0.84,04-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-May-2019 - 00:00,,1.33,0.03,2.38,0.92,1.82,94.28,3.71,23.83,27.54,43.91,55.14,241.9,2.16,-0.81,233.47,0.77,05-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-May-2019 - 00:00,,0.07,0.0,0.13,0.44,0.1,88.62,3.52,29.99,27.97,50.26,49.48,253.54,3.05,-0.84,209.32,0.5,06-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-May-2019 - 00:00,,0.9,0.26,1.61,0.84,1.23,102.15,7.38,39.07,37.87,53.27,45.88,222.26,2.59,-0.86,202.11,0.54,07-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-May-2019 - 00:00,,1.16,0.03,2.08,0.5,1.58,76.46,3.86,22.64,26.5,41.71,61.15,229.33,2.41,-0.8,233.57,1.08,08-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-May-2019 - 00:00,,0.0,0.0,0.0,0.8,0.0,24.52,4.61,19.77,24.34,30.07,90.15,73.56,3.46,-0.71,245.02,0.88,09-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-May-2019 - 00:00,993.21,9.5,6.18,16.97,2.99,12.95,376.16,43.85,64.82,102.16,25.82,39.97,89.65,1.69,-0.91,248.02,0.47,10-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-May-2019 - 00:00,997.66,0.98,0.39,1.74,0.98,1.33,44.04,4.25,29.57,33.82,45.43,44.57,219.64,2.44,-0.87,229.15,0.48,11-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-May-2019 - 00:00,,0.84,0.02,1.49,1.1,1.14,38.44,3.42,25.28,28.67,41.92,64.72,144.31,2.56,-0.76,210.52,0.54,12-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-May-2019 - 00:00,,0.81,0.33,1.45,1.42,1.11,28.24,7.33,30.74,38.06,35.96,58.02,190.67,2.35,-0.77,209.3,0.45,13-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-May-2019 - 00:00,,0.44,0.01,0.79,0.99,0.6,29.69,3.7,25.75,24.81,44.18,67.03,200.44,6.2,-0.73,221.69,0.64,14-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-May-2019 - 00:00,996.24,0.53,0.22,0.95,1.26,0.73,34.95,4.89,27.3,32.19,43.04,63.46,229.18,2.29,-0.73,227.28,0.63,15-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-May-2019 - 00:00,,0.0,0.0,0.0,1.01,0.0,33.85,3.94,21.42,24.82,36.95,77.72,189.8,2.11,-0.71,226.62,0.7,16-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-May-2019 - 00:00,,0.11,0.0,0.2,1.49,0.15,28.52,7.04,40.78,47.66,41.61,65.95,193.01,1.93,-0.57,211.3,0.34,17-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-May-2019 - 00:00,,0.0,0.0,0.0,1.09,0.0,41.29,12.99,41.28,54.27,33.8,74.07,149.42,4.32,-0.6,214.53,0.4,18-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-May-2019 - 00:00,,0.17,0.0,0.31,0.88,0.24,51.7,5.52,40.02,45.54,46.9,61.74,188.4,1.87,-0.62,199.14,0.32,19-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-May-2019 - 00:00,,0.0,0.0,0.0,0.78,0.0,46.42,4.02,28.8,32.82,38.59,61.1,214.38,4.0,-0.73,185.25,0.4,20-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-May-2019 - 00:00,,0.0,0.0,0.0,0.91,0.0,46.25,5.12,31.54,36.66,35.97,61.6,186.22,6.48,-0.73,189.88,0.42,21-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-May-2019 - 00:00,,0.0,0.0,0.0,0.8,0.0,45.07,2.97,21.2,24.17,44.57,56.74,211.25,2.92,-0.71,203.33,0.39,22-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-May-2019 - 00:00,,0.0,0.0,0.0,1.1,0.0,41.05,10.39,35.56,45.96,46.23,64.34,169.24,2.7,-0.68,217.77,0.49,23-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-May-2019 - 00:00,,0.0,0.0,0.0,0.86,0.0,37.39,3.88,29.24,33.12,35.63,65.95,179.15,3.42,-0.71,221.69,0.5,24-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-May-2019 - 00:00,,0.0,0.0,0.0,0.83,0.0,35.96,3.79,27.15,31.01,46.89,64.85,195.58,7.53,-0.76,224.19,0.5,25-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-May-2019 - 00:00,998.39,0.0,0.0,0.0,0.78,0.0,24.07,3.49,27.9,26.33,47.9,67.08,205.28,7.46,-0.74,240.18,0.66,26-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-May-2019 - 00:00,988.68,0.0,0.0,0.0,0.66,0.0,20.15,2.98,20.54,23.51,52.6,64.94,212.27,4.91,-0.7,236.99,0.63,27-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-May-2019 - 00:00,983.57,0.0,0.0,0.0,1.0,0.0,23.93,4.41,35.82,38.36,43.14,63.07,116.39,6.55,-0.76,223.91,0.33,28-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-May-2019 - 00:00,984.61,0.0,0.0,0.0,1.03,0.0,35.66,3.49,23.49,26.98,42.21,65.7,207.34,3.86,-0.78,223.81,0.78,29-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-May-2019 - 00:00,979.03,0.0,0.0,0.0,0.84,0.0,23.75,3.11,22.49,25.05,63.25,56.03,149.69,5.28,-0.81,216.75,0.61,30-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-May-2019 - 00:00,975.99,0.0,0.0,0.0,0.75,0.0,27.07,4.5,23.47,27.97,51.83,64.18,196.07,5.26,-0.99,223.92,0.7,31-May-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-May-2019 - 00:00,981.94,0.0,0.0,0.0,0.75,0.0,22.47,3.65,22.85,26.46,48.29,64.59,198.87,5.73,-0.76,224.25,0.64,01-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Jun-2019 - 00:00,990.17,0.0,0.0,0.0,1.07,0.0,33.75,6.23,35.44,40.13,36.84,64.81,175.49,7.67,-0.75,259.77,0.58,02-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Jun-2019 - 00:00,989.27,0.0,0.0,0.0,0.83,0.0,29.03,3.08,16.39,19.35,36.18,80.5,160.73,4.82,-0.93,229.84,0.85,03-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Jun-2019 - 00:00,997.45,0.0,0.0,0.0,0.88,0.0,15.91,2.96,21.91,24.87,41.08,76.43,153.68,7.13,-0.85,240.67,0.67,04-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Jun-2019 - 00:00,,0.0,0.0,0.0,0.99,0.0,24.85,8.12,33.24,41.35,29.65,67.96,185.33,5.66,-0.99,255.46,0.55,05-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Jun-2019 - 00:00,999.18,0.0,0.0,0.0,0.87,0.0,29.44,4.49,25.85,29.68,34.7,76.34,140.42,6.77,-0.91,236.39,0.69,06-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Jun-2019 - 00:00,995.37,0.0,0.0,0.0,1.07,0.0,24.4,4.73,27.38,32.09,36.6,71.88,197.87,5.26,-0.94,228.86,0.42,07-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Jun-2019 - 00:00,,0.0,0.0,0.0,0.83,0.0,25.43,4.4,28.31,32.66,39.76,69.36,155.78,7.74,-0.87,214.81,0.5,08-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Jun-2019 - 00:00,,0.0,0.0,0.0,0.97,0.0,30.28,4.53,27.89,32.13,34.94,72.34,144.97,6.55,-0.9,232.4,0.47,09-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Jun-2019 - 00:00,992.46,0.0,0.0,0.0,0.81,0.0,16.96,2.68,13.58,15.86,32.83,70.95,189.6,6.91,-0.84,210.83,0.71,10-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Jun-2019 - 00:00,990.34,0.0,0.0,0.0,0.75,0.0,9.26,3.2,13.96,16.99,30.66,74.41,168.34,9.7,-0.92,228.83,0.79,11-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Jun-2019 - 00:00,991.24,0.0,0.0,0.0,0.74,0.0,9.57,3.14,12.04,15.18,32.45,75.05,111.51,7.94,-0.91,221.41,1.05,12-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Jun-2019 - 00:00,997.47,0.0,0.0,0.0,0.73,0.0,10.85,4.24,13.96,18.21,27.78,77.95,120.05,9.76,-0.9,229.86,1.25,13-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Jun-2019 - 00:00,,0.0,0.0,0.0,0.75,0.0,23.73,4.07,13.63,17.69,22.88,77.69,115.07,6.86,-0.87,231.49,1.26,14-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Jun-2019 - 00:00,,0.0,0.0,0.0,0.73,0.0,22.51,4.59,15.84,20.44,21.5,78.37,135.28,8.29,-0.91,229.92,0.86,15-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Jun-2019 - 00:00,,0.0,0.0,0.0,0.87,0.0,22.51,4.41,16.23,20.25,22.51,68.84,189.22,8.81,-0.96,238.64,0.89,16-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Jun-2019 - 00:00,,0.0,0.0,0.0,0.85,0.0,24.05,3.92,14.07,17.99,25.44,61.48,195.42,6.77,-0.96,246.18,0.88,17-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Jun-2019 - 00:00,,0.0,0.0,0.0,0.56,0.0,29.7,4.48,13.42,17.9,23.64,67.71,261.44,7.74,-0.89,246.6,0.95,18-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Jun-2019 - 00:00,,0.0,0.0,0.0,1.15,0.0,86.51,3.31,14.0,17.29,25.34,53.53,220.84,6.11,-0.43,233.37,1.04,19-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Jun-2019 - 00:00,996.84,0.0,0.0,0.0,0.78,0.0,25.65,7.76,19.55,27.31,21.83,68.48,175.61,9.17,0.09,241.56,0.89,20-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Jun-2019 - 00:00,,0.0,0.0,0.0,0.61,0.0,24.4,4.58,14.79,19.38,26.28,66.05,154.34,6.13,0.21,239.43,1.03,21-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Jun-2019 - 00:00,996.7,0.0,0.0,0.0,0.71,0.0,28.72,4.36,16.17,20.53,28.64,74.07,128.52,4.97,0.2,240.83,0.88,22-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Jun-2019 - 00:00,990.69,0.0,0.0,0.0,0.66,0.0,24.21,3.88,13.48,17.37,30.27,73.21,161.26,7.1,0.21,231.24,1.03,23-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Jun-2019 - 00:00,983.02,0.0,0.0,0.0,0.57,0.0,28.32,2.97,13.19,14.55,27.63,83.15,113.67,5.86,0.3,227.51,0.83,24-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Jun-2019 - 00:00,991.66,0.0,0.0,0.0,0.78,0.0,20.81,3.91,15.42,19.33,23.64,79.06,158.44,5.67,0.5,231.73,0.73,25-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Jun-2019 - 00:00,,0.0,0.0,0.0,0.68,0.0,38.71,4.29,15.09,19.24,22.95,74.11,153.91,5.86,0.33,232.59,0.73,26-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Jun-2019 - 00:00,,2.52,8.27,4.5,0.61,3.43,58.34,5.22,17.39,22.61,21.38,74.98,92.31,5.35,0.11,238.22,0.85,27-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Jun-2019 - 00:00,,0.0,0.0,0.0,0.75,0.0,37.52,5.7,16.5,21.82,28.33,67.68,178.32,5.04,0.03,246.69,1.14,28-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Jun-2019 - 00:00,,0.0,0.0,0.0,0.65,0.0,37.62,5.65,15.83,21.47,30.81,61.98,194.83,5.56,0.01,243.06,1.22,29-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Jun-2019 - 00:00,,0.0,0.0,0.0,0.65,0.0,32.09,4.49,14.42,18.9,32.34,66.2,167.43,5.06,0.03,240.1,1.13,30-Jun-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Jun-2019 - 00:00,999.43,0.0,0.0,0.0,0.6,0.0,26.64,4.39,13.31,17.69,30.16,70.18,142.06,6.19,0.04,244.01,1.17,01-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Jul-2019 - 00:00,989.25,0.0,0.0,0.0,0.77,0.0,63.63,5.42,16.26,20.75,28.33,66.3,111.55,5.6,0.07,243.16,1.09,02-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Jul-2019 - 00:00,992.44,0.0,0.0,0.0,0.62,0.0,25.95,4.26,13.0,17.26,33.46,68.96,156.76,5.06,0.04,236.18,1.03,03-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Jul-2019 - 00:00,,0.0,0.0,0.0,0.67,0.0,23.87,4.25,13.18,17.43,31.05,69.87,156.06,4.63,0.04,233.54,1.06,04-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Jul-2019 - 00:00,,0.0,0.0,0.0,0.66,0.0,19.97,4.29,13.36,17.65,28.15,80.96,135.77,5.04,0.18,231.03,0.98,05-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Jul-2019 - 00:00,994.01,0.0,0.0,0.0,0.71,0.0,23.47,3.74,11.65,15.39,27.83,83.36,136.75,5.08,0.4,230.13,1.15,06-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Jul-2019 - 00:00,995.88,0.0,0.0,0.0,0.81,0.0,22.8,3.41,11.23,14.64,23.89,79.99,114.14,7.12,0.25,225.47,1.11,07-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Jul-2019 - 00:00,,,,,0.61,,22.16,3.0,9.69,12.69,24.88,73.5,140.82,6.29,0.05,227.42,1.09,08-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Jul-2019 - 00:00,,,,,0.65,,25.23,4.78,12.67,17.45,20.39,69.47,150.09,6.02,0.03,239.63,1.26,09-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Jul-2019 - 00:00,,,,,0.66,,24.43,5.1,13.33,18.43,16.87,77.98,119.86,5.83,0.1,235.53,1.05,10-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Jul-2019 - 00:00,,,,,0.69,,123.25,4.0,12.55,16.55,23.8,76.71,124.49,5.88,0.15,232.3,1.04,11-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Jul-2019 - 00:00,,,,,0.79,,26.48,5.53,18.48,24.01,22.95,74.33,138.35,5.2,0.07,242.45,0.99,12-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Jul-2019 - 00:00,,,,,0.68,,25.45,5.76,16.92,22.68,22.55,66.49,188.12,5.36,0.07,236.96,0.77,13-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Jul-2019 - 00:00,,,,,0.71,,26.24,3.96,13.19,17.16,24.08,70.67,166.76,4.47,0.07,228.78,0.75,14-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Jul-2019 - 00:00,,,,,0.73,,23.78,4.21,14.74,18.95,21.73,71.56,169.07,4.69,0.18,244.64,0.8,15-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Jul-2019 - 00:00,,,,,0.75,,21.8,5.21,16.96,22.17,22.63,72.9,189.01,4.61,0.22,243.48,0.84,16-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Jul-2019 - 00:00,,,,,0.7,,26.87,5.6,18.08,23.68,21.53,72.93,178.52,4.31,0.34,245.3,0.76,17-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Jul-2019 - 00:00,,,,,0.89,,37.59,10.13,28.53,35.85,17.62,70.19,125.15,4.81,0.25,259.8,0.64,18-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Jul-2019 - 00:00,986.64,0.0,0.0,0.0,0.9,0.0,35.76,11.08,27.3,38.16,13.94,75.62,141.1,4.79,0.28,263.1,0.6,19-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Jul-2019 - 00:00,978.26,,,,0.74,,22.59,5.52,17.55,23.07,17.21,83.55,127.9,5.74,0.29,240.62,0.75,20-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Jul-2019 - 00:00,982.82,,,,0.69,,16.93,3.83,12.63,16.31,21.97,83.93,118.47,5.25,0.32,226.3,0.92,21-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Jul-2019 - 00:00,985.28,,,,0.71,,16.55,3.27,11.9,15.17,22.71,88.33,94.67,5.24,0.29,227.19,0.9,22-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Jul-2019 - 00:00,988.16,,,,0.72,,17.13,3.75,12.95,16.7,24.19,87.03,91.34,5.65,0.38,229.73,0.9,23-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Jul-2019 - 00:00,993.34,,,,0.78,,25.39,4.78,14.26,19.04,20.01,85.66,110.63,4.88,0.27,232.59,0.86,24-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Jul-2019 - 00:00,,,,,0.69,,26.32,3.58,12.61,16.19,23.66,80.13,179.26,4.74,0.22,227.99,0.86,25-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Jul-2019 - 00:00,,,,,0.83,,24.47,5.1,16.04,21.14,19.57,83.9,130.76,4.7,0.26,237.78,0.75,26-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Jul-2019 - 00:00,,,,,0.63,,21.38,3.92,13.55,17.47,19.91,82.59,98.88,5.41,0.36,234.68,0.97,27-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Jul-2019 - 00:00,,,,,0.71,,22.88,4.71,16.98,19.13,21.22,74.15,154.51,6.92,0.19,241.64,1.06,28-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Jul-2019 - 00:00,,,,,0.83,,30.14,6.54,16.71,23.25,19.68,84.95,122.39,22.78,0.31,244.65,0.97,29-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Jul-2019 - 00:00,,,,,0.75,,24.72,4.96,13.56,18.52,20.41,79.21,124.61,5.4,0.35,237.87,1.01,30-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Jul-2019 - 00:00,,,,,0.73,,40.45,4.55,13.61,18.17,21.48,78.03,100.98,5.44,0.19,239.87,0.93,31-Jul-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-Jul-2019 - 00:00,,,,,0.74,,66.07,4.57,14.48,18.85,20.06,72.3,189.05,5.53,0.18,237.91,0.94,01-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Aug-2019 - 00:00,,,,,0.72,,35.21,4.41,19.65,16.5,22.06,70.71,190.13,3.26,0.18,240.93,1.11,02-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Aug-2019 - 00:00,,,,,0.69,,23.41,4.14,12.82,16.96,21.01,77.46,95.64,4.7,0.2,235.87,1.07,03-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Aug-2019 - 00:00,,,,,0.74,,23.64,3.35,10.67,14.02,24.77,73.83,147.13,5.82,0.2,229.85,1.25,04-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Aug-2019 - 00:00,,,,,0.81,,18.12,2.96,13.91,12.13,22.6,81.42,105.44,6.47,0.26,233.85,1.04,05-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Aug-2019 - 00:00,,,,,0.81,,18.91,5.03,12.36,16.04,15.41,87.86,90.88,5.23,0.32,238.7,1.09,06-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Aug-2019 - 00:00,997.33,,,,0.72,,14.74,4.52,13.68,17.09,17.1,88.06,86.4,5.16,0.29,244.03,1.26,07-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Aug-2019 - 00:00,988.13,,,,0.63,,16.22,5.24,11.59,16.83,14.16,88.34,85.82,5.5,0.34,245.19,1.41,08-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Aug-2019 - 00:00,976.82,4.26,34.69,12.0,0.64,20.07,12.87,4.03,10.97,14.98,14.73,92.48,81.74,5.93,0.1,235.91,1.2,09-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Aug-2019 - 00:00,981.9,0.0,0.1,0.22,0.66,0.17,9.77,3.02,9.17,12.19,21.85,90.96,79.72,6.6,-0.46,229.85,1.4,10-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Aug-2019 - 00:00,988.01,0.0,0.0,0.0,0.66,0.0,11.1,3.83,10.88,14.71,18.77,86.28,106.22,4.87,-0.59,240.17,1.13,11-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Aug-2019 - 00:00,988.98,,,,0.72,,14.07,3.92,11.2,15.12,17.52,82.69,134.4,7.43,-0.65,247.29,1.05,12-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Aug-2019 - 00:00,986.89,0.0,0.01,2.64,0.79,2.01,20.96,6.74,16.31,23.05,12.77,83.34,131.17,4.65,-0.56,250.06,0.81,13-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Aug-2019 - 00:00,990.99,0.0,0.01,2.14,1.02,1.63,47.8,7.07,23.14,23.29,13.75,85.46,100.8,6.56,-0.56,248.5,0.75,14-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Aug-2019 - 00:00,,0.0,0.01,1.49,0.79,1.14,23.28,3.97,13.15,17.11,19.95,90.67,71.82,5.06,-0.6,236.64,0.79,15-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Aug-2019 - 00:00,,0.0,0.03,2.34,0.75,1.78,21.13,4.68,15.99,20.67,19.83,85.17,142.16,5.92,-0.55,249.5,0.86,16-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Aug-2019 - 00:00,,0.0,0.01,2.09,0.87,1.6,20.06,5.32,15.37,20.69,14.87,87.37,120.23,5.54,-0.51,247.8,0.83,17-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Aug-2019 - 00:00,997.79,0.0,0.03,2.45,0.85,1.87,25.8,5.15,16.78,21.79,16.3,90.65,74.54,4.95,-0.52,244.64,0.73,18-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Aug-2019 - 00:00,,0.0,0.01,1.39,0.82,1.06,28.33,5.02,17.31,22.26,11.17,93.05,52.57,5.42,-0.53,242.26,0.43,19-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Aug-2019 - 00:00,,0.0,0.03,2.97,0.92,2.27,25.17,7.2,20.57,27.77,12.48,82.27,154.97,4.36,-0.51,246.09,0.54,20-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Aug-2019 - 00:00,,,0.48,4.32,0.91,3.29,24.01,9.84,20.83,30.66,9.9,88.32,85.14,2.66,-0.6,253.39,0.46,21-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Aug-2019 - 00:00,999.86,,0.02,1.84,0.99,1.4,23.59,7.47,16.03,23.5,11.69,85.93,127.72,3.35,-0.57,249.86,0.75,22-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Aug-2019 - 00:00,996.2,,0.01,1.16,0.81,0.88,23.61,8.88,17.55,26.43,9.77,88.11,111.21,3.0,-0.62,244.89,0.81,23-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Aug-2019 - 00:00,,,0.01,0.97,1.23,0.74,16.27,6.01,13.88,19.88,11.9,86.98,136.14,3.23,-0.52,246.79,0.87,24-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Aug-2019 - 00:00,,,0.0,0.13,0.71,0.1,15.53,4.51,14.06,15.92,15.32,83.89,156.0,2.97,-0.62,240.87,0.96,25-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Aug-2019 - 00:00,995.79,,0.0,0.0,0.7,0.0,17.83,3.39,10.44,13.83,18.31,81.61,180.46,3.42,-0.69,232.27,0.87,26-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Aug-2019 - 00:00,994.46,,0.0,0.25,0.81,0.19,18.75,3.59,12.34,15.94,22.08,80.55,134.18,3.17,-0.69,233.66,0.85,27-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Aug-2019 - 00:00,990.63,,0.0,0.06,0.75,0.05,12.04,3.61,10.18,13.79,20.79,85.9,186.24,3.19,-0.67,234.55,1.09,28-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
