from date,PM2.5,PM10,SO2,NO2,NO,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,Xylene,WS,WD,RH,SR,RF,Temp,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
