from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,VWS,to date,station
01-Jan-2019 - 00:00,31.5,2.7,53.91,33.09,20.17,25.02,34.25,491.84,5.47,26.76,17.44,15.6,73.23,0.3,187.54,44.28,757.21,-0.11,02-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
02-Jan-2019 - 00:00,31.31,3.74,48.02,59.36,35.96,47.21,32.28,447.39,6.07,31.8,23.45,14.12,76.41,0.3,192.42,42.01,757.0,-0.11,03-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
03-Jan-2019 - 00:00,31.35,2.51,58.04,27.73,64.49,33.52,33.34,397.67,5.05,28.55,19.19,11.98,76.71,0.34,195.12,41.1,757.07,-0.11,04-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
04-Jan-2019 - 00:00,30.47,2.42,56.11,51.99,43.58,42.83,32.29,387.4,4.82,27.88,18.46,12.51,77.53,0.32,179.17,38.17,757.31,-0.1,05-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
05-Jan-2019 - 00:00,29.96,2.21,33.01,86.37,31.26,59.58,36.86,467.01,6.09,30.99,25.8,12.41,81.59,0.31,173.09,38.11,756.77,-0.11,06-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
06-Jan-2019 - 00:00,29.83,1.83,42.31,25.52,31.39,23.62,33.68,214.75,4.69,30.56,22.98,14.53,67.73,0.41,171.32,51.5,755.83,-0.13,07-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
07-Jan-2019 - 00:00,30.01,1.17,27.36,19.54,26.62,18.76,32.22,216.22,3.93,27.26,15.6,13.67,72.88,0.38,176.11,20.29,755.28,-0.12,08-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
08-Jan-2019 - 00:00,30.53,0.37,44.43,6.96,24.19,10.5,33.58,129.25,2.86,24.25,10.74,14.56,70.91,0.55,214.05,54.08,754.9,-0.11,09-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
09-Jan-2019 - 00:00,32.09,1.17,69.27,6.96,24.74,10.63,32.85,165.28,2.96,24.26,10.21,13.68,65.27,0.52,210.79,53.65,755.38,-0.11,10-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
10-Jan-2019 - 00:00,32.04,1.67,72.79,31.32,20.02,24.11,34.45,261.7,4.0,25.99,14.42,12.57,68.33,0.35,191.3,52.95,755.67,-0.12,11-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
11-Jan-2019 - 00:00,32.5,3.07,62.35,32.31,17.07,23.97,28.19,297.88,4.98,28.33,20.99,12.88,69.91,0.33,183.84,50.21,756.16,-0.12,12-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
12-Jan-2019 - 00:00,32.77,2.54,58.06,60.03,26.47,42.92,32.8,299.55,4.78,28.82,20.53,13.08,68.4,0.32,169.06,48.88,756.04,-0.12,13-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
13-Jan-2019 - 00:00,32.79,2.3,60.98,24.29,15.39,18.56,31.7,292.61,4.76,30.71,18.13,14.21,64.17,0.32,193.98,41.19,755.83,-0.13,14-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
14-Jan-2019 - 00:00,32.61,1.01,86.31,5.38,7.69,5.25,30.7,246.9,3.23,22.89,10.81,14.49,68.08,0.49,216.93,44.17,755.14,-0.12,15-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
15-Jan-2019 - 00:00,32.53,0.91,74.65,18.21,28.71,20.39,31.33,124.4,2.75,22.33,10.07,12.63,56.26,0.56,207.3,51.99,756.01,-0.11,16-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
16-Jan-2019 - 00:00,32.17,2.71,34.01,26.38,12.11,19.13,32.47,259.83,3.75,24.55,15.0,13.28,65.2,0.34,187.91,46.69,756.27,-0.12,17-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
17-Jan-2019 - 00:00,32.27,3.03,25.92,22.46,7.58,15.55,31.8,341.56,4.18,24.86,16.96,14.72,71.16,0.34,191.9,42.41,755.08,-0.12,18-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
18-Jan-2019 - 00:00,32.85,2.33,31.08,12.5,2.85,8.26,30.94,332.99,3.93,26.21,13.97,14.94,72.42,0.37,198.0,42.09,755.22,-0.12,19-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
19-Jan-2019 - 00:00,32.45,2.14,35.64,16.05,26.48,15.89,31.89,279.45,3.73,24.4,11.97,15.87,70.21,0.36,190.91,41.76,755.69,-0.11,20-Jan-2019 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
