from date,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
27-Jan-2019 - 00:00,3.37,2.0,766.36,54.19,89.65,0.0,48.52,11.31,202.98,2.7,0.81,34.5,26.79,37.54,64.31,42.99,7.15,28-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Jan-2019 - 00:00,4.18,23.26,769.05,58.17,107.73,0.0,47.4,11.81,191.04,2.61,0.62,38.95,28.11,37.45,65.55,37.78,4.9,29-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Jan-2019 - 00:00,10.87,59.08,767.32,49.75,82.51,0.0,40.69,12.22,172.43,2.18,0.6,39.72,30.91,39.22,70.13,28.08,6.08,30-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Jan-2019 - 00:00,4.07,11.03,765.56,58.0,96.01,0.0,38.68,14.1,155.43,2.25,0.34,39.04,21.92,37.53,59.44,52.38,6.41,31-Jan-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Jan-2019 - 00:00,0.39,16.83,763.63,45.03,73.73,0.0,38.18,16.48,181.44,2.47,0.44,34.63,5.82,30.21,36.03,45.68,8.76,01-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Feb-2019 - 00:00,0.43,16.51,765.4,39.64,66.98,0.0,50.11,14.15,229.15,2.96,0.46,29.5,4.85,16.02,20.86,51.62,5.47,02-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Feb-2019 - 00:00,0.81,14.94,765.48,46.05,72.36,0.0,60.11,12.37,178.98,2.64,0.37,27.8,5.33,19.07,24.39,53.71,4.81,03-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Feb-2019 - 00:00,1.36,23.3,765.97,50.45,105.27,0.0,52.53,13.89,177.14,2.34,0.57,32.83,5.34,31.18,36.52,54.16,5.75,04-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Feb-2019 - 00:00,2.11,16.68,766.22,63.33,132.53,0.0,52.13,16.13,179.45,2.22,0.68,36.81,8.41,37.96,46.37,49.96,6.84,05-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Feb-2019 - 00:00,3.87,21.6,764.12,68.85,139.04,0.0,55.51,18.95,173.57,2.6,0.55,48.63,22.61,43.77,66.38,37.29,7.48,06-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Feb-2019 - 00:00,4.27,18.87,760.8,57.02,138.71,0.0,39.08,18.53,198.33,2.48,0.42,40.86,17.74,45.54,50.83,28.4,7.52,07-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Feb-2019 - 00:00,4.75,20.39,759.73,42.26,134.27,0.0,28.14,16.14,220.52,4.21,0.39,30.06,6.28,25.03,31.27,45.0,6.11,08-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Feb-2019 - 00:00,1.46,22.01,764.32,41.3,111.75,0.0,38.39,13.07,228.91,3.03,0.32,25.13,6.1,20.28,26.38,57.1,5.8,09-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Feb-2019 - 00:00,4.02,27.79,766.46,49.64,95.11,0.0,36.43,13.23,195.6,2.98,0.52,30.7,19.08,33.18,52.26,40.36,6.32,10-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Feb-2019 - 00:00,3.12,26.31,766.59,55.66,106.17,0.0,35.93,13.93,193.01,2.8,0.46,32.67,18.11,42.24,60.34,45.58,5.92,11-Feb-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
