from date,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
24-Apr-2019 - 00:00,0.54,2.51,755.32,47.38,87.46,0.0,14.1,35.08,262.01,2.38,0.68,17.74,7.52,15.69,23.21,66.25,6.87,25-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Apr-2019 - 00:00,0.4,2.39,755.55,61.69,113.8,0.0,16.19,33.92,236.75,3.07,0.5,17.1,8.97,18.12,27.08,55.13,7.36,26-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Apr-2019 - 00:00,3.03,4.05,755.22,64.14,133.68,0.0,19.95,33.27,228.48,2.24,0.5,25.72,18.1,34.18,52.27,44.65,6.73,27-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Apr-2019 - 00:00,1.5,3.62,754.96,64.76,138.61,0.0,18.99,33.35,216.84,1.92,0.59,26.06,22.05,34.37,56.41,46.64,7.36,28-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Apr-2019 - 00:00,1.38,2.08,753.86,54.18,147.54,0.0,14.92,33.75,207.62,1.95,0.48,22.77,14.67,31.73,46.4,54.53,7.11,29-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Apr-2019 - 00:00,0.94,0.79,752.93,56.81,127.55,0.0,13.12,34.5,193.85,1.87,0.6,23.54,12.34,31.78,44.11,54.42,5.32,30-Apr-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Apr-2019 - 00:00,0.9,1.05,751.78,59.6,131.86,0.0,12.96,34.81,236.63,3.1,0.48,20.38,7.14,17.85,24.98,52.47,5.25,01-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-May-2019 - 00:00,2.09,2.69,752.64,90.47,209.9,0.0,16.49,33.79,239.23,2.69,0.46,19.76,9.41,26.9,34.11,54.15,6.14,02-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-May-2019 - 00:00,1.73,4.03,754.4,85.58,144.22,0.0,13.82,33.68,248.69,2.15,0.36,15.68,7.29,22.82,30.12,69.33,7.04,03-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-May-2019 - 00:00,0.66,1.04,759.43,76.55,167.88,0.0,20.99,31.88,144.68,2.09,0.4,17.07,6.87,15.38,22.25,70.67,4.83,04-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-May-2019 - 00:00,0.54,0.98,758.77,55.84,84.06,0.0,20.86,31.84,179.43,2.1,0.4,17.79,6.91,17.9,24.81,62.65,4.79,05-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-May-2019 - 00:00,0.45,0.94,759.81,40.6,80.67,0.0,19.06,31.94,198.24,1.37,0.48,22.16,15.26,33.38,48.63,58.98,9.52,06-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-May-2019 - 00:00,0.57,1.56,758.7,49.66,99.25,0.0,10.85,33.43,231.4,2.18,0.37,14.21,7.23,21.5,28.73,64.2,5.59,07-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-May-2019 - 00:00,0.65,2.0,757.74,60.4,135.78,0.0,10.45,34.36,236.23,3.28,0.4,11.73,6.92,12.72,19.64,57.26,4.71,08-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-May-2019 - 00:00,0.65,1.99,758.2,59.55,140.62,0.0,14.28,33.51,243.75,3.38,0.42,13.85,7.14,15.28,22.42,47.43,5.62,09-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-May-2019 - 00:00,0.65,2.01,757.94,71.7,154.66,0.0,15.26,32.57,250.48,3.42,0.4,13.69,7.09,17.69,24.79,51.45,4.85,10-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-May-2019 - 00:00,0.56,1.42,757.99,39.0,99.92,0.0,25.05,31.28,252.09,2.92,0.43,25.15,6.99,16.55,23.51,42.41,5.66,11-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-May-2019 - 00:00,0.51,0.99,758.96,55.21,115.32,0.0,25.02,32.34,248.71,2.05,0.42,23.16,5.92,16.99,22.92,60.17,2.89,12-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-May-2019 - 00:00,0.5,0.99,759.31,49.01,202.84,0.01,35.32,29.59,228.24,2.4,0.4,26.22,5.91,15.28,21.08,73.78,3.58,13-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-May-2019 - 00:00,0.62,1.58,757.81,65.88,161.52,0.0,22.52,32.72,247.96,2.73,0.41,22.87,5.79,18.28,24.07,59.75,3.8,14-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-May-2019 - 00:00,0.71,2.01,758.35,51.42,108.43,0.03,39.74,29.42,184.63,2.49,0.45,34.34,8.17,23.47,31.64,53.4,3.96,15-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-May-2019 - 00:00,0.59,2.59,758.65,91.19,190.91,0.0,25.28,33.0,233.02,2.95,0.44,26.9,6.2,14.67,20.87,54.38,5.76,16-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-May-2019 - 00:00,0.5,3.0,757.17,76.35,161.1,0.0,31.21,30.23,211.19,2.54,0.45,23.03,5.89,16.22,22.11,71.71,7.45,17-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-May-2019 - 00:00,0.5,2.99,755.87,66.8,163.72,0.01,45.97,27.02,219.25,2.62,0.39,30.22,6.63,17.95,24.58,53.07,5.78,18-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-May-2019 - 00:00,0.49,2.95,755.94,43.94,75.18,0.0,42.54,28.4,260.26,2.3,0.46,30.65,8.2,19.35,27.37,62.24,6.13,19-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-May-2019 - 00:00,0.5,3.01,753.11,61.93,91.1,0.0,28.73,31.47,230.22,2.07,0.46,26.79,9.4,30.1,39.5,51.13,6.42,20-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-May-2019 - 00:00,0.7,2.4,753.41,49.4,100.72,0.0,26.76,33.15,228.71,2.53,0.46,24.62,6.11,18.62,24.73,48.51,5.12,21-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-May-2019 - 00:00,1.2,2.32,754.46,60.67,105.31,0.0,29.99,32.57,171.34,1.96,0.41,32.9,12.05,33.24,45.29,39.15,8.25,22-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-May-2019 - 00:00,0.74,1.67,756.12,48.62,105.24,0.0,31.06,33.59,222.63,2.37,0.38,28.55,8.67,22.7,31.39,49.79,8.59,23-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-May-2019 - 00:00,0.51,0.99,754.85,59.68,117.39,0.0,27.73,34.35,230.88,2.29,0.39,24.9,6.04,16.31,22.35,55.89,6.36,24-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-May-2019 - 00:00,0.46,0.99,755.65,86.9,203.14,0.05,37.08,32.33,230.54,1.51,0.47,67.32,9.37,20.32,29.69,37.76,7.75,25-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-May-2019 - 00:00,0.46,1.0,756.12,53.3,89.49,0.0,27.18,32.94,257.97,1.32,0.4,45.61,7.42,21.91,29.32,54.42,7.06,26-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-May-2019 - 00:00,0.46,0.99,755.15,62.09,111.97,0.0,22.08,33.83,227.06,1.18,0.38,29.8,8.65,28.46,37.12,46.26,6.59,27-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-May-2019 - 00:00,0.66,1.53,754.18,61.97,105.19,0.0,18.35,34.85,219.9,1.21,0.42,24.38,10.98,24.06,35.04,43.44,7.01,28-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-May-2019 - 00:00,0.86,1.99,753.08,62.77,119.28,0.0,17.04,36.11,250.72,1.09,0.57,23.2,10.67,23.56,34.24,23.42,6.49,29-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-May-2019 - 00:00,0.75,1.44,752.15,72.7,130.28,0.0,18.87,36.72,228.42,1.37,0.42,21.87,6.67,21.28,27.95,26.55,7.21,30-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-May-2019 - 00:00,0.66,1.0,751.95,65.44,151.76,0.0,20.58,36.43,227.48,1.51,0.35,25.26,5.39,18.16,23.55,52.62,5.46,31-May-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-May-2019 - 00:00,0.66,1.01,749.46,44.54,84.28,0.0,21.77,35.5,207.42,1.09,0.47,23.87,7.39,29.41,36.87,47.88,5.74,01-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Jun-2019 - 00:00,0.54,1.0,735.14,54.78,111.44,0.0,21.59,37.09,245.18,1.52,0.34,22.94,2.92,18.92,21.84,51.45,5.2,02-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Jun-2019 - 00:00,0.46,1.0,725.03,60.69,138.37,0.0,20.6,37.89,245.79,1.47,0.42,21.03,2.83,15.93,18.76,54.63,7.07,03-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Jun-2019 - 00:00,0.46,1.0,724.8,61.59,137.76,0.03,23.63,37.31,249.27,1.72,0.36,16.66,3.55,15.91,19.45,49.16,8.37,04-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Jun-2019 - 00:00,0.46,1.0,721.77,43.63,157.14,0.0,18.18,38.28,245.05,1.87,0.41,15.12,2.77,15.11,17.88,44.94,10.5,05-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Jun-2019 - 00:00,0.46,0.99,719.57,43.71,144.34,0.0,20.58,37.48,248.19,1.75,0.43,17.18,2.86,15.86,18.72,39.97,12.24,06-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Jun-2019 - 00:00,0.46,0.99,719.58,54.42,108.79,0.0,19.76,38.29,270.93,1.69,0.4,18.38,2.63,15.24,17.88,63.83,6.81,07-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Jun-2019 - 00:00,0.46,1.0,720.39,58.39,183.88,0.0,15.37,37.47,214.03,0.82,0.44,23.54,13.65,34.14,47.79,59.84,5.18,08-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Jun-2019 - 00:00,0.46,1.0,719.87,61.34,123.2,0.0,21.2,37.91,149.56,0.8,0.47,27.47,12.02,31.89,43.91,72.3,5.41,09-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Jun-2019 - 00:00,0.46,0.99,718.41,53.39,113.07,0.0,15.47,38.86,238.92,1.21,0.29,20.59,6.57,30.86,37.43,59.47,3.85,10-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Jun-2019 - 00:00,0.58,1.33,717.26,42.32,133.93,0.0,18.56,38.29,226.8,1.64,0.37,19.75,4.71,19.07,23.78,50.87,4.19,11-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Jun-2019 - 00:00,0.86,1.98,716.82,45.14,119.4,0.0,24.3,37.51,251.9,1.74,0.3,22.47,4.2,19.18,23.37,54.58,3.72,12-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Jun-2019 - 00:00,0.7,1.83,717.18,48.0,109.62,0.0,28.15,36.29,184.76,1.3,0.31,19.13,3.93,17.2,21.14,60.62,4.37,13-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Jun-2019 - 00:00,0.45,2.8,719.12,39.94,66.15,0.0,43.34,31.73,175.09,1.35,0.29,26.83,4.43,20.31,24.74,68.01,3.42,14-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Jun-2019 - 00:00,0.46,4.04,718.85,33.63,71.48,0.0,42.03,33.52,242.34,1.54,0.41,28.27,4.19,16.94,21.13,54.65,3.61,15-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Jun-2019 - 00:00,0.46,4.01,718.93,37.13,83.47,0.0,45.79,32.79,234.24,2.19,0.41,27.31,4.19,17.71,21.9,49.86,3.38,16-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Jun-2019 - 00:00,0.61,3.47,719.46,40.98,100.38,0.0,51.03,31.97,249.43,2.36,0.34,33.45,4.52,14.96,19.47,39.2,3.26,17-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Jun-2019 - 00:00,0.75,2.99,719.2,40.87,90.33,0.0,45.24,32.97,240.15,2.23,0.38,24.75,4.22,14.81,19.03,44.63,3.04,18-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Jun-2019 - 00:00,0.75,3.03,718.83,27.88,62.24,0.12,65.94,28.71,184.62,1.57,0.5,34.78,4.67,12.36,17.04,26.61,5.52,19-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Jun-2019 - 00:00,0.75,3.02,718.5,21.64,42.91,0.0,63.25,28.52,143.76,1.9,0.37,38.03,4.1,14.1,18.2,56.2,5.63,20-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Jun-2019 - 00:00,3.19,4.62,719.39,24.1,58.61,0.01,58.6,30.58,221.7,1.51,0.37,32.1,4.39,17.36,21.74,51.54,5.88,21-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Jun-2019 - 00:00,3.64,3.61,720.06,36.36,75.28,0.0,60.27,29.38,238.07,1.23,0.63,33.23,9.89,26.24,36.13,41.15,5.23,22-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Jun-2019 - 00:00,1.07,1.36,719.17,52.27,144.46,0.0,42.36,34.19,259.43,1.32,0.65,39.3,5.76,22.16,27.92,60.27,4.89,23-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Jun-2019 - 00:00,0.36,1.14,718.23,91.65,269.34,0.0,34.85,35.53,214.33,1.45,0.91,25.92,3.81,14.83,18.62,70.24,5.41,24-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Jun-2019 - 00:00,0.8,1.94,719.6,52.54,151.38,0.0,44.11,33.54,246.42,1.7,0.43,27.61,3.96,13.58,17.53,39.09,6.42,25-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Jun-2019 - 00:00,1.23,1.78,720.02,51.91,108.32,0.0,47.9,33.29,190.69,1.34,0.44,31.99,4.22,17.83,22.04,49.03,6.47,26-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Jun-2019 - 00:00,0.96,1.01,721.0,43.63,82.6,0.0,41.65,34.75,252.59,1.68,0.44,29.81,4.04,15.93,19.97,62.98,4.46,27-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Jun-2019 - 00:00,0.72,0.78,721.48,56.17,113.45,0.0,48.51,33.17,240.12,1.76,0.41,30.88,3.7,14.3,18.0,43.75,3.94,28-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Jun-2019 - 00:00,0.51,1.31,719.3,56.09,109.78,0.0,46.43,34.35,241.69,1.76,0.51,26.97,4.33,13.62,17.95,45.39,3.35,29-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Jun-2019 - 00:00,0.72,1.8,721.42,46.82,100.7,0.0,47.37,33.63,218.58,1.83,0.43,23.9,4.19,15.66,19.85,44.19,3.27,30-Jun-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Jun-2019 - 00:00,1.5,2.44,721.51,42.92,92.5,0.0,47.06,33.91,240.98,3.21,0.4,20.84,4.1,13.54,17.64,42.36,3.74,01-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Jul-2019 - 00:00,1.5,2.19,722.32,41.36,82.67,0.14,56.97,31.83,222.83,2.37,0.41,19.31,4.12,14.11,18.23,43.24,3.28,02-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Jul-2019 - 00:00,0.25,1.81,722.53,26.87,67.07,0.0,53.3,30.95,247.28,2.06,0.42,29.82,4.42,18.65,23.06,50.56,3.37,03-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Jul-2019 - 00:00,1.12,1.68,723.09,37.13,77.53,0.0,55.37,32.36,251.24,1.76,0.37,30.2,4.41,19.37,23.79,51.1,3.28,04-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Jul-2019 - 00:00,0.75,2.98,722.47,34.97,71.61,0.46,68.75,30.18,221.25,1.88,0.41,41.6,4.68,16.0,20.68,38.76,4.49,05-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Jul-2019 - 00:00,0.75,3.0,722.34,31.77,62.19,0.75,86.7,26.98,215.34,1.28,0.46,36.67,5.51,19.32,24.84,20.29,6.15,06-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Jul-2019 - 00:00,0.75,2.98,720.69,33.68,81.54,0.42,77.97,28.27,219.75,1.5,0.59,28.43,4.38,16.14,20.04,26.29,7.98,07-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Jul-2019 - 00:00,0.75,2.97,715.35,27.31,52.5,0.15,80.99,26.41,219.63,0.99,0.68,27.49,5.36,19.11,24.47,32.17,8.22,08-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Jul-2019 - 00:00,0.75,3.0,713.38,37.72,99.41,0.0,64.58,31.03,227.54,1.77,0.56,25.33,4.73,15.18,19.91,31.38,7.64,09-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Jul-2019 - 00:00,0.74,2.43,712.6,39.51,121.11,0.0,57.26,31.51,217.41,1.87,0.55,26.84,6.63,17.02,23.65,32.31,9.77,10-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Jul-2019 - 00:00,1.17,1.85,712.96,41.41,121.38,0.0,52.45,31.98,231.27,1.61,0.6,20.23,6.61,16.59,23.2,35.9,8.05,11-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Jul-2019 - 00:00,2.26,3.33,715.07,33.27,98.67,0.0,52.88,31.84,229.77,1.96,0.87,17.94,6.46,13.78,20.24,33.55,7.11,12-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Jul-2019 - 00:00,0.75,1.99,716.87,31.13,89.76,0.0,53.08,31.34,220.55,1.95,0.59,18.09,6.22,14.18,20.4,36.37,6.63,13-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Jul-2019 - 00:00,0.74,2.01,717.57,44.5,105.35,0.0,51.62,31.52,220.21,2.1,0.95,17.0,6.14,13.68,19.82,37.37,5.48,14-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Jul-2019 - 00:00,0.75,1.99,716.46,40.07,93.6,0.0,51.7,31.3,219.04,2.3,0.92,15.94,6.09,11.86,17.95,33.51,7.09,15-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Jul-2019 - 00:00,0.75,1.99,715.52,44.23,132.28,0.0,53.22,31.29,217.66,2.49,0.9,17.95,6.61,14.39,21.0,31.34,8.96,16-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Jul-2019 - 00:00,0.75,1.99,717.51,42.55,103.29,0.0,56.18,30.42,198.42,2.32,1.04,17.13,6.55,17.55,24.1,26.33,7.12,17-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Jul-2019 - 00:00,0.75,2.01,718.26,42.43,86.27,0.0,53.48,31.27,231.86,2.46,0.82,18.12,6.63,16.72,23.35,30.94,7.83,18-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Jul-2019 - 00:00,0.75,1.99,718.09,31.11,71.32,0.0,67.85,28.96,191.0,1.93,0.73,19.08,6.46,18.37,24.83,30.14,8.61,19-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Jul-2019 - 00:00,0.75,1.99,718.34,36.76,69.19,0.06,71.42,28.98,198.67,1.61,0.8,35.9,8.93,26.26,35.18,16.16,6.73,20-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Jul-2019 - 00:00,0.84,2.52,718.48,43.87,65.38,0.0,61.46,31.41,163.65,1.07,0.6,37.84,7.84,22.03,29.87,35.85,5.82,21-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Jul-2019 - 00:00,0.96,3.16,717.76,38.04,71.2,0.0,58.21,32.25,127.28,1.15,0.65,26.98,6.24,15.94,22.18,41.24,10.21,22-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Jul-2019 - 00:00,0.96,3.16,715.02,40.85,63.65,0.0,64.53,30.94,161.47,1.62,0.88,24.03,6.15,16.74,22.89,41.11,8.43,23-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Jul-2019 - 00:00,0.8,2.6,713.41,31.5,56.54,0.0,60.72,32.39,196.88,0.62,0.91,26.82,6.9,24.0,30.9,40.14,9.06,24-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Jul-2019 - 00:00,0.65,2.14,712.83,38.91,72.23,0.0,60.28,32.28,217.89,0.7,0.66,21.23,6.03,16.58,22.62,44.95,8.83,25-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Jul-2019 - 00:00,0.66,2.18,713.45,19.24,47.53,0.0,78.41,28.08,136.84,0.73,0.6,23.84,6.1,15.46,21.56,37.37,9.46,26-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Jul-2019 - 00:00,0.66,2.15,711.81,40.9,117.78,0.01,75.21,28.75,203.64,1.09,0.64,27.36,5.9,15.63,21.53,15.37,9.59,27-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Jul-2019 - 00:00,0.56,1.67,711.66,28.79,72.12,0.6,89.52,26.13,223.35,0.99,0.63,27.67,4.52,13.19,17.7,28.75,7.24,28-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Jul-2019 - 00:00,0.45,1.09,712.46,22.2,47.01,0.77,93.4,25.29,235.58,0.59,0.62,22.77,6.24,13.6,19.84,33.68,5.25,29-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Jul-2019 - 00:00,0.45,1.1,713.11,28.95,54.16,0.14,87.4,27.66,79.13,0.71,0.64,18.74,5.94,11.37,17.31,29.45,5.52,30-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Jul-2019 - 00:00,0.45,1.09,713.44,23.74,54.94,0.0,75.17,29.51,120.49,0.66,0.62,25.55,8.73,12.35,21.08,21.86,5.53,31-Jul-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Jul-2019 - 00:00,0.66,1.56,712.43,28.75,57.44,0.0,80.39,29.29,177.06,1.47,0.71,26.5,6.35,14.27,20.62,28.7,5.39,01-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Aug-2019 - 00:00,0.89,2.06,711.09,20.39,42.99,1.07,88.05,27.34,241.21,2.26,0.93,27.67,6.72,14.5,21.21,26.14,5.27,02-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Aug-2019 - 00:00,0.89,2.06,709.4,36.31,68.43,0.02,84.83,27.64,234.84,2.64,0.89,27.45,6.57,16.91,23.48,15.52,5.44,03-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Aug-2019 - 00:00,0.88,2.08,708.76,20.81,48.39,0.01,81.36,28.45,237.31,1.65,0.82,74.92,8.38,10.73,19.1,23.19,5.88,04-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Aug-2019 - 00:00,0.89,2.05,708.39,31.16,58.64,0.01,80.47,29.13,262.19,1.78,0.92,22.0,7.54,12.68,20.21,24.22,5.7,05-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Aug-2019 - 00:00,0.88,2.05,707.64,30.54,67.32,0.04,79.63,28.94,242.26,1.78,0.71,25.89,6.32,14.27,20.59,24.65,7.38,06-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Aug-2019 - 00:00,0.89,2.03,707.73,27.31,57.83,0.29,82.28,27.78,220.39,1.85,0.59,27.84,6.5,15.68,22.18,20.32,6.63,07-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Aug-2019 - 00:00,0.87,2.11,708.89,27.78,56.9,0.1,89.44,26.6,236.29,1.18,0.88,20.04,7.37,15.48,22.81,18.14,5.24,08-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Aug-2019 - 00:00,0.97,3.27,710.49,20.8,52.14,0.0,78.8,29.1,129.88,1.68,0.92,21.22,6.07,13.11,19.2,22.93,5.35,09-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Aug-2019 - 00:00,0.98,3.87,710.54,18.37,38.66,0.04,78.4,28.39,56.93,2.66,0.94,24.27,5.86,9.12,14.02,30.24,6.32,10-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Aug-2019 - 00:00,1.06,4.12,711.66,20.76,45.54,0.06,88.05,26.79,127.16,2.52,1.36,15.4,5.61,5.57,11.18,18.8,5.46,11-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Aug-2019 - 00:00,1.05,4.11,714.79,23.42,51.44,0.0,82.06,27.48,169.68,2.49,1.03,11.17,6.19,6.8,12.98,18.97,5.0,12-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Aug-2019 - 00:00,1.06,4.11,716.08,31.14,67.26,0.0,77.97,27.71,240.37,2.95,0.85,20.2,7.33,31.77,39.1,24.73,5.55,13-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Aug-2019 - 00:00,1.06,4.15,716.1,37.89,85.13,0.0,70.77,28.95,259.9,3.22,1.08,23.06,6.91,31.11,38.02,33.89,5.72,14-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Aug-2019 - 00:00,1.05,4.11,716.36,34.31,72.39,0.03,82.58,27.16,251.94,2.63,1.41,22.48,7.15,22.09,29.23,24.99,5.15,15-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Aug-2019 - 00:00,1.05,4.12,715.61,20.82,37.08,0.15,90.27,26.21,251.32,2.13,2.16,21.92,6.7,18.59,25.29,21.49,5.34,16-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Aug-2019 - 00:00,1.06,4.15,713.78,14.92,24.62,0.52,92.1,26.0,261.46,2.5,1.85,21.48,6.68,16.83,23.52,18.05,5.46,17-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Aug-2019 - 00:00,1.06,4.11,714.27,13.27,30.29,1.01,95.02,24.85,232.62,3.18,1.22,24.11,5.7,16.81,22.36,15.36,5.52,18-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Aug-2019 - 00:00,1.06,4.11,717.23,23.65,49.22,0.0,82.37,27.29,241.42,3.24,1.16,19.72,4.48,15.08,19.56,18.83,5.66,19-Aug-2019 - 00:00,"Civil Lines,  Ajmer - RSPCB"
