from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,12.31,994.94,538.78,361.54,54.58,172.78,136.45,0.84,10.66,100.49,45.85,149.66,160.21,71.8,2.23,34.27,12.23,02-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
02-Jan-2019 - 00:00,13.85,997.41,586.3,405.96,56.63,169.01,187.16,0.83,14.26,117.73,56.28,101.48,126.17,81.66,4.22,28.83,13.95,03-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
03-Jan-2019 - 00:00,13.72,998.46,503.33,360.71,52.68,179.36,110.91,1.18,11.22,105.23,51.45,58.99,82.57,64.83,2.3,34.04,10.34,04-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
04-Jan-2019 - 00:00,11.89,997.42,405.17,271.92,61.26,147.95,136.27,1.09,8.02,83.39,45.06,30.2,50.95,49.49,1.78,20.19,8.02,05-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
05-Jan-2019 - 00:00,15.31,995.74,506.6,325.86,32.36,175.78,293.24,1.25,13.22,100.11,52.42,29.42,60.13,67.96,2.1,33.31,18.03,06-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
06-Jan-2019 - 00:00,14.25,995.3,250.3,191.99,44.96,146.02,173.25,1.35,7.79,70.22,50.68,6.44,28.66,44.0,1.19,26.75,21.7,07-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
07-Jan-2019 - 00:00,13.24,997.01,253.61,184.67,60.14,185.44,145.81,1.25,5.56,72.52,48.16,14.77,36.46,45.92,1.35,22.17,12.09,08-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
08-Jan-2019 - 00:00,13.92,995.16,230.76,165.03,37.29,188.19,110.21,1.38,4.45,64.06,41.63,10.45,34.44,48.75,1.29,25.98,12.0,09-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
09-Jan-2019 - 00:00,14.22,994.39,227.12,152.71,27.31,194.11,111.82,1.54,4.05,58.61,36.84,6.85,32.72,51.02,1.31,31.41,12.58,10-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
10-Jan-2019 - 00:00,13.61,994.14,240.42,171.46,29.24,190.85,102.89,1.1,5.41,62.81,37.62,36.21,59.53,56.42,1.86,30.82,12.59,11-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
11-Jan-2019 - 00:00,12.38,995.69,360.75,281.52,59.11,172.43,135.62,0.69,9.54,82.46,42.26,78.17,100.31,68.78,3.48,31.58,14.45,12-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
12-Jan-2019 - 00:00,13.73,994.75,340.62,297.38,54.55,165.01,156.57,0.7,9.34,77.09,45.47,75.86,109.61,89.81,3.92,33.39,10.75,13-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
13-Jan-2019 - 00:00,15.75,996.7,326.79,292.79,43.06,177.48,176.51,1.26,8.64,84.06,49.44,30.8,54.82,55.86,3.36,40.56,13.25,14-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
14-Jan-2019 - 00:00,13.6,996.47,133.01,90.4,9.27,197.05,116.57,1.98,3.01,49.12,30.58,2.11,21.99,38.1,1.61,41.32,9.75,15-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
15-Jan-2019 - 00:00,11.87,995.43,186.19,156.19,7.04,171.83,111.1,1.45,4.55,62.61,29.67,39.2,60.32,53.33,2.14,32.78,13.47,16-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
16-Jan-2019 - 00:00,11.97,995.35,360.45,352.91,49.27,169.0,178.18,0.7,12.69,97.36,39.25,118.67,140.95,83.08,4.14,26.52,20.05,17-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
17-Jan-2019 - 00:00,12.98,994.26,293.77,340.89,40.98,186.41,131.53,1.06,9.44,81.42,40.42,40.21,63.24,57.26,3.52,39.51,11.56,18-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
18-Jan-2019 - 00:00,13.01,994.62,224.62,260.43,47.53,192.82,115.06,1.07,6.93,65.75,40.83,54.47,81.54,69.82,1.89,28.36,12.28,19-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
19-Jan-2019 - 00:00,14.58,994.32,,281.47,48.4,189.74,186.63,0.89,9.01,84.84,38.25,127.04,144.78,77.46,1.77,35.27,13.4,20-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
20-Jan-2019 - 00:00,17.43,993.33,490.08,405.21,47.16,183.85,187.78,0.73,16.18,130.76,55.93,174.73,201.97,111.92,5.08,43.18,17.76,21-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
21-Jan-2019 - 00:00,17.15,990.61,341.32,224.84,30.33,98.35,255.51,1.87,12.99,94.75,57.4,60.17,81.44,60.87,2.22,38.73,19.36,22-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
22-Jan-2019 - 00:00,14.88,991.4,,59.7,69.75,113.52,244.39,1.92,5.19,43.67,38.68,2.65,21.5,36.45,1.12,27.0,8.88,23-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
23-Jan-2019 - 00:00,13.47,994.91,,122.83,67.19,198.22,114.73,1.14,5.23,46.83,32.79,28.46,45.94,42.77,1.35,22.11,10.93,24-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
24-Jan-2019 - 00:00,14.97,996.94,,109.86,37.49,163.43,140.22,1.52,5.76,38.48,32.39,9.48,25.44,33.31,0.86,28.73,9.38,25-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
25-Jan-2019 - 00:00,13.86,997.1,48.0,71.51,39.97,188.44,131.47,1.68,3.09,32.26,26.66,2.35,18.77,31.88,0.71,34.51,11.02,26-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
26-Jan-2019 - 00:00,12.72,999.59,,94.0,25.79,203.39,117.3,1.77,2.54,47.21,35.03,2.19,18.31,31.06,0.78,40.37,13.99,27-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
27-Jan-2019 - 00:00,11.7,999.55,,143.5,8.96,189.74,97.53,1.66,3.12,49.6,37.89,4.31,25.24,40.84,0.8,30.02,14.1,28-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
28-Jan-2019 - 00:00,12.44,999.2,,122.25,0.53,203.03,101.9,1.77,3.0,46.98,36.8,4.96,25.07,39.54,0.8,39.54,12.75,29-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
29-Jan-2019 - 00:00,12.8,997.67,218.27,152.71,0.65,204.62,101.76,1.49,3.68,56.8,40.31,19.26,41.53,48.54,1.11,33.03,16.47,30-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
30-Jan-2019 - 00:00,13.36,996.38,324.12,242.19,8.51,180.43,107.67,1.15,6.02,65.46,49.95,49.23,72.23,60.34,1.88,34.29,21.84,31-Jan-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
31-Jan-2019 - 00:00,15.49,995.11,329.17,262.38,20.31,165.82,240.15,1.54,12.49,86.35,57.97,42.3,68.69,64.3,2.01,31.71,29.81,01-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
01-Feb-2019 - 00:00,15.67,995.76,312.58,222.25,23.99,169.71,170.8,1.43,7.86,69.14,62.79,9.88,33.97,48.72,1.23,31.38,16.8,02-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
02-Feb-2019 - 00:00,12.34,996.12,265.67,187.58,71.65,153.02,79.8,1.7,3.87,53.82,47.18,4.64,23.62,37.3,0.94,23.99,6.42,03-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
03-Feb-2019 - 00:00,13.17,997.11,209.08,129.38,70.63,172.04,121.53,1.39,3.97,55.16,39.84,29.46,43.47,36.58,1.22,23.88,7.09,04-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
04-Feb-2019 - 00:00,13.92,997.53,260.42,150.62,60.47,197.66,136.5,0.99,6.12,62.21,40.06,79.02,93.61,54.88,1.97,33.97,9.24,05-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
05-Feb-2019 - 00:00,16.65,994.82,371.1,291.0,46.0,190.28,222.46,0.94,11.95,99.86,52.05,108.77,128.89,75.59,3.24,38.5,19.42,06-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
06-Feb-2019 - 00:00,18.59,989.75,301.25,192.46,42.05,182.13,268.09,1.64,10.21,79.25,59.34,50.55,72.33,58.49,1.73,37.61,14.04,07-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
07-Feb-2019 - 00:00,16.6,987.99,107.17,67.04,58.12,46.72,251.64,2.55,6.34,53.02,41.56,3.88,23.52,38.26,0.71,29.83,7.32,08-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
08-Feb-2019 - 00:00,13.85,993.88,129.62,62.54,40.84,208.25,93.48,1.48,2.61,48.39,29.78,13.92,33.04,40.8,0.7,29.26,8.27,09-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
09-Feb-2019 - 00:00,13.98,996.08,153.04,80.83,20.83,210.91,89.86,1.84,2.19,42.2,29.68,9.95,29.9,40.97,0.56,32.0,9.48,10-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
10-Feb-2019 - 00:00,14.24,997.53,231.21,126.83,35.26,196.55,94.97,1.26,3.17,50.57,33.83,34.44,57.14,54.64,1.15,30.02,13.56,11-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
11-Feb-2019 - 00:00,14.34,997.96,252.08,136.46,46.77,199.84,143.22,1.0,3.73,54.96,36.79,66.98,82.47,52.4,1.39,33.58,12.21,12-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
12-Feb-2019 - 00:00,16.26,998.07,337.0,206.75,44.73,187.06,146.75,0.95,4.97,69.22,44.28,60.29,81.92,61.62,1.59,39.63,18.29,13-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
13-Feb-2019 - 00:00,18.06,997.06,345.04,207.42,45.0,185.3,247.7,0.91,7.16,62.16,52.09,74.25,106.24,85.94,2.22,41.62,15.38,14-Feb-2019 - 00:00,"Sonia Vihar, Delhi - DPCC"
