from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
28-Jan-2019 - 00:00,12.14,998.6,304.21,123.07,63.2,135.42,47.44,101.61,2.22,0.5,2.33,36.12,15.91,47.45,38.25,36.44,26.58,29-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
29-Jan-2019 - 00:00,13.09,997.09,381.35,150.42,59.19,129.46,58.63,94.4,1.79,0.53,2.89,38.13,31.83,56.12,55.69,33.14,27.22,30-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
30-Jan-2019 - 00:00,13.63,995.71,430.98,220.1,62.48,92.06,93.63,97.57,0.84,0.64,4.86,46.56,78.35,66.15,99.11,25.62,28.88,31-Jan-2019 - 00:00,"Mundka, Delhi - DPCC"
31-Jan-2019 - 00:00,15.64,994.21,307.92,188.02,57.71,62.12,135.32,272.09,1.45,0.74,8.83,52.19,93.94,74.03,115.82,19.16,30.31,01-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
01-Feb-2019 - 00:00,15.58,995.15,240.67,120.0,73.47,84.3,66.08,193.69,1.78,0.68,5.3,57.06,25.79,62.5,54.28,14.58,30.02,02-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
02-Feb-2019 - 00:00,12.56,995.54,260.15,121.69,90.35,66.39,59.6,102.68,2.18,0.6,3.32,45.79,18.58,44.24,38.66,22.44,29.08,03-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
03-Feb-2019 - 00:00,13.67,996.53,159.44,79.49,87.58,78.96,49.7,82.81,1.37,0.63,2.79,41.1,18.57,42.85,37.93,18.77,28.02,04-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
04-Feb-2019 - 00:00,14.05,996.96,280.56,208.08,77.21,101.1,85.14,87.0,0.86,0.68,4.23,34.5,54.64,53.01,72.83,20.37,28.46,05-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
05-Feb-2019 - 00:00,17.67,994.0,554.87,348.01,67.09,80.33,183.44,271.45,0.81,0.78,10.15,55.77,169.31,88.01,184.97,30.45,32.85,06-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
06-Feb-2019 - 00:00,19.49,988.84,296.83,181.25,77.69,77.77,71.2,307.38,1.7,0.69,5.32,57.27,45.21,64.56,71.18,19.7,29.97,07-Feb-2019 - 00:00,"Mundka, Delhi - DPCC"
