from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,O Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
03-Jun-2019 - 00:00,28.63,39.56,14.14,1.92,16.28,1.53,0.65,0.34,110.32,,,,,,,31.73,62.56,0.62,137.13,-0.05,,312.15,04-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
04-Jun-2019 - 00:00,24.09,43.41,10.53,3.0,13.54,1.31,0.85,0.29,53.37,2.49,101.03,4.85,3.73,,2.75,30.45,73.63,0.84,123.46,-0.07,,264.52,05-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
05-Jun-2019 - 00:00,26.82,33.82,15.21,3.89,19.08,1.92,1.01,0.34,36.84,2.6,177.85,10.92,5.8,,3.92,27.45,89.06,0.7,120.78,-0.05,999.52,161.09,06-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
06-Jun-2019 - 00:00,16.76,26.98,17.16,4.55,21.79,2.3,0.98,0.38,40.86,12.01,125.28,16.23,8.15,,5.28,28.51,85.18,0.46,110.82,-0.04,,256.82,07-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
07-Jun-2019 - 00:00,17.49,28.77,15.49,4.61,20.18,2.09,1.16,0.38,51.34,27.93,41.99,23.7,9.11,2.19,8.18,28.45,84.27,0.48,88.71,-0.04,,210.97,08-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
08-Jun-2019 - 00:00,13.8,27.65,13.12,4.54,17.68,1.81,1.3,0.35,44.43,6.11,,,2.36,3.0,,,76.6,0.42,88.2,-0.03,,299.52,09-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
09-Jun-2019 - 00:00,32.88,43.87,8.4,3.73,12.07,1.19,1.36,0.38,53.7,3.29,,,1.79,2.25,,,76.33,0.73,168.44,-0.04,999.04,277.25,10-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
10-Jun-2019 - 00:00,37.43,57.57,11.7,4.2,15.74,1.55,0.84,0.34,55.38,2.36,,,1.53,1.6,,,79.37,1.06,109.71,-0.07,997.99,252.56,11-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
11-Jun-2019 - 00:00,32.45,57.89,13.34,4.18,17.37,1.81,1.04,0.35,59.0,3.06,,,1.69,1.77,,,75.7,1.07,106.24,-0.08,997.77,290.16,12-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
12-Jun-2019 - 00:00,33.29,61.58,11.62,4.33,15.64,1.65,5.11,0.35,52.93,2.25,,,1.43,1.45,,,78.88,0.92,116.38,-0.08,997.98,273.05,13-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
13-Jun-2019 - 00:00,42.42,58.23,15.38,4.01,19.68,1.96,1.55,0.46,70.35,3.25,,,2.72,3.11,,,77.11,0.46,143.62,-0.02,997.17,288.29,14-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
14-Jun-2019 - 00:00,53.12,70.22,25.19,4.21,29.51,2.7,1.14,0.5,60.92,4.97,,,12.37,18.6,,,78.44,0.54,148.86,-0.01,995.86,261.58,15-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
15-Jun-2019 - 00:00,26.61,44.94,14.72,4.34,19.05,1.82,1.02,0.38,34.65,3.09,,,10.89,12.6,,,82.74,0.9,106.6,-0.05,996.41,201.56,16-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
16-Jun-2019 - 00:00,28.62,52.06,8.87,3.99,12.85,1.23,1.02,0.38,40.27,2.79,,,3.17,5.74,,,74.72,0.84,114.53,-0.05,996.4,295.38,17-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
17-Jun-2019 - 00:00,50.19,94.63,18.06,4.28,22.3,2.18,4.01,0.5,38.3,3.92,,,44.36,4.85,,,77.94,0.69,153.88,-0.02,996.64,182.77,18-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
18-Jun-2019 - 00:00,48.43,78.6,18.42,6.5,24.4,2.6,2.16,0.48,24.33,57.29,,,68.41,4.75,,,85.26,0.63,108.31,-0.03,997.14,228.33,19-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
19-Jun-2019 - 00:00,48.98,86.19,15.91,4.11,20.03,4.4,3.5,0.46,43.38,71.07,,,22.93,4.6,,,77.25,0.45,103.7,-0.03,997.12,348.01,20-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
20-Jun-2019 - 00:00,24.57,43.28,15.33,3.67,19.0,10.03,1.34,0.36,18.45,132.86,,,17.47,7.78,,,75.17,0.74,100.28,-0.05,998.37,219.83,21-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
21-Jun-2019 - 00:00,14.24,35.34,15.06,3.96,18.97,14.13,1.44,0.39,13.77,140.47,,,19.59,12.09,,,87.14,0.48,119.08,-0.05,998.37,188.1,22-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
22-Jun-2019 - 00:00,19.33,36.05,12.2,5.58,17.8,14.71,2.08,0.41,15.46,157.88,,,25.09,20.54,,,82.75,0.78,107.55,-0.04,,267.19,23-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
23-Jun-2019 - 00:00,15.77,34.99,7.97,3.36,11.3,8.88,1.93,0.37,13.94,132.8,,,21.7,20.56,,,77.74,0.9,108.96,-0.05,,274.35,24-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
24-Jun-2019 - 00:00,23.1,46.5,8.09,3.17,11.26,9.11,2.1,0.3,24.7,75.35,,,13.24,13.39,,,75.74,0.8,119.45,-0.04,,267.73,25-Jun-2019 - 00:00,"Jadavpur, Kolkata - WBPCB"
