from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,RH,SR,RF,WS,WD,to date,station
19-Jan-2019 - 00:00,45.26,109.15,106.45,27.4,19.22,1.17,15.84,104.59,,12.05,14.24,8.29,3.56,6.44,,73.07,268.08,0.0,0.58,233.62,20-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
20-Jan-2019 - 00:00,46.37,91.87,96.29,56.27,42.71,1.42,16.59,157.64,,13.54,16.84,6.24,7.65,11.94,,69.97,387.23,0.0,0.33,159.64,21-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
21-Jan-2019 - 00:00,22.27,31.89,34.18,65.5,20.86,0.79,31.15,103.39,222.48,7.25,13.19,1.52,1.73,2.75,,67.52,415.21,0.0,1.05,97.03,22-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
22-Jan-2019 - 00:00,12.98,66.73,57.93,117.74,9.5,0.65,21.98,19.48,57.1,1.79,15.98,0.56,0.55,0.87,,84.35,138.33,0.0,0.75,105.44,23-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
23-Jan-2019 - 00:00,41.66,109.54,115.72,108.61,7.6,0.55,12.19,48.06,90.07,4.03,17.58,1.64,2.65,3.28,,69.87,498.52,0.0,0.33,259.02,24-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
24-Jan-2019 - 00:00,32.12,73.87,101.42,83.91,16.3,0.55,13.23,59.87,96.8,3.87,17.17,1.47,2.42,3.05,,59.82,490.53,0.0,0.54,217.64,25-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
25-Jan-2019 - 00:00,28.45,51.62,77.26,74.5,26.66,0.54,12.34,16.18,189.61,2.28,16.83,0.82,0.31,0.53,,62.56,477.47,0.0,0.59,201.46,26-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
26-Jan-2019 - 00:00,,,,,,,,0.0,,,,,0.0,0.0,,,,0.0,,,27-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
27-Jan-2019 - 00:00,5.7,29.63,30.82,27.37,21.7,0.41,24.56,37.17,106.91,3.12,13.1,5.93,0.46,0.91,,61.15,384.09,0.0,1.26,286.72,28-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
28-Jan-2019 - 00:00,17.04,31.66,25.2,24.08,25.19,0.46,20.31,64.03,94.05,4.27,10.9,12.65,0.8,0.92,,61.03,443.74,0.0,1.16,267.72,29-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
29-Jan-2019 - 00:00,4.98,31.57,31.39,25.56,23.41,0.35,17.51,62.07,91.07,3.84,12.46,2.38,1.22,2.38,,64.35,380.62,0.0,1.0,276.67,30-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
30-Jan-2019 - 00:00,7.47,22.8,18.21,12.38,32.22,0.41,12.79,82.12,144.36,4.73,7.8,1.47,0.74,1.15,,76.56,175.28,0.0,0.42,205.08,31-Jan-2019 - 00:00,"Sector-18, Panipat - HSPCB"
31-Jan-2019 - 00:00,50.23,24.59,40.34,27.62,36.24,0.44,26.49,112.52,161.55,5.99,2.62,1.25,0.06,0.09,,68.43,179.09,0.0,0.56,98.66,01-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
01-Feb-2019 - 00:00,52.41,47.91,65.2,93.8,13.87,0.46,18.53,107.12,140.3,7.47,10.78,11.09,13.22,10.83,,79.98,161.58,0.0,0.89,240.76,02-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
02-Feb-2019 - 00:00,38.48,65.16,69.96,98.91,24.08,0.42,8.21,98.92,121.89,5.38,59.66,6.93,12.27,11.07,,94.4,86.56,0.0,0.89,283.18,03-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
03-Feb-2019 - 00:00,45.8,49.17,60.96,55.79,26.36,0.37,14.21,78.35,97.82,5.63,34.34,3.77,4.84,5.8,,89.27,225.1,0.0,0.86,257.9,04-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
04-Feb-2019 - 00:00,56.66,93.45,102.13,49.73,15.54,0.52,12.58,95.31,131.47,8.28,43.8,4.28,5.2,6.53,,86.4,366.9,0.0,0.58,246.9,05-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
05-Feb-2019 - 00:00,46.06,112.55,111.91,82.36,18.6,0.53,18.6,113.87,128.92,8.81,20.06,4.61,4.86,7.48,,81.76,207.54,0.0,0.35,107.46,06-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
06-Feb-2019 - 00:00,37.29,28.34,41.33,68.51,21.64,0.92,29.9,93.74,142.63,7.98,17.06,4.1,4.48,5.76,,81.2,145.87,0.0,0.92,91.86,07-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
07-Feb-2019 - 00:00,23.05,24.28,41.31,73.03,13.88,0.77,24.16,68.46,100.0,3.71,21.98,1.56,1.5,2.12,,90.73,39.48,0.0,1.31,117.25,08-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
08-Feb-2019 - 00:00,10.23,44.23,39.84,93.73,15.08,0.48,17.43,42.74,79.89,2.96,13.62,11.28,1.48,1.99,,73.28,186.92,0.0,1.01,247.07,09-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
09-Feb-2019 - 00:00,33.13,53.54,59.1,142.34,18.83,0.47,18.14,39.01,73.12,2.48,16.24,2.58,2.04,2.77,,73.83,224.34,0.0,1.44,281.19,10-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
10-Feb-2019 - 00:00,58.47,70.69,87.23,215.04,27.59,0.64,19.13,53.35,92.85,5.01,20.23,1.98,2.4,3.39,,73.98,186.03,0.0,0.84,280.04,11-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
11-Feb-2019 - 00:00,61.57,87.38,102.7,221.42,25.01,0.77,17.53,65.16,107.48,6.9,24.96,2.25,2.51,3.45,,73.79,184.94,0.0,0.6,266.91,12-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
12-Feb-2019 - 00:00,54.15,82.5,89.31,155.73,22.89,0.88,18.94,88.33,127.94,6.27,41.16,3.64,2.93,4.2,,76.04,141.72,0.0,0.45,249.89,13-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
13-Feb-2019 - 00:00,42.17,94.25,94.37,125.16,15.72,1.08,27.55,135.81,205.23,7.13,48.22,4.11,4.45,6.38,,76.6,126.63,0.0,0.38,159.48,14-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
14-Feb-2019 - 00:00,19.99,30.89,30.64,84.3,5.59,0.95,22.19,114.11,166.53,6.12,35.07,2.59,2.44,3.46,,87.34,67.28,0.0,0.98,94.39,15-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
15-Feb-2019 - 00:00,21.64,30.01,31.37,73.68,11.2,0.65,18.31,67.49,102.54,4.98,18.73,2.6,1.99,2.66,,90.01,106.66,0.0,0.96,191.82,16-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
16-Feb-2019 - 00:00,20.13,44.33,42.61,97.1,7.94,0.57,13.52,41.0,80.64,3.17,17.62,1.56,1.61,2.36,,92.24,83.62,0.0,0.93,284.18,17-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
17-Feb-2019 - 00:00,27.91,51.25,52.23,108.25,11.12,0.54,11.17,32.7,73.53,3.92,54.72,16.1,1.78,2.41,,86.74,25.28,0.0,0.92,257.38,18-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
18-Feb-2019 - 00:00,24.42,33.68,33.67,73.8,14.38,0.54,24.71,44.24,98.6,3.83,28.85,2.33,1.83,3.03,,72.04,86.97,0.0,0.53,115.59,19-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
19-Feb-2019 - 00:00,30.03,33.49,39.1,86.57,15.16,0.86,24.1,65.96,134.57,5.73,23.79,2.0,2.28,3.07,,86.36,135.68,0.0,0.56,128.63,20-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
20-Feb-2019 - 00:00,18.46,43.39,40.99,107.28,12.31,0.56,18.71,47.25,104.19,4.02,20.78,1.88,1.87,3.05,,88.43,59.91,0.0,0.66,118.6,21-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
21-Feb-2019 - 00:00,16.91,45.98,42.25,103.4,12.23,0.45,24.8,30.77,78.12,3.14,22.43,2.0,1.69,3.09,,68.72,201.13,0.0,0.86,128.27,22-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
22-Feb-2019 - 00:00,17.8,54.66,49.67,114.99,9.58,0.44,17.16,33.3,76.14,2.69,9.18,1.04,1.1,1.67,,82.73,223.67,0.0,1.71,301.49,23-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
23-Feb-2019 - 00:00,27.5,61.09,59.91,129.19,14.79,0.35,22.87,20.9,50.22,2.64,10.24,1.11,0.98,2.01,,69.96,365.89,0.0,1.75,295.42,24-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
24-Feb-2019 - 00:00,26.87,70.23,66.91,150.02,17.07,0.48,24.25,30.85,69.34,2.63,21.72,1.11,0.92,1.73,,70.8,567.06,0.0,1.02,272.84,25-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
25-Feb-2019 - 00:00,25.96,99.62,89.94,160.89,12.04,0.61,35.14,50.95,119.42,3.76,19.35,1.85,1.44,3.02,,64.47,418.75,0.0,0.56,189.89,26-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
26-Feb-2019 - 00:00,22.96,37.45,38.58,103.61,15.72,0.35,32.78,28.12,67.68,1.82,7.36,0.93,0.84,1.34,,65.84,172.65,0.0,0.84,131.89,27-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
27-Feb-2019 - 00:00,30.6,44.62,48.17,71.57,12.22,0.27,22.86,20.89,48.18,1.89,6.4,0.7,0.51,1.04,,81.18,208.94,0.0,0.83,258.74,28-Feb-2019 - 00:00,"Sector-18, Panipat - HSPCB"
28-Feb-2019 - 00:00,37.55,83.4,83.21,50.92,14.22,0.52,16.82,35.35,59.48,3.97,11.63,1.88,1.58,3.2,,75.33,205.62,0.0,1.03,266.39,01-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
01-Mar-2019 - 00:00,42.57,66.68,71.95,43.88,16.72,0.66,16.88,42.03,70.72,7.17,11.8,1.66,1.42,2.71,,73.56,214.52,0.0,0.84,280.5,02-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
02-Mar-2019 - 00:00,34.94,73.13,73.45,71.17,18.2,0.64,14.29,56.95,91.12,5.19,33.2,2.75,2.54,5.15,,84.13,51.87,0.0,0.58,170.26,03-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
03-Mar-2019 - 00:00,27.28,52.48,52.89,58.41,14.31,0.55,20.22,39.31,61.96,2.94,12.41,1.19,1.48,2.04,,87.17,169.17,0.0,0.59,157.67,04-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
04-Mar-2019 - 00:00,28.8,77.33,73.62,48.83,22.16,0.53,16.13,40.78,53.86,2.37,26.37,1.25,1.42,2.19,,85.26,196.21,0.0,0.93,288.35,05-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
05-Mar-2019 - 00:00,35.79,55.41,59.67,54.46,15.11,0.43,16.97,29.3,45.92,3.08,11.95,1.26,1.17,1.89,,80.42,245.04,0.0,1.1,264.74,06-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
06-Mar-2019 - 00:00,42.68,54.29,62.31,43.99,16.16,0.49,19.9,33.61,52.26,3.36,14.91,1.27,0.96,1.77,,74.04,278.51,0.0,1.11,268.26,07-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
07-Mar-2019 - 00:00,46.23,53.84,65.2,45.59,15.56,0.48,25.77,35.41,80.58,4.19,23.65,2.5,2.24,3.34,,66.03,262.25,0.0,0.99,270.42,08-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
08-Mar-2019 - 00:00,39.62,55.6,65.22,44.17,24.15,0.38,28.42,37.46,140.69,2.6,34.15,1.38,1.66,1.88,,67.49,213.37,0.0,0.81,262.11,09-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
09-Mar-2019 - 00:00,43.61,60.09,70.2,48.98,22.58,0.36,24.93,39.95,104.93,3.14,17.08,1.73,1.81,2.73,,53.11,266.14,0.0,1.29,298.19,10-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
10-Mar-2019 - 00:00,70.39,106.26,120.5,106.79,26.3,0.37,32.01,33.35,94.85,4.54,23.18,1.69,0.92,1.6,,60.3,267.97,0.0,0.99,224.52,11-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
11-Mar-2019 - 00:00,48.2,72.38,81.62,86.59,22.61,0.45,43.19,46.53,128.42,3.0,13.24,1.51,1.15,0.93,,70.19,122.29,0.0,1.0,136.93,12-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
12-Mar-2019 - 00:00,44.29,42.04,55.24,46.6,21.24,0.34,33.42,33.11,71.89,2.75,14.65,0.9,0.95,1.28,,58.64,245.72,0.0,0.93,209.79,13-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
13-Mar-2019 - 00:00,57.26,46.97,65.98,47.33,28.09,0.56,19.53,56.76,160.54,5.36,21.27,2.74,3.42,4.29,,68.5,106.12,0.0,0.56,230.15,14-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
14-Mar-2019 - 00:00,52.47,68.04,80.34,57.87,19.29,0.48,15.37,46.52,108.87,3.97,20.67,2.94,3.44,4.5,,85.43,78.81,0.04,0.76,227.87,15-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
15-Mar-2019 - 00:00,52.47,67.29,79.77,61.17,15.99,0.36,24.61,29.97,68.7,2.72,22.18,2.36,3.31,4.14,,75.85,275.52,0.0,1.17,296.73,16-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
16-Mar-2019 - 00:00,54.76,55.35,71.39,66.68,20.98,0.35,29.74,30.43,99.26,2.9,30.91,2.41,2.16,3.71,,71.55,222.07,0.0,1.35,276.98,17-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
17-Mar-2019 - 00:00,60.74,57.08,75.91,63.54,30.14,0.37,33.65,34.37,112.24,3.63,36.03,2.91,2.6,4.23,,60.5,272.91,0.0,0.97,267.19,18-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
18-Mar-2019 - 00:00,64.48,58.57,79.05,64.45,21.83,0.5,34.29,43.3,136.74,4.48,40.33,2.6,2.47,3.73,,64.67,247.86,0.0,1.02,259.53,19-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
19-Mar-2019 - 00:00,59.41,57.28,75.35,61.14,24.41,0.55,36.63,48.28,155.1,5.89,36.0,3.95,3.86,5.77,,63.73,270.16,0.0,0.77,223.16,20-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
20-Mar-2019 - 00:00,47.34,44.32,58.67,64.92,21.36,0.74,45.54,60.87,162.31,7.11,22.75,2.91,2.86,4.01,,58.07,213.46,0.0,0.95,147.26,21-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
21-Mar-2019 - 00:00,42.05,51.45,61.61,72.04,12.65,0.3,28.96,35.35,82.35,2.81,18.53,1.48,1.43,2.0,,52.77,215.05,0.0,0.66,217.25,22-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
22-Mar-2019 - 00:00,44.29,39.77,53.43,57.12,17.95,0.14,40.46,21.38,58.41,1.85,12.6,1.47,1.21,2.14,,51.79,268.21,0.0,1.71,298.6,23-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
23-Mar-2019 - 00:00,52.18,41.4,58.86,56.48,22.69,0.32,43.09,25.74,64.63,3.33,17.36,2.0,1.89,3.06,,64.42,296.18,0.0,1.93,283.99,24-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
24-Mar-2019 - 00:00,51.01,55.05,69.2,67.41,14.72,0.37,25.95,28.48,69.55,2.49,13.51,1.67,1.54,2.42,,,260.85,0.0,1.66,296.6,25-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
25-Mar-2019 - 00:00,48.14,59.01,70.87,63.24,17.5,0.53,18.97,34.41,78.42,3.7,12.44,2.22,1.84,3.09,,78.91,228.19,0.0,1.25,300.8,26-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
26-Mar-2019 - 00:00,53.18,54.99,70.25,60.03,25.0,0.46,27.7,39.34,90.67,4.88,15.62,2.07,2.2,3.15,,68.63,285.93,0.0,1.39,269.51,27-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
27-Mar-2019 - 00:00,64.46,69.98,88.25,62.58,24.48,0.56,28.46,39.66,106.29,5.76,18.81,2.6,2.56,3.8,,63.46,216.58,0.0,1.17,248.03,28-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
28-Mar-2019 - 00:00,57.59,55.33,72.85,62.08,20.97,0.57,35.67,47.05,171.41,5.86,19.87,2.97,2.59,3.93,,61.59,262.5,0.0,0.86,266.65,29-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
29-Mar-2019 - 00:00,57.7,37.91,58.94,46.19,23.06,0.61,30.63,53.43,138.43,5.05,61.59,2.73,2.91,3.99,,63.83,245.62,0.0,0.78,246.94,30-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
30-Mar-2019 - 00:00,54.46,39.6,58.61,46.64,23.63,0.48,33.77,59.44,150.34,5.22,17.14,2.58,3.09,3.76,,62.79,250.37,0.0,0.91,272.12,31-Mar-2019 - 00:00,"Sector-18, Panipat - HSPCB"
31-Mar-2019 - 00:00,41.99,26.31,40.44,40.06,11.75,0.31,35.86,35.56,98.78,2.46,12.34,1.91,1.76,2.8,,49.09,256.4,0.0,1.73,296.91,01-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
01-Apr-2019 - 00:00,37.42,18.49,32.75,26.07,17.27,0.31,39.03,26.31,85.46,2.79,15.7,1.97,1.85,2.84,,46.82,243.45,0.0,1.74,264.96,02-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
02-Apr-2019 - 00:00,39.28,22.21,36.34,32.6,18.67,0.45,43.73,35.84,130.46,4.45,36.61,1.73,2.24,2.99,,51.16,271.43,0.0,0.87,199.56,03-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
03-Apr-2019 - 00:00,50.8,28.45,47.77,31.38,24.92,0.53,39.73,27.86,107.24,4.0,18.58,1.58,2.44,3.9,,47.74,272.15,0.0,1.11,255.35,04-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
04-Apr-2019 - 00:00,54.21,35.28,55.02,37.86,15.77,0.66,44.17,40.76,148.69,5.07,23.61,2.03,3.04,5.05,,46.24,272.05,0.0,0.69,205.91,05-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
05-Apr-2019 - 00:00,58.65,38.52,60.75,43.4,20.44,0.69,38.15,35.06,165.08,5.23,22.08,2.2,3.25,4.98,,51.19,258.03,0.0,0.75,211.47,06-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
06-Apr-2019 - 00:00,44.54,32.72,49.52,54.35,18.13,0.73,48.48,38.7,230.14,6.05,28.14,1.65,2.54,3.9,,55.51,219.55,0.0,0.68,142.02,07-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
07-Apr-2019 - 00:00,44.72,38.77,54.46,54.34,19.58,0.65,32.01,43.33,296.33,6.43,26.82,2.03,3.18,5.15,,63.43,180.94,0.0,0.89,133.01,08-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
08-Apr-2019 - 00:00,28.63,20.14,31.01,37.43,19.12,0.35,40.55,58.96,487.59,3.89,21.28,1.39,1.87,3.2,,53.61,228.64,0.0,0.84,111.1,09-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
09-Apr-2019 - 00:00,47.61,34.55,52.54,30.9,28.98,0.8,47.14,39.98,179.59,9.26,20.54,2.56,4.51,7.01,,47.89,249.6,0.0,0.45,165.72,10-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
10-Apr-2019 - 00:00,59.7,50.76,71.88,46.07,21.8,0.43,41.58,40.31,131.48,4.87,13.81,1.83,3.2,4.74,,45.06,283.03,0.0,0.89,258.77,11-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
11-Apr-2019 - 00:00,43.46,26.28,43.76,38.02,12.7,0.74,24.1,41.07,121.68,4.98,12.28,1.65,2.96,3.99,,49.54,148.78,0.0,0.5,205.7,12-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
12-Apr-2019 - 00:00,22.63,23.05,29.77,31.36,8.76,0.26,36.23,25.91,137.82,1.93,12.19,0.83,0.99,1.73,,42.52,10.4,0.01,1.5,291.04,13-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
13-Apr-2019 - 00:00,16.76,29.01,31.44,33.43,5.82,0.31,23.86,27.47,90.55,1.88,11.56,0.96,1.16,2.14,,43.89,147.0,0.0,1.46,297.64,14-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
14-Apr-2019 - 00:00,13.75,26.81,28.26,33.76,10.65,0.38,24.85,24.54,84.13,1.65,12.53,0.82,1.15,1.96,,43.83,164.43,0.0,1.53,315.01,15-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
15-Apr-2019 - 00:00,22.76,16.82,25.35,23.15,7.66,0.43,35.09,25.76,69.7,1.27,9.9,0.64,0.74,1.38,,32.7,346.84,0.0,1.84,306.46,16-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
16-Apr-2019 - 00:00,30.46,39.31,47.44,65.03,6.27,0.55,42.43,24.53,29.52,0.58,1.47,0.36,0.16,0.39,,55.91,111.03,0.0,1.46,89.17,17-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
17-Apr-2019 - 00:00,25.75,31.86,39.87,50.77,8.61,0.61,37.83,18.81,71.59,1.82,2.41,0.7,0.57,1.05,,70.81,210.84,0.01,1.58,92.4,18-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
18-Apr-2019 - 00:00,25.36,29.06,35.36,36.78,18.02,1.02,44.46,15.96,71.39,2.29,15.38,1.2,2.2,2.58,,45.45,185.28,0.0,0.6,219.94,19-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
19-Apr-2019 - 00:00,20.01,36.36,39.8,42.88,8.43,1.14,21.11,30.93,125.53,3.88,13.85,1.28,1.76,3.08,,39.07,113.92,0.0,0.92,278.08,20-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
20-Apr-2019 - 00:00,16.29,30.13,32.8,27.51,18.59,0.86,41.6,30.67,129.17,3.09,21.82,1.56,2.42,3.94,,40.06,265.51,0.0,0.66,240.28,21-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
21-Apr-2019 - 00:00,25.91,44.92,49.55,33.98,24.4,1.07,48.93,40.59,207.59,4.33,28.36,1.79,2.8,4.49,,36.56,267.69,0.0,0.74,225.49,22-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
22-Apr-2019 - 00:00,40.31,19.76,36.88,24.77,23.84,0.95,49.55,34.96,159.0,3.61,22.63,1.39,2.23,3.5,,33.7,273.83,0.0,0.71,217.28,23-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
23-Apr-2019 - 00:00,54.92,34.17,55.51,49.04,28.75,1.07,56.95,42.86,216.09,3.95,23.81,1.74,1.61,2.71,,32.81,262.63,0.0,0.78,181.65,24-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
24-Apr-2019 - 00:00,66.1,70.24,90.86,124.99,30.4,1.28,65.38,51.57,266.09,4.02,26.11,1.8,0.72,0.92,,45.62,204.67,0.0,0.82,88.77,25-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
25-Apr-2019 - 00:00,43.98,39.42,54.56,72.95,27.09,1.17,70.39,55.11,254.71,3.57,19.24,1.23,1.28,1.92,,43.99,183.16,0.0,0.88,96.65,26-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
26-Apr-2019 - 00:00,45.19,27.33,45.49,26.81,20.74,0.77,40.23,56.01,209.19,2.78,16.25,1.12,1.76,2.84,,39.72,296.18,0.0,1.13,302.55,27-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
27-Apr-2019 - 00:00,45.31,18.03,37.67,19.76,14.86,0.52,31.51,54.54,307.61,2.0,17.37,1.03,1.23,2.44,,27.26,241.13,0.0,1.91,301.36,28-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
28-Apr-2019 - 00:00,50.11,27.42,47.7,41.83,13.94,0.56,28.18,60.64,309.21,1.8,15.5,0.87,1.1,2.17,,26.66,84.27,0.0,1.45,315.75,29-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
29-Apr-2019 - 00:00,46.63,15.72,37.07,25.18,19.17,0.57,42.39,57.17,255.86,2.52,20.62,2.23,2.49,3.75,,16.5,286.45,0.0,1.25,276.2,30-Apr-2019 - 00:00,"Sector-18, Panipat - HSPCB"
30-Apr-2019 - 00:00,28.98,12.35,25.05,34.51,31.18,0.84,82.96,71.7,258.48,3.16,10.18,1.16,1.68,2.6,,18.56,217.81,0.0,0.72,101.63,01-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
01-May-2019 - 00:00,18.42,6.96,15.19,28.48,21.93,0.69,72.24,53.19,160.86,1.98,7.75,0.96,1.24,2.12,,23.92,235.16,0.0,1.05,87.4,02-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
02-May-2019 - 00:00,12.26,7.6,12.49,37.71,16.32,0.53,74.56,47.24,155.57,1.3,6.82,0.42,0.42,0.69,,31.44,220.74,0.0,1.72,82.46,03-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
03-May-2019 - 00:00,21.42,6.88,17.09,27.98,9.17,0.65,77.44,39.98,109.54,1.88,7.46,0.86,1.24,1.73,,26.0,353.26,0.0,0.85,132.86,04-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
04-May-2019 - 00:00,43.38,12.04,32.31,24.5,11.54,0.46,48.8,39.71,151.69,1.96,8.0,0.73,1.0,1.63,,21.19,284.88,0.0,1.51,282.81,05-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
05-May-2019 - 00:00,66.98,36.99,64.66,27.92,18.7,1.16,46.03,53.94,192.69,3.09,8.33,1.25,1.1,2.67,,19.4,274.41,0.0,1.31,282.14,06-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
06-May-2019 - 00:00,56.56,28.58,52.46,45.06,19.36,1.34,42.23,91.3,270.25,4.51,10.07,1.59,1.97,3.48,,18.66,294.81,0.0,1.23,282.93,07-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
07-May-2019 - 00:00,59.33,27.1,52.73,32.35,26.14,1.33,46.0,76.2,227.83,4.33,9.47,1.43,1.58,3.35,,14.74,263.42,0.0,0.85,226.38,08-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
08-May-2019 - 00:00,78.85,49.76,81.54,43.15,25.89,1.68,45.41,95.4,288.02,5.47,13.21,2.0,2.35,4.57,,17.85,239.9,0.0,0.96,276.23,09-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
09-May-2019 - 00:00,51.59,18.2,41.55,35.9,29.29,1.92,44.35,113.14,388.49,5.46,7.79,1.2,1.22,2.55,,17.23,257.99,0.0,1.45,253.35,10-May-2019 - 00:00,"Sector-18, Panipat - HSPCB"
