from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,RH,SR,RF,WS,WD,to date,station
31-Oct-2019 - 00:00,2.04,94.54,83.52,42.39,7.93,1.38,51.79,307.44,582.72,12.73,0.58,2.48,2.2,3.61,,87.47,68.52,0.0,0.52,251.28,01-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
01-Nov-2019 - 00:00,0.88,61.36,54.8,42.15,12.17,1.11,58.14,248.96,562.65,8.68,0.57,1.19,1.76,3.07,,48.47,136.92,0.0,0.42,229.71,02-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
02-Nov-2019 - 00:00,0.67,63.78,55.27,47.83,6.37,0.59,45.42,293.36,547.74,10.66,0.58,1.37,2.07,3.54,,80.72,35.28,0.0,0.62,254.92,03-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
03-Nov-2019 - 00:00,0.49,41.76,31.09,53.07,4.91,0.19,43.84,657.47,841.52,18.46,0.66,4.19,3.41,6.02,,71.01,71.04,0.0,0.62,257.46,04-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
04-Nov-2019 - 00:00,58.33,42.04,61.45,40.15,15.82,0.85,53.15,368.54,434.99,11.23,0.56,1.6,1.68,3.24,,67.09,137.16,0.0,0.87,268.03,05-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
05-Nov-2019 - 00:00,118.15,36.19,84.82,43.69,14.32,0.84,52.43,191.07,340.57,6.7,0.54,1.45,1.28,2.34,,55.78,174.73,0.0,1.03,262.34,06-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
06-Nov-2019 - 00:00,107.21,59.05,96.02,54.27,24.87,1.11,58.59,206.51,433.46,7.63,0.58,1.59,4.25,4.36,,55.7,119.25,0.0,0.35,173.11,07-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
07-Nov-2019 - 00:00,86.02,31.68,64.46,72.5,24.91,0.8,29.04,150.11,327.22,6.7,0.54,1.93,6.04,6.15,,76.29,41.31,0.0,0.34,115.66,08-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
08-Nov-2019 - 00:00,106.79,69.36,105.54,60.68,21.72,0.58,31.51,88.78,210.81,4.01,0.53,0.71,1.3,2.07,,66.26,163.78,0.0,0.29,270.74,09-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
09-Nov-2019 - 00:00,127.35,91.02,131.78,43.69,27.61,1.15,31.92,115.12,348.8,6.22,0.59,0.91,1.74,2.62,,65.31,76.95,0.0,0.79,287.23,10-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
10-Nov-2019 - 00:00,84.72,76.25,99.55,49.4,15.06,1.19,33.73,254.19,481.65,7.38,0.57,3.05,1.1,2.06,,49.7,58.68,0.0,0.46,264.48,11-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
11-Nov-2019 - 00:00,52.86,86.52,90.96,40.53,11.22,1.48,32.76,363.34,630.55,9.41,0.57,1.09,1.42,2.89,,50.76,18.45,0.0,0.33,270.1,12-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
12-Nov-2019 - 00:00,29.3,92.01,83.16,42.8,20.73,1.78,36.94,344.14,597.72,10.83,0.56,1.86,1.71,2.93,,62.55,58.87,0.0,0.42,247.9,13-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
13-Nov-2019 - 00:00,13.6,80.37,75.86,44.24,21.89,1.18,46.28,253.07,459.68,7.84,0.56,1.12,2.09,3.29,,63.81,135.95,0.0,0.39,290.16,14-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
14-Nov-2019 - 00:00,8.9,74.74,79.24,54.72,19.45,1.21,51.07,214.1,496.78,8.89,0.59,2.48,4.53,7.16,,71.48,89.28,0.0,0.19,226.06,15-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
15-Nov-2019 - 00:00,6.92,55.64,54.22,49.72,4.64,1.02,37.42,215.99,441.25,7.59,0.54,1.13,2.15,3.21,,71.85,102.56,0.0,0.42,273.58,16-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
16-Nov-2019 - 00:00,57.54,44.87,60.06,64.62,7.87,0.39,34.74,107.65,247.18,4.5,0.53,0.62,0.97,1.63,,67.63,76.32,0.0,0.91,307.03,17-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
17-Nov-2019 - 00:00,94.94,25.25,64.03,88.37,3.48,0.35,57.47,63.52,144.26,2.57,0.53,0.34,0.51,1.0,,62.4,142.7,0.0,1.68,296.61,18-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
18-Nov-2019 - 00:00,118.08,34.29,85.03,48.03,47.89,0.61,62.73,97.22,212.85,4.85,0.54,0.89,0.95,2.23,,63.2,171.62,0.0,0.97,248.74,19-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
19-Nov-2019 - 00:00,108.09,95.5,127.42,48.2,8.8,1.19,53.55,177.02,395.74,7.89,0.55,3.41,2.49,6.14,,62.75,78.9,0.0,0.51,243.28,20-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
20-Nov-2019 - 00:00,100.53,263.75,246.13,38.69,10.33,1.7,37.99,198.35,423.67,9.01,0.64,5.32,5.88,10.14,,68.53,37.12,0.0,0.16,242.34,21-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
21-Nov-2019 - 00:00,38.23,145.55,131.91,58.77,14.26,0.94,44.14,173.87,389.5,7.91,0.6,2.34,3.1,4.7,,78.75,22.43,0.0,0.18,172.55,22-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
22-Nov-2019 - 00:00,86.3,108.25,121.35,39.47,12.81,0.46,33.44,141.19,325.92,3.96,0.63,0.99,0.68,1.17,,33.71,18.47,0.0,0.38,264.53,23-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
23-Nov-2019 - 00:00,109.61,55.02,98.86,58.98,55.94,0.41,17.45,89.57,204.31,3.66,0.69,0.97,0.67,1.38,,65.4,64.94,0.0,0.95,277.67,24-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
24-Nov-2019 - 00:00,120.58,50.42,100.67,57.53,47.0,0.43,27.21,69.46,203.21,4.45,0.6,1.03,1.5,2.86,,68.64,85.8,0.0,0.8,280.63,25-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
25-Nov-2019 - 00:00,123.28,27.9,85.18,58.19,8.37,0.54,43.64,84.63,236.74,4.48,0.66,1.44,1.85,3.52,,44.38,136.12,0.0,0.25,185.8,26-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
26-Nov-2019 - 00:00,86.33,8.42,50.29,59.73,14.89,0.48,54.02,71.36,192.81,4.03,0.72,1.14,1.55,2.8,,59.32,70.61,0.0,0.34,98.73,27-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
27-Nov-2019 - 00:00,89.15,19.65,60.2,49.62,18.15,0.6,43.82,48.67,147.62,2.87,0.66,0.73,0.95,1.65,,70.89,44.29,0.01,0.37,134.34,28-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
28-Nov-2019 - 00:00,70.65,36.4,62.64,68.71,9.57,0.56,52.93,33.96,69.45,2.09,0.72,0.74,0.85,1.54,,94.37,38.69,0.15,0.6,111.81,29-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
29-Nov-2019 - 00:00,84.86,48.12,81.87,45.75,4.02,0.5,35.41,53.07,157.04,3.62,0.7,0.85,1.31,2.24,,84.75,54.8,0.0,0.29,203.04,30-Nov-2019 - 00:00,"Sector-18, Panipat - HSPCB"
30-Nov-2019 - 00:00,47.77,80.75,88.66,12.89,17.78,0.55,38.32,64.87,202.28,5.07,0.6,1.71,1.94,3.86,,81.84,170.04,0.0,0.57,258.14,01-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
01-Dec-2019 - 00:00,9.43,105.68,88.49,3.57,11.8,0.53,52.37,82.34,232.39,4.65,0.63,1.94,1.55,3.16,,71.3,166.36,0.0,0.71,245.52,02-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
02-Dec-2019 - 00:00,84.6,90.5,116.28,16.89,7.25,0.4,56.19,106.27,290.63,5.2,0.53,1.22,1.32,2.29,,75.9,77.22,0.0,0.69,242.21,03-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
03-Dec-2019 - 00:00,137.89,100.85,151.86,26.54,11.47,0.56,57.61,105.8,299.63,5.95,0.55,0.99,1.64,2.2,,63.94,165.72,0.0,0.7,241.4,04-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
04-Dec-2019 - 00:00,141.12,196.69,201.79,19.05,26.85,1.28,49.38,162.2,443.95,8.19,0.56,3.46,17.21,9.77,,75.49,103.82,0.0,0.27,196.24,05-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
05-Dec-2019 - 00:00,121.55,209.63,235.25,43.64,34.58,0.34,43.13,228.37,561.99,10.71,0.58,3.33,11.82,9.54,,84.94,126.42,0.0,0.17,169.94,06-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
06-Dec-2019 - 00:00,105.78,190.35,207.91,5.83,34.62,0.43,29.04,144.1,446.42,8.02,0.62,1.03,1.59,2.33,,83.24,145.85,0.0,0.34,256.14,07-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
07-Dec-2019 - 00:00,111.52,212.72,228.52,14.89,40.34,0.79,39.46,134.19,462.69,6.47,28.19,1.1,2.88,2.7,,78.88,146.11,0.0,0.2,244.62,08-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
08-Dec-2019 - 00:00,90.7,266.65,266.62,14.52,35.08,0.71,47.85,118.17,379.63,6.57,19.07,1.23,1.03,1.53,,73.61,164.05,0.0,0.38,277.03,09-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
09-Dec-2019 - 00:00,88.35,226.11,227.48,14.38,37.09,0.64,45.31,123.43,390.63,6.59,11.9,1.93,1.47,2.21,,71.22,147.64,0.0,0.42,239.76,10-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
10-Dec-2019 - 00:00,94.73,293.1,293.46,5.4,45.04,0.77,28.75,183.35,558.37,11.17,17.92,1.96,4.81,5.8,,75.42,141.8,0.0,0.39,214.63,11-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
11-Dec-2019 - 00:00,79.68,326.11,317.02,17.46,47.2,0.64,35.66,242.55,609.88,11.25,22.93,2.53,7.27,7.45,,80.09,98.95,0.0,0.2,137.2,12-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
12-Dec-2019 - 00:00,55.87,271.55,246.95,7.42,55.92,0.46,59.25,208.2,557.35,7.88,8.12,0.62,1.86,2.31,,86.85,36.62,0.08,0.39,98.15,13-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
13-Dec-2019 - 00:00,41.75,283.49,249.14,15.96,56.51,0.33,74.69,54.66,152.97,1.99,3.97,0.51,0.55,1.93,,93.13,61.49,0.01,0.72,145.73,14-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
14-Dec-2019 - 00:00,50.17,318.17,281.37,13.45,58.86,0.32,35.85,48.93,186.18,1.9,68.68,0.63,1.15,1.76,,88.13,130.19,0.0,0.29,189.58,15-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
15-Dec-2019 - 00:00,58.15,361.04,319.91,6.12,60.48,0.25,32.32,57.72,192.72,3.02,92.55,0.94,1.43,2.39,,88.53,159.8,0.0,0.77,284.47,16-Dec-2019 - 00:00,"Sector-18, Panipat - HSPCB"
