from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
26-Jan-2019 - 00:00,12.44,996.5,245.79,110.57,68.9,99.78,309.16,0.84,2.3,12.55,21.28,27.43,7.63,20.8,23.08,31.67,0.82,27-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
27-Jan-2019 - 00:00,10.29,996.62,281.4,80.31,74.46,77.95,282.95,1.05,2.76,12.56,23.45,30.65,15.12,28.65,21.91,23.83,0.92,28-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
28-Jan-2019 - 00:00,11.1,996.21,295.81,65.43,69.3,103.02,285.88,1.06,3.09,17.95,23.24,34.09,22.81,36.71,20.29,25.59,1.04,29-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
29-Jan-2019 - 00:00,11.53,994.77,341.52,119.47,68.01,102.95,291.63,0.94,5.1,25.6,25.45,37.23,39.01,51.59,28.46,24.47,1.38,30-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
30-Jan-2019 - 00:00,12.52,993.42,394.34,181.99,68.94,96.4,229.12,0.77,5.7,40.9,29.16,43.98,64.05,75.51,30.87,21.86,2.2,31-Jan-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
31-Jan-2019 - 00:00,15.08,992.32,365.79,87.44,63.85,72.54,127.81,1.05,5.96,47.93,60.51,46.59,55.94,70.4,24.03,21.38,1.82,01-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
01-Feb-2019 - 00:00,15.2,992.84,305.59,108.68,77.12,85.15,205.01,0.93,4.04,24.57,56.14,33.06,14.58,29.44,21.79,20.64,1.27,02-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
02-Feb-2019 - 00:00,11.5,993.03,314.26,64.82,94.28,63.08,286.93,1.11,3.64,17.98,48.02,20.19,14.4,22.49,16.27,20.31,1.16,03-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Feb-2019 - 00:00,12.41,994.13,241.46,37.9,93.21,67.39,285.84,0.94,3.08,17.48,39.95,18.81,16.3,23.28,17.06,18.56,1.11,04-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Feb-2019 - 00:00,12.91,994.61,303.32,105.15,84.32,97.23,246.02,0.71,5.51,38.58,33.83,28.79,61.43,65.37,17.5,19.08,2.45,05-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Feb-2019 - 00:00,16.89,992.16,460.98,217.09,73.31,91.64,128.78,0.68,8.17,73.77,48.23,49.37,103.99,111.01,22.17,21.81,3.13,06-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Feb-2019 - 00:00,18.94,986.93,247.7,141.34,82.9,85.89,139.7,1.17,3.95,21.54,51.63,33.32,13.7,28.91,19.43,21.26,1.31,07-Feb-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
