from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,WS,WD,RH,SR,RF,to date,station
06-Jul-2019 - 00:00,64.72,114.61,10.2,70.01,81.54,17.85,4.09,0.83,65.82,5.44,0.82,3.36,3.65,9.06,2.05,111.76,73.77,463.41,0.0,07-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
07-Jul-2019 - 00:00,48.88,84.99,7.19,85.79,102.46,11.9,4.43,0.77,73.56,4.83,1.08,3.52,4.29,9.91,1.62,143.81,70.53,299.52,0.0,08-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
08-Jul-2019 - 00:00,45.96,85.54,9.41,63.43,72.97,8.83,4.17,0.69,87.21,4.55,0.91,3.2,3.77,8.17,2.12,122.98,78.07,346.55,0.05,09-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
09-Jul-2019 - 00:00,45.23,82.86,9.72,57.01,64.75,5.65,4.1,0.74,79.81,4.59,0.89,3.41,4.2,9.31,2.52,94.66,85.74,173.27,0.0,10-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
10-Jul-2019 - 00:00,63.61,118.38,9.45,59.48,68.04,5.14,3.85,0.74,84.12,4.83,0.74,3.11,3.94,8.23,1.84,190.8,80.0,306.47,0.0,11-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
11-Jul-2019 - 00:00,89.68,163.92,9.19,54.32,61.88,4.62,7.6,0.74,34.2,4.16,0.67,2.76,3.33,8.02,1.62,170.76,86.18,174.62,0.21,12-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
12-Jul-2019 - 00:00,93.42,159.13,9.52,57.56,65.63,6.3,5.79,0.86,55.15,5.22,0.72,3.35,4.07,9.78,1.54,157.21,88.61,202.62,0.33,13-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
13-Jul-2019 - 00:00,105.24,179.75,6.63,71.89,85.39,6.56,7.04,0.81,63.52,5.21,0.87,3.9,4.65,11.69,1.34,190.9,85.16,257.16,0.19,14-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
14-Jul-2019 - 00:00,73.13,117.79,5.82,82.16,98.74,5.33,6.95,0.62,69.25,3.76,0.84,3.81,5.13,10.71,2.04,174.2,93.54,146.15,0.41,15-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
15-Jul-2019 - 00:00,67.1,115.31,5.15,102.88,125.21,8.33,7.47,0.74,63.39,4.54,0.88,3.9,5.05,11.03,1.71,151.65,90.3,201.78,0.12,16-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
16-Jul-2019 - 00:00,43.81,70.0,1.94,105.87,132.16,8.26,7.06,0.88,57.25,4.49,0.86,4.24,5.03,13.43,1.74,110.79,92.79,107.46,0.11,17-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
17-Jul-2019 - 00:00,59.26,124.43,1.8,112.79,143.93,9.49,7.14,0.85,35.52,4.58,0.97,4.6,5.46,13.14,1.25,161.31,87.82,224.33,0.0,18-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
18-Jul-2019 - 00:00,68.89,116.89,8.42,113.92,146.35,14.74,8.39,0.92,26.62,4.73,1.08,5.19,6.44,14.52,1.82,115.11,83.97,336.93,0.0,19-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
19-Jul-2019 - 00:00,73.91,154.22,8.85,73.38,93.68,17.71,6.82,0.94,11.62,5.1,0.83,4.45,5.14,12.56,1.18,148.53,81.91,305.06,0.0,20-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
20-Jul-2019 - 00:00,86.38,162.75,11.96,127.87,151.59,43.51,7.99,1.03,63.5,5.86,0.9,4.54,5.21,14.15,1.22,106.74,83.55,281.48,0.05,21-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
21-Jul-2019 - 00:00,75.66,137.52,14.53,217.87,262.21,108.0,9.37,1.1,37.89,6.64,1.11,5.5,6.28,18.34,1.58,91.6,85.42,305.56,0.28,22-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
22-Jul-2019 - 00:00,74.45,138.49,21.97,189.66,229.31,137.44,9.27,1.18,51.41,6.11,1.28,5.66,6.93,18.3,1.66,133.11,80.52,389.04,0.0,23-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
23-Jul-2019 - 00:00,70.43,129.32,21.96,117.84,137.52,101.64,7.17,0.83,82.96,4.3,0.72,3.35,4.39,9.39,1.92,182.8,78.45,393.98,0.0,24-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
24-Jul-2019 - 00:00,68.63,118.07,22.34,107.8,119.86,17.78,6.65,0.69,71.79,3.29,0.69,2.49,3.16,6.98,2.02,186.09,80.32,363.52,0.0,25-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
25-Jul-2019 - 00:00,34.67,62.34,16.44,103.16,117.93,32.28,6.56,0.71,53.15,2.29,0.4,2.22,3.27,6.5,2.28,124.69,93.82,122.55,0.39,26-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
26-Jul-2019 - 00:00,29.31,52.11,17.17,110.04,126.04,46.92,6.85,0.7,42.78,1.43,0.27,1.59,2.0,5.1,1.97,101.09,90.78,228.93,0.03,27-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
27-Jul-2019 - 00:00,23.81,45.51,15.67,118.52,137.59,43.61,7.02,0.62,44.22,2.41,0.65,3.75,4.66,10.74,2.43,83.59,89.64,170.09,0.04,28-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
28-Jul-2019 - 00:00,22.42,46.79,14.6,150.41,178.07,33.39,7.49,0.61,40.57,2.06,0.79,3.64,4.89,10.3,2.64,88.3,77.6,430.64,0.0,29-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
29-Jul-2019 - 00:00,30.4,63.97,17.75,133.77,155.25,35.47,7.04,0.63,48.38,2.57,0.65,3.24,4.13,9.43,2.11,128.98,70.52,474.17,0.0,30-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
30-Jul-2019 - 00:00,49.08,96.73,14.47,147.59,174.63,41.07,7.78,0.9,20.2,4.55,0.74,3.93,4.62,12.71,1.96,87.39,82.92,113.11,0.0,31-Jul-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
31-Jul-2019 - 00:00,33.98,66.06,15.51,142.28,167.33,39.14,7.85,0.66,45.92,2.84,0.76,3.44,4.23,9.77,1.63,135.92,80.5,276.53,0.03,01-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
01-Aug-2019 - 00:00,50.08,100.08,17.74,139.31,162.18,46.2,7.83,0.83,46.38,3.92,0.84,3.5,4.21,11.0,1.48,110.64,75.37,363.44,0.0,02-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
02-Aug-2019 - 00:00,38.44,75.79,16.48,140.55,164.53,51.91,7.98,0.91,40.12,3.89,0.73,3.64,4.25,11.07,1.88,92.87,87.65,128.2,0.0,03-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
03-Aug-2019 - 00:00,38.92,74.72,15.1,148.74,175.64,29.77,7.47,0.9,34.77,3.97,0.76,3.75,4.49,11.27,2.09,87.1,87.36,296.09,0.13,04-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
04-Aug-2019 - 00:00,42.03,81.0,16.06,183.73,218.61,22.6,8.78,0.91,41.88,3.75,0.95,4.06,4.71,11.02,1.47,157.63,82.72,373.86,0.06,05-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
05-Aug-2019 - 00:00,43.0,79.49,18.58,166.15,195.08,24.18,8.41,0.8,52.32,3.78,0.87,3.74,4.41,11.73,1.65,138.53,83.01,439.74,0.0,06-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
06-Aug-2019 - 00:00,32.8,70.41,17.72,139.55,162.49,38.31,6.72,0.8,48.83,3.1,0.59,3.24,3.76,9.7,2.34,89.4,87.33,227.23,0.0,07-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
07-Aug-2019 - 00:00,49.4,104.12,18.58,129.15,148.95,37.24,7.39,0.96,36.3,4.41,0.74,3.22,3.49,9.89,1.31,138.85,75.32,477.49,0.01,08-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
08-Aug-2019 - 00:00,37.59,81.28,11.52,109.34,119.32,39.55,6.79,0.73,59.4,2.9,0.64,2.09,2.85,6.0,1.39,240.7,74.0,323.59,0.0,09-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
09-Aug-2019 - 00:00,46.28,86.21,8.73,136.39,151.31,30.69,7.34,0.86,33.77,1.25,0.53,0.51,0.81,1.86,1.87,93.82,86.26,196.93,0.25,10-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
10-Aug-2019 - 00:00,37.56,80.53,12.08,123.44,146.07,44.93,6.86,0.75,38.83,0.95,0.43,0.47,0.68,1.61,2.83,94.45,79.78,321.26,0.01,11-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
11-Aug-2019 - 00:00,42.43,76.2,10.62,137.58,164.64,39.79,6.67,0.68,47.18,0.78,0.48,0.45,0.69,1.42,1.61,178.29,79.94,354.17,0.0,12-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
12-Aug-2019 - 00:00,58.64,103.68,12.74,121.78,143.57,46.88,7.28,1.03,17.68,4.33,1.25,1.87,2.19,6.6,1.39,135.12,93.69,122.09,0.29,13-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
13-Aug-2019 - 00:00,48.78,81.77,10.96,127.15,151.54,55.4,8.6,0.9,41.62,4.24,1.98,2.35,3.1,7.6,2.05,189.11,89.51,367.29,0.0,14-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
14-Aug-2019 - 00:00,35.3,63.79,12.56,114.47,134.6,30.42,7.5,0.74,44.78,2.96,2.07,1.72,2.46,5.91,1.61,140.39,81.27,318.42,0.01,15-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
15-Aug-2019 - 00:00,36.18,73.92,8.56,170.32,206.82,18.67,9.41,0.81,31.02,3.13,2.03,1.81,2.58,5.86,1.54,94.25,84.58,284.1,0.0,16-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
16-Aug-2019 - 00:00,28.53,59.76,11.27,147.24,176.28,15.18,8.47,0.7,39.84,3.0,2.2,1.77,2.61,6.38,2.33,85.49,82.13,263.56,0.06,17-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
17-Aug-2019 - 00:00,20.82,41.87,11.09,121.21,143.94,3.34,7.6,0.59,41.27,2.3,1.61,1.63,2.38,5.29,3.58,101.37,89.67,136.49,0.26,18-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
18-Aug-2019 - 00:00,8.08,17.48,6.0,165.0,201.91,7.36,8.39,0.64,19.36,1.57,1.77,1.71,2.94,4.86,2.78,112.29,98.97,46.52,2.2,19-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
19-Aug-2019 - 00:00,25.21,51.67,13.37,121.93,151.33,20.59,8.14,0.74,20.84,2.21,1.77,1.56,2.34,4.76,1.19,169.86,87.08,270.5,0.05,20-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
20-Aug-2019 - 00:00,36.6,72.66,27.8,33.83,24.09,29.67,7.88,0.53,34.2,0.75,0.39,0.35,0.55,1.02,2.1,238.36,84.25,425.71,0.0,21-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
21-Aug-2019 - 00:00,37.39,76.87,38.97,62.42,52.46,22.93,8.53,0.58,39.96,0.75,0.47,0.29,0.52,0.81,2.15,240.22,81.5,425.29,0.0,22-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
22-Aug-2019 - 00:00,56.84,119.71,19.35,15.72,12.14,23.17,8.78,0.77,31.79,1.44,0.57,0.38,0.62,1.17,1.18,131.18,77.12,394.4,0.0,23-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
23-Aug-2019 - 00:00,71.9,134.61,21.94,24.95,25.82,22.88,9.0,0.89,31.5,1.75,0.49,0.47,1.21,1.46,1.41,192.57,79.78,446.87,0.0,24-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
24-Aug-2019 - 00:00,76.98,155.39,17.75,15.68,16.99,11.65,8.31,1.02,16.04,2.05,0.5,0.75,1.05,1.97,1.38,96.98,84.22,232.31,0.0,25-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
25-Aug-2019 - 00:00,32.75,67.59,12.68,11.08,14.55,5.74,9.01,0.69,13.56,1.16,0.54,0.68,0.97,1.74,1.69,85.66,94.99,103.12,0.34,26-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
26-Aug-2019 - 00:00,26.86,62.66,17.22,17.25,19.29,17.17,7.26,0.57,19.89,1.47,9.95,1.38,1.45,2.7,1.27,166.04,78.71,412.66,0.0,27-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
27-Aug-2019 - 00:00,45.82,105.56,19.57,31.19,30.2,40.53,6.18,0.8,28.54,2.7,15.9,2.06,3.01,5.56,1.4,207.17,78.36,346.19,0.0,28-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
28-Aug-2019 - 00:00,51.98,107.16,15.33,29.04,26.19,50.02,5.78,0.69,27.34,4.43,3.82,2.68,3.69,6.54,1.69,183.27,77.44,398.72,0.0,29-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
29-Aug-2019 - 00:00,88.89,173.45,14.66,25.24,22.57,41.84,5.75,1.46,9.86,11.19,3.72,4.89,6.4,11.49,1.3,155.47,90.22,154.4,0.04,30-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
30-Aug-2019 - 00:00,57.34,108.08,13.21,26.35,24.29,41.27,5.72,0.86,24.06,5.79,4.28,3.8,4.7,8.96,1.64,182.57,85.46,311.83,0.0,31-Aug-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
31-Aug-2019 - 00:00,73.72,138.05,15.0,27.26,24.22,38.16,5.81,0.87,20.49,5.49,4.19,3.08,5.32,7.36,1.45,178.2,84.29,350.65,0.0,01-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
01-Sep-2019 - 00:00,41.86,78.51,12.27,14.06,9.54,34.77,5.89,0.72,23.57,4.04,4.21,3.26,5.52,7.91,1.97,101.96,87.07,194.0,0.0,02-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
02-Sep-2019 - 00:00,56.94,89.27,16.18,29.86,26.69,32.68,6.28,0.65,30.78,3.81,4.4,3.06,3.61,6.75,1.42,209.98,81.69,366.41,0.0,03-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
03-Sep-2019 - 00:00,67.89,114.3,15.74,28.14,24.87,34.85,5.67,0.62,34.88,3.25,4.64,2.34,3.45,5.27,1.63,230.66,82.34,216.7,0.0,04-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
04-Sep-2019 - 00:00,64.25,123.97,14.6,15.73,10.18,36.73,4.94,0.77,20.1,5.22,3.93,3.1,3.82,7.16,1.85,138.3,84.97,258.97,0.0,05-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
05-Sep-2019 - 00:00,44.45,86.19,6.63,14.37,13.6,39.8,5.82,0.7,31.5,5.01,4.43,4.26,4.39,8.27,1.81,114.94,84.04,243.76,0.0,06-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
06-Sep-2019 - 00:00,41.45,85.44,10.37,21.3,19.97,48.2,5.5,0.64,44.77,4.42,4.52,4.06,4.12,6.75,1.47,178.8,80.99,319.81,0.0,07-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
07-Sep-2019 - 00:00,37.78,75.16,12.77,15.45,10.98,55.07,5.29,0.66,53.53,4.29,4.41,4.48,4.49,8.12,1.9,110.96,82.68,223.58,0.06,08-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
08-Sep-2019 - 00:00,35.57,65.96,13.25,27.74,25.95,19.06,6.13,0.56,60.06,2.83,5.45,3.3,3.95,6.72,1.74,185.92,81.72,357.36,0.0,09-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
09-Sep-2019 - 00:00,57.7,113.28,10.94,28.5,24.12,33.28,6.32,0.52,75.66,2.9,5.29,2.36,2.86,4.81,1.61,245.0,80.23,383.38,0.0,10-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
10-Sep-2019 - 00:00,84.41,155.87,7.43,20.85,13.42,63.54,5.98,0.82,59.03,6.45,4.4,3.45,4.83,7.54,1.31,183.64,82.27,211.62,0.0,11-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
11-Sep-2019 - 00:00,97.8,185.61,6.78,20.7,13.93,54.76,6.59,0.94,37.96,7.52,8.39,3.63,5.3,7.82,1.4,119.64,83.16,198.41,0.0,12-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
12-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
13-Sep-2019 - 00:00,42.58,94.5,7.43,28.27,20.84,75.46,4.6,0.57,57.99,3.38,3.65,3.94,3.45,7.27,1.06,251.41,78.31,214.95,0.0,14-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
14-Sep-2019 - 00:00,43.97,91.92,8.04,18.44,13.17,22.04,6.5,0.56,42.06,4.13,4.58,3.48,3.9,6.56,1.87,119.58,81.83,236.22,0.0,15-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
15-Sep-2019 - 00:00,37.1,74.91,11.59,18.91,16.03,6.67,7.68,0.51,53.58,3.25,4.59,2.81,3.43,5.41,1.65,160.56,80.09,261.1,0.0,16-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
16-Sep-2019 - 00:00,63.02,127.91,17.72,31.63,27.9,18.29,8.32,0.61,71.03,4.49,4.57,2.71,3.2,5.03,1.87,213.56,81.19,319.91,0.0,17-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
17-Sep-2019 - 00:00,60.04,124.12,16.38,26.06,21.84,35.14,9.13,0.8,68.34,11.94,5.28,3.38,4.67,6.48,1.73,155.58,81.03,264.27,0.0,18-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
18-Sep-2019 - 00:00,52.94,111.42,8.91,11.73,8.73,57.27,8.87,0.58,76.94,5.03,4.17,3.57,4.68,6.31,2.22,105.53,70.05,278.9,0.0,19-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
19-Sep-2019 - 00:00,31.17,76.11,3.53,12.55,13.02,67.34,8.82,0.52,45.85,4.32,0.96,3.53,3.8,6.88,2.43,101.1,75.27,391.01,0.0,20-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
20-Sep-2019 - 00:00,52.04,111.81,4.96,28.87,27.92,75.27,10.75,0.7,48.68,5.66,3.49,4.13,4.6,8.73,1.08,176.79,72.93,188.85,0.0,21-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
21-Sep-2019 - 00:00,55.08,112.72,10.38,27.25,26.31,24.92,11.83,0.72,65.88,5.74,6.38,4.21,5.79,9.06,1.61,173.94,75.82,412.93,0.0,22-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
22-Sep-2019 - 00:00,46.61,98.74,8.51,15.13,15.32,8.61,12.14,0.56,57.59,4.46,5.88,3.2,4.1,6.38,2.01,124.62,76.86,289.54,0.04,23-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
23-Sep-2019 - 00:00,40.94,93.16,10.62,23.34,24.19,31.41,13.58,0.62,61.62,4.45,5.02,3.71,4.41,6.96,1.24,162.15,75.96,345.94,0.0,24-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
24-Sep-2019 - 00:00,59.11,122.9,11.27,27.34,28.75,25.57,10.94,0.77,64.86,5.44,6.24,3.68,4.72,7.06,1.29,183.16,75.46,283.1,0.0,25-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
25-Sep-2019 - 00:00,66.63,124.88,9.78,24.21,25.82,24.34,5.88,0.81,46.14,6.13,5.4,3.95,4.76,7.97,1.45,144.85,78.06,328.59,0.03,26-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
26-Sep-2019 - 00:00,44.73,94.78,8.13,18.42,19.68,42.78,7.02,0.68,30.95,5.13,4.51,3.65,4.12,6.74,1.61,149.59,78.42,297.9,0.04,27-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
27-Sep-2019 - 00:00,36.06,72.92,9.14,21.44,22.78,38.99,8.1,0.61,50.27,3.92,4.47,2.96,3.42,5.33,1.83,146.29,81.18,276.29,0.0,28-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
28-Sep-2019 - 00:00,32.47,76.83,6.18,20.24,23.21,34.23,9.55,0.62,28.49,4.04,4.68,3.34,3.79,6.2,1.91,129.35,82.25,241.98,0.0,29-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
29-Sep-2019 - 00:00,18.88,40.75,4.74,23.7,28.47,5.21,11.41,0.61,24.55,2.97,4.91,3.53,5.21,6.6,2.33,66.77,89.72,141.39,0.14,30-Sep-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
30-Sep-2019 - 00:00,31.57,76.54,8.67,24.43,26.78,22.3,12.85,0.73,17.8,4.98,5.27,5.11,6.2,8.96,1.85,89.85,87.17,189.84,0.05,01-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
01-Oct-2019 - 00:00,38.0,106.6,12.2,32.8,34.95,53.18,9.25,0.84,24.44,4.19,4.08,3.97,4.72,8.59,1.4,101.18,81.67,374.29,0.0,02-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
02-Oct-2019 - 00:00,41.85,87.49,17.32,45.87,47.92,54.13,8.69,0.83,57.5,5.66,5.31,5.41,6.9,10.59,1.52,173.22,77.17,400.75,0.0,03-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
03-Oct-2019 - 00:00,63.6,133.37,19.73,44.2,43.04,59.83,9.95,0.74,71.32,5.2,5.31,4.48,4.99,6.94,1.4,201.7,79.63,333.95,0.0,04-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
04-Oct-2019 - 00:00,56.62,107.31,25.38,53.48,51.37,44.02,10.14,0.5,79.75,2.37,3.3,2.13,2.42,3.01,2.34,248.42,74.85,315.19,0.0,05-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
05-Oct-2019 - 00:00,56.18,86.31,27.02,64.52,64.85,49.63,11.27,0.55,69.76,2.92,3.58,2.32,2.89,3.86,2.23,268.44,77.72,309.36,0.0,06-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
06-Oct-2019 - 00:00,65.93,100.25,34.95,85.51,85.86,50.87,13.01,0.61,76.88,3.3,3.72,2.09,2.88,3.7,2.13,268.71,77.96,388.85,0.0,07-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
07-Oct-2019 - 00:00,78.57,126.84,38.64,95.94,96.47,45.82,14.27,0.65,69.27,3.88,3.43,1.94,2.62,3.53,2.44,268.97,82.28,213.77,0.0,08-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
08-Oct-2019 - 00:00,75.03,115.84,40.62,88.55,85.96,42.33,15.03,0.6,82.76,3.24,3.78,2.04,3.15,3.95,1.88,259.02,72.1,413.64,0.0,09-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
09-Oct-2019 - 00:00,112.19,187.62,36.79,62.25,55.65,46.21,16.26,0.85,71.92,5.38,4.62,2.79,4.1,5.71,1.43,163.11,67.76,357.42,0.0,10-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
10-Oct-2019 - 00:00,138.47,219.13,37.37,78.43,74.43,48.96,12.35,0.99,69.47,7.1,4.44,3.27,3.88,5.95,1.06,206.16,65.69,381.43,0.0,11-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
11-Oct-2019 - 00:00,153.5,263.32,41.02,80.48,73.63,59.93,8.48,1.07,63.44,8.0,5.03,4.07,5.54,7.97,0.98,175.36,69.6,260.06,0.05,12-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
12-Oct-2019 - 00:00,134.62,227.29,34.2,66.58,60.51,52.85,7.52,1.03,62.31,8.64,15.08,5.99,6.06,9.56,1.21,188.46,72.9,268.15,0.0,13-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
13-Oct-2019 - 00:00,136.71,234.98,33.99,64.37,58.13,21.4,8.37,0.96,83.34,7.07,6.42,4.6,4.98,8.02,1.01,253.0,72.01,370.91,0.0,14-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
14-Oct-2019 - 00:00,138.72,256.15,32.68,63.45,57.89,24.93,9.42,1.16,57.62,8.5,6.76,4.75,5.13,8.76,0.97,181.19,71.87,295.94,0.0,15-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
15-Oct-2019 - 00:00,144.22,230.18,29.04,51.04,44.73,22.86,10.62,1.35,39.69,11.35,6.76,6.23,6.55,12.41,1.42,105.4,74.09,310.77,0.0,16-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
16-Oct-2019 - 00:00,128.67,225.35,26.85,51.06,46.17,42.21,8.57,1.21,41.49,9.45,6.8,6.18,7.37,12.68,1.38,108.45,70.8,331.09,0.0,17-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
17-Oct-2019 - 00:00,100.32,189.09,25.43,44.88,39.39,82.26,8.87,1.1,43.12,7.94,12.45,6.02,6.58,11.23,1.53,77.07,66.37,347.6,0.0,18-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
18-Oct-2019 - 00:00,108.72,196.65,29.25,57.43,52.56,76.84,10.37,0.98,59.47,6.96,1.47,5.1,5.77,9.19,1.58,141.34,65.56,392.47,0.0,19-Oct-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
