from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,WS,WD,RH,SR,RF,to date,station
22-Apr-2019 - 00:00,69.83,145.54,31.94,46.33,36.02,27.12,8.48,0.64,39.55,1.27,0.63,0.66,1.03,1.16,1.65,174.98,34.9,671.62,0.0,23-Apr-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
23-Apr-2019 - 00:00,96.24,215.36,51.67,118.54,114.16,76.22,5.65,1.05,34.26,2.28,0.76,0.85,1.36,1.61,2.13,122.4,34.92,663.89,0.0,24-Apr-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
24-Apr-2019 - 00:00,123.43,286.95,48.37,129.58,130.07,57.3,6.44,1.03,37.48,2.17,0.9,0.86,1.44,1.61,2.16,127.64,43.96,420.76,0.0,25-Apr-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
25-Apr-2019 - 00:00,103.3,229.2,48.72,163.67,170.4,35.55,6.36,1.1,27.09,2.44,1.01,0.99,1.64,1.99,1.78,117.66,39.62,361.7,0.03,26-Apr-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
26-Apr-2019 - 00:00,101.13,221.32,36.59,117.15,122.14,21.12,5.2,1.0,34.11,4.14,0.82,2.67,3.1,3.33,2.15,236.13,38.41,518.35,0.0,27-Apr-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
27-Apr-2019 - 00:00,74.62,213.04,35.44,91.34,90.81,21.32,5.4,0.45,37.35,1.11,0.47,0.63,1.05,1.16,3.84,277.07,24.84,614.07,0.0,28-Apr-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
28-Apr-2019 - 00:00,81.87,236.54,37.47,64.96,56.59,14.8,4.7,0.4,32.06,0.74,0.34,0.46,0.75,0.83,4.4,281.14,20.19,663.91,0.0,29-Apr-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
29-Apr-2019 - 00:00,73.72,182.86,40.56,111.59,112.73,18.22,6.86,0.52,28.32,1.13,0.55,0.61,1.0,1.08,2.43,261.25,17.37,585.62,0.0,30-Apr-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
30-Apr-2019 - 00:00,93.42,211.29,52.06,174.29,183.42,25.49,10.62,0.95,26.03,2.47,0.99,1.09,1.83,2.21,2.28,100.01,21.29,464.25,0.0,01-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
01-May-2019 - 00:00,62.21,145.37,52.35,116.22,110.99,19.96,9.36,0.65,29.54,1.42,0.5,0.85,1.47,1.85,2.75,100.89,27.92,385.04,0.02,02-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
02-May-2019 - 00:00,76.09,114.99,45.48,110.0,107.53,17.02,6.14,0.57,29.54,1.17,0.4,0.72,1.26,1.51,3.84,96.42,37.04,291.14,0.03,03-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
03-May-2019 - 00:00,53.54,108.43,46.37,122.81,122.93,18.56,7.32,0.69,28.37,1.48,0.81,0.78,1.36,1.54,1.74,180.59,31.58,624.25,0.0,04-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
04-May-2019 - 00:00,65.49,158.67,31.83,120.61,119.77,59.41,6.7,0.65,29.68,1.54,0.56,0.76,1.22,1.41,2.41,252.25,26.83,613.9,0.0,05-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
05-May-2019 - 00:00,78.0,181.92,21.22,67.07,45.85,84.0,8.48,0.65,24.88,1.59,0.43,0.69,1.09,1.25,2.75,291.53,22.46,597.46,0.0,06-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
06-May-2019 - 00:00,96.26,206.38,22.7,128.59,105.89,75.78,7.97,0.93,22.71,2.35,0.67,1.31,1.62,2.0,2.26,259.1,21.48,580.26,0.0,07-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
07-May-2019 - 00:00,77.68,159.05,24.3,111.51,87.21,89.04,9.45,0.84,23.89,1.62,0.56,0.83,1.25,1.48,1.82,260.46,16.23,443.48,0.0,08-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
08-May-2019 - 00:00,97.91,203.12,24.38,111.28,86.9,95.88,9.63,0.9,21.35,1.86,0.48,0.83,1.05,1.4,2.18,248.5,19.2,530.25,0.0,09-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
09-May-2019 - 00:00,94.82,212.82,23.43,65.39,41.95,88.27,10.05,0.91,25.92,1.64,0.37,0.59,0.86,1.08,2.93,278.12,18.92,531.52,0.0,10-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
10-May-2019 - 00:00,155.86,309.43,23.56,84.72,61.17,89.36,6.53,0.72,28.72,1.14,0.28,0.41,0.59,0.72,3.59,247.8,25.88,447.11,0.0,11-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
11-May-2019 - 00:00,66.19,135.64,25.28,112.13,86.85,116.03,8.16,0.74,26.81,2.51,0.93,1.3,2.05,2.43,2.12,226.32,31.2,439.76,0.0,12-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
12-May-2019 - 00:00,80.24,156.72,26.85,87.58,60.73,102.32,7.65,0.82,22.52,4.93,1.69,2.7,4.0,5.06,2.39,181.88,30.34,348.9,0.0,13-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
13-May-2019 - 00:00,85.18,174.68,28.25,88.56,60.3,99.71,13.11,0.93,22.93,6.0,5.02,4.07,5.84,8.54,2.21,160.6,31.08,481.83,0.0,14-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
14-May-2019 - 00:00,79.53,150.69,26.73,87.76,61.03,96.0,9.37,0.85,30.04,5.49,1.69,2.72,3.96,5.4,1.96,170.36,46.85,416.2,0.0,15-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
15-May-2019 - 00:00,102.46,201.4,23.0,98.21,75.21,91.61,7.44,0.99,23.07,6.66,1.6,3.2,4.38,6.82,2.75,147.56,44.46,343.0,0.0,16-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
16-May-2019 - 00:00,143.26,250.38,23.0,114.34,91.34,90.49,7.1,1.28,27.0,7.36,1.45,3.71,5.14,7.82,2.19,158.73,50.71,343.73,0.0,17-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
17-May-2019 - 00:00,140.19,256.25,25.38,137.21,111.83,102.86,7.94,1.18,34.91,2.83,0.45,0.9,1.22,1.94,1.73,160.24,52.98,267.78,0.0,18-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
18-May-2019 - 00:00,72.72,147.01,23.05,122.99,99.93,89.44,6.74,0.76,31.85,1.82,0.37,0.64,0.91,1.32,1.74,211.08,47.95,464.38,0.0,19-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
19-May-2019 - 00:00,73.05,142.4,20.61,86.67,66.06,70.07,5.86,0.85,30.58,1.54,0.39,0.59,0.77,1.1,2.51,283.99,36.95,590.23,0.0,20-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
20-May-2019 - 00:00,86.79,172.49,21.35,56.45,35.1,66.1,5.52,0.76,33.29,1.42,0.31,0.47,0.64,0.92,2.56,272.24,31.51,444.43,0.0,21-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
21-May-2019 - 00:00,99.24,188.8,22.07,94.44,72.37,84.17,7.03,0.91,30.9,2.55,0.71,1.18,1.62,2.32,1.97,271.99,27.27,490.9,0.0,22-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
22-May-2019 - 00:00,99.41,199.11,24.64,134.94,110.3,95.56,8.12,0.96,25.16,6.79,1.92,3.25,4.73,7.31,2.24,199.96,26.34,468.47,0.0,23-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
23-May-2019 - 00:00,110.73,228.78,26.65,115.99,89.34,101.42,8.64,0.95,30.66,7.34,1.7,3.14,4.7,6.95,2.17,236.66,31.07,452.41,0.0,24-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
24-May-2019 - 00:00,69.2,135.28,19.01,108.49,89.48,85.67,6.53,0.67,26.86,5.1,1.47,2.67,3.85,6.2,2.7,190.95,52.8,402.19,0.0,25-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
25-May-2019 - 00:00,67.64,155.65,20.46,74.88,54.42,51.39,5.04,0.66,34.14,5.53,1.07,2.13,3.11,4.62,3.49,279.25,44.72,526.84,0.0,26-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
26-May-2019 - 00:00,53.67,106.58,25.32,74.86,49.54,32.37,5.31,0.62,32.94,3.72,1.2,2.03,2.9,3.79,2.39,271.45,34.99,546.32,0.0,27-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
27-May-2019 - 00:00,67.83,141.74,27.31,101.12,73.81,17.12,5.97,0.7,28.17,4.92,1.35,2.39,3.39,5.03,2.79,245.49,26.27,514.6,0.0,28-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
28-May-2019 - 00:00,58.28,132.26,24.95,72.71,47.76,12.98,6.74,0.6,23.93,3.68,1.37,2.27,3.39,4.72,2.66,275.47,19.6,495.36,0.0,29-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
29-May-2019 - 00:00,63.92,138.84,24.12,82.54,58.41,11.83,8.41,0.63,22.78,4.08,1.33,2.27,3.18,5.28,2.45,258.58,18.62,533.92,0.0,30-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
30-May-2019 - 00:00,86.42,190.42,33.55,85.47,65.37,37.79,10.67,0.88,40.66,6.75,1.36,3.15,3.56,8.44,1.79,233.39,21.89,458.75,0.0,31-May-2019 - 00:00,"Gobind Pura, Yamuna Nagar - HSPCB"
