from date,CO,RH,NO,NO2,NOx,NH3,Ozone,PM10,PM2.5,RF,SO2,SR,Temp,WD,WS,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,to date,station
28-Jan-2019 - 00:00,1.07,69.72,24.2,83.63,107.83,32.4,21.67,142.1,81.6,,14.24,113.03,19.85,86.14,0.48,,,,,,29-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
29-Jan-2019 - 00:00,1.12,55.28,57.23,88.81,119.46,29.52,31.78,149.57,78.69,,11.25,148.27,18.45,110.81,0.55,,,,,,30-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
30-Jan-2019 - 00:00,1.13,49.77,35.54,104.55,116.22,26.79,30.1,153.69,80.5,,18.35,130.53,16.81,121.91,0.44,,,,,,31-Jan-2019 - 00:00,"Victoria, Kolkata - WBPCB"
31-Jan-2019 - 00:00,1.87,62.04,103.45,114.97,159.9,28.92,29.71,247.72,132.67,,18.76,120.43,17.86,119.13,0.4,,,,,,01-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
01-Feb-2019 - 00:00,1.85,64.72,105.97,130.37,211.5,31.75,23.52,250.59,136.72,0.53,17.7,113.75,18.88,205.0,0.21,,,,,,02-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
02-Feb-2019 - 00:00,2.49,62.94,115.89,130.72,185.11,33.41,28.6,273.05,155.57,,16.62,152.52,19.86,166.2,0.22,12.91,17.72,6.67,8.87,6.45,03-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
03-Feb-2019 - 00:00,2.03,59.13,127.6,121.83,196.68,33.05,29.07,279.37,137.33,,20.92,174.65,20.1,110.15,0.31,11.72,19.62,3.3,6.5,3.17,04-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
04-Feb-2019 - 00:00,2.21,58.21,165.3,141.66,253.97,34.9,24.84,246.45,126.6,,19.47,226.2,20.16,212.35,0.24,13.59,17.05,4.86,8.07,4.32,05-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
05-Feb-2019 - 00:00,2.23,62.05,144.27,125.45,177.44,35.2,29.8,256.35,142.52,,22.1,161.61,19.6,181.28,0.26,14.61,20.45,3.74,7.43,4.52,06-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
06-Feb-2019 - 00:00,2.11,59.77,161.68,136.57,232.66,35.13,28.44,270.18,151.02,,21.09,169.63,20.51,179.28,0.24,14.79,19.14,3.11,5.97,3.07,07-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
07-Feb-2019 - 00:00,1.83,58.85,121.16,131.67,214.51,39.37,35.55,237.54,145.88,,21.76,175.07,22.24,133.08,0.38,21.81,24.51,3.76,7.39,3.93,08-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
08-Feb-2019 - 00:00,1.22,60.49,57.73,96.75,154.45,38.68,47.03,190.35,104.72,,12.41,197.41,23.5,125.46,0.49,7.5,11.38,1.33,2.5,1.02,09-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
09-Feb-2019 - 00:00,0.92,65.94,2.95,54.16,57.1,37.08,49.23,132.09,83.96,0.2,14.53,235.89,21.9,94.29,0.66,3.44,10.35,0.55,1.11,0.52,10-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
10-Feb-2019 - 00:00,0.51,52.81,8.04,69.7,77.75,32.28,43.89,94.51,44.93,,12.04,181.43,19.76,129.69,0.58,1.92,9.33,0.45,0.98,0.39,11-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
11-Feb-2019 - 00:00,0.89,57.63,61.12,108.48,170.15,33.7,33.84,135.05,69.21,,17.09,151.28,18.95,132.3,0.47,4.73,11.0,2.07,3.11,1.96,12-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
12-Feb-2019 - 00:00,1.22,58.44,101.58,105.27,166.51,38.3,35.16,185.85,100.1,,19.43,153.35,19.35,120.07,0.43,6.79,14.49,1.59,3.38,2.07,13-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
13-Feb-2019 - 00:00,1.69,56.35,78.32,114.62,144.68,47.85,36.93,244.4,114.96,,31.92,168.67,20.68,190.95,0.32,7.5,16.84,2.09,4.16,2.36,14-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
14-Feb-2019 - 00:00,2.58,59.18,88.82,143.35,152.09,101.79,35.05,303.09,163.78,,25.66,164.0,21.77,187.99,0.22,11.68,19.58,3.84,7.54,5.01,15-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
15-Feb-2019 - 00:00,2.11,59.81,113.04,136.73,214.39,117.0,39.74,274.02,149.02,,26.84,212.51,22.81,157.24,0.3,12.89,21.05,3.15,5.94,3.22,16-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
16-Feb-2019 - 00:00,1.29,65.18,75.47,103.34,141.22,89.41,26.14,166.77,79.31,,20.67,208.54,21.5,229.24,0.46,5.62,12.28,1.53,3.21,2.12,17-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
17-Feb-2019 - 00:00,0.94,61.78,34.11,82.28,116.39,70.75,37.62,114.22,66.7,,13.38,185.47,22.25,218.81,0.39,3.08,9.19,0.69,1.5,0.73,18-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
18-Feb-2019 - 00:00,1.18,52.59,81.9,107.33,168.31,76.04,43.56,149.36,84.21,,14.97,154.65,21.31,171.11,0.33,4.48,12.29,1.52,3.13,2.1,19-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
19-Feb-2019 - 00:00,1.2,63.11,87.35,93.3,144.77,86.04,44.71,161.02,100.09,,16.11,152.0,23.15,205.8,0.7,5.36,11.05,1.25,2.74,1.31,20-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
20-Feb-2019 - 00:00,1.18,61.68,44.15,74.57,117.43,72.42,33.27,119.27,71.52,,13.86,171.07,25.3,241.91,0.61,4.79,10.88,0.85,1.85,1.0,21-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
21-Feb-2019 - 00:00,1.33,63.62,65.13,90.99,144.22,78.03,35.27,201.14,105.63,,17.71,160.96,24.74,198.82,0.31,8.18,15.21,1.58,3.74,2.68,22-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
22-Feb-2019 - 00:00,0.97,70.98,14.71,67.67,78.92,65.48,27.13,110.41,66.12,,29.79,162.46,25.73,220.25,0.65,2.92,8.82,0.59,1.31,0.61,23-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
23-Feb-2019 - 00:00,1.47,62.97,80.85,98.56,122.39,100.72,32.91,173.72,86.82,,15.67,168.42,26.19,155.02,0.31,4.61,10.53,1.22,2.59,1.31,24-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
24-Feb-2019 - 00:00,0.93,45.84,41.5,90.65,112.31,93.97,48.04,192.95,95.15,,17.63,164.92,26.04,136.78,0.45,4.82,8.85,1.32,3.23,3.62,25-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
25-Feb-2019 - 00:00,0.9,79.96,7.72,72.56,80.27,60.26,26.93,99.81,52.13,0.86,8.05,44.51,20.38,174.4,0.78,3.22,6.67,0.6,1.33,0.8,26-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
26-Feb-2019 - 00:00,0.94,89.9,6.72,57.83,64.55,47.26,19.73,52.76,33.51,1.62,3.42,35.65,20.75,135.31,0.91,4.41,8.83,0.56,1.22,0.62,27-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
27-Feb-2019 - 00:00,0.75,88.5,6.01,53.78,59.79,44.44,25.1,27.58,18.33,1.15,2.03,101.31,21.01,176.94,1.08,1.98,8.67,0.47,0.96,0.53,28-Feb-2019 - 00:00,"Victoria, Kolkata - WBPCB"
28-Feb-2019 - 00:00,0.98,87.24,28.16,58.95,87.11,45.72,21.51,36.84,24.14,1.28,5.83,33.74,20.5,145.93,0.53,7.03,13.29,0.84,1.78,0.87,01-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
01-Mar-2019 - 00:00,1.13,63.76,57.53,76.95,125.44,50.34,34.88,89.48,45.26,,10.86,209.71,20.4,99.19,0.52,6.73,13.4,1.29,2.8,1.59,02-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
02-Mar-2019 - 00:00,1.36,58.93,95.97,97.51,145.34,60.61,38.4,132.95,64.28,,9.93,178.14,20.56,169.3,0.34,12.76,16.8,1.82,3.71,1.71,03-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
03-Mar-2019 - 00:00,1.78,64.34,112.0,125.8,209.62,75.67,36.32,193.57,86.72,,22.73,124.03,21.73,232.41,0.31,15.98,21.05,2.63,5.51,2.93,04-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
04-Mar-2019 - 00:00,1.07,82.73,4.23,61.71,65.93,46.71,24.68,118.7,55.2,,9.57,104.32,23.88,176.05,0.69,4.04,9.29,0.64,1.4,0.87,05-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
05-Mar-2019 - 00:00,1.2,81.2,8.4,62.8,71.19,42.99,21.58,69.96,41.43,1.43,4.95,97.11,24.48,95.8,0.59,6.93,12.32,0.72,1.52,0.77,06-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
06-Mar-2019 - 00:00,1.27,78.08,24.71,64.0,88.71,43.79,28.14,100.42,56.11,,7.78,120.68,24.25,84.54,0.43,8.22,12.03,0.77,1.64,0.81,07-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
07-Mar-2019 - 00:00,1.15,60.99,44.71,79.84,124.56,48.54,35.89,133.65,70.82,,16.0,105.43,23.33,94.81,0.56,6.83,16.03,1.11,2.36,1.25,08-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
08-Mar-2019 - 00:00,1.02,53.4,42.86,104.49,147.34,54.32,35.21,131.08,66.17,,16.88,105.81,23.65,174.46,0.41,7.49,12.61,1.16,2.51,1.31,09-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
09-Mar-2019 - 00:00,0.8,51.22,12.01,88.05,100.06,48.02,43.71,120.46,62.47,,18.5,92.89,24.99,182.58,0.4,4.17,11.04,0.74,1.62,0.91,10-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
10-Mar-2019 - 00:00,0.94,81.63,3.32,34.74,38.06,38.07,22.81,80.08,43.82,,8.18,19.9,25.58,196.8,1.16,1.55,8.79,0.39,0.81,0.36,11-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
11-Mar-2019 - 00:00,1.05,77.28,7.58,52.73,60.31,35.66,21.33,98.77,50.61,,7.06,18.5,27.47,185.23,0.44,4.43,9.55,0.62,1.41,0.76,12-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
12-Mar-2019 - 00:00,0.94,72.99,3.47,44.4,47.87,31.58,38.1,109.27,71.65,,20.42,15.62,27.79,236.8,0.78,2.38,8.59,0.72,1.27,0.8,13-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
13-Mar-2019 - 00:00,1.07,74.74,4.8,48.62,53.42,28.97,28.71,98.85,63.98,,15.08,13.31,28.49,191.11,0.65,2.27,8.41,0.49,1.08,0.7,14-Mar-2019 - 00:00,"Victoria, Kolkata - WBPCB"
