from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Worli, Mumbai - MPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Worli, Mumbai - MPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Worli, Mumbai - MPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Worli, Mumbai - MPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Worli, Mumbai - MPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Worli, Mumbai - MPCB"
