from date,AT,PM2.5,PM10,RF,RH,SR,Temp,WD,WS,Benzene,Eth-Benzene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
11-Jan-2019 - 00:00,20.73,70.84,176.42,0.0,62.5,41.2,29.95,251.2,0.66,0.34,0.4,1.9,0.72,14.75,12.82,24.63,23.51,53.89,20.64,12-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
12-Jan-2019 - 00:00,21.15,76.36,168.18,0.0,64.56,38.49,29.98,272.44,0.69,0.33,0.31,1.03,0.71,19.05,6.53,22.19,17.11,60.24,28.8,13-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
13-Jan-2019 - 00:00,21.5,88.07,165.81,0.0,69.59,40.77,30.02,275.31,0.88,0.3,0.19,0.83,0.68,24.49,5.08,19.65,14.58,73.67,27.09,14-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
14-Jan-2019 - 00:00,20.59,109.3,204.4,0.0,69.09,42.77,29.82,274.41,1.01,0.39,0.43,1.33,0.71,26.42,3.31,22.72,14.78,64.94,25.99,15-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
15-Jan-2019 - 00:00,20.22,85.22,191.58,0.0,61.7,43.53,29.74,227.25,0.65,0.42,0.4,2.44,0.82,15.45,9.88,28.69,23.29,51.48,29.52,16-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
16-Jan-2019 - 00:00,20.63,75.99,185.33,0.0,57.55,44.82,29.84,216.58,0.58,0.53,0.34,8.92,0.93,13.76,22.37,37.37,38.08,39.36,29.35,17-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
17-Jan-2019 - 00:00,20.95,77.75,196.94,0.0,60.09,42.69,30.01,212.35,0.58,0.46,0.61,5.11,1.0,15.56,23.86,38.66,39.96,42.23,30.49,18-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
18-Jan-2019 - 00:00,20.94,61.93,149.54,0.0,57.84,45.27,29.98,230.11,0.66,0.36,0.24,2.69,0.79,15.47,16.7,34.72,32.06,47.51,27.12,19-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
19-Jan-2019 - 00:00,21.21,68.42,178.46,0.0,56.5,43.69,29.94,209.93,0.56,0.44,0.47,4.92,0.83,16.83,20.5,36.31,33.98,48.04,30.82,20-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
20-Jan-2019 - 00:00,22.19,88.74,244.43,0.0,57.11,43.67,30.08,156.29,0.49,0.53,0.36,3.17,1.16,20.53,30.37,41.55,46.79,43.3,30.22,21-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
21-Jan-2019 - 00:00,23.03,86.89,276.29,0.0,51.97,42.57,30.01,147.82,0.63,0.57,0.38,6.61,1.05,17.9,21.8,41.93,40.03,39.32,32.04,22-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
22-Jan-2019 - 00:00,23.0,56.28,202.62,0.0,58.8,39.91,30.21,146.27,0.63,0.34,0.6,3.82,0.69,18.22,14.84,36.87,31.68,37.52,19.61,23-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
23-Jan-2019 - 00:00,22.78,39.2,176.3,0.0,61.0,42.72,30.28,199.62,0.71,0.24,0.12,1.41,0.5,15.81,11.9,25.62,23.23,42.19,18.19,24-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
24-Jan-2019 - 00:00,21.89,81.68,208.55,0.0,73.31,36.47,30.25,282.19,1.06,0.4,0.4,1.21,0.72,26.94,12.69,18.21,19.72,49.48,25.01,25-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
25-Jan-2019 - 00:00,20.79,78.24,168.38,0.0,86.7,17.47,30.2,299.5,1.28,0.35,0.26,0.63,0.57,26.95,9.74,10.08,13.29,52.17,18.24,26-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
26-Jan-2019 - 00:00,20.37,50.68,103.16,0.0,78.64,40.73,29.97,304.08,1.51,0.22,0.15,0.51,0.41,16.37,6.5,8.45,9.78,63.61,19.67,27-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
27-Jan-2019 - 00:00,19.48,50.86,107.43,0.0,69.05,43.86,29.78,281.86,1.16,0.23,0.11,0.62,0.41,13.01,6.5,7.23,9.12,64.55,19.5,28-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
28-Jan-2019 - 00:00,18.93,53.05,131.62,0.0,58.43,44.94,29.64,232.41,0.96,0.24,0.02,1.2,0.56,11.05,15.07,19.15,22.44,55.49,22.03,29-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
29-Jan-2019 - 00:00,18.91,60.8,157.5,0.0,54.56,44.53,29.69,216.52,0.68,0.33,0.27,2.32,0.67,10.36,12.17,25.38,23.34,50.09,20.47,30-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
30-Jan-2019 - 00:00,19.64,68.42,171.95,0.0,56.48,44.11,29.95,204.58,0.61,0.4,0.35,3.4,0.82,12.77,18.87,32.17,32.45,49.81,38.26,31-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
31-Jan-2019 - 00:00,21.04,86.28,249.95,0.0,55.54,39.19,29.9,170.75,0.54,0.52,0.17,3.47,1.16,17.64,26.09,56.18,51.09,53.71,24.38,01-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
01-Feb-2019 - 00:00,22.42,81.1,224.7,0.0,57.28,40.85,30.07,153.6,0.64,0.47,0.18,2.09,0.96,19.89,14.17,30.23,27.6,66.39,24.84,02-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
02-Feb-2019 - 00:00,22.08,71.22,161.12,0.0,69.73,38.04,30.64,251.31,0.85,0.33,0.52,1.86,0.65,20.84,7.95,16.95,15.47,80.66,22.0,03-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
03-Feb-2019 - 00:00,23.12,80.64,171.44,0.0,66.75,39.15,30.32,255.33,0.85,0.39,0.35,0.86,0.68,18.21,2.95,11.82,8.69,101.33,35.42,04-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
04-Feb-2019 - 00:00,23.87,77.35,237.01,0.0,59.62,39.85,30.04,196.72,0.64,0.58,1.13,9.32,0.9,12.77,9.95,18.31,17.83,72.31,48.28,05-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
05-Feb-2019 - 00:00,23.98,75.94,315.06,0.0,54.19,40.47,29.31,146.44,0.6,0.4,1.51,3.99,0.98,6.57,10.39,15.0,16.44,54.57,25.43,06-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
06-Feb-2019 - 00:00,24.61,91.6,315.54,0.02,54.46,38.39,29.47,137.7,0.73,0.47,1.21,4.71,0.88,6.69,7.64,8.84,10.91,58.02,31.57,07-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
07-Feb-2019 - 00:00,23.66,38.72,163.15,0.01,57.01,57.83,29.62,154.97,0.72,0.18,0.44,1.18,0.48,6.84,6.34,5.88,8.29,49.84,19.12,08-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
08-Feb-2019 - 00:00,21.24,31.03,169.47,0.0,51.08,61.02,29.45,181.62,0.73,0.17,0.09,1.15,0.37,2.32,5.87,5.25,7.37,52.42,18.16,09-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
09-Feb-2019 - 00:00,19.73,29.84,124.57,0.0,51.6,62.1,29.79,222.65,0.9,0.22,0.12,1.09,0.42,1.95,6.47,4.61,7.27,62.03,27.86,10-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
10-Feb-2019 - 00:00,19.96,31.23,87.8,0.0,51.57,62.61,29.71,227.27,0.76,0.24,0.16,0.97,0.51,1.37,6.42,5.36,8.07,73.93,23.77,11-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
11-Feb-2019 - 00:00,21.05,32.65,105.41,0.0,54.26,60.36,29.92,237.5,0.76,0.19,0.25,1.24,0.5,3.5,6.49,6.83,8.91,74.42,23.3,12-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
12-Feb-2019 - 00:00,23.13,59.41,148.69,0.0,55.06,57.07,29.75,224.77,0.64,0.28,0.56,3.63,0.62,5.85,6.59,8.27,9.76,88.14,47.49,13-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
13-Feb-2019 - 00:00,24.43,65.44,206.36,0.0,58.08,54.0,29.94,222.73,0.61,0.25,0.3,1.92,0.69,7.76,6.93,11.07,11.52,79.08,31.22,14-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
14-Feb-2019 - 00:00,25.35,75.65,213.93,0.0,57.48,53.23,30.27,187.42,0.72,0.34,0.76,5.38,0.76,10.28,6.97,12.0,11.95,73.94,33.41,15-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
15-Feb-2019 - 00:00,24.46,47.79,118.71,0.09,63.52,59.45,30.09,167.32,0.81,0.24,0.93,1.8,0.58,18.13,6.23,17.07,14.14,60.55,17.85,16-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
16-Feb-2019 - 00:00,22.28,66.17,123.93,0.0,65.89,61.06,29.9,107.65,0.92,0.3,0.82,0.96,0.5,26.14,7.26,21.13,17.15,77.71,18.35,17-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
17-Feb-2019 - 00:00,21.58,42.95,109.76,0.0,55.98,66.59,29.38,173.2,0.66,0.21,0.62,1.23,0.53,13.61,14.77,24.93,25.27,73.3,21.88,18-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
18-Feb-2019 - 00:00,23.17,57.47,165.57,0.0,57.05,52.17,29.55,180.16,0.6,0.44,1.19,3.53,0.7,16.57,12.89,30.71,26.81,50.92,25.89,19-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
19-Feb-2019 - 00:00,24.22,70.12,211.28,0.0,56.98,62.15,29.86,180.29,0.57,0.46,1.55,6.99,0.78,18.47,16.84,35.2,32.41,45.0,33.36,20-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
20-Feb-2019 - 00:00,24.93,61.08,159.25,0.0,52.65,61.83,29.94,151.02,0.65,0.33,0.8,4.32,0.68,17.12,16.36,27.76,28.07,32.84,28.64,21-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
21-Feb-2019 - 00:00,26.42,46.02,126.6,0.07,59.69,64.94,30.31,177.86,0.84,0.23,1.17,2.96,0.68,20.61,7.89,31.22,23.01,36.09,31.72,22-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
22-Feb-2019 - 00:00,25.48,45.14,138.47,0.0,56.04,66.4,30.39,189.82,0.75,0.37,0.77,3.6,0.57,17.49,15.56,26.99,27.02,45.37,20.97,23-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
23-Feb-2019 - 00:00,24.17,45.39,104.55,0.0,65.02,65.02,30.33,96.42,1.02,0.29,1.2,1.21,0.44,19.04,4.29,13.34,10.58,60.0,28.66,24-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
24-Feb-2019 - 00:00,24.41,41.95,119.9,0.0,59.21,57.21,30.91,140.91,0.75,0.22,1.33,0.97,0.57,14.92,13.89,19.03,20.99,58.57,31.02,25-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
25-Feb-2019 - 00:00,23.84,44.77,174.53,0.0,46.88,69.38,30.33,200.35,0.68,0.28,0.92,4.12,0.58,15.12,16.94,40.71,35.42,38.89,25.34,26-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
26-Feb-2019 - 00:00,24.15,47.26,192.05,0.0,43.01,65.26,29.58,214.11,0.8,0.26,1.14,3.77,0.86,14.78,22.29,35.21,36.85,65.06,18.86,27-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
27-Feb-2019 - 00:00,23.84,29.7,125.61,0.0,50.99,52.94,29.85,226.85,0.85,0.14,0.93,0.77,1.03,15.47,7.67,30.3,22.36,50.66,14.49,28-Feb-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
28-Feb-2019 - 00:00,22.31,25.21,79.0,0.0,53.74,71.2,29.67,78.28,1.33,0.13,1.55,0.77,0.58,15.22,6.59,24.47,18.36,57.87,47.12,01-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
01-Mar-2019 - 00:00,22.28,27.84,84.2,0.0,43.83,71.78,29.54,105.53,0.89,0.15,2.49,0.91,0.43,13.63,8.66,36.21,26.3,56.78,19.25,02-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
02-Mar-2019 - 00:00,24.23,36.38,94.94,0.0,42.27,65.36,29.55,111.36,0.79,0.15,2.43,3.0,0.55,18.11,4.6,25.19,17.13,67.5,29.24,03-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
03-Mar-2019 - 00:00,25.84,52.24,135.52,0.0,52.0,58.66,29.99,166.95,0.85,0.2,0.56,0.71,0.66,26.81,3.48,27.55,17.49,71.97,42.72,04-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
04-Mar-2019 - 00:00,25.14,54.74,182.69,0.0,57.8,58.54,30.05,227.62,0.67,0.15,0.49,0.67,0.61,24.04,11.16,37.46,28.99,50.35,16.77,05-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
05-Mar-2019 - 00:00,24.04,41.69,130.3,0.0,52.31,68.81,29.72,156.61,0.91,0.2,1.29,1.06,0.52,17.47,8.5,30.12,22.94,60.3,16.93,06-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
06-Mar-2019 - 00:00,23.51,39.27,108.66,0.0,50.82,70.08,29.58,140.82,0.84,0.24,1.8,2.06,0.57,17.49,11.26,31.69,26.0,60.44,31.32,07-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
07-Mar-2019 - 00:00,23.9,39.2,105.8,0.0,45.5,70.32,29.49,133.14,0.76,0.26,2.59,3.07,0.56,16.53,8.99,27.89,22.14,68.71,25.05,08-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
08-Mar-2019 - 00:00,24.62,48.2,170.89,0.0,45.11,69.66,29.61,167.75,0.64,0.28,2.24,4.59,0.8,18.32,31.78,39.69,46.95,56.39,20.43,09-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
09-Mar-2019 - 00:00,25.45,42.12,190.96,0.0,37.81,71.52,29.72,201.12,0.71,0.25,0.77,2.83,0.9,13.17,12.68,62.95,43.8,39.96,11.22,10-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
10-Mar-2019 - 00:00,24.84,41.85,141.98,0.0,47.3,69.69,30.27,154.55,0.74,0.2,0.67,1.72,1.25,15.12,16.19,30.03,28.35,54.53,20.65,11-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
11-Mar-2019 - 00:00,26.06,53.77,191.69,0.0,44.23,65.97,30.3,207.35,0.68,0.24,0.62,1.33,1.08,19.35,14.16,45.23,35.12,43.87,15.77,12-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
12-Mar-2019 - 00:00,25.82,38.55,159.35,0.0,35.62,69.15,29.82,172.38,0.63,0.29,0.73,4.3,0.74,16.24,21.04,53.48,45.56,53.51,29.84,13-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
13-Mar-2019 - 00:00,26.32,47.09,191.24,0.0,40.83,68.67,29.82,168.72,0.77,0.29,2.07,3.05,0.9,21.02,14.85,51.17,39.29,57.86,26.31,14-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
14-Mar-2019 - 00:00,26.71,38.36,147.38,0.0,39.95,54.96,29.98,193.39,0.74,0.17,1.73,0.95,0.74,27.01,12.05,50.88,36.86,72.6,21.39,15-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
15-Mar-2019 - 00:00,24.62,44.16,147.57,0.0,49.58,57.43,29.83,78.28,1.21,0.19,1.5,1.56,0.74,44.79,13.11,48.39,36.41,82.05,35.02,16-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
16-Mar-2019 - 00:00,25.24,42.46,128.5,0.0,45.02,71.6,29.95,70.65,1.37,0.17,1.84,1.55,0.61,33.74,11.95,33.05,27.11,73.04,54.37,17-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
17-Mar-2019 - 00:00,25.19,35.51,106.33,0.0,43.55,56.51,29.47,86.43,1.18,0.12,1.32,1.14,0.53,25.76,2.48,20.6,12.97,71.37,34.55,18-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
18-Mar-2019 - 00:00,25.24,43.02,119.86,0.0,43.59,72.33,29.36,134.34,0.87,0.19,2.16,1.07,0.65,23.29,11.77,31.33,26.24,65.65,21.08,19-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
19-Mar-2019 - 00:00,25.84,51.84,161.15,0.0,38.05,71.74,29.29,159.85,0.69,0.28,1.37,3.73,0.89,20.11,36.79,58.46,61.0,51.11,29.02,20-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
20-Mar-2019 - 00:00,26.78,59.78,196.46,0.0,38.48,65.85,29.36,211.76,0.69,0.29,2.51,4.71,1.14,22.11,24.59,57.59,50.63,51.57,28.85,21-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
21-Mar-2019 - 00:00,26.67,44.7,129.51,0.0,32.07,74.18,29.48,212.65,0.75,0.28,1.26,4.28,0.8,17.62,6.16,32.86,22.49,56.76,19.55,22-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
22-Mar-2019 - 00:00,26.09,37.29,120.53,0.0,36.61,71.35,29.3,128.48,0.82,0.17,1.1,1.56,0.71,19.58,10.53,31.38,25.26,71.66,23.97,23-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
23-Mar-2019 - 00:00,26.28,38.66,123.75,0.0,34.64,72.79,29.37,107.33,0.96,0.15,2.16,1.94,0.61,18.69,6.3,22.75,17.22,89.86,28.04,24-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
24-Mar-2019 - 00:00,26.87,50.54,162.43,0.0,32.36,73.61,29.53,164.14,0.62,0.43,2.74,8.79,0.8,19.82,13.5,44.24,34.51,71.27,34.59,25-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
25-Mar-2019 - 00:00,27.8,57.6,189.05,0.0,32.28,68.25,29.43,191.96,0.73,0.26,1.7,5.1,0.92,22.31,13.59,46.45,35.76,64.75,15.53,26-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
26-Mar-2019 - 00:00,27.31,39.05,141.46,0.0,34.59,73.53,29.34,120.86,0.86,0.16,1.67,1.67,0.59,21.67,8.16,33.3,24.35,60.87,24.06,27-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
27-Mar-2019 - 00:00,27.02,41.52,145.58,0.0,34.02,75.32,29.22,129.82,0.76,0.25,1.78,4.19,0.66,19.17,13.85,35.1,29.92,48.89,26.44,28-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
28-Mar-2019 - 00:00,27.65,56.91,217.99,0.0,31.76,73.36,29.61,142.88,0.66,0.34,1.69,2.46,1.05,20.75,30.54,54.84,54.0,37.91,26.34,29-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
29-Mar-2019 - 00:00,28.81,67.74,283.2,0.0,30.99,72.72,30.19,208.4,0.66,0.28,1.31,2.65,1.26,23.56,45.44,63.48,70.72,33.25,20.83,30-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
30-Mar-2019 - 00:00,29.87,50.07,214.66,0.0,22.56,72.81,29.97,212.91,0.84,0.18,1.42,1.76,0.86,18.94,22.84,57.31,49.05,32.71,13.08,31-Mar-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
31-Mar-2019 - 00:00,29.98,40.04,188.75,0.0,19.81,72.38,29.77,192.91,1.06,0.12,0.44,0.8,0.54,16.96,3.82,29.35,18.71,44.65,18.14,01-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
01-Apr-2019 - 00:00,28.48,41.71,157.86,0.0,27.58,74.38,29.66,129.33,0.77,0.17,1.8,1.58,0.63,19.04,5.52,34.9,23.05,46.62,21.17,02-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
02-Apr-2019 - 00:00,28.51,52.97,207.68,0.0,24.0,73.52,29.92,154.98,0.76,0.31,3.08,6.94,0.98,20.71,29.14,52.96,51.46,39.79,28.17,03-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
03-Apr-2019 - 00:00,29.0,65.56,239.46,0.0,22.72,73.16,30.33,188.69,0.64,0.43,1.78,10.4,1.09,20.3,31.73,69.05,62.53,34.91,44.6,04-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
04-Apr-2019 - 00:00,29.66,81.28,311.66,0.0,21.58,70.04,30.25,191.46,0.78,0.34,1.42,9.28,1.12,22.46,35.41,76.46,69.45,30.09,24.01,05-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
05-Apr-2019 - 00:00,30.57,56.7,204.04,0.0,19.7,68.65,30.36,207.97,1.07,0.17,0.5,2.02,0.68,21.09,7.9,42.59,29.08,40.06,20.36,06-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
06-Apr-2019 - 00:00,30.27,42.4,162.77,0.0,23.61,72.85,29.94,225.98,1.01,0.14,0.44,2.25,0.61,21.01,8.15,44.79,30.46,39.27,18.1,07-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
07-Apr-2019 - 00:00,29.92,42.86,149.65,0.0,24.0,66.86,29.32,207.66,1.17,0.12,0.88,0.87,0.58,17.58,3.61,29.16,18.45,37.24,29.92,08-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
08-Apr-2019 - 00:00,30.0,39.52,210.03,0.0,24.75,76.61,29.64,178.9,1.04,0.14,0.94,2.17,0.54,17.79,16.2,43.17,36.13,29.57,20.67,09-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
09-Apr-2019 - 00:00,30.22,41.89,175.24,0.0,19.39,78.82,29.78,230.34,0.96,0.12,0.8,1.39,0.57,16.04,10.17,47.79,33.69,31.23,15.88,10-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
10-Apr-2019 - 00:00,30.64,48.73,175.98,0.0,20.6,75.35,29.74,218.09,0.96,0.15,0.96,1.44,0.69,16.33,13.07,43.24,33.63,37.47,18.99,11-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
11-Apr-2019 - 00:00,30.97,49.9,197.46,0.0,22.12,66.82,29.7,182.58,0.86,0.19,1.01,3.46,0.73,20.4,8.34,42.32,29.3,39.33,22.37,12-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
12-Apr-2019 - 00:00,30.71,60.5,205.33,0.0,21.08,75.18,29.86,213.86,0.84,0.22,1.2,2.41,0.92,18.31,12.99,48.86,36.55,33.41,22.7,13-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
13-Apr-2019 - 00:00,30.91,51.99,218.81,0.0,16.42,75.44,29.8,205.23,0.89,0.24,3.56,4.74,0.79,15.41,15.28,50.95,39.53,33.79,22.85,14-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
14-Apr-2019 - 00:00,30.78,54.45,188.9,0.0,17.61,74.15,29.85,165.22,0.9,0.23,2.89,2.73,0.93,18.83,8.69,45.0,31.01,41.4,24.11,15-Apr-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
