from date,AT,PM2.5,PM10,RF,RH,SR,Temp,WD,WS,Benzene,Eth-Benzene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,20.59,95.81,207.39,0.0,57.27,40.09,29.79,196.42,0.46,0.59,0.15,3.82,1.23,14.38,23.39,31.76,35.9,41.29,31.51,02-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
02-Jan-2019 - 00:00,21.23,106.89,255.81,0.0,57.52,41.88,29.54,178.11,0.55,0.67,0.1,7.88,1.22,16.43,22.39,39.09,38.99,42.54,25.55,03-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
03-Jan-2019 - 00:00,21.14,90.75,196.91,0.0,60.56,42.14,29.62,201.72,0.53,0.53,0.11,7.52,1.04,17.06,26.64,34.01,38.67,50.06,25.89,04-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
04-Jan-2019 - 00:00,21.01,87.34,202.62,0.0,61.72,40.12,29.64,222.14,0.52,0.48,0.37,5.98,0.98,16.73,28.37,32.43,40.31,44.37,26.29,05-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
05-Jan-2019 - 00:00,21.72,111.32,262.55,0.0,63.76,35.61,29.65,162.38,0.51,0.61,0.46,5.78,1.28,20.96,27.52,44.69,46.15,39.58,32.39,06-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
06-Jan-2019 - 00:00,22.06,91.61,199.95,0.0,61.69,41.04,29.73,186.26,0.68,0.46,0.5,3.86,0.88,21.47,17.82,29.74,30.31,51.85,24.06,07-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
07-Jan-2019 - 00:00,20.33,136.12,236.32,0.0,71.62,39.64,29.92,281.91,0.92,0.53,0.18,1.18,0.88,31.28,5.29,20.21,14.87,58.86,18.53,08-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
08-Jan-2019 - 00:00,19.75,115.91,224.29,0.0,74.28,41.94,30.11,217.64,0.61,0.53,0.56,4.97,1.07,21.06,15.91,32.38,30.16,43.67,27.01,09-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
09-Jan-2019 - 00:00,19.96,105.78,218.54,0.0,66.55,42.27,29.96,242.08,0.69,0.5,0.18,3.78,0.99,17.14,24.97,29.32,35.52,47.01,23.57,10-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
10-Jan-2019 - 00:00,20.04,94.56,228.05,0.0,66.58,42.07,30.09,222.88,0.59,0.45,0.32,3.68,0.95,16.36,22.84,31.78,35.08,43.18,21.24,11-Jan-2019 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
