from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,Toluene,AT,SR,RH,RF,WS,WD,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Manali Village, Chennai - TNPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Manali Village, Chennai - TNPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
28-Mar-2019 - 00:00,46.97,55.69,4.64,6.33,1.7,11.23,15.53,0.45,13.23,0.0,0.0,0.0,0.0,8.33,366.11,49.98,5.66,,63.21,29-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
29-Mar-2019 - 00:00,-23.68,11.96,19.17,43.52,25.65,27.08,23.0,0.81,34.81,0.0,0.0,0.0,0.0,11.89,319.97,49.93,5.66,27.73,70.04,30-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
30-Mar-2019 - 00:00,23.02,31.83,4.85,4.87,3.46,47.25,15.1,0.41,49.94,0.0,0.0,0.0,0.0,10.67,484.62,49.72,3.67,29.51,85.21,31-Mar-2019 - 00:00,"Manali Village, Chennai - TNPCB"
31-Mar-2019 - 00:00,34.51,44.65,2.19,2.41,0.56,32.09,8.61,0.5,46.04,0.0,0.0,0.0,0.0,10.42,482.78,49.11,0.32,21.85,91.16,01-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
