from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,Toluene,AT,SR,RH,RF,WS,WD,to date,station
01-Apr-2019 - 00:00,37.89,45.63,3.1,3.6,1.2,34.65,8.56,0.53,43.22,0.0,0.0,0.0,0.0,10.8,515.47,48.66,0.29,20.99,81.54,02-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
02-Apr-2019 - 00:00,31.08,39.21,1.53,2.48,1.72,34.76,8.52,0.47,42.01,0.0,0.0,0.0,0.0,8.61,446.81,49.72,0.32,17.53,83.57,03-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
03-Apr-2019 - 00:00,23.21,27.93,0.79,2.4,2.25,32.83,8.42,0.43,54.0,0.0,0.0,0.0,0.0,9.61,245.47,49.79,0.31,20.14,90.33,04-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
04-Apr-2019 - 00:00,32.02,42.09,2.59,6.37,3.78,35.07,8.61,0.49,40.73,0.0,0.0,0.0,0.0,2.13,621.58,48.26,0.33,30.03,87.28,05-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
05-Apr-2019 - 00:00,21.38,27.21,1.75,4.85,3.33,46.9,8.29,0.37,31.59,0.0,0.0,0.0,0.0,7.33,403.5,48.43,0.33,27.67,69.23,06-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
08-Apr-2019 - 00:00,27.75,39.39,3.19,5.66,2.47,38.64,8.48,0.54,31.64,0.0,0.0,0.0,0.0,2.14,666.91,50.12,0.29,30.75,86.21,09-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
09-Apr-2019 - 00:00,22.19,26.96,1.32,1.88,1.98,30.01,8.34,0.61,34.77,0.0,0.0,0.0,0.0,10.4,301.66,49.93,0.3,21.83,71.34,10-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
10-Apr-2019 - 00:00,19.03,28.09,1.57,3.2,2.45,30.34,8.38,0.57,39.59,0.0,0.0,0.0,0.0,9.39,476.15,49.86,0.3,21.61,79.04,11-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
11-Apr-2019 - 00:00,19.27,30.69,3.21,5.2,2.8,34.55,8.32,0.57,37.3,0.0,0.0,0.0,0.0,10.28,489.2,49.63,1.93,20.7,87.7,12-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
12-Apr-2019 - 00:00,18.04,27.51,3.77,6.52,2.76,37.71,8.25,0.56,37.01,0.0,0.0,0.0,0.0,9.52,483.8,49.68,3.73,20.56,86.95,13-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
13-Apr-2019 - 00:00,17.59,24.99,3.24,6.72,3.48,35.64,8.69,0.57,38.52,0.0,0.0,0.0,0.0,9.11,503.18,49.14,3.73,28.2,87.0,14-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
14-Apr-2019 - 00:00,15.11,22.51,2.04,4.91,2.87,33.25,8.26,0.57,42.49,0.0,0.0,0.0,0.0,9.39,507.19,49.7,3.72,34.95,89.15,15-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
15-Apr-2019 - 00:00,23.13,33.09,3.87,6.42,2.54,32.8,8.29,0.62,38.33,0.0,0.0,0.0,0.0,11.33,534.89,48.86,3.72,19.81,88.29,16-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
16-Apr-2019 - 00:00,31.35,37.15,4.52,7.16,2.64,34.14,8.61,0.64,35.58,0.0,0.0,0.0,0.0,11.86,520.19,49.07,3.72,22.46,93.32,17-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
17-Apr-2019 - 00:00,29.94,39.8,3.41,5.72,2.31,32.39,8.63,0.64,37.98,0.0,0.0,0.0,0.0,10.59,508.79,46.65,3.72,24.57,87.56,18-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
18-Apr-2019 - 00:00,15.22,21.22,1.55,3.95,2.4,29.66,8.33,0.64,41.08,0.0,0.0,0.0,0.0,10.11,525.49,49.78,3.73,25.57,73.96,19-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
19-Apr-2019 - 00:00,11.99,17.77,2.33,4.36,2.03,28.39,8.36,0.63,38.42,0.0,0.0,0.0,0.0,8.8,463.86,49.62,3.74,26.05,80.25,20-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
20-Apr-2019 - 00:00,13.74,20.09,2.87,4.93,2.05,29.28,8.38,0.64,37.56,0.0,0.0,0.0,0.0,7.6,489.78,49.64,3.67,20.71,82.59,21-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
21-Apr-2019 - 00:00,12.77,18.93,2.91,4.67,1.76,26.13,8.32,0.65,39.22,0.0,0.0,0.0,0.0,9.27,446.71,48.75,3.66,24.48,84.9,22-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
22-Apr-2019 - 00:00,14.05,21.22,3.62,6.36,2.73,30.23,9.35,0.66,34.39,0.0,0.0,0.0,0.0,9.01,348.79,49.3,3.61,20.13,95.48,23-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
23-Apr-2019 - 00:00,22.79,30.53,4.43,7.33,2.9,32.83,8.59,0.54,33.32,0.0,0.0,0.0,0.0,8.8,401.54,49.55,3.48,8.99,99.19,24-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
24-Apr-2019 - 00:00,36.86,39.19,4.07,10.79,6.72,32.91,8.23,0.45,31.0,0.0,0.0,0.0,0.0,11.45,493.48,48.36,3.48,12.94,98.08,25-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
25-Apr-2019 - 00:00,43.16,49.14,4.62,8.7,4.08,37.57,8.46,0.57,46.77,0.0,0.0,0.0,0.0,11.02,458.67,49.06,3.49,10.58,97.57,26-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
26-Apr-2019 - 00:00,38.09,43.41,5.18,9.52,4.34,37.11,8.62,0.57,53.57,0.0,0.0,0.0,0.0,8.88,471.58,49.59,3.49,27.55,93.95,27-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
27-Apr-2019 - 00:00,24.66,33.1,4.19,7.23,3.04,32.45,8.55,0.58,37.41,0.0,0.0,0.0,0.0,10.11,471.51,49.67,3.49,20.95,90.07,28-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
28-Apr-2019 - 00:00,21.74,32.03,3.11,6.05,2.94,26.78,8.65,0.63,43.28,0.0,0.0,0.0,0.0,10.66,262.41,49.69,3.48,17.75,87.86,29-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
29-Apr-2019 - 00:00,18.38,26.58,4.28,7.67,3.4,27.45,8.95,0.64,35.45,0.0,0.0,0.0,0.0,9.87,292.23,49.78,3.48,11.45,89.62,30-Apr-2019 - 00:00,"Manali Village, Chennai - TNPCB"
30-Apr-2019 - 00:00,20.47,26.91,5.18,7.46,2.29,32.62,10.26,0.67,38.53,0.0,0.0,0.0,0.0,8.01,325.64,48.83,3.49,16.24,124.46,01-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
01-May-2019 - 00:00,53.33,54.31,5.38,7.04,1.65,28.59,10.22,0.79,42.95,0.0,0.0,0.0,0.0,10.09,164.29,47.46,3.48,4.99,145.77,02-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
02-May-2019 - 00:00,51.11,64.79,7.08,8.63,1.55,22.31,9.02,0.8,40.75,0.0,0.0,0.0,0.0,10.67,299.91,44.9,3.48,27.9,116.88,03-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
03-May-2019 - 00:00,53.7,71.25,7.22,8.84,1.62,22.28,9.25,0.72,36.21,0.0,0.0,0.0,0.0,10.21,463.19,44.04,3.49,17.07,113.79,04-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
04-May-2019 - 00:00,54.0,66.81,6.56,8.22,1.67,22.33,9.43,0.73,42.1,0.0,0.0,0.0,0.0,8.58,396.21,47.64,3.49,11.02,98.24,05-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
05-May-2019 - 00:00,49.9,64.16,4.72,6.58,1.86,19.91,8.95,0.77,43.74,0.0,0.0,0.0,0.0,10.04,453.93,49.91,3.5,17.73,92.8,06-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
06-May-2019 - 00:00,52.25,63.38,5.85,8.44,2.74,25.9,8.8,0.77,46.82,0.0,0.0,0.0,0.0,11.85,442.02,49.23,3.5,28.58,94.72,07-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
07-May-2019 - 00:00,55.84,67.04,5.93,8.41,2.5,25.14,8.88,0.8,49.16,0.0,0.0,0.0,0.0,11.16,482.66,48.53,3.5,35.9,100.06,08-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
08-May-2019 - 00:00,41.12,50.84,6.78,8.79,2.01,23.33,8.85,0.91,53.37,0.0,0.0,0.0,0.0,10.65,397.46,45.32,3.49,24.03,116.63,09-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
09-May-2019 - 00:00,41.47,47.62,8.5,10.8,2.24,23.93,8.93,0.77,48.95,0.0,0.0,0.0,0.0,9.07,438.61,46.39,3.48,29.87,112.13,10-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
10-May-2019 - 00:00,40.48,53.82,15.75,34.45,29.92,29.4,8.92,0.63,49.7,0.0,0.0,0.0,0.0,8.88,440.93,47.06,3.6,24.63,92.7,11-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
11-May-2019 - 00:00,32.91,48.07,3.34,6.07,2.74,19.7,8.84,0.5,54.68,0.0,0.0,0.0,0.0,11.91,452.58,49.98,3.7,28.51,86.96,12-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
12-May-2019 - 00:00,29.09,43.21,1.97,5.21,3.29,22.82,8.74,0.5,54.79,0.0,0.0,0.0,0.0,9.87,443.57,49.86,3.71,3.04,81.12,13-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
13-May-2019 - 00:00,29.33,48.09,4.75,9.22,4.46,25.48,8.74,0.46,49.55,0.0,0.0,0.0,0.0,13.0,454.59,49.71,3.7,22.81,85.94,14-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
14-May-2019 - 00:00,31.24,40.35,24.51,50.58,59.66,24.96,8.9,0.6,90.65,0.0,0.0,0.0,0.0,12.23,484.74,50.1,3.69,22.44,81.26,15-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
15-May-2019 - 00:00,31.05,40.83,4.16,6.41,2.29,22.46,9.03,0.64,87.82,0.0,0.0,0.0,0.0,9.75,471.48,49.93,3.69,21.13,85.56,16-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
16-May-2019 - 00:00,28.92,37.96,3.73,6.3,2.56,20.93,9.03,0.61,90.09,0.0,0.0,0.0,0.0,9.99,431.67,49.27,3.7,13.34,78.7,17-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
17-May-2019 - 00:00,26.97,36.81,4.14,6.82,2.68,20.02,9.05,0.62,83.58,0.0,0.0,0.0,0.0,9.22,447.47,50.16,3.69,14.06,84.77,18-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
18-May-2019 - 00:00,36.22,44.51,6.93,9.85,3.78,33.73,8.88,0.63,76.72,0.0,0.0,0.0,0.0,9.29,435.28,50.04,3.7,22.39,84.73,19-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
19-May-2019 - 00:00,27.92,40.02,8.84,10.4,1.56,29.08,8.91,0.6,56.75,0.0,0.0,0.0,0.0,9.35,480.65,49.98,3.7,21.89,85.89,20-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
20-May-2019 - 00:00,23.82,37.23,10.95,13.11,2.16,26.88,8.91,0.59,57.63,0.0,0.0,0.0,0.0,9.51,466.89,49.66,3.7,20.76,86.83,21-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
21-May-2019 - 00:00,27.82,40.85,9.76,12.32,2.57,27.27,8.93,0.6,65.65,0.0,0.0,0.0,0.0,10.1,451.3,48.59,3.65,21.01,85.38,22-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
22-May-2019 - 00:00,29.04,42.96,9.28,11.92,2.64,24.89,8.9,0.59,68.09,0.0,0.0,0.0,0.0,11.81,471.08,48.36,3.69,22.94,85.9,23-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
23-May-2019 - 00:00,25.8,41.62,11.03,13.94,2.91,27.75,8.87,0.64,59.62,0.0,0.0,0.0,0.0,8.86,466.99,48.59,3.68,29.43,85.68,24-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
24-May-2019 - 00:00,20.45,40.06,10.58,13.98,3.41,32.2,8.78,0.61,65.28,0.0,0.0,0.0,0.0,4.55,468.01,49.78,3.69,24.5,87.33,25-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
25-May-2019 - 00:00,22.18,42.12,10.57,14.16,3.59,35.26,8.74,0.67,65.87,0.0,0.0,0.0,0.0,4.94,450.54,48.55,3.34,24.54,89.17,26-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
26-May-2019 - 00:00,18.14,37.39,8.82,12.22,3.41,29.98,8.69,0.65,56.47,0.0,0.0,0.0,0.0,,466.04,49.2,3.69,29.05,90.47,27-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
27-May-2019 - 00:00,17.15,34.55,10.72,13.91,3.19,31.79,8.79,0.71,66.23,0.0,0.0,0.0,0.0,,456.95,49.68,3.68,24.46,88.14,28-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
28-May-2019 - 00:00,18.93,39.93,10.02,11.82,1.94,29.83,8.88,0.75,101.33,0.0,0.0,0.0,0.0,,448.52,49.45,3.68,33.33,89.97,29-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
29-May-2019 - 00:00,24.51,44.6,8.59,9.62,1.09,21.38,9.09,0.79,98.61,0.0,0.0,0.0,0.0,,416.69,49.45,3.68,29.16,92.65,30-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
30-May-2019 - 00:00,22.42,47.03,7.59,8.76,1.16,20.52,9.04,0.67,77.01,0.0,0.0,0.0,0.0,,205.5,49.76,3.69,27.96,88.86,31-May-2019 - 00:00,"Manali Village, Chennai - TNPCB"
31-May-2019 - 00:00,23.72,50.86,6.65,9.15,2.5,22.25,8.95,0.63,82.55,0.0,0.0,0.0,0.0,,453.43,48.62,3.69,26.54,87.91,01-Jun-2019 - 00:00,"Manali Village, Chennai - TNPCB"
