from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,14.71,983.83,555.57,380.23,52.34,168.85,59.74,233.49,0.38,4.52,15.99,95.71,152.05,146.5,213.46,23.88,15.56,02-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Jan-2019 - 00:00,15.62,982.23,622.37,418.47,56.24,167.39,73.51,146.69,0.58,4.35,16.81,106.12,171.42,132.76,205.42,40.53,14.59,03-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Jan-2019 - 00:00,15.33,982.54,570.4,412.89,58.26,167.43,56.4,271.35,0.61,4.05,17.6,92.87,233.8,134.3,271.95,23.56,9.99,04-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Jan-2019 - 00:00,13.52,982.81,431.19,291.95,62.09,165.82,42.21,245.19,0.39,3.57,13.08,89.87,194.62,107.19,214.27,23.56,5.81,05-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Jan-2019 - 00:00,14.92,984.04,343.16,241.67,56.11,170.78,47.03,90.49,1.15,4.49,9.96,78.82,54.63,85.87,90.2,23.91,6.63,06-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Jan-2019 - 00:00,14.63,983.45,275.35,191.85,63.14,147.22,35.42,195.79,0.68,3.6,8.28,80.48,125.65,88.34,147.73,29.75,5.15,07-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
07-Jan-2019 - 00:00,14.86,982.64,303.64,197.84,61.97,173.52,39.95,270.66,0.53,2.16,10.64,87.6,198.62,111.34,220.23,20.6,7.88,08-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
08-Jan-2019 - 00:00,14.94,982.5,246.71,152.66,58.04,171.11,29.65,286.08,0.71,1.88,7.01,67.57,170.51,97.46,190.91,17.27,7.22,09-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
09-Jan-2019 - 00:00,15.02,982.17,276.36,155.26,51.77,174.86,29.74,280.98,0.97,2.07,7.86,59.41,190.09,103.86,209.97,14.29,8.46,10-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
10-Jan-2019 - 00:00,15.13,982.76,395.21,205.47,51.59,174.84,39.8,255.09,0.48,2.76,11.92,64.01,210.16,125.18,234.88,13.72,10.76,11-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
11-Jan-2019 - 00:00,14.6,982.81,481.84,350.48,54.06,170.26,58.1,163.83,0.51,3.35,16.58,82.85,184.41,128.36,211.52,18.13,17.93,12-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
12-Jan-2019 - 00:00,15.49,984.37,567.91,445.31,55.07,170.87,69.41,150.94,0.63,3.74,21.83,100.37,132.98,151.62,201.04,26.24,14.58,13-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
13-Jan-2019 - 00:00,16.83,985.37,448.88,312.21,55.01,168.4,69.74,220.05,0.61,3.99,13.45,107.03,119.12,119.43,167.59,24.22,10.23,14-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
14-Jan-2019 - 00:00,14.72,984.66,193.79,93.93,43.82,177.95,22.13,284.9,1.28,2.38,5.08,57.46,127.86,89.64,151.78,11.91,7.31,15-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
15-Jan-2019 - 00:00,12.85,984.12,279.31,145.29,47.21,175.95,29.06,267.54,0.9,2.97,8.44,51.73,195.1,104.95,211.78,10.34,9.28,16-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
16-Jan-2019 - 00:00,13.44,982.74,501.58,326.42,53.71,174.98,58.39,148.61,0.59,3.14,16.61,75.82,140.5,128.16,187.44,12.71,13.75,17-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
17-Jan-2019 - 00:00,14.96,982.76,574.88,408.33,53.48,175.02,64.48,207.82,0.4,2.67,17.71,81.18,262.37,117.88,317.63,11.55,12.42,18-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
18-Jan-2019 - 00:00,14.96,982.4,456.85,264.69,54.28,176.48,44.59,257.08,0.51,,13.29,,,,,10.34,11.02,19-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
19-Jan-2019 - 00:00,16.72,983.39,573.33,345.16,50.38,171.67,68.52,243.76,0.37,4.5,17.71,60.38,128.65,182.92,153.91,14.14,13.44,20-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
20-Jan-2019 - 00:00,19.31,983.17,606.13,400.89,51.9,174.88,101.16,193.33,0.4,3.27,19.72,104.15,119.88,200.35,213.59,53.03,18.28,21-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
21-Jan-2019 - 00:00,17.19,982.1,316.52,169.11,60.96,137.54,57.58,106.34,2.28,1.57,8.19,83.17,73.77,96.81,110.16,15.22,7.33,22-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
22-Jan-2019 - 00:00,14.74,982.04,72.15,56.68,74.58,146.63,41.47,117.48,1.44,4.96,3.35,43.17,31.75,66.75,60.77,17.42,5.76,23-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
23-Jan-2019 - 00:00,15.1,982.82,285.28,166.89,68.07,187.93,48.49,223.45,0.49,,11.72,50.01,170.84,96.44,190.6,15.07,8.31,24-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
24-Jan-2019 - 00:00,15.93,982.68,246.38,133.97,61.35,174.23,45.83,186.07,0.86,3.73,7.44,50.14,74.49,75.47,100.87,22.1,9.06,25-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
25-Jan-2019 - 00:00,15.14,982.97,157.31,78.64,59.41,185.54,38.08,257.34,0.7,4.54,4.71,47.95,74.44,81.02,103.87,12.45,6.12,26-Jan-2019 - 00:00,"Anand Vihar, Delhi - DPCC"
