from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
01-Jan-2019 - 00:00,24.68,0.97,31.0,29.31,66.34,53.1,2.56,32.2,64.34,163.76,16.95,135.28,15.07,21.74,42.27,1.41,99.38,178.17,716.72,0.0,0.0,02-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
02-Jan-2019 - 00:00,24.69,0.96,35.83,25.59,61.84,48.46,1.55,20.17,71.62,144.8,10.05,69.0,10.36,22.58,43.84,1.4,144.17,176.77,716.8,0.0,0.0,03-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
03-Jan-2019 - 00:00,26.14,0.88,34.1,28.59,57.91,48.19,3.26,31.11,67.09,124.88,10.36,86.5,26.2,23.23,46.53,1.31,137.18,171.1,716.76,0.0,0.0,04-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
04-Jan-2019 - 00:00,25.44,0.87,36.5,24.44,60.96,47.3,2.27,16.95,66.26,163.01,7.9,55.29,18.41,23.06,53.18,1.72,134.14,168.33,729.54,0.06,0.0,05-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
05-Jan-2019 - 00:00,26.85,0.76,41.36,19.03,44.23,35.11,3.11,9.42,68.42,123.43,4.92,33.62,2.28,23.02,56.48,1.84,148.21,178.5,740.74,0.0,0.0,06-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
06-Jan-2019 - 00:00,25.06,0.79,48.62,17.36,38.6,31.11,2.38,7.8,74.89,140.68,5.07,24.96,2.34,22.99,60.89,2.03,141.0,172.15,739.57,0.0,0.0,07-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
07-Jan-2019 - 00:00,27.54,0.82,38.43,23.55,51.06,41.48,2.83,28.37,74.07,160.24,10.19,100.27,17.9,25.37,50.85,1.43,161.18,178.42,739.32,0.01,0.0,08-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
08-Jan-2019 - 00:00,26.01,0.98,20.31,28.11,66.49,52.46,1.41,35.98,76.51,167.3,13.24,165.58,77.72,22.89,53.54,1.29,235.39,164.74,732.98,0.0,0.0,09-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
09-Jan-2019 - 00:00,27.15,1.0,23.41,40.57,81.57,68.04,1.35,49.6,73.26,161.25,21.8,196.54,76.91,23.16,44.15,1.1,153.15,173.73,714.65,0.0,0.0,10-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
10-Jan-2019 - 00:00,26.03,0.82,28.66,25.04,75.81,51.91,13.27,20.37,73.98,167.36,10.7,80.85,18.25,23.23,47.41,1.49,135.09,169.22,714.46,0.0,0.0,11-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
11-Jan-2019 - 00:00,27.59,0.79,38.15,7.47,51.59,29.78,9.28,10.64,72.98,136.08,6.09,44.11,4.29,23.55,57.61,1.8,141.56,167.62,714.8,0.0,0.0,12-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
12-Jan-2019 - 00:00,27.16,0.73,42.54,10.92,41.46,24.27,10.86,6.98,77.78,144.5,4.85,26.22,2.14,24.04,63.44,2.11,136.15,163.31,714.5,0.0,0.0,13-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
13-Jan-2019 - 00:00,27.49,0.7,41.37,12.12,35.6,21.09,14.45,6.58,71.98,114.93,3.37,18.47,0.87,23.9,60.74,2.04,136.48,168.38,714.93,0.0,0.0,14-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
14-Jan-2019 - 00:00,27.45,0.78,40.86,10.07,42.11,25.02,18.99,6.52,74.54,131.17,4.93,25.5,1.42,23.81,58.09,1.92,133.44,166.9,714.57,0.0,0.0,15-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
15-Jan-2019 - 00:00,26.83,1.01,31.98,6.51,54.4,31.64,29.06,24.76,76.03,153.43,11.99,111.88,20.25,24.13,55.67,1.3,142.23,163.3,715.27,0.0,0.0,16-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
16-Jan-2019 - 00:00,25.83,0.86,32.26,7.52,52.49,30.37,29.78,36.05,76.01,157.88,10.33,96.05,12.11,24.19,52.68,1.44,130.95,165.19,715.04,0.0,0.0,17-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
17-Jan-2019 - 00:00,25.74,0.85,25.61,7.17,63.8,37.23,30.51,20.54,72.56,156.16,10.05,104.29,36.76,24.24,52.12,1.2,160.52,178.11,714.0,0.0,0.0,18-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
18-Jan-2019 - 00:00,27.65,0.92,29.64,6.77,59.98,35.05,30.44,23.26,74.85,152.18,9.11,97.91,18.06,24.46,54.69,1.59,136.54,173.94,714.22,0.0,0.0,19-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
19-Jan-2019 - 00:00,26.58,0.84,29.48,5.96,60.06,34.91,24.76,19.2,80.33,158.31,9.33,82.7,6.9,23.95,56.45,1.63,116.07,168.01,715.03,0.0,0.0,20-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
20-Jan-2019 - 00:00,25.92,0.86,25.72,8.4,68.72,40.19,27.24,23.68,67.94,145.47,10.85,116.34,56.08,24.05,51.26,1.49,113.45,181.73,715.56,0.0,0.0,21-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
21-Jan-2019 - 00:00,24.75,0.7,38.08,7.47,40.0,23.53,16.25,9.97,60.71,109.55,6.89,33.87,1.83,24.04,54.41,2.0,142.0,191.46,714.26,0.0,0.0,22-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
22-Jan-2019 - 00:00,27.06,0.47,35.19,6.25,34.6,20.7,15.12,6.16,43.88,78.31,3.0,14.82,1.39,23.8,47.77,2.26,172.9,194.17,714.05,0.0,0.0,23-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
23-Jan-2019 - 00:00,26.82,0.59,29.1,5.83,41.46,24.43,16.28,4.85,57.46,97.79,3.27,23.15,1.66,24.37,59.38,1.97,156.04,170.65,713.82,0.0,0.0,24-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
24-Jan-2019 - 00:00,27.99,0.55,32.74,6.42,38.4,22.24,15.52,8.29,54.6,103.53,3.06,20.59,1.45,25.16,59.72,1.92,151.33,162.9,714.05,0.0,0.0,25-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
25-Jan-2019 - 00:00,26.13,0.54,31.49,5.8,24.95,15.44,11.88,9.12,33.62,66.44,1.95,5.79,0.97,25.43,58.91,3.16,171.52,170.47,713.29,0.0,0.0,26-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
26-Jan-2019 - 00:00,25.94,0.66,20.13,5.45,33.87,20.89,18.59,16.03,40.26,63.69,7.2,46.86,2.69,23.87,72.53,1.84,146.11,84.69,713.84,0.0,0.0,27-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
27-Jan-2019 - 00:00,37.33,0.7,10.28,7.88,40.11,26.02,34.64,34.34,61.05,89.03,14.71,124.64,3.31,21.41,88.0,2.17,59.88,5.88,715.12,0.0,0.0,28-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
28-Jan-2019 - 00:00,26.2,0.75,13.3,5.46,45.33,27.46,20.16,23.49,73.9,109.58,16.6,166.9,2.2,22.16,70.35,1.72,77.05,69.7,716.02,0.01,0.0,29-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
29-Jan-2019 - 00:00,26.93,0.75,16.63,7.42,61.33,36.96,27.37,31.05,68.52,136.71,16.6,166.9,2.2,21.33,61.71,1.35,104.2,189.74,716.26,0.0,0.0,30-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
30-Jan-2019 - 00:00,25.45,0.66,23.17,5.94,61.11,35.56,22.18,35.42,65.01,127.48,12.93,130.56,5.65,21.57,47.55,1.19,128.0,206.02,715.96,0.0,0.0,31-Jan-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
31-Jan-2019 - 00:00,26.57,0.79,25.43,8.46,60.0,36.26,21.44,22.89,66.75,124.5,8.74,74.2,36.97,21.8,58.06,1.99,137.12,192.98,715.12,0.0,0.0,01-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
01-Feb-2019 - 00:00,26.37,0.69,29.8,5.27,48.44,28.47,16.93,8.17,65.55,109.75,5.27,39.94,4.75,23.35,62.98,1.58,132.52,189.34,714.71,0.0,0.0,02-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
02-Feb-2019 - 00:00,25.88,0.69,31.19,5.68,47.52,27.67,16.54,18.64,61.31,112.18,5.88,52.47,4.32,23.62,58.44,1.87,122.82,186.32,714.15,0.0,0.0,03-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
03-Feb-2019 - 00:00,27.65,0.7,33.97,4.26,43.81,25.79,16.43,7.84,61.68,105.81,5.1,35.05,4.18,23.78,59.69,2.06,126.2,191.65,715.27,0.0,0.0,04-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
04-Feb-2019 - 00:00,30.94,0.71,38.51,4.84,45.04,26.58,17.35,10.42,63.46,110.92,4.34,18.66,10.61,24.44,60.76,1.91,123.1,241.71,716.65,0.01,0.0,05-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
05-Feb-2019 - 00:00,30.02,0.72,39.07,5.59,45.12,26.47,17.27,16.76,65.65,120.98,6.19,41.41,3.77,27.82,45.87,1.7,105.15,226.08,715.42,0.01,0.0,06-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
06-Feb-2019 - 00:00,30.43,0.73,40.17,5.72,38.75,22.91,16.79,10.03,63.32,112.86,4.69,36.88,3.35,26.99,50.27,2.18,131.78,119.47,713.03,0.01,0.0,07-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
07-Feb-2019 - 00:00,30.68,0.63,44.84,5.61,26.76,16.06,15.8,6.54,58.17,97.89,2.62,15.16,1.22,26.19,54.88,2.69,170.22,180.34,713.14,0.0,0.0,08-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
08-Feb-2019 - 00:00,30.57,0.72,26.24,7.03,52.58,31.95,18.59,29.06,60.21,152.95,6.97,91.24,71.27,25.25,49.96,1.76,225.99,191.76,714.05,0.0,0.0,09-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
09-Feb-2019 - 00:00,30.82,0.6,29.49,5.84,54.23,32.1,18.55,30.22,67.42,173.53,9.21,119.41,88.13,23.43,44.11,2.03,227.52,204.44,715.12,0.0,0.0,10-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
10-Feb-2019 - 00:00,30.69,0.64,37.37,5.79,59.23,34.41,23.4,52.46,71.53,172.52,9.39,102.12,4.27,24.69,45.16,1.65,83.81,196.75,715.69,0.0,0.0,11-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
11-Feb-2019 - 00:00,34.14,0.63,35.73,4.19,36.34,21.69,26.15,11.03,60.38,118.1,5.62,35.67,2.82,26.39,56.62,2.29,110.29,127.92,715.61,0.01,0.0,12-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
12-Feb-2019 - 00:00,34.81,0.64,33.46,4.34,41.97,24.68,21.06,6.67,62.72,114.97,4.92,24.57,2.52,25.82,61.08,2.23,127.4,198.18,716.59,0.0,0.0,13-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
13-Feb-2019 - 00:00,32.59,0.61,29.49,5.24,55.73,32.59,16.28,8.75,65.55,144.52,4.98,30.05,4.13,25.56,55.39,1.82,126.17,202.29,716.86,0.0,0.0,14-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
14-Feb-2019 - 00:00,29.99,0.63,36.55,5.07,36.25,21.56,14.88,5.1,60.04,116.03,3.99,25.78,1.63,26.44,55.28,2.06,154.07,209.46,714.51,0.0,0.0,15-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
15-Feb-2019 - 00:00,29.78,0.54,35.34,5.94,26.77,16.45,12.92,5.76,29.45,62.16,1.65,8.56,0.51,27.16,52.27,2.99,178.76,206.0,713.57,0.0,0.0,16-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
16-Feb-2019 - 00:00,29.98,0.63,25.21,5.75,52.66,31.34,21.31,26.56,51.17,119.51,8.23,86.42,43.69,27.08,49.76,1.37,222.35,207.09,713.6,0.0,0.0,17-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
17-Feb-2019 - 00:00,30.01,0.65,24.7,4.91,45.33,26.81,25.01,22.43,48.61,106.1,8.71,85.78,29.55,27.03,55.23,1.74,187.76,204.79,712.92,0.0,0.0,18-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
18-Feb-2019 - 00:00,29.9,0.99,27.69,8.65,60.06,36.84,30.12,23.78,71.96,149.82,13.09,134.47,16.84,27.09,57.8,1.18,114.44,200.75,712.08,0.0,0.0,19-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
19-Feb-2019 - 00:00,29.9,0.65,32.1,4.39,38.42,22.84,19.42,9.67,55.08,108.03,4.54,40.67,3.44,28.18,56.53,2.31,132.55,206.88,712.68,0.0,0.0,20-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
20-Feb-2019 - 00:00,29.71,0.5,24.84,4.9,30.82,18.67,15.84,5.28,31.6,72.22,2.14,14.25,1.29,27.81,58.06,2.89,127.46,207.42,714.98,0.0,0.0,21-Feb-2019 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
