from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
01-Feb-2019 - 00:00,190.44,153.54,74.01,34.89,108.9,1.34,0.0,16.92,0.0,0.0,0.0,0.0,02-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-Feb-2019 - 00:00,235.51,145.25,62.36,27.66,90.02,1.44,0.0,11.57,0.0,0.0,0.0,0.0,03-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-Feb-2019 - 00:00,198.82,119.55,54.3,21.14,75.44,1.3,0.0,12.67,0.0,0.0,0.0,0.0,04-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-Feb-2019 - 00:00,238.99,123.91,67.11,26.22,93.33,2.44,0.0,18.52,0.0,0.0,0.0,0.0,05-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-Feb-2019 - 00:00,363.98,215.44,77.76,28.52,106.28,3.21,0.0,28.19,0.0,0.0,0.0,0.0,06-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-Feb-2019 - 00:00,213.76,148.77,52.1,18.85,70.96,1.04,0.0,20.52,0.0,0.0,0.0,0.0,07-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-Feb-2019 - 00:00,87.48,55.08,48.77,16.73,65.5,0.6,0.0,17.84,0.0,0.0,0.0,0.0,08-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-Feb-2019 - 00:00,206.3,79.2,66.43,24.76,91.18,1.22,0.0,15.13,0.0,0.0,0.0,0.0,09-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Feb-2019 - 00:00,184.82,69.14,64.28,24.22,88.49,1.28,0.0,16.66,0.0,0.0,0.0,0.0,10-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Feb-2019 - 00:00,252.84,120.54,59.09,23.34,82.43,1.82,0.0,15.46,0.0,0.0,0.0,0.0,11-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-Feb-2019 - 00:00,310.68,169.96,55.7,23.16,78.87,2.95,0.0,18.15,0.0,0.0,0.0,0.0,12-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-Feb-2019 - 00:00,332.64,206.25,53.9,22.63,76.53,3.51,0.0,37.39,0.0,0.0,0.0,0.0,13-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-Feb-2019 - 00:00,291.85,204.7,46.89,19.55,66.44,2.38,0.0,63.32,0.0,0.0,0.0,0.0,14-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
14-Feb-2019 - 00:00,151.3,114.06,33.49,12.79,46.29,1.04,0.0,23.26,0.0,0.0,0.0,0.0,15-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
15-Feb-2019 - 00:00,154.01,100.67,62.0,23.27,85.27,1.4,0.0,23.78,0.0,0.0,0.0,0.0,16-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
16-Feb-2019 - 00:00,138.02,88.0,71.3,30.31,101.49,1.39,0.0,17.97,0.0,0.0,0.0,0.0,17-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
17-Feb-2019 - 00:00,117.28,74.07,23.65,39.33,62.98,1.24,0.0,21.65,0.0,0.0,0.0,0.0,18-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
18-Feb-2019 - 00:00,94.78,57.55,56.35,32.12,88.47,0.86,0.0,29.98,0.0,0.0,0.0,0.0,19-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
19-Feb-2019 - 00:00,133.54,90.15,50.42,34.46,84.88,1.35,0.0,28.74,0.0,0.0,0.0,0.0,20-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
20-Feb-2019 - 00:00,88.87,62.64,25.76,37.23,62.99,0.98,0.0,23.3,0.0,0.0,0.0,0.0,21-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
21-Feb-2019 - 00:00,105.72,63.39,54.74,31.19,85.92,1.18,0.0,25.99,0.0,0.0,0.0,0.0,22-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
22-Feb-2019 - 00:00,97.76,57.68,59.83,33.01,92.84,1.53,0.0,21.34,0.0,0.0,0.0,0.0,23-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
23-Feb-2019 - 00:00,68.3,35.56,41.38,37.37,78.74,1.16,0.0,23.79,0.0,0.0,0.0,0.0,24-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
24-Feb-2019 - 00:00,114.5,80.57,61.42,34.76,96.19,1.72,0.0,25.75,0.0,0.0,0.0,0.0,25-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
25-Feb-2019 - 00:00,103.21,78.65,79.23,28.66,107.88,1.68,0.0,36.38,0.0,0.0,0.0,0.0,26-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
26-Feb-2019 - 00:00,58.54,40.2,55.94,34.77,76.65,0.99,0.0,31.9,0.0,0.0,0.0,0.0,27-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
27-Feb-2019 - 00:00,52.43,38.63,30.3,40.55,70.84,1.3,0.0,31.04,0.0,0.0,0.0,0.0,28-Feb-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
28-Feb-2019 - 00:00,118.89,87.72,52.46,43.21,95.67,1.87,0.0,32.39,0.0,0.0,0.0,0.0,01-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
01-Mar-2019 - 00:00,113.93,81.36,49.12,43.17,92.29,1.68,0.0,40.09,0.0,0.0,0.0,0.0,02-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-Mar-2019 - 00:00,91.19,74.68,35.4,42.39,77.79,1.24,0.0,37.17,0.0,0.0,0.0,0.0,03-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-Mar-2019 - 00:00,62.95,50.74,26.63,39.41,66.04,0.71,0.0,35.16,0.0,0.0,0.0,0.0,04-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-Mar-2019 - 00:00,145.57,97.39,55.68,42.45,98.12,2.11,0.0,49.47,0.0,0.0,0.0,0.0,05-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-Mar-2019 - 00:00,87.44,52.55,39.71,41.99,81.71,0.94,0.0,30.06,0.0,0.0,0.0,0.0,06-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-Mar-2019 - 00:00,137.46,82.38,51.01,43.4,94.41,1.91,0.0,34.09,0.0,0.0,0.0,0.0,07-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-Mar-2019 - 00:00,167.01,104.7,60.83,43.68,104.57,2.5,0.0,42.01,0.0,0.0,0.0,0.0,08-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-Mar-2019 - 00:00,136.09,82.82,61.85,42.29,104.15,1.59,0.0,42.48,0.0,0.0,0.0,0.0,09-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Mar-2019 - 00:00,127.25,112.22,74.29,42.69,116.97,1.14,0.0,30.94,0.0,0.0,0.0,0.0,10-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Mar-2019 - 00:00,171.35,89.83,86.93,44.45,131.36,1.74,0.0,31.44,0.0,0.0,0.0,0.0,11-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-Mar-2019 - 00:00,125.82,71.59,61.68,20.88,78.94,1.27,0.0,35.37,0.0,0.0,0.0,0.0,12-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-Mar-2019 - 00:00,101.65,54.7,85.33,19.53,104.86,0.67,0.0,28.8,0.0,0.0,0.0,0.0,13-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-Mar-2019 - 00:00,189.73,89.3,68.06,21.3,89.37,1.74,0.0,40.28,0.0,0.0,0.0,0.0,14-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
14-Mar-2019 - 00:00,185.28,113.81,64.62,20.56,85.18,1.82,0.0,43.64,0.0,0.0,0.0,0.0,15-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
15-Mar-2019 - 00:00,132.59,71.6,64.09,20.56,84.66,1.49,0.0,34.16,0.0,0.0,0.0,0.0,16-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
16-Mar-2019 - 00:00,135.2,65.15,91.52,21.77,113.29,1.27,0.0,30.37,0.0,0.0,0.0,0.0,17-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
17-Mar-2019 - 00:00,157.22,88.47,116.17,22.03,138.2,1.26,0.0,33.04,0.0,0.0,0.0,0.0,18-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
18-Mar-2019 - 00:00,189.67,99.81,156.81,22.43,179.24,1.59,0.0,33.59,0.0,0.0,0.0,0.0,19-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
19-Mar-2019 - 00:00,195.54,92.86,189.04,21.7,210.74,1.34,0.0,32.76,0.0,0.0,0.0,0.0,20-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
20-Mar-2019 - 00:00,177.5,84.0,218.1,20.67,238.76,0.75,0.0,30.58,0.0,0.0,0.0,0.0,21-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
21-Mar-2019 - 00:00,181.0,103.33,270.01,19.5,289.51,0.94,0.0,50.47,0.0,0.0,0.0,0.0,22-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
22-Mar-2019 - 00:00,100.84,26.37,203.54,24.76,173.22,0.6,0.0,27.03,0.0,0.0,0.0,0.0,23-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
23-Mar-2019 - 00:00,87.89,49.65,47.47,21.6,67.47,1.52,0.0,22.35,0.0,0.0,0.0,0.0,24-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
24-Mar-2019 - 00:00,121.1,40.99,35.97,19.28,55.26,0.9,0.0,30.44,0.0,0.0,0.0,0.0,25-Mar-2019 - 00:00,"CRRI Mathura Road, Delhi - IMD"
