from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
