from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Xylene,Toluene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
02-Aug-2019 - 00:00,32.88,44.85,15.08,1.57,16.64,12.13,13.23,0.3,18.21,2.36,0.7,0.16,0.68,0.55,27.58,87.36,0.57,126.95,0.05,994.82,23.02,0.0,03-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
03-Aug-2019 - 00:00,25.52,50.81,46.71,30.9,77.55,24.79,7.01,0.41,15.48,3.68,1.52,0.3,1.4,1.31,28.9,85.02,0.65,138.55,0.01,993.53,87.46,0.05,04-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
04-Aug-2019 - 00:00,45.52,98.4,48.09,25.58,73.66,21.68,8.31,0.54,15.22,3.82,1.69,0.23,1.46,1.22,29.28,85.55,0.57,219.44,0.08,992.44,103.92,0.29,05-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
05-Aug-2019 - 00:00,36.07,74.81,30.56,15.69,46.23,17.04,8.46,0.44,20.56,3.43,1.41,0.2,1.21,0.97,30.06,82.13,0.72,161.24,-0.01,990.42,136.47,0.01,06-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
06-Aug-2019 - 00:00,22.96,49.22,24.23,10.73,34.97,19.71,7.76,0.28,18.96,2.77,0.99,0.2,0.97,0.82,28.66,85.3,1.64,125.65,-0.23,988.59,82.19,0.02,07-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
07-Aug-2019 - 00:00,6.31,14.32,11.95,1.63,13.55,17.59,7.26,0.27,26.43,1.13,0.59,0.2,0.5,0.41,27.2,91.34,2.6,88.6,-0.39,986.73,83.52,0.16,08-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
08-Aug-2019 - 00:00,21.38,40.63,27.52,6.78,34.3,21.22,8.6,0.41,10.3,5.13,1.9,0.28,1.36,1.64,27.11,91.97,0.66,165.73,0.18,991.25,54.69,0.16,09-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
09-Aug-2019 - 00:00,31.07,70.21,34.8,7.23,42.03,23.22,9.47,0.42,14.81,4.25,0.89,0.16,0.92,0.68,29.6,80.37,0.46,178.32,0.16,995.87,108.78,0.0,10-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
10-Aug-2019 - 00:00,40.28,87.54,43.61,16.51,60.14,28.53,9.58,0.78,15.31,3.72,1.07,0.17,1.15,1.05,29.76,82.29,0.38,186.07,0.08,995.27,123.94,0.01,11-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
11-Aug-2019 - 00:00,45.0,89.42,40.5,23.38,61.86,30.01,7.71,0.56,17.94,4.54,1.29,0.2,1.39,1.21,30.38,80.02,0.59,171.39,0.01,993.97,135.53,0.0,12-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
12-Aug-2019 - 00:00,32.71,57.52,23.33,5.71,29.03,18.4,6.22,0.44,9.66,2.57,0.87,0.15,0.85,0.66,28.18,90.21,0.7,150.76,-0.03,992.85,59.91,0.0,13-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
13-Aug-2019 - 00:00,22.45,33.64,20.23,2.37,22.61,17.52,6.63,0.39,16.05,2.57,1.43,0.93,1.1,1.05,27.62,89.54,0.78,123.7,0.06,994.41,66.49,0.04,14-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
14-Aug-2019 - 00:00,36.81,68.22,27.39,6.36,33.64,23.75,6.31,0.42,11.55,2.02,0.77,0.51,0.73,0.53,28.48,88.07,0.72,174.96,0.21,998.32,78.63,0.32,15-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
15-Aug-2019 - 00:00,30.75,53.61,29.8,4.62,34.42,17.76,6.38,0.42,11.82,2.1,0.85,0.35,0.81,0.59,27.54,92.95,0.57,210.08,0.21,,53.1,0.15,16-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
16-Aug-2019 - 00:00,42.57,77.32,45.18,15.12,60.62,26.64,5.79,0.58,6.63,2.84,0.94,0.9,0.93,0.78,28.72,88.51,0.94,213.51,0.18,998.88,81.72,0.01,17-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
17-Aug-2019 - 00:00,43.05,76.27,48.69,12.36,61.04,29.57,6.45,0.93,6.07,4.38,1.15,0.21,1.23,1.28,25.44,98.22,1.31,207.96,0.11,998.74,40.18,0.41,18-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
18-Aug-2019 - 00:00,28.35,43.28,27.8,3.34,31.14,20.28,6.96,0.35,16.71,2.52,0.83,0.25,0.79,0.62,26.85,91.53,0.62,177.08,0.16,999.26,80.09,0.01,19-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
19-Aug-2019 - 00:00,28.1,48.54,27.51,4.97,32.39,25.36,10.53,0.36,12.91,1.94,0.71,0.99,0.69,0.5,29.42,80.24,0.68,186.18,0.22,,144.91,0.0,20-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
20-Aug-2019 - 00:00,36.16,62.66,32.46,6.67,39.13,22.32,7.06,0.45,9.79,2.95,1.02,0.77,0.99,0.89,29.08,85.89,0.58,175.34,0.11,999.19,83.28,0.03,21-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
21-Aug-2019 - 00:00,36.54,69.93,27.6,5.02,32.62,22.79,8.93,0.37,13.73,2.22,0.72,0.55,0.71,0.56,30.36,78.67,0.74,143.45,0.06,997.72,159.94,0.0,22-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
22-Aug-2019 - 00:00,32.91,69.5,32.61,11.7,44.32,29.59,9.59,0.41,14.74,2.55,0.77,0.67,0.76,0.68,29.73,80.27,0.62,134.87,0.05,997.36,152.55,0.06,23-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
23-Aug-2019 - 00:00,24.73,42.59,27.03,8.14,35.36,25.14,9.3,0.35,12.36,4.25,0.9,0.43,0.89,0.71,29.16,82.25,0.88,99.07,-0.01,997.57,200.51,0.01,24-Aug-2019 - 00:00,"Belur Math, Howrah - WBPCB"
