from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Xylene,Toluene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
09-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
10-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
11-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
12-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Belur Math, Howrah - WBPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Belur Math, Howrah - WBPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Belur Math, Howrah - WBPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Belur Math, Howrah - WBPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
07-May-2019 - 00:00,68.61,134.78,36.86,7.81,43.15,4.55,8.85,0.53,46.4,3.07,3.27,0.77,4.82,3.68,32.94,68.69,0.98,222.8,0.3,998.55,273.84,0.0,08-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
08-May-2019 - 00:00,64.07,129.22,40.12,14.21,51.65,5.67,3.48,0.55,29.49,2.88,3.28,0.72,4.79,3.69,32.18,74.07,0.89,224.93,0.27,998.09,296.95,0.0,09-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
09-May-2019 - 00:00,61.25,129.96,34.66,10.86,43.58,4.78,1.41,0.49,30.55,2.67,3.19,0.72,4.59,3.52,32.32,75.07,0.96,224.62,0.31,997.23,290.79,0.0,10-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
10-May-2019 - 00:00,61.85,126.7,30.67,7.82,36.83,3.95,1.43,0.48,35.68,2.71,3.07,0.71,4.41,3.24,32.39,74.89,0.98,220.41,0.33,999.06,290.22,0.0,11-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
11-May-2019 - 00:00,55.84,115.55,29.61,8.4,36.42,4.01,1.28,0.45,32.65,2.17,2.95,0.67,4.27,3.01,32.06,71.92,1.04,224.73,0.33,,295.83,0.0,12-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
12-May-2019 - 00:00,49.66,99.68,23.24,5.6,27.51,3.02,1.64,0.39,30.35,1.81,2.86,0.66,4.05,2.94,31.96,72.42,0.89,214.83,0.25,,277.19,0.0,13-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
13-May-2019 - 00:00,43.22,96.0,23.87,4.68,27.81,2.95,1.77,0.4,34.32,2.02,2.85,0.68,3.97,2.88,31.17,73.12,0.96,201.42,0.2,,263.87,0.06,14-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
14-May-2019 - 00:00,40.75,80.17,31.41,5.54,35.34,3.76,11.22,0.46,44.72,2.73,3.23,0.81,4.17,3.22,29.28,68.68,0.88,153.35,0.05,,283.41,0.01,15-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
15-May-2019 - 00:00,33.93,98.26,35.46,6.26,40.74,4.28,11.34,0.48,29.71,3.53,2.86,0.65,3.89,2.89,30.75,67.9,0.74,206.17,0.22,,282.55,0.0,16-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
16-May-2019 - 00:00,37.04,98.21,36.86,6.85,41.3,4.36,11.85,0.51,39.57,3.08,2.67,0.65,3.66,2.87,31.65,67.42,0.64,197.86,0.2,,290.46,0.0,17-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
17-May-2019 - 00:00,33.37,96.95,26.53,3.4,29.19,3.0,1.51,0.43,30.43,2.21,2.36,0.64,3.36,2.6,32.17,74.16,0.94,219.35,0.31,,287.36,0.0,18-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
18-May-2019 - 00:00,36.04,100.14,22.97,2.34,24.27,2.58,1.47,0.39,26.99,2.03,2.24,0.57,3.22,2.47,32.5,73.4,0.92,222.02,0.3,999.94,282.65,0.0,19-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
19-May-2019 - 00:00,36.78,97.64,20.53,1.94,19.79,1.98,2.02,0.41,37.18,1.96,2.24,0.61,3.12,2.47,31.98,70.18,0.79,185.87,0.17,,268.29,0.01,20-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
20-May-2019 - 00:00,36.64,97.36,22.73,6.04,25.45,2.71,1.53,0.44,25.06,2.07,2.19,0.55,3.01,2.4,32.13,73.29,0.79,201.68,0.17,,270.3,0.0,21-May-2019 - 00:00,"Belur Math, Howrah - WBPCB"
