from date,NO2,SO2,CO,PM10,PM2.5,to date,station
12-Feb-2019 - 00:00,13.6,7.21,0.38,92.99,37.78,13-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
13-Feb-2019 - 00:00,13.47,7.01,0.37,97.88,20.49,14-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
14-Feb-2019 - 00:00,13.46,7.02,0.4,85.81,124.21,15-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
15-Feb-2019 - 00:00,13.51,7.0,0.38,46.97,207.4,16-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
16-Feb-2019 - 00:00,13.63,7.04,0.4,54.16,23.08,17-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
17-Feb-2019 - 00:00,13.63,7.02,0.39,68.8,11.72,18-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
18-Feb-2019 - 00:00,13.76,7.09,0.37,70.58,19.84,19-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
19-Feb-2019 - 00:00,13.84,6.97,0.39,47.54,22.7,20-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
20-Feb-2019 - 00:00,13.57,7.36,0.37,89.75,107.16,21-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
21-Feb-2019 - 00:00,13.53,7.31,0.39,49.02,27.51,22-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
22-Feb-2019 - 00:00,13.3,6.99,0.37,44.29,27.14,23-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
23-Feb-2019 - 00:00,13.61,7.18,0.39,57.66,27.96,24-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
24-Feb-2019 - 00:00,13.09,7.0,0.4,100.24,39.32,25-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
25-Feb-2019 - 00:00,13.4,7.13,0.37,133.42,39.35,26-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
26-Feb-2019 - 00:00,13.46,7.09,0.38,64.95,32.91,27-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
27-Feb-2019 - 00:00,13.62,6.96,0.41,38.95,17.23,28-Feb-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
28-Feb-2019 - 00:00,13.89,6.93,0.36,75.74,33.6,01-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
01-Mar-2019 - 00:00,13.61,7.07,0.38,77.02,34.16,02-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
02-Mar-2019 - 00:00,13.45,6.93,0.39,99.29,44.81,03-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
03-Mar-2019 - 00:00,13.7,7.09,0.37,235.14,28.53,04-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
04-Mar-2019 - 00:00,13.48,7.07,0.4,,,05-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
05-Mar-2019 - 00:00,13.29,7.25,0.39,408.85,50.02,06-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
06-Mar-2019 - 00:00,35.64,7.26,0.39,273.7,44.53,07-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
07-Mar-2019 - 00:00,11.48,6.86,0.41,28.89,54.76,08-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
08-Mar-2019 - 00:00,8.18,7.2,0.41,98.31,45.38,09-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
09-Mar-2019 - 00:00,8.44,7.26,0.39,118.24,53.07,10-Mar-2019 - 00:00,"Ratanpura, Rupnagar - Ambuja Cements"
