from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,Eth-Benzene,Xylene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
01-Jan-2019 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
02-Jan-2019 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
03-Jan-2019 - 00:00,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,04-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
04-Jan-2019 - 00:00,0.7,1.1,4.53,23.21,17.59,0.74,67.45,180.08,35.31,10.56,11.24,4.83,5.73,3.72,51.48,0.99,39.9,0.0,,05-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
08-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
09-Jan-2019 - 00:00,5.05,10.26,10.24,50.49,161.3,2.01,29.04,171.36,81.35,8.5,7.83,10.9,4.24,9.17,51.41,1.11,263.34,0.0,,10-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
10-Jan-2019 - 00:00,1.04,33.07,41.14,57.08,21.43,1.37,34.86,246.42,127.29,14.8,11.78,20.56,7.77,17.08,,0.69,173.89,0.0,,11-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
11-Jan-2019 - 00:00,1.34,61.1,76.09,91.11,28.96,1.71,39.11,370.86,172.45,18.22,13.63,23.04,9.58,19.64,,0.5,152.91,0.0,,12-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
12-Jan-2019 - 00:00,0.47,11.48,14.22,36.8,27.33,1.28,45.59,255.09,153.84,13.43,13.94,19.7,7.74,15.7,,0.79,159.43,0.0,,13-Jan-2019 - 00:00,"Municipal Corporation Office, Dharuhera -  HSPCB"
