from date,NO2,NH3,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM10,PM2.5,AT,RF,RH,Temp,WD,WS,to date,station
11-Jan-2019 - 00:00,37.66,29.61,27.04,1.25,67.53,4.76,0.09,0.05,0.66,190.67,94.84,23.55,0.0,51.24,29.87,94.78,1.83,12-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Jan-2019 - 00:00,29.01,23.68,16.44,0.83,99.66,8.36,0.04,0.0,0.5,138.42,67.49,23.97,0.0,49.47,30.05,75.12,2.13,13-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Jan-2019 - 00:00,24.9,23.53,14.19,0.73,102.64,6.66,0.04,0.0,0.47,133.57,69.07,23.97,0.0,52.27,29.78,71.68,2.44,14-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Jan-2019 - 00:00,26.34,26.93,14.94,0.76,102.02,4.53,0.05,0.01,0.38,158.43,94.41,23.2,0.0,55.67,29.89,58.06,2.99,15-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Jan-2019 - 00:00,42.77,25.46,26.96,1.21,76.77,8.16,0.06,0.03,0.57,164.92,91.34,23.02,0.0,51.06,29.89,110.64,1.62,16-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Jan-2019 - 00:00,54.08,33.11,42.83,1.76,52.55,6.66,0.1,0.06,0.87,214.42,113.62,23.92,0.0,49.14,30.14,167.2,1.32,17-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Jan-2019 - 00:00,40.49,32.62,28.02,1.31,69.39,8.23,0.08,0.04,0.88,157.95,84.56,24.54,0.0,47.86,30.81,157.77,1.67,18-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Jan-2019 - 00:00,33.2,21.38,19.45,0.74,82.01,7.82,0.04,0.02,0.6,134.02,53.74,24.59,0.0,44.99,30.92,85.36,1.9,19-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Jan-2019 - 00:00,45.05,26.85,30.29,1.31,50.08,4.63,0.08,0.03,0.87,174.17,69.42,24.63,0.0,45.85,31.2,127.94,1.42,20-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Jan-2019 - 00:00,49.93,31.78,35.12,1.4,57.84,7.37,0.08,0.04,1.01,180.28,79.28,25.32,0.0,47.53,31.31,169.7,1.69,21-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Jan-2019 - 00:00,32.71,31.99,19.49,0.89,80.11,9.78,0.06,0.01,0.8,176.22,71.29,25.43,0.0,48.38,31.39,189.98,3.15,22-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Jan-2019 - 00:00,23.94,21.89,13.79,0.42,69.38,9.37,0.0,0.0,0.6,153.45,43.91,25.47,0.0,52.16,30.44,250.11,3.85,23-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Jan-2019 - 00:00,32.54,26.2,19.87,0.85,59.77,6.03,0.05,0.0,0.6,163.24,60.76,24.09,0.0,58.4,29.55,160.29,1.87,24-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Jan-2019 - 00:00,21.38,25.8,12.33,0.7,81.59,3.62,0.02,0.0,0.37,165.17,82.77,23.94,0.0,59.58,29.43,72.32,2.38,25-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Jan-2019 - 00:00,17.29,30.09,10.09,0.51,73.74,4.45,0.0,0.0,0.3,146.01,99.69,22.98,0.0,74.88,29.47,86.23,3.45,26-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Jan-2019 - 00:00,25.76,17.53,14.51,0.56,89.36,3.28,0.0,0.0,0.27,107.39,56.21,22.83,0.0,48.92,27.84,60.42,3.36,27-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Jan-2019 - 00:00,24.77,16.84,14.49,0.53,86.61,5.27,0.0,0.0,0.25,106.71,57.85,21.59,0.0,49.96,28.61,59.41,3.38,28-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Jan-2019 - 00:00,25.97,17.2,14.72,0.66,88.95,5.1,0.01,0.0,0.28,110.71,60.39,21.69,0.0,44.25,27.81,63.89,2.98,29-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Jan-2019 - 00:00,37.84,18.87,22.99,0.94,69.25,5.95,0.05,0.01,0.37,127.21,68.4,21.74,0.0,44.05,29.25,98.8,2.15,30-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Jan-2019 - 00:00,43.03,24.07,31.81,1.25,57.77,5.39,0.08,0.04,0.59,165.75,90.38,22.68,0.0,44.11,27.86,147.84,1.42,31-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
31-Jan-2019 - 00:00,40.62,25.17,26.42,1.05,64.85,7.44,0.05,0.05,0.58,165.17,73.54,23.75,0.0,45.7,27.02,166.6,2.27,01-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Feb-2019 - 00:00,29.88,28.94,19.92,1.04,78.88,8.7,0.05,0.01,0.51,154.0,76.33,24.25,0.0,51.12,27.44,148.39,2.03,02-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Feb-2019 - 00:00,22.97,28.98,13.11,0.68,96.89,6.79,0.01,0.0,0.31,149.96,82.5,23.89,0.0,56.35,28.88,61.91,3.13,03-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Feb-2019 - 00:00,34.83,32.74,19.45,1.44,106.34,12.44,0.04,0.02,0.5,199.94,106.62,26.68,0.0,52.48,28.23,108.77,2.31,04-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Feb-2019 - 00:00,38.01,33.51,23.02,1.12,70.67,12.38,0.04,0.03,0.5,215.97,115.27,25.7,0.0,58.44,27.95,148.48,2.06,05-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Feb-2019 - 00:00,33.09,32.12,18.67,0.97,82.63,12.52,0.03,0.03,0.7,162.27,81.15,26.53,0.0,48.62,28.03,185.88,2.38,06-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Feb-2019 - 00:00,29.59,32.61,16.92,0.9,88.41,12.81,0.04,0.01,0.75,168.34,83.11,26.34,0.0,53.34,28.0,209.3,2.44,07-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Feb-2019 - 00:00,15.51,16.37,8.99,0.37,96.44,10.09,0.0,0.0,0.59,146.11,34.56,23.56,0.0,50.44,27.61,238.01,4.92,08-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Feb-2019 - 00:00,24.53,15.02,14.7,0.47,68.91,8.47,0.01,0.0,0.44,218.09,55.16,22.2,0.0,46.19,28.23,224.79,2.25,09-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Feb-2019 - 00:00,31.57,16.1,17.97,0.63,81.19,12.66,0.01,0.0,0.32,165.08,52.78,22.2,0.0,37.32,27.77,109.75,2.43,10-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Feb-2019 - 00:00,40.28,19.04,23.85,0.81,82.77,9.61,0.03,0.01,0.41,123.77,48.21,23.15,0.0,36.72,28.02,114.32,2.01,11-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Feb-2019 - 00:00,27.22,18.48,15.23,0.6,98.02,8.65,0.01,0.01,0.41,121.11,39.52,24.58,0.0,36.65,27.89,97.97,2.16,12-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Feb-2019 - 00:00,30.43,24.04,17.44,0.71,90.76,12.54,0.01,0.02,0.5,149.78,56.37,26.28,0.0,43.33,28.58,123.7,2.24,13-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Feb-2019 - 00:00,31.9,34.09,19.44,0.92,79.52,12.76,0.04,0.02,0.57,190.67,76.3,27.11,0.0,53.35,29.01,157.18,1.95,14-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Feb-2019 - 00:00,23.51,36.64,13.52,0.59,73.91,8.84,0.01,0.01,0.78,100.74,50.78,27.24,0.0,55.84,29.92,209.48,2.55,15-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Feb-2019 - 00:00,19.67,23.87,11.44,0.54,94.8,10.28,0.0,0.0,0.72,113.65,50.02,25.87,0.0,46.45,29.22,227.89,2.09,16-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Feb-2019 - 00:00,25.78,21.08,14.35,1.35,103.18,12.56,0.0,0.0,0.36,104.39,49.41,25.29,0.0,42.85,29.02,97.24,2.4,17-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Feb-2019 - 00:00,32.26,21.07,17.74,0.78,88.81,13.07,0.02,0.0,0.46,105.9,47.15,24.84,0.0,42.45,28.94,137.42,1.97,18-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Feb-2019 - 00:00,29.9,26.59,17.0,0.79,67.63,12.54,0.01,0.01,0.59,122.75,47.2,25.36,0.0,45.39,28.54,201.78,1.78,19-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Feb-2019 - 00:00,31.85,33.42,18.19,0.79,54.58,13.89,0.01,0.0,0.64,117.19,43.81,26.39,0.0,41.72,28.8,210.42,2.06,20-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Feb-2019 - 00:00,,,,1.48,41.19,16.37,0.06,0.04,0.64,161.53,64.19,27.54,0.0,41.98,28.12,154.78,1.61,21-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Feb-2019 - 00:00,34.1,6.06,19.8,0.61,81.1,15.21,0.03,0.01,0.68,123.04,49.61,28.27,0.0,43.47,27.61,222.52,2.76,22-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Feb-2019 - 00:00,28.91,6.79,16.94,0.56,66.21,10.64,0.0,0.0,0.72,106.78,40.02,27.22,0.0,49.89,29.18,214.83,1.92,23-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Feb-2019 - 00:00,28.06,4.57,16.5,0.53,86.21,9.63,0.0,0.0,0.4,111.76,35.23,26.82,0.0,47.97,28.86,100.94,2.51,24-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Feb-2019 - 00:00,28.39,4.53,16.7,0.53,84.94,10.06,0.0,0.0,0.61,111.85,36.71,26.64,0.0,42.08,27.43,200.42,2.53,25-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Feb-2019 - 00:00,28.99,3.95,17.02,0.45,85.95,10.58,0.0,0.0,0.7,110.62,40.95,25.87,0.0,34.22,27.31,233.43,2.21,26-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Feb-2019 - 00:00,34.04,5.28,19.51,0.62,62.9,9.79,0.0,0.0,0.59,179.02,48.38,25.25,0.0,43.55,28.43,212.23,4.37,27-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Feb-2019 - 00:00,20.75,3.65,12.61,0.39,74.82,9.52,0.0,0.0,0.58,101.48,31.03,25.05,0.0,51.98,29.41,254.27,2.77,28-Feb-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Feb-2019 - 00:00,26.04,3.31,15.42,0.41,87.62,6.78,0.04,0.01,0.4,82.66,26.26,24.51,0.0,43.7,30.27,87.17,2.39,01-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Mar-2019 - 00:00,31.96,3.47,18.59,0.48,93.28,8.75,0.01,0.04,0.36,88.67,27.75,25.22,0.0,32.46,29.89,81.89,1.78,02-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Mar-2019 - 00:00,42.74,6.96,24.02,0.71,95.26,14.38,0.02,0.02,0.55,134.58,43.83,27.05,0.0,34.29,29.51,128.64,2.09,03-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Mar-2019 - 00:00,24.92,8.99,14.87,0.51,82.33,11.49,0.01,0.01,0.87,159.83,45.83,27.62,0.0,43.35,30.82,238.01,2.56,04-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Mar-2019 - 00:00,21.46,12.86,12.95,0.45,68.72,8.33,0.0,0.0,0.76,186.25,47.58,26.55,0.0,55.68,30.58,246.77,2.89,05-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Mar-2019 - 00:00,24.86,12.52,14.84,0.45,89.9,8.68,0.0,0.0,0.54,109.88,42.42,25.73,0.0,43.39,30.25,170.24,1.35,06-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Mar-2019 - 00:00,31.29,14.99,18.17,0.61,86.89,9.93,0.0,0.0,0.57,102.29,41.12,26.12,0.0,40.07,30.12,158.72,0.99,07-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Mar-2019 - 00:00,47.58,18.12,26.85,0.9,76.52,10.99,0.02,0.02,0.69,126.48,46.57,26.6,0.0,36.72,30.19,157.05,0.7,08-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Mar-2019 - 00:00,38.25,21.62,21.8,0.64,74.2,10.52,0.02,0.01,0.84,138.71,50.21,27.2,0.0,34.66,29.88,222.29,1.66,09-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Mar-2019 - 00:00,25.07,17.63,14.91,0.47,79.0,9.04,0.0,0.0,0.72,135.71,39.38,27.02,0.0,36.01,30.01,265.94,2.41,10-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Mar-2019 - 00:00,34.98,20.28,20.23,0.75,75.54,10.8,0.0,0.0,0.7,142.25,41.08,27.44,0.0,34.34,30.27,202.2,1.15,11-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Mar-2019 - 00:00,21.65,20.47,13.07,0.62,68.57,9.38,0.0,0.0,0.75,148.54,38.0,27.68,0.0,34.94,29.95,250.24,3.06,12-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Mar-2019 - 00:00,39.11,17.04,22.36,0.94,83.67,10.21,0.02,0.01,0.66,139.58,39.38,27.35,0.0,29.76,30.64,159.89,0.99,13-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Mar-2019 - 00:00,23.23,20.75,13.96,0.78,85.27,8.29,0.0,0.0,0.79,124.33,35.25,28.04,0.0,29.22,30.33,211.42,0.98,14-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Mar-2019 - 00:00,16.0,19.37,9.52,0.7,84.84,11.06,0.0,0.0,0.85,132.34,36.98,27.79,0.0,31.52,30.84,238.23,1.96,15-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Mar-2019 - 00:00,16.57,16.98,9.29,0.48,93.37,8.28,0.0,0.0,0.46,126.65,38.92,26.8,0.0,36.58,30.21,90.28,2.34,16-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Mar-2019 - 00:00,17.64,16.82,10.21,0.5,97.01,6.31,0.0,0.0,0.36,120.46,35.54,27.5,0.0,35.43,30.68,74.68,2.6,17-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Mar-2019 - 00:00,15.26,16.69,9.39,0.53,101.64,6.86,0.0,0.0,0.37,109.54,33.12,28.13,0.0,31.85,30.72,89.54,2.29,18-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Mar-2019 - 00:00,20.73,16.74,12.3,0.7,92.99,6.53,0.0,0.0,0.49,135.49,41.8,28.61,0.0,27.66,30.7,109.35,1.05,19-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Mar-2019 - 00:00,34.61,25.58,24.72,1.2,63.84,7.01,0.04,0.01,0.8,176.35,62.48,28.62,0.0,32.27,30.57,195.9,0.6,20-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Mar-2019 - 00:00,23.32,25.2,16.18,0.67,69.04,7.74,0.03,0.0,0.85,154.42,53.11,29.01,0.0,30.12,30.77,225.3,1.97,21-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Mar-2019 - 00:00,17.28,22.38,11.04,0.82,65.06,10.39,0.01,0.0,1.04,128.35,58.01,28.7,0.0,28.2,30.91,238.96,1.7,22-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Mar-2019 - 00:00,20.27,20.95,12.74,0.62,75.9,6.08,0.0,0.0,0.89,111.61,41.72,28.82,0.0,27.19,31.01,136.5,1.39,23-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Mar-2019 - 00:00,21.72,22.39,12.79,0.86,86.42,6.2,0.0,0.0,0.71,136.67,42.84,29.36,0.0,26.22,31.09,97.61,1.61,24-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Mar-2019 - 00:00,27.68,31.64,17.46,1.39,68.33,7.05,0.02,0.0,1.09,181.46,65.88,29.62,0.0,27.3,30.93,186.64,1.02,25-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Mar-2019 - 00:00,17.98,38.36,11.76,1.02,54.33,7.06,0.04,0.0,1.2,157.17,53.62,30.02,0.0,26.27,30.98,196.16,1.79,26-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Mar-2019 - 00:00,14.96,37.75,9.41,0.89,67.8,5.15,0.0,0.0,0.85,150.65,46.6,29.82,0.0,27.27,30.82,132.83,2.07,27-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Mar-2019 - 00:00,16.59,41.92,10.16,0.79,83.86,5.86,0.01,0.0,0.72,120.34,38.25,30.4,0.0,23.97,30.8,95.86,1.81,28-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Mar-2019 - 00:00,21.69,47.12,16.26,1.22,60.73,6.97,0.02,0.01,1.04,159.39,60.03,31.07,0.0,22.56,30.74,159.41,1.5,29-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Mar-2019 - 00:00,17.73,62.77,14.33,1.0,63.01,5.25,0.04,0.01,1.29,162.37,62.18,32.86,0.0,18.2,30.93,238.92,2.2,30-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Mar-2019 - 00:00,14.59,61.79,9.89,0.85,74.88,7.15,0.01,0.0,1.11,153.68,52.16,31.73,0.0,21.8,29.68,231.74,2.6,31-Mar-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
31-Mar-2019 - 00:00,11.3,49.64,7.58,0.81,71.7,7.44,0.0,0.0,1.2,145.95,47.16,31.24,0.0,20.67,29.24,255.65,3.14,01-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Apr-2019 - 00:00,14.42,43.42,8.99,0.84,84.82,7.67,0.0,0.0,0.9,160.03,56.4,31.68,0.0,19.71,30.04,173.29,1.93,02-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Apr-2019 - 00:00,18.04,46.25,12.65,1.3,69.47,7.4,0.01,0.0,1.17,171.94,66.77,31.18,0.0,19.88,31.16,191.58,1.71,03-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Apr-2019 - 00:00,15.5,44.07,12.74,1.38,56.01,7.73,0.04,0.0,1.36,185.12,77.18,31.55,0.0,20.25,30.78,229.86,2.21,04-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Apr-2019 - 00:00,16.06,58.93,11.87,0.94,54.6,8.9,0.03,0.0,1.19,186.97,85.3,32.05,0.0,17.25,30.98,240.09,3.03,05-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Apr-2019 - 00:00,10.69,39.6,7.14,0.66,76.31,11.88,0.0,0.0,1.23,162.95,65.7,31.87,0.0,22.82,29.34,252.01,3.85,06-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Apr-2019 - 00:00,8.91,25.19,6.06,0.65,64.2,9.23,0.0,0.0,1.26,149.31,54.72,31.35,0.0,26.38,28.69,250.11,3.27,07-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Apr-2019 - 00:00,8.09,22.42,5.56,0.52,59.75,7.74,0.0,0.0,1.34,143.84,42.74,31.64,0.0,24.84,28.85,249.76,3.72,08-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Apr-2019 - 00:00,8.6,27.16,5.86,0.54,66.48,5.61,0.0,0.0,1.11,158.82,54.08,31.42,0.0,27.45,30.04,213.18,2.99,09-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Apr-2019 - 00:00,8.29,32.64,5.7,0.47,69.7,7.82,0.0,0.0,1.21,137.39,44.27,31.22,0.0,23.01,29.48,249.79,3.85,10-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Apr-2019 - 00:00,7.9,38.36,5.46,0.36,63.61,7.6,0.0,0.0,1.07,135.25,46.18,32.13,0.0,23.46,30.51,232.76,2.49,11-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Apr-2019 - 00:00,7.03,35.76,5.0,0.42,63.85,5.76,0.0,0.0,1.11,138.49,45.83,32.57,0.0,22.64,30.62,239.71,2.37,12-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Apr-2019 - 00:00,10.08,31.82,6.68,0.44,61.29,6.55,0.0,0.0,0.88,130.47,43.14,33.83,0.0,18.71,30.35,244.31,2.47,13-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Apr-2019 - 00:00,14.01,25.47,8.52,0.57,94.52,12.22,0.0,0.0,0.65,136.96,58.9,36.47,0.0,18.39,30.88,252.19,2.54,14-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Apr-2019 - 00:00,11.18,24.23,6.82,0.49,103.83,12.54,0.0,0.0,0.54,130.79,51.9,36.87,0.0,20.14,30.64,226.11,2.4,15-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Apr-2019 - 00:00,18.05,25.78,10.69,0.73,91.0,13.11,0.0,0.0,0.63,184.64,70.01,35.31,0.0,27.62,30.86,208.36,2.82,16-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Apr-2019 - 00:00,15.45,35.3,9.34,0.71,87.36,7.79,0.01,0.0,0.5,115.21,52.73,32.55,0.04,50.28,31.44,136.71,3.12,17-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Apr-2019 - 00:00,9.95,27.0,6.32,0.49,104.3,5.11,0.0,0.0,0.47,69.92,25.56,31.88,0.0,53.05,31.93,203.78,3.05,18-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Apr-2019 - 00:00,11.75,23.77,7.43,0.79,109.45,6.8,0.0,0.0,0.73,107.42,33.63,33.31,0.0,36.05,32.67,239.45,2.07,19-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Apr-2019 - 00:00,13.37,23.36,8.11,0.48,139.97,9.83,0.0,0.0,0.43,94.27,37.33,35.84,0.0,23.88,30.85,170.75,2.74,20-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Apr-2019 - 00:00,16.06,27.65,9.68,0.76,117.45,8.76,0.0,0.0,0.37,97.0,40.34,34.81,0.0,26.35,30.78,139.53,2.37,21-Apr-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
