from date,NO2,NH3,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM10,PM2.5,AT,RF,RH,Temp,WD,WS,to date,station
01-Jan-2019 - 00:00,60.88,38.19,62.67,1.76,50.06,11.18,0.12,0.12,1.07,257.04,132.8,24.0,0.0,52.24,29.2,173.58,1.17,02-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Jan-2019 - 00:00,41.81,38.75,28.55,1.44,65.23,11.73,0.1,0.07,0.99,194.31,111.02,24.16,0.0,52.38,29.37,161.74,1.59,03-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Jan-2019 - 00:00,41.42,28.55,24.36,1.18,70.67,12.61,0.08,0.03,0.7,173.59,89.84,24.14,0.0,48.96,29.28,96.55,1.67,04-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Jan-2019 - 00:00,44.12,30.02,26.88,1.35,62.23,8.72,0.09,0.04,0.82,171.49,93.56,23.97,0.0,50.98,29.66,135.6,1.34,05-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Jan-2019 - 00:00,43.46,34.37,29.28,1.43,61.6,11.94,0.09,0.03,0.97,184.72,104.65,24.56,0.0,54.19,29.92,210.05,1.41,06-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Jan-2019 - 00:00,26.2,25.5,15.23,0.79,70.88,6.63,0.06,0.0,0.79,147.07,70.74,23.74,0.0,49.67,29.89,185.38,2.02,07-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Jan-2019 - 00:00,28.08,35.36,15.7,1.01,85.98,5.15,0.08,0.01,0.47,209.12,141.06,22.19,0.0,65.38,29.88,73.51,2.76,08-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Jan-2019 - 00:00,38.35,33.72,27.42,1.1,78.83,4.79,0.08,0.03,0.64,216.35,142.64,22.6,0.0,61.93,29.91,133.51,1.87,09-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Jan-2019 - 00:00,42.26,32.66,27.44,1.52,82.99,8.45,0.1,0.04,0.65,203.65,128.06,22.65,0.0,57.74,29.69,128.3,1.77,10-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Jan-2019 - 00:00,42.99,30.59,37.15,1.27,66.41,6.94,0.09,0.07,0.71,223.93,128.61,22.72,0.0,54.65,29.54,150.57,1.35,11-Jan-2019 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
