from date,BP,PM2.5,PM10,RF,RH,SR,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Ozone,Toluene,CO,NH3,NO,NO2,NOx,SO2,to date,station
19-Nov-2019 - 00:00,742.99,149.34,288.68,0.0,54.57,101.06,208.3,0.71,1.73,8.7,6.11,3.02,38.07,18.61,1.68,66.39,75.63,82.24,156.56,32.82,20-Nov-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Nov-2019 - 00:00,743.06,167.99,333.38,0.0,50.67,98.89,149.16,0.52,1.47,10.78,6.76,3.15,34.8,14.44,1.33,58.0,42.07,65.46,107.53,38.99,21-Nov-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Nov-2019 - 00:00,751.6,176.54,303.46,0.0,45.88,86.63,121.31,0.66,1.28,6.93,4.89,3.26,25.76,8.86,1.35,51.95,10.99,66.99,74.76,38.33,22-Nov-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Nov-2019 - 00:00,752.18,170.16,336.03,0.0,47.77,85.52,140.4,0.76,1.52,6.6,5.1,3.02,31.76,7.93,1.26,49.15,13.2,63.13,76.33,42.24,23-Nov-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
23-Nov-2019 - 00:00,752.01,143.35,287.55,0.0,52.09,69.16,266.48,1.12,1.35,1.88,2.21,1.18,27.66,14.45,1.23,42.86,26.99,34.75,61.74,34.02,24-Nov-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
24-Nov-2019 - 00:00,751.34,137.79,260.84,0.0,58.05,72.01,293.31,1.32,1.13,0.64,1.13,0.48,23.97,12.75,0.93,49.98,50.89,32.01,82.9,28.57,25-Nov-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
25-Nov-2019 - 00:00,751.54,138.07,232.09,0.0,55.2,80.39,164.67,0.58,0.87,1.54,1.63,0.79,35.52,3.77,0.96,39.43,15.31,17.87,33.19,32.84,26-Nov-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
26-Nov-2019 - 00:00,750.95,116.32,220.08,0.0,47.25,75.7,120.22,0.74,0.9,1.52,1.64,0.96,31.99,2.81,1.1,39.23,9.04,22.02,30.36,35.42,27-Nov-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
27-Nov-2019 - 00:00,750.76,101.16,184.01,0.0,62.42,68.75,99.93,0.71,0.93,1.54,1.79,0.87,32.06,2.88,1.8,40.89,21.94,32.04,53.98,32.03,28-Nov-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
28-Nov-2019 - 00:00,747.19,84.64,137.26,0.0,68.57,70.05,76.99,0.79,1.0,0.96,1.12,0.92,32.62,2.25,0.79,37.3,14.35,23.42,36.82,30.58,29-Nov-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
29-Nov-2019 - 00:00,740.12,83.65,171.37,0.0,74.71,85.25,191.52,1.02,1.48,1.54,1.59,0.68,30.1,7.05,0.88,34.65,25.45,38.41,63.64,52.26,30-Nov-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
30-Nov-2019 - 00:00,738.77,111.45,189.79,0.0,84.06,65.78,287.18,1.2,1.47,0.9,1.19,0.57,25.77,6.57,1.39,34.82,47.2,45.4,92.6,32.97,01-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
01-Dec-2019 - 00:00,739.43,86.3,182.45,0.0,67.7,25.59,249.42,0.76,1.17,1.05,1.11,0.45,12.52,2.61,1.28,36.73,60.98,83.77,129.04,44.38,02-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
02-Dec-2019 - 00:00,742.01,91.87,222.08,0.0,55.53,97.39,244.99,1.03,1.33,1.87,1.82,0.89,32.22,7.58,0.85,51.97,58.67,89.9,143.86,34.98,03-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
03-Dec-2019 - 00:00,741.49,84.55,222.07,0.0,46.35,104.74,254.27,0.99,1.47,1.8,1.9,0.7,30.55,3.93,0.84,51.91,64.27,82.72,144.68,39.91,04-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
04-Dec-2019 - 00:00,740.57,170.74,398.59,0.0,39.71,120.04,213.15,0.8,4.0,13.71,8.19,3.79,39.37,7.96,1.58,44.64,44.35,55.64,99.99,67.62,05-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
05-Dec-2019 - 00:00,741.13,157.31,319.76,0.0,50.93,84.16,145.66,0.74,2.74,10.01,6.44,3.12,33.15,3.73,1.37,55.68,26.37,51.53,77.89,33.98,06-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
06-Dec-2019 - 00:00,740.59,205.42,364.08,0.0,67.65,75.05,268.15,0.95,2.24,3.6,2.96,1.4,25.7,8.85,1.35,58.09,52.16,72.77,124.93,43.07,07-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Dec-2019 - 00:00,739.47,172.95,308.72,0.0,65.95,78.53,233.84,0.74,1.83,2.5,2.34,1.28,37.53,4.49,1.26,41.9,23.89,49.04,72.84,40.78,08-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Dec-2019 - 00:00,739.62,160.63,311.4,0.0,70.97,62.91,203.47,0.59,1.94,4.93,3.78,1.58,24.13,3.91,1.27,49.25,30.48,44.82,75.31,18.25,09-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Dec-2019 - 00:00,739.54,164.06,318.52,0.0,65.82,75.9,198.82,0.62,2.05,9.77,6.28,3.01,36.88,6.01,1.4,50.96,43.08,49.96,93.04,21.52,10-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Dec-2019 - 00:00,736.99,200.41,378.75,0.0,63.91,76.71,179.28,0.64,2.15,7.49,4.98,2.77,33.98,4.21,1.45,57.57,31.63,47.5,78.77,21.63,11-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
11-Dec-2019 - 00:00,736.4,193.4,353.7,0.0,66.82,58.56,128.53,0.55,2.11,8.65,5.06,3.5,34.46,2.08,1.5,37.82,17.74,36.92,54.66,14.73,12-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
12-Dec-2019 - 00:00,735.88,169.08,299.52,0.01,70.3,51.67,120.84,0.63,1.45,0.77,0.84,0.37,35.43,0.97,1.18,36.39,12.35,34.17,46.51,19.84,13-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
13-Dec-2019 - 00:00,739.88,118.9,185.61,0.09,87.64,36.01,229.71,1.34,0.93,0.95,0.97,0.37,21.43,5.42,1.48,47.28,59.62,62.58,101.76,21.75,14-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
14-Dec-2019 - 00:00,746.05,89.94,157.88,0.0,78.23,77.24,203.57,0.82,1.04,1.55,1.29,0.66,31.85,5.61,0.88,41.82,29.76,39.45,69.21,46.48,15-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
15-Dec-2019 - 00:00,746.15,92.53,159.65,0.0,86.61,96.61,285.6,1.35,0.83,0.38,0.52,0.19,35.48,7.97,0.83,47.31,33.09,26.74,60.78,21.95,16-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
16-Dec-2019 - 00:00,746.47,85.13,140.29,0.0,87.49,39.29,302.49,1.7,1.23,0.6,0.64,0.21,21.85,8.08,0.66,59.56,39.17,28.18,67.35,24.09,17-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
17-Dec-2019 - 00:00,747.64,99.96,173.99,0.0,84.5,36.69,289.1,1.48,1.13,0.58,0.65,0.21,23.03,6.94,0.6,56.08,34.9,23.84,58.75,39.5,18-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
18-Dec-2019 - 00:00,746.29,113.87,200.29,0.0,88.86,76.9,246.39,0.88,1.54,2.67,2.08,1.04,18.37,3.47,1.01,31.22,44.02,29.39,73.41,31.06,19-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
19-Dec-2019 - 00:00,743.06,179.5,319.93,0.0,94.67,83.53,148.01,0.62,3.01,6.61,4.63,2.48,27.31,2.31,1.67,33.94,30.83,20.24,51.07,31.74,20-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Dec-2019 - 00:00,738.55,246.96,411.99,0.0,94.4,47.41,188.81,0.72,3.17,4.93,3.59,2.2,17.34,5.28,1.87,41.24,48.55,42.42,88.25,33.17,21-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Dec-2019 - 00:00,744.86,183.56,302.36,0.0,87.29,54.99,269.42,1.05,2.29,3.64,2.87,1.53,18.01,11.51,1.38,37.92,50.34,50.78,101.08,22.42,22-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Dec-2019 - 00:00,753.77,116.84,208.91,0.0,97.3,17.6,292.86,1.2,1.5,0.54,0.89,0.41,7.93,7.14,0.91,51.14,55.52,37.67,92.38,18.46,23-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
23-Dec-2019 - 00:00,746.66,100.27,192.85,0.0,94.55,56.06,265.5,1.21,1.46,1.38,1.35,0.57,16.96,5.11,1.02,48.17,48.11,38.14,84.32,22.32,24-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
24-Dec-2019 - 00:00,741.47,141.01,268.4,0.0,89.57,61.68,161.66,0.78,2.06,2.58,1.82,1.14,19.67,3.65,1.4,46.02,28.26,35.61,61.89,29.28,25-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
25-Dec-2019 - 00:00,740.75,112.52,228.36,0.0,94.78,53.32,291.38,1.45,1.37,1.22,1.29,0.48,9.83,8.25,1.08,42.85,47.9,37.69,85.36,18.58,26-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
26-Dec-2019 - 00:00,740.09,119.19,244.98,0.0,88.43,59.96,240.91,1.04,1.55,0.94,1.17,0.84,20.46,4.79,1.09,39.69,40.01,39.85,79.83,26.94,27-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
27-Dec-2019 - 00:00,740.95,185.75,321.06,0.01,83.41,65.07,211.21,0.75,2.31,3.78,2.9,1.74,15.41,3.75,1.44,35.86,27.04,35.38,62.38,31.55,28-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
28-Dec-2019 - 00:00,741.6,196.06,321.33,0.0,94.4,44.46,211.47,0.75,2.43,3.47,2.48,1.44,14.5,3.2,1.53,33.57,43.74,30.88,74.62,19.81,29-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
29-Dec-2019 - 00:00,741.93,237.18,432.65,0.0,84.65,60.56,155.87,0.69,2.22,1.63,1.71,0.94,18.92,1.83,1.75,37.15,19.39,35.77,55.02,34.31,30-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
30-Dec-2019 - 00:00,741.15,164.53,270.15,0.0,95.65,34.1,146.37,0.69,2.24,1.42,1.33,0.7,16.13,1.18,1.73,22.27,17.12,26.08,43.12,7.76,31-Dec-2019 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
31-Dec-2019 - 00:00,741.65,120.65,217.65,0.0,95.7,10.5,137.64,0.8,1.2,0.08,0.1,0.05,8.64,0.26,1.11,20.57,8.93,22.3,31.23,5.34,01-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
