from date,PM2.5,PM10,NO2,NOx,NH3,SO2,CO,Ozone,WS,WD,RH,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RF,BP,to date,station
03-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Jul-2019 - 00:00,15.73,30.26,18.21,22.69,22.77,4.59,0.52,21.32,0.01,232.76,80.27,1.28,7.93,1.86,0.96,5.23,24.42,233.74,0.09,869.14,20-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Jul-2019 - 00:00,9.84,22.18,13.8,17.01,17.93,4.57,0.39,31.14,0.24,230.09,80.43,0.9,6.28,1.08,0.57,2.82,23.37,230.15,0.0,870.58,21-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Jul-2019 - 00:00,11.15,29.9,9.59,11.62,12.84,4.36,0.34,23.82,0.41,228.81,81.77,0.77,3.71,0.75,0.41,1.93,23.49,220.13,0.0,872.66,22-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Jul-2019 - 00:00,13.64,27.01,15.61,19.43,19.4,4.41,0.52,22.78,0.33,236.65,86.3,1.49,6.46,1.44,0.69,3.51,22.35,181.91,0.12,871.9,23-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Jul-2019 - 00:00,15.06,29.13,15.22,19.15,19.19,4.26,0.44,19.97,0.42,236.16,82.26,1.2,6.38,1.45,0.79,3.76,22.72,221.08,0.01,872.15,24-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Jul-2019 - 00:00,18.62,38.24,14.65,18.55,18.67,4.4,0.52,19.3,0.42,235.42,80.47,1.5,6.04,1.32,0.68,3.33,23.65,249.89,0.01,872.17,25-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Jul-2019 - 00:00,14.65,30.28,15.33,19.61,19.58,4.53,0.49,16.6,0.35,245.9,81.27,1.27,6.0,1.25,0.65,3.26,24.09,227.71,0.0,871.89,26-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Jul-2019 - 00:00,16.45,34.61,15.55,19.92,20.33,4.67,0.51,17.03,0.3,242.32,83.87,1.61,6.03,1.23,0.62,3.12,22.44,183.49,0.04,871.85,27-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Jul-2019 - 00:00,16.75,44.81,15.55,19.8,20.08,4.51,0.5,17.87,0.57,250.0,76.78,1.17,5.75,1.2,0.64,3.13,24.18,250.22,0.02,872.83,28-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Jul-2019 - 00:00,18.32,42.13,10.75,13.0,14.27,4.35,0.35,21.57,0.44,239.47,76.76,0.92,4.11,0.83,0.43,2.05,24.32,241.86,0.0,872.69,29-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Jul-2019 - 00:00,19.19,49.95,16.84,21.44,21.22,4.8,0.55,5.38,0.72,266.53,74.85,1.52,6.57,1.38,0.72,3.59,24.26,215.23,0.0,873.54,30-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Jul-2019 - 00:00,15.59,40.78,17.21,22.02,21.49,4.48,0.51,15.25,0.67,264.03,73.57,1.18,6.51,1.42,0.76,3.75,23.85,199.96,0.0,873.24,31-Jul-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
31-Jul-2019 - 00:00,17.21,41.61,16.59,21.27,20.98,4.28,0.46,18.77,0.76,256.2,71.78,1.14,5.45,1.17,0.61,3.05,24.89,249.05,0.0,873.54,01-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Aug-2019 - 00:00,19.3,51.11,15.57,19.87,19.57,4.39,0.49,18.56,0.78,253.44,70.06,1.37,4.78,1.05,0.58,2.7,25.2,245.26,0.0,873.97,02-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Aug-2019 - 00:00,14.35,34.98,12.18,15.53,16.8,4.04,0.37,19.7,0.4,236.86,75.8,0.73,3.0,0.64,0.33,1.63,23.96,209.03,0.0,872.94,03-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Aug-2019 - 00:00,15.46,32.68,12.4,15.75,16.19,4.3,0.44,16.69,0.5,247.57,76.88,1.01,3.43,0.7,0.38,1.81,23.85,216.63,0.0,873.33,04-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Aug-2019 - 00:00,13.87,22.34,9.98,12.55,13.58,4.33,0.36,17.15,0.43,241.3,84.38,0.69,3.56,0.64,0.35,1.63,23.37,226.27,0.11,872.72,05-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Aug-2019 - 00:00,13.72,23.33,12.35,16.0,16.75,4.3,0.46,14.87,0.39,242.69,85.26,1.08,3.44,0.66,0.32,1.67,22.99,186.87,0.07,872.28,06-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Aug-2019 - 00:00,10.73,19.36,14.49,18.67,19.21,4.52,0.46,17.34,0.57,251.8,87.35,0.96,5.95,0.91,0.49,2.38,22.04,185.71,0.17,872.95,07-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Aug-2019 - 00:00,10.79,18.72,12.27,16.22,16.92,4.44,0.48,13.3,0.46,237.77,89.04,1.02,4.09,0.71,0.35,1.77,22.53,226.01,0.06,872.58,08-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Aug-2019 - 00:00,14.56,23.7,14.73,19.24,19.23,4.36,0.51,12.6,0.3,217.25,92.15,,,,,,22.0,178.52,0.13,871.71,09-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Aug-2019 - 00:00,24.18,35.83,14.36,17.85,18.31,4.23,0.59,17.22,0.26,212.46,94.06,,,,,,21.45,189.5,0.16,871.56,10-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Aug-2019 - 00:00,14.62,25.44,13.64,16.7,16.96,4.44,0.49,18.88,0.51,250.17,86.69,,,,,,22.24,216.88,0.02,872.52,11-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Aug-2019 - 00:00,15.09,33.13,11.78,14.91,15.22,4.51,0.43,15.14,0.62,251.25,78.9,,,,,,23.16,219.41,0.0,872.87,12-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Aug-2019 - 00:00,22.76,48.63,16.74,21.43,20.73,4.3,0.61,13.25,0.51,267.96,81.88,,,,,,23.75,204.96,0.01,872.11,13-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Aug-2019 - 00:00,20.33,43.1,15.88,19.92,19.92,4.35,0.51,16.53,0.49,243.68,80.7,,,,,,23.82,222.13,0.0,872.16,14-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Aug-2019 - 00:00,14.32,29.48,14.29,18.03,18.44,4.39,0.46,17.81,0.37,245.8,83.37,,,,,,23.23,231.77,0.0,872.1,15-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Aug-2019 - 00:00,8.31,16.61,3.2,3.45,6.64,4.29,0.2,22.43,0.22,257.84,91.35,,,,,,21.26,106.53,0.0,871.22,16-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Aug-2019 - 00:00,36.68,53.71,27.63,36.35,32.49,4.84,0.83,16.98,,273.74,77.12,,,,,,24.83,385.61,0.0,871.38,18-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Aug-2019 - 00:00,25.85,47.5,17.38,22.88,22.42,4.71,0.6,14.87,0.56,256.16,84.13,,,,,,23.35,312.16,0.16,872.12,20-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Aug-2019 - 00:00,32.88,91.01,24.78,33.47,31.96,4.3,,18.81,1.0,330.55,64.69,,,,,,27.41,518.22,0.0,875.3,21-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Aug-2019 - 00:00,28.31,40.27,15.79,20.27,19.86,5.03,0.49,2.01,0.4,255.92,74.74,,,,,,26.18,458.57,0.0,874.39,22-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Aug-2019 - 00:00,20.24,57.43,23.02,30.75,28.66,4.48,0.57,17.38,1.57,295.73,62.05,,,,,,27.73,600.2,0.0,876.37,23-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Aug-2019 - 00:00,21.31,55.2,13.09,16.78,23.71,4.6,0.55,19.59,1.1,282.93,65.25,,,,,,25.41,405.16,0.0,875.23,24-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Aug-2019 - 00:00,12.57,22.45,1.86,2.17,5.45,4.56,0.15,14.68,0.17,248.59,91.6,,,,,,21.0,102.64,0.0,871.67,25-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Aug-2019 - 00:00,11.68,18.07,4.08,4.7,7.8,4.16,0.1,13.46,0.28,259.83,91.39,,,,,,21.02,94.77,0.0,871.95,26-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Aug-2019 - 00:00,21.7,39.66,12.57,12.14,13.05,4.69,0.4,42.59,0.57,231.42,53.45,,,,,,28.73,371.27,0.0,874.7,27-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Aug-2019 - 00:00,7.18,21.22,14.13,16.99,17.02,4.63,0.39,35.31,0.93,272.8,60.14,,,,,,27.38,549.59,0.0,876.25,28-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,31-Aug-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
31-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Sep-2019 - 00:00,15.13,29.29,2.25,2.51,5.73,4.28,0.15,15.0,0.15,212.48,89.26,,,,,,21.25,107.42,0.0,871.15,02-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Sep-2019 - 00:00,23.11,43.06,8.29,9.87,11.5,4.86,0.49,17.8,0.48,258.89,77.53,,,,,,25.0,405.99,0.0,873.55,03-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Sep-2019 - 00:00,9.04,13.88,2.16,2.48,5.86,4.11,0.12,17.62,0.15,213.24,90.6,,,,,,21.26,105.27,0.0,871.3,04-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Sep-2019 - 00:00,9.94,19.5,8.07,9.97,12.0,4.14,0.27,11.38,0.28,213.99,94.83,,,,,,21.59,126.46,0.16,871.54,05-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Sep-2019 - 00:00,15.09,30.49,14.43,4.09,18.63,4.98,0.1,18.53,1.72,281.32,76.39,0.0,0.0,0.0,0.0,0.0,24.95,455.33,0.0,878.47,06-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Sep-2019 - 00:00,0.0,34.74,,0.0,,,0.0,,0.82,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,07-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Sep-2019 - 00:00,10.84,26.77,4.05,4.67,7.61,3.75,0.16,11.46,0.16,242.57,91.44,,,,,,21.82,96.88,0.0,870.95,08-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Sep-2019 - 00:00,10.87,18.0,1.6,1.78,5.27,3.82,0.08,12.78,0.23,215.24,92.43,,,,,,21.31,99.13,0.0,871.3,09-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Sep-2019 - 00:00,14.42,33.04,12.87,16.98,17.13,4.38,0.46,11.66,0.3,245.77,84.26,,,,,,23.77,114.13,0.0,871.84,10-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Sep-2019 - 00:00,12.9,27.51,7.42,8.89,10.81,4.38,0.32,26.27,0.28,220.54,88.29,,,,,,22.3,239.08,0.0,871.77,11-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Sep-2019 - 00:00,17.46,34.15,18.54,24.25,23.35,4.36,0.58,11.96,0.42,260.75,81.89,,,,,,24.06,169.62,0.1,872.15,12-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Sep-2019 - 00:00,12.18,27.26,5.88,7.22,9.47,4.03,0.22,12.15,0.18,226.57,89.27,,,,,,22.47,112.22,0.02,870.95,13-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Sep-2019 - 00:00,20.37,62.94,20.09,25.05,24.52,4.57,0.59,14.91,0.63,279.62,73.91,,,,,,24.54,99.33,0.0,872.7,14-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Sep-2019 - 00:00,18.01,42.84,6.44,7.88,10.31,4.0,0.17,10.82,0.42,279.34,88.27,,,,,,22.7,105.64,0.0,871.48,15-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Sep-2019 - 00:00,20.38,64.84,15.52,19.0,20.39,4.97,0.13,17.18,0.75,279.22,74.26,,,,,,24.87,204.56,0.0,873.54,16-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Sep-2019 - 00:00,23.15,42.05,17.65,23.44,23.73,4.3,0.51,14.66,0.55,261.01,79.57,,,,,,24.02,213.21,0.06,872.6,17-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Sep-2019 - 00:00,22.45,47.22,20.38,27.25,26.69,4.73,0.57,13.56,0.64,276.61,77.16,,,,,,24.41,272.29,0.0,872.79,18-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Sep-2019 - 00:00,19.39,40.33,14.59,18.9,19.55,4.53,0.45,18.17,0.4,244.77,77.25,,,,,,24.51,213.8,0.0,871.94,19-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Sep-2019 - 00:00,13.82,29.24,7.59,9.09,10.97,4.12,0.27,16.52,0.24,247.41,87.67,,,,,,22.47,106.06,0.0,872.09,20-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Sep-2019 - 00:00,17.27,41.3,14.21,18.49,18.27,4.68,0.4,22.84,0.45,247.71,53.03,,,,,,29.55,359.69,0.0,873.2,21-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Sep-2019 - 00:00,11.36,26.63,5.79,6.79,9.72,4.36,0.15,15.84,0.46,279.61,83.66,,,,,,22.61,99.0,0.0,872.2,22-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Sep-2019 - 00:00,23.07,70.39,18.45,20.22,31.3,7.17,0.61,55.61,0.28,235.67,60.56,,,,,,28.27,472.13,0.0,871.41,23-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Sep-2019 - 00:00,21.87,44.77,24.17,30.03,30.19,4.51,0.66,23.36,0.52,209.57,71.6,,,,,,26.28,282.49,0.15,872.37,24-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Sep-2019 - 00:00,10.44,23.73,6.1,7.83,9.62,4.08,0.29,15.78,0.48,167.79,96.34,,,,,,21.35,132.73,0.61,871.52,25-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Sep-2019 - 00:00,17.93,40.82,20.06,24.93,23.86,4.31,0.52,21.01,0.53,194.49,66.95,,,,,,26.27,274.48,0.04,872.3,28-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Sep-2019 - 00:00,19.81,50.04,19.27,23.15,22.77,4.76,0.54,25.06,0.53,167.89,75.56,,,,,,24.97,246.85,0.01,871.83,29-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Sep-2019 - 00:00,20.25,57.67,28.87,39.5,36.58,4.68,0.88,21.7,0.65,133.34,74.37,,,,,,25.22,254.53,0.0,872.23,30-Sep-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Sep-2019 - 00:00,32.76,88.86,23.54,28.15,27.9,4.5,0.64,20.36,0.81,126.73,76.19,,,,,,24.43,219.74,0.0,872.95,01-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Oct-2019 - 00:00,17.18,48.07,19.53,24.02,24.21,4.46,0.67,24.73,0.45,255.52,73.65,,,,,,25.48,236.27,0.0,871.95,02-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Oct-2019 - 00:00,17.8,57.13,27.63,33.18,32.12,4.36,0.71,17.46,0.71,100.25,73.1,,,,,,25.28,254.51,0.0,872.53,03-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Oct-2019 - 00:00,22.62,57.25,22.04,24.32,24.66,4.21,0.68,47.66,0.49,153.27,76.55,,,,,,24.78,256.04,0.07,871.7,04-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Oct-2019 - 00:00,24.0,65.6,31.09,36.25,34.78,4.5,0.79,42.35,0.6,198.05,73.19,,,,,,25.0,244.39,0.0,872.21,05-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Oct-2019 - 00:00,20.53,54.37,23.88,27.26,26.83,4.52,0.64,45.4,0.71,163.73,75.51,,,,,,24.78,254.97,0.01,872.76,06-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Oct-2019 - 00:00,19.48,50.54,24.29,28.49,27.7,4.32,0.68,36.82,0.51,194.42,73.78,,,,,,25.33,239.56,0.0,871.85,07-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Oct-2019 - 00:00,22.08,54.93,20.87,23.98,23.97,4.53,0.66,40.24,0.59,189.73,72.23,,,,,,25.39,238.33,0.0,872.34,08-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Oct-2019 - 00:00,17.25,38.45,9.12,9.65,12.47,3.39,0.53,41.47,0.67,167.58,74.6,,,,,,24.95,298.2,0.09,872.44,09-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Oct-2019 - 00:00,22.82,53.19,22.54,24.69,25.34,4.47,0.69,39.24,0.39,186.6,76.43,,,,,,24.8,218.33,0.0,871.34,10-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Oct-2019 - 00:00,25.23,55.91,27.43,33.83,32.89,4.45,0.94,33.77,0.36,173.88,79.33,,,,,,24.74,217.41,0.05,871.08,11-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Oct-2019 - 00:00,24.93,55.3,19.95,24.01,25.21,4.72,0.71,46.27,0.57,146.34,76.48,0.0,0.0,0.0,0.0,0.0,25.43,254.79,0.0,871.96,12-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Oct-2019 - 00:00,27.18,61.99,26.24,32.47,32.43,4.33,0.79,29.29,0.56,170.95,71.61,5.39,25.88,1.67,1.34,4.62,25.72,232.95,0.0,871.81,13-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Oct-2019 - 00:00,20.56,40.43,6.52,6.75,10.79,3.97,0.42,25.3,0.79,121.09,71.73,1.09,4.8,0.19,0.22,0.51,25.98,337.47,0.02,872.99,14-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Oct-2019 - 00:00,23.7,51.0,27.82,35.4,33.43,4.3,0.67,25.26,0.83,135.89,74.1,3.82,14.48,0.99,0.73,2.72,25.51,259.8,0.0,873.0,15-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Oct-2019 - 00:00,18.91,45.77,18.41,21.93,22.46,4.28,0.52,34.42,1.04,121.72,80.69,1.59,7.8,0.53,0.39,1.41,24.61,255.1,0.51,873.96,16-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Oct-2019 - 00:00,15.58,37.41,17.93,20.85,21.92,4.3,0.5,32.45,0.87,118.22,85.04,3.14,7.68,0.43,0.37,1.1,23.78,248.69,0.05,873.09,17-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Oct-2019 - 00:00,14.23,34.97,14.34,18.83,18.95,4.3,0.48,20.05,1.05,89.87,86.91,0.97,5.97,0.43,0.36,1.19,23.26,227.55,0.08,873.82,18-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Oct-2019 - 00:00,17.29,43.76,14.34,19.02,18.57,4.44,0.55,18.04,0.74,123.36,86.26,1.2,6.92,0.57,0.39,1.5,23.54,240.7,0.24,872.58,19-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Oct-2019 - 00:00,16.91,44.48,17.03,25.18,23.08,4.49,0.71,16.88,0.79,128.04,83.93,1.96,9.92,0.83,0.56,2.12,23.85,241.17,0.08,872.69,20-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Oct-2019 - 00:00,23.35,46.5,10.39,14.34,14.75,4.81,0.49,26.53,0.64,102.05,80.2,1.14,5.34,0.41,0.31,1.11,24.47,233.79,0.0,872.13,21-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Oct-2019 - 00:00,20.77,41.32,19.56,25.26,25.23,4.5,0.68,23.65,0.56,142.66,90.45,2.47,10.57,0.71,0.48,1.79,22.76,202.58,0.1,871.77,22-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Oct-2019 - 00:00,16.97,36.79,20.96,32.03,28.53,4.85,0.84,13.96,0.43,292.58,90.61,1.98,14.71,0.96,0.76,2.68,22.25,191.86,0.19,871.29,23-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Oct-2019 - 00:00,12.61,27.5,11.29,16.96,15.89,4.27,0.55,12.64,0.46,265.82,86.81,1.34,8.74,0.53,0.43,1.52,22.5,232.48,0.15,871.93,24-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Oct-2019 - 00:00,9.72,20.72,5.99,8.65,9.13,4.41,0.4,21.69,0.39,219.34,81.14,1.0,4.72,0.28,0.22,0.75,22.92,267.56,0.02,872.36,25-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Oct-2019 - 00:00,11.35,22.51,5.24,7.86,8.42,4.42,0.39,18.89,0.48,198.9,84.18,1.23,5.51,0.36,0.31,1.03,22.38,222.35,0.05,872.71,26-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Oct-2019 - 00:00,10.3,21.96,5.12,7.63,8.03,4.28,0.4,17.68,0.57,206.83,84.26,1.33,4.92,0.34,0.25,0.87,21.83,205.91,0.0,872.43,27-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Oct-2019 - 00:00,14.05,33.51,6.46,10.79,9.83,4.37,0.4,18.11,0.31,239.55,75.91,1.23,6.51,0.29,0.29,0.79,23.56,281.22,0.0,871.2,28-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Oct-2019 - 00:00,25.37,50.65,5.81,9.18,9.01,4.48,0.55,24.28,0.88,106.86,74.63,1.48,6.89,0.61,0.43,1.67,25.21,246.02,0.0,873.35,29-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Oct-2019 - 00:00,23.19,46.59,5.36,9.06,8.78,4.55,0.49,21.32,1.15,84.59,87.34,1.06,4.84,0.46,0.75,1.48,22.46,207.14,0.01,874.13,30-Oct-2019 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
