from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
28-Jan-2019 - 00:00,14.32,8.43,2.33,0.0,26.1,0.45,58.67,52.39,92.51,4.19,0.0,18.45,10.0,63.37,2.19,279.14,128.44,0.0,29-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
29-Jan-2019 - 00:00,13.57,8.08,2.23,0.0,35.33,0.57,61.84,68.88,114.44,5.46,0.0,21.97,11.8,64.26,2.0,281.51,136.94,0.0,30-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
30-Jan-2019 - 00:00,19.91,15.45,7.3,0.0,36.65,0.91,35.13,94.28,157.46,7.93,0.0,19.59,12.08,66.83,1.58,254.88,99.8,0.0,31-Jan-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
31-Jan-2019 - 00:00,26.9,20.18,8.64,0.0,21.93,1.0,10.36,135.34,211.98,10.26,0.0,17.22,11.34,71.68,1.38,124.39,68.89,0.0,01-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
01-Feb-2019 - 00:00,21.55,12.14,2.11,0.0,17.27,0.78,7.49,104.82,164.64,7.63,0.0,9.28,7.08,74.71,1.59,192.93,71.92,0.0,02-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
02-Feb-2019 - 00:00,11.88,7.09,2.1,0.0,10.25,0.61,7.48,98.58,132.44,5.66,0.0,8.63,5.95,91.36,1.83,268.71,95.12,0.0,03-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
03-Feb-2019 - 00:00,17.61,23.08,18.31,0.0,8.41,0.89,7.5,78.55,127.29,7.32,0.0,9.1,8.49,92.44,1.29,242.27,96.82,0.0,04-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
04-Feb-2019 - 00:00,25.29,27.33,18.6,0.0,7.42,1.04,7.45,89.0,141.48,8.92,0.0,8.62,9.45,89.43,0.98,240.11,117.33,0.0,05-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
05-Feb-2019 - 00:00,28.52,25.47,14.17,0.0,14.56,1.04,7.5,99.31,161.97,8.05,0.0,10.03,10.31,78.82,0.83,138.86,112.33,0.0,06-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
06-Feb-2019 - 00:00,27.97,17.91,4.68,0.02,14.81,0.99,27.7,127.6,181.54,10.22,20.34,9.09,7.8,78.13,1.71,102.06,105.81,0.08,07-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
07-Feb-2019 - 00:00,14.7,10.31,3.28,0.0,7.13,0.44,39.72,55.74,91.23,4.26,102.44,6.56,4.83,89.12,2.13,141.87,52.31,0.07,08-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
08-Feb-2019 - 00:00,15.27,10.47,3.4,0.17,9.22,0.4,29.88,27.08,87.75,3.41,51.24,5.69,4.02,85.58,2.09,224.09,144.48,0.0,09-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
09-Feb-2019 - 00:00,13.25,9.43,3.12,0.0,13.81,0.44,32.49,41.15,92.7,4.57,47.51,5.23,4.59,72.06,2.39,279.07,146.55,0.0,10-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
10-Feb-2019 - 00:00,16.89,12.13,4.12,0.0,21.47,0.56,21.88,59.6,143.4,5.54,,8.07,6.54,77.32,1.8,271.4,147.76,0.0,11-Feb-2019 - 00:00,"Sector-7, Kurukshetra - HSPCB"
