from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Eth-Benzene,Toluene,MP-Xylene,Xylene,RH,WS,WD,SR,RF,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
07-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
08-Jan-2019 - 00:00,65.68,16.81,59.88,153.33,5.19,1.11,2.77,158.14,89.78,5.37,35.76,2.18,23.95,14.22,68.67,2.01,282.84,,0.0,09-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
09-Jan-2019 - 00:00,44.09,29.95,57.12,154.56,5.75,0.95,4.8,137.09,84.0,4.91,32.28,2.17,21.52,13.03,70.93,2.09,277.11,,0.0,10-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
10-Jan-2019 - 00:00,16.55,142.86,156.11,323.31,49.9,1.14,3.4,158.62,93.01,6.94,35.73,2.15,21.86,19.26,64.87,1.5,255.66,,0.0,11-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
11-Jan-2019 - 00:00,13.54,91.53,96.67,206.87,7.37,1.77,2.95,345.67,214.36,7.7,2.36,2.14,6.86,4.23,67.68,0.88,156.64,,0.0,12-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
12-Jan-2019 - 00:00,13.62,70.17,69.92,153.35,5.17,2.15,0.97,315.12,211.09,15.29,39.85,2.17,32.6,19.29,71.18,1.17,152.6,,0.0,13-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
13-Jan-2019 - 00:00,14.38,57.51,53.1,131.54,5.53,2.23,1.98,297.61,208.52,16.68,45.97,2.18,35.69,21.8,73.11,1.24,206.13,,0.0,14-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
14-Jan-2019 - 00:00,10.88,27.45,20.39,75.0,2.87,0.94,2.4,129.25,68.98,6.45,29.06,2.17,17.8,12.97,63.25,2.59,281.0,,0.0,15-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
15-Jan-2019 - 00:00,12.09,30.49,22.53,78.15,3.86,0.99,1.99,115.14,61.0,3.98,25.85,2.18,19.29,10.95,61.23,1.92,270.2,,0.0,16-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
16-Jan-2019 - 00:00,9.9,43.27,42.35,105.96,4.47,1.63,2.3,274.63,173.92,7.56,26.1,2.17,19.49,11.67,73.74,1.04,169.74,,0.0,17-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
17-Jan-2019 - 00:00,7.49,40.12,40.8,109.06,4.63,1.98,8.69,271.77,191.94,16.34,28.77,2.17,23.96,14.86,72.84,1.14,243.33,,0.0,18-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
18-Jan-2019 - 00:00,6.76,29.81,28.96,92.26,4.0,1.42,12.55,219.52,158.22,9.16,27.96,2.18,20.93,12.51,77.55,1.51,272.47,,0.0,19-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
19-Jan-2019 - 00:00,4.42,26.94,31.62,85.25,4.56,1.36,23.78,192.57,126.8,6.26,13.54,2.16,13.55,12.07,64.3,1.07,197.29,,0.0,20-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
20-Jan-2019 - 00:00,3.34,40.68,54.45,122.19,3.79,1.72,15.31,254.64,167.69,11.38,19.21,2.18,15.31,9.17,72.81,1.12,148.41,,0.0,21-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
21-Jan-2019 - 00:00,4.68,35.79,45.01,113.68,4.12,1.29,17.79,160.88,102.1,10.47,21.89,2.18,16.71,9.77,77.17,2.42,96.7,,0.0,22-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
22-Jan-2019 - 00:00,8.47,45.99,47.06,134.66,17.85,0.91,17.84,92.24,66.09,3.89,13.58,2.13,13.7,7.43,87.91,1.87,106.82,,0.0,23-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
23-Jan-2019 - 00:00,12.15,76.4,81.65,204.13,1.53,1.33,11.89,123.03,86.42,7.72,23.97,2.18,20.33,11.0,92.23,1.3,247.35,,0.0,24-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
24-Jan-2019 - 00:00,11.38,82.69,90.54,194.24,3.63,1.53,13.63,176.52,108.95,11.26,31.34,2.18,25.85,14.92,81.74,1.52,185.93,,0.0,25-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
25-Jan-2019 - 00:00,13.99,65.37,65.38,149.67,3.64,0.88,19.05,87.41,55.86,4.6,22.97,2.18,17.43,10.1,78.39,1.56,246.7,,0.0,26-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
26-Jan-2019 - 00:00,15.11,61.12,58.55,134.51,4.89,1.0,23.59,111.35,69.98,5.32,24.05,2.18,17.8,10.38,68.18,1.97,289.62,,0.0,27-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
27-Jan-2019 - 00:00,15.51,57.1,52.99,121.64,4.75,0.9,22.21,103.25,66.76,3.79,19.03,2.17,13.87,8.06,71.16,2.14,283.52,,0.0,28-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
28-Jan-2019 - 00:00,15.78,54.87,49.85,114.67,4.52,0.87,22.18,103.63,64.78,3.68,17.57,2.17,12.5,7.33,65.74,2.35,275.79,,0.0,29-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
29-Jan-2019 - 00:00,15.71,53.99,48.85,113.24,4.66,0.86,23.51,100.37,58.28,3.71,16.34,2.17,12.37,7.03,62.47,1.95,276.18,,0.0,30-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
30-Jan-2019 - 00:00,14.4,65.46,64.94,132.92,5.12,1.09,19.75,135.34,88.06,4.87,19.58,2.17,15.4,8.17,59.95,1.45,222.26,,0.0,31-Jan-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
31-Jan-2019 - 00:00,13.04,81.3,86.64,165.35,5.13,1.28,14.94,159.74,94.29,8.19,18.6,2.17,13.9,8.0,68.6,1.73,118.33,,0.0,01-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
01-Feb-2019 - 00:00,14.65,74.42,75.77,160.34,5.02,1.21,19.29,160.74,112.17,7.01,19.58,2.18,14.52,8.25,75.54,1.99,145.47,,0.0,02-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
02-Feb-2019 - 00:00,14.99,61.15,58.76,133.33,4.54,1.1,18.76,152.41,105.83,5.97,16.13,2.17,13.22,6.97,91.35,2.67,288.84,,0.0,03-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
03-Feb-2019 - 00:00,12.3,74.69,79.31,153.34,4.66,1.14,15.49,130.8,91.77,5.67,18.39,2.17,14.15,7.74,93.9,1.95,280.33,,0.0,04-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
04-Feb-2019 - 00:00,10.56,88.28,98.68,179.73,5.06,1.35,16.11,120.4,77.47,7.05,20.35,2.18,15.66,8.55,81.09,1.13,231.76,,0.0,05-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
05-Feb-2019 - 00:00,12.99,102.91,118.4,208.29,5.33,1.6,13.69,212.73,143.62,8.67,19.83,2.18,15.86,8.99,79.63,1.3,111.44,,0.0,06-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
06-Feb-2019 - 00:00,10.26,102.4,117.76,215.22,5.32,1.41,13.16,157.99,109.48,9.32,19.56,2.18,15.59,8.8,83.25,1.8,118.37,,0.0,07-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
07-Feb-2019 - 00:00,11.72,88.14,99.74,192.1,4.75,0.97,16.69,88.0,50.57,5.04,5.69,2.16,3.4,6.49,85.58,2.93,129.75,,0.0,08-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
08-Feb-2019 - 00:00,11.54,78.94,85.72,166.53,4.59,0.92,21.28,133.7,48.57,3.65,16.46,2.18,13.84,7.16,66.64,1.87,284.76,,0.0,09-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
09-Feb-2019 - 00:00,12.75,72.01,75.36,145.45,4.47,0.87,21.25,81.83,40.91,2.84,16.45,2.17,13.35,6.95,68.25,2.14,285.42,,0.0,10-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
10-Feb-2019 - 00:00,10.95,91.71,102.38,183.13,5.01,1.14,19.78,129.25,73.07,4.13,20.71,2.18,17.06,8.68,69.35,1.3,254.87,,0.0,11-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
11-Feb-2019 - 00:00,11.65,91.76,103.87,184.36,4.39,1.33,21.7,202.88,107.62,7.33,17.71,2.18,14.39,8.14,69.97,0.99,230.06,,0.0,12-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
12-Feb-2019 - 00:00,11.75,86.05,94.87,175.76,4.39,1.41,28.37,206.84,123.45,8.42,16.25,2.18,14.66,8.0,65.88,1.02,181.53,221.3,0.0,13-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
13-Feb-2019 - 00:00,12.83,96.55,108.05,198.32,4.04,1.61,23.13,217.86,136.77,9.49,18.51,2.18,15.46,9.02,72.14,1.1,153.22,252.77,0.0,14-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
14-Feb-2019 - 00:00,11.81,89.33,98.67,187.34,3.76,1.42,17.76,162.14,109.46,8.63,17.28,2.18,13.73,8.13,76.8,2.38,103.16,188.22,0.0,15-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
15-Feb-2019 - 00:00,10.66,92.05,103.38,192.59,3.89,1.33,18.28,128.05,85.14,5.83,18.97,2.18,15.25,8.32,76.68,1.58,215.2,236.88,0.0,16-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
16-Feb-2019 - 00:00,13.09,70.43,72.92,146.71,3.45,1.19,24.54,104.27,71.76,5.17,16.05,2.18,13.06,7.05,83.58,2.34,286.9,272.79,0.0,17-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
17-Feb-2019 - 00:00,12.67,74.53,78.61,150.9,3.58,1.22,23.72,99.69,60.97,4.43,16.86,2.17,14.12,7.26,77.0,1.93,273.61,363.4,0.0,18-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
18-Feb-2019 - 00:00,11.51,85.52,94.15,171.34,3.74,1.41,18.91,130.28,84.9,5.32,16.62,2.18,13.53,7.4,72.93,1.66,147.07,282.6,0.0,19-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
19-Feb-2019 - 00:00,8.88,110.69,130.14,221.07,4.31,1.65,18.29,156.73,81.08,6.38,19.61,2.19,16.4,8.35,73.02,1.3,145.47,302.26,0.0,20-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
20-Feb-2019 - 00:00,8.61,97.65,114.22,197.25,4.1,1.44,8.33,133.87,77.54,6.57,19.73,2.19,15.16,8.72,83.91,1.72,86.98,102.73,0.0,21-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
21-Feb-2019 - 00:00,8.87,104.35,123.21,214.11,4.22,1.22,13.35,134.04,64.85,5.44,19.05,2.68,15.08,8.25,73.94,1.77,82.31,320.93,0.0,22-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
22-Feb-2019 - 00:00,11.23,81.63,90.13,172.86,3.69,1.1,22.45,108.54,56.68,5.42,16.89,3.45,13.54,7.54,77.55,2.86,283.41,608.48,0.0,23-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
23-Feb-2019 - 00:00,13.25,60.21,59.96,125.4,3.06,1.0,27.04,71.53,36.42,2.8,11.6,3.14,10.43,6.12,65.61,2.38,279.88,712.24,0.0,24-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
24-Feb-2019 - 00:00,11.67,78.98,85.56,157.26,3.49,1.16,27.62,89.57,48.77,3.63,15.89,3.54,13.51,6.8,60.03,1.68,250.31,354.6,0.0,25-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
25-Feb-2019 - 00:00,11.43,96.08,108.8,188.96,3.95,1.33,23.87,140.03,75.15,5.52,18.37,3.65,14.85,8.31,67.08,1.61,131.4,301.59,0.0,26-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
26-Feb-2019 - 00:00,9.6,91.45,103.93,181.84,3.75,1.13,16.5,82.93,52.38,4.26,17.49,3.44,14.46,7.67,74.65,1.75,127.71,156.17,0.0,27-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
27-Feb-2019 - 00:00,12.28,75.71,80.67,152.17,3.46,1.19,17.4,126.14,57.62,3.57,15.5,3.31,12.99,6.9,75.79,1.23,190.03,279.19,0.0,28-Feb-2019 - 00:00,"Shyam Nagar, Palwal - HSPCB"
