from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,BP,PM2.5,PM10,RF,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
11-Jan-2019 - 00:00,2.95,0.19,0.51,0.37,1.53,760.92,54.89,89.13,0.0,106.01,14.09,209.65,1.46,1.15,20.48,20.34,10.22,29.35,27.83,7.86,12-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-Jan-2019 - 00:00,3.25,0.6,1.55,0.8,3.93,760.46,56.47,87.52,0.0,105.51,14.12,221.45,1.44,1.17,20.27,20.32,10.11,29.27,34.44,7.54,13-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-Jan-2019 - 00:00,2.42,0.25,0.64,0.32,3.65,761.53,60.11,90.29,0.0,102.24,15.68,121.1,1.66,0.71,20.21,20.32,10.19,29.3,46.59,7.77,14-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-Jan-2019 - 00:00,1.0,0.12,0.25,0.12,2.08,761.79,27.37,59.39,0.0,114.13,15.22,180.11,1.74,0.43,20.25,13.14,10.27,29.42,52.88,7.8,15-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-Jan-2019 - 00:00,1.82,0.27,0.7,0.35,2.53,761.11,32.34,85.12,0.0,110.99,14.12,121.85,1.75,0.76,27.14,8.24,14.28,29.19,42.25,8.53,16-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-Jan-2019 - 00:00,3.15,0.63,1.39,0.75,3.24,760.79,47.86,111.97,0.0,112.87,13.19,198.49,1.35,1.31,35.52,11.52,14.62,22.21,31.63,9.34,17-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-Jan-2019 - 00:00,3.3,0.91,1.32,0.69,3.62,760.14,64.26,121.19,0.0,105.32,14.4,174.17,1.43,1.15,39.27,16.17,14.47,28.31,34.74,10.97,18-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
18-Jan-2019 - 00:00,3.29,0.6,1.33,0.69,4.51,760.52,72.84,134.14,0.0,103.52,14.35,150.21,1.27,1.21,43.36,13.92,13.43,22.1,31.86,10.25,19-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
19-Jan-2019 - 00:00,3.44,0.67,1.57,0.88,5.13,760.4,60.28,114.16,0.0,102.58,15.5,191.87,1.4,1.22,,,,0.0,28.72,9.16,20-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
20-Jan-2019 - 00:00,4.59,0.97,2.15,1.26,5.81,759.75,76.13,134.41,0.0,109.05,17.49,208.57,1.39,1.58,,,,0.0,29.38,12.14,21-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
21-Jan-2019 - 00:00,4.01,0.92,1.79,1.0,4.05,757.82,62.55,119.75,0.02,62.6,15.32,160.59,1.33,1.0,49.89,20.59,69.6,66.02,17.04,10.17,22-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
22-Jan-2019 - 00:00,1.8,0.27,0.73,0.37,3.84,758.57,29.7,70.61,0.09,100.67,16.0,179.91,1.69,0.43,25.81,36.47,56.76,83.14,27.11,9.89,23-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
23-Jan-2019 - 00:00,2.22,0.58,1.07,0.47,5.33,760.31,39.11,81.37,0.0,83.01,13.97,73.66,1.79,0.57,28.86,29.9,58.7,84.48,25.86,11.2,24-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
24-Jan-2019 - 00:00,2.02,0.34,0.74,0.35,6.08,761.47,46.32,97.49,0.03,91.49,14.17,82.11,2.06,0.5,34.72,19.01,55.06,70.8,31.91,11.36,25-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
25-Jan-2019 - 00:00,0.93,0.13,0.37,0.17,3.93,761.46,20.33,52.28,0.0,138.31,13.46,77.22,2.31,0.32,34.14,10.44,40.02,48.32,41.01,9.16,26-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
26-Jan-2019 - 00:00,0.94,0.09,0.29,0.13,6.24,763.26,23.27,59.24,0.0,174.51,13.55,69.65,2.82,0.3,33.97,9.35,45.88,55.23,63.5,12.2,27-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
27-Jan-2019 - 00:00,1.08,0.11,0.3,0.14,6.07,763.17,28.65,66.13,0.0,133.01,12.44,97.97,2.02,0.35,32.9,9.64,45.5,52.89,55.04,9.75,28-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
28-Jan-2019 - 00:00,1.76,0.32,0.69,0.39,4.94,763.13,33.92,75.51,0.0,144.7,12.53,148.16,1.78,0.77,31.86,19.43,47.16,63.97,44.98,10.14,29-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
29-Jan-2019 - 00:00,1.43,0.32,0.79,0.34,4.5,762.32,28.37,66.05,0.0,150.3,14.08,151.52,2.22,0.68,56.6,18.86,54.55,69.92,50.13,9.91,30-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
30-Jan-2019 - 00:00,2.37,0.47,1.02,0.55,5.29,761.46,46.11,112.83,0.0,132.04,13.66,162.11,1.39,0.92,61.55,21.63,40.71,59.25,36.73,9.71,31-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
31-Jan-2019 - 00:00,1.67,0.62,1.73,0.74,5.53,760.42,37.01,86.6,0.0,122.15,15.48,157.17,1.58,0.5,39.25,9.21,10.79,19.18,45.69,15.78,01-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
01-Feb-2019 - 00:00,1.81,0.36,1.26,0.46,5.17,760.8,43.97,86.01,0.0,131.12,15.25,85.3,2.03,0.5,32.31,7.74,14.19,20.97,46.47,14.55,02-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-Feb-2019 - 00:00,1.54,0.31,1.14,0.46,5.57,760.94,42.74,75.52,0.0,134.01,13.07,92.74,2.21,0.5,30.65,7.72,18.04,24.78,46.22,13.81,03-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-Feb-2019 - 00:00,2.42,1.57,2.51,0.99,6.69,761.64,51.25,72.67,0.0,138.92,13.1,159.27,1.56,0.77,36.14,12.63,20.67,32.15,38.2,16.08,04-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-Feb-2019 - 00:00,2.98,2.16,4.29,1.78,7.32,761.93,53.22,94.75,0.0,142.99,14.65,189.61,1.38,1.03,42.67,18.25,22.07,38.98,38.39,16.27,05-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-Feb-2019 - 00:00,3.78,3.02,5.92,2.56,8.86,760.39,72.36,136.49,0.0,115.33,16.47,141.03,1.29,1.21,56.27,25.44,22.54,46.09,27.48,17.12,06-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-Feb-2019 - 00:00,2.75,2.16,3.01,1.22,7.59,757.41,55.32,104.77,0.0,124.73,18.08,134.02,1.5,0.53,54.86,12.99,27.93,38.99,24.66,16.61,07-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-Feb-2019 - 00:00,0.85,0.29,0.64,0.21,5.54,756.14,27.33,71.14,0.0,79.62,18.11,171.71,2.35,0.2,38.14,8.17,23.73,30.23,40.38,12.7,08-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-Feb-2019 - 00:00,0.71,0.27,0.95,0.34,5.08,759.83,20.55,87.67,0.0,140.08,14.79,96.64,2.24,0.39,28.8,8.51,21.61,28.74,48.14,17.15,09-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-Feb-2019 - 00:00,1.14,0.48,1.64,0.68,4.96,761.26,19.04,36.05,0.0,159.19,14.95,130.06,2.02,0.86,28.29,12.61,18.53,30.04,49.2,14.13,10-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-Feb-2019 - 00:00,1.83,0.73,2.67,1.21,7.75,761.86,34.91,67.75,0.0,140.43,14.51,161.48,1.54,0.62,35.3,15.46,24.69,38.39,37.71,17.67,11-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-Feb-2019 - 00:00,1.68,1.11,2.37,0.98,6.78,762.04,38.15,88.88,0.0,133.38,15.52,147.43,1.57,0.53,30.69,18.58,40.88,55.87,42.35,16.71,12-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-Feb-2019 - 00:00,1.96,0.82,2.16,0.91,6.04,762.01,46.47,77.27,0.0,136.51,17.53,171.34,1.48,0.63,28.47,20.07,64.7,81.0,48.77,18.59,13-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-Feb-2019 - 00:00,2.83,1.11,3.3,1.49,8.28,761.5,52.04,69.84,0.0,107.04,17.67,186.04,1.32,0.95,33.4,30.03,60.94,87.86,40.96,16.74,14-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-Feb-2019 - 00:00,2.17,1.46,2.11,0.84,6.6,758.9,41.62,89.6,0.0,104.48,17.89,154.38,1.57,0.57,36.27,17.93,57.52,65.95,37.36,18.03,15-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-Feb-2019 - 00:00,1.54,0.24,0.83,0.32,5.67,759.28,39.24,72.24,0.0,147.14,18.02,100.43,2.56,0.6,27.65,10.24,44.29,52.17,52.87,15.25,16-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-Feb-2019 - 00:00,0.97,0.17,0.53,0.21,4.95,760.31,27.57,51.82,0.0,156.19,15.72,89.4,2.52,0.51,22.81,9.23,44.78,52.04,55.03,17.16,17-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-Feb-2019 - 00:00,1.39,0.38,1.23,0.51,6.81,758.79,30.89,65.71,0.0,157.35,16.54,149.48,1.49,0.66,19.83,15.75,48.2,61.25,42.55,15.32,18-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
18-Feb-2019 - 00:00,1.33,0.63,1.44,0.56,5.08,755.95,30.87,76.34,0.0,150.65,19.02,181.59,1.79,0.63,23.32,12.69,45.5,55.51,47.64,16.64,19-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
19-Feb-2019 - 00:00,1.32,0.53,1.73,0.71,5.53,757.68,34.36,90.03,0.0,148.01,20.63,154.47,1.6,0.82,29.58,22.95,51.22,71.19,38.94,12.84,20-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
20-Feb-2019 - 00:00,2.2,0.61,1.92,0.8,5.98,760.2,47.58,98.32,0.0,83.51,19.11,147.81,1.56,0.88,35.82,20.08,60.41,76.31,30.94,15.55,21-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
21-Feb-2019 - 00:00,2.04,0.88,2.34,0.95,6.41,761.18,40.47,82.78,0.0,144.39,21.33,154.38,1.63,0.78,36.69,17.04,52.34,66.42,32.31,17.04,22-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
22-Feb-2019 - 00:00,0.62,0.18,0.7,0.24,2.66,763.71,18.31,43.42,0.0,162.82,19.4,71.49,2.82,0.35,25.3,8.86,30.32,37.61,52.39,14.22,23-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
23-Feb-2019 - 00:00,0.51,0.15,0.47,0.17,2.4,763.08,17.74,42.6,0.0,173.62,18.24,88.31,2.38,0.46,17.06,9.64,31.78,39.59,64.53,17.37,24-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
24-Feb-2019 - 00:00,0.96,0.36,1.05,0.38,3.86,761.99,25.7,61.78,0.0,173.48,19.08,100.62,1.77,0.61,19.68,11.07,42.12,50.92,54.13,16.8,25-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
25-Feb-2019 - 00:00,1.12,1.01,1.66,0.57,3.09,761.35,29.42,67.96,0.0,141.02,17.54,140.14,1.54,0.66,22.32,16.75,44.04,58.22,42.96,17.55,26-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
26-Feb-2019 - 00:00,1.2,0.56,1.44,0.67,5.54,761.47,23.11,60.15,0.01,103.64,15.44,137.66,1.64,0.58,23.8,12.01,41.81,51.34,45.28,17.72,27-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
27-Feb-2019 - 00:00,0.71,0.3,0.99,0.4,8.79,761.55,15.64,44.7,0.0,155.44,14.84,68.75,2.28,0.33,21.67,9.49,35.49,42.63,47.78,18.43,28-Feb-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
28-Feb-2019 - 00:00,1.1,0.65,1.52,0.59,8.76,763.81,22.52,56.63,0.0,184.61,16.03,136.66,1.8,0.44,17.82,16.81,36.93,51.71,45.8,15.97,01-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
01-Mar-2019 - 00:00,1.49,0.87,2.21,0.89,7.96,764.1,27.29,68.9,0.0,233.77,19.39,154.72,1.8,0.66,17.78,22.75,46.83,69.56,56.1,21.2,02-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-Mar-2019 - 00:00,1.73,0.71,1.85,0.74,12.7,763.92,33.99,72.38,0.02,91.87,16.42,114.63,1.95,0.38,22.69,11.42,45.4,53.81,47.41,19.69,03-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-Mar-2019 - 00:00,0.94,0.38,1.13,0.47,12.31,762.23,15.88,38.71,0.01,163.81,16.57,176.6,1.65,0.29,21.52,11.18,34.58,43.95,47.08,15.35,04-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-Mar-2019 - 00:00,0.99,0.4,1.31,0.54,13.11,760.8,24.18,46.95,0.01,121.74,18.71,143.31,1.96,0.27,26.46,8.17,35.51,42.05,50.67,16.56,05-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-Mar-2019 - 00:00,0.69,0.43,1.27,0.52,8.54,761.61,18.89,42.69,0.0,198.29,19.13,100.05,2.05,0.5,18.11,13.4,34.76,44.35,55.26,15.8,06-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-Mar-2019 - 00:00,1.38,0.92,2.07,0.85,8.11,762.17,30.96,55.57,0.0,180.35,19.06,134.49,1.69,0.77,19.52,20.36,43.97,58.78,45.03,16.52,07-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-Mar-2019 - 00:00,1.83,1.07,2.86,1.24,10.21,762.29,38.54,69.33,0.0,181.6,20.08,189.07,1.59,1.15,20.96,33.02,46.03,75.95,46.12,18.05,08-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-Mar-2019 - 00:00,1.73,0.85,2.65,1.19,11.62,763.08,50.81,95.12,0.0,162.25,20.63,139.95,1.64,0.85,25.69,21.1,58.44,76.48,52.75,21.55,09-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-Mar-2019 - 00:00,1.13,0.52,1.69,0.66,9.02,763.22,34.74,77.12,0.0,206.11,22.04,62.37,3.03,0.73,33.14,9.19,46.89,56.0,57.18,21.44,10-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-Mar-2019 - 00:00,1.26,1.02,1.97,0.79,7.88,763.32,25.75,74.51,0.0,170.79,20.62,132.94,1.68,0.83,33.86,14.79,58.39,68.52,55.7,18.94,11-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-Mar-2019 - 00:00,1.09,0.32,1.12,0.44,5.94,762.9,24.31,71.92,0.0,161.21,22.6,204.64,2.15,0.71,28.38,9.79,43.99,51.42,63.81,18.88,12-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-Mar-2019 - 00:00,1.48,1.02,3.33,1.34,8.47,764.09,19.28,48.6,0.0,156.33,21.71,77.3,2.71,0.69,27.7,8.19,40.66,46.74,62.61,17.62,13-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-Mar-2019 - 00:00,1.39,0.7,2.21,0.88,6.69,764.22,30.42,69.99,0.0,91.03,20.33,117.59,1.85,0.87,25.69,12.21,48.93,58.92,52.24,22.64,14-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-Mar-2019 - 00:00,1.32,0.5,1.51,0.6,6.88,764.43,30.72,60.99,0.0,127.12,19.35,81.79,2.59,0.73,24.86,9.22,48.67,55.42,44.45,18.91,15-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-Mar-2019 - 00:00,0.69,0.2,0.73,0.3,5.47,765.37,26.4,47.79,0.0,188.77,19.99,80.84,2.93,0.63,20.53,8.38,34.49,41.06,45.69,17.29,16-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-Mar-2019 - 00:00,0.98,0.47,1.4,0.55,7.27,764.62,24.11,59.42,0.0,175.16,20.61,87.24,2.16,0.75,21.38,11.36,45.32,54.24,37.25,15.05,17-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-Mar-2019 - 00:00,1.37,1.4,1.99,0.78,10.5,763.8,27.31,78.09,0.0,86.56,18.5,132.42,1.43,0.63,25.36,13.18,53.93,50.62,16.59,15.69,18-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
18-Mar-2019 - 00:00,1.32,0.44,1.41,0.61,6.94,763.09,22.64,56.35,0.0,254.85,26.0,120.86,1.87,0.72,22.86,7.81,37.85,45.62,55.85,15.72,19-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
19-Mar-2019 - 00:00,1.27,0.75,1.65,0.62,8.82,761.39,27.81,79.57,0.0,184.74,24.45,202.54,1.51,0.71,23.2,11.58,44.81,54.14,44.12,16.29,20-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
20-Mar-2019 - 00:00,1.25,0.62,1.33,0.49,10.58,760.34,31.22,90.0,0.0,186.01,26.04,161.06,2.14,0.53,25.65,10.99,46.11,54.36,47.99,17.63,21-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
21-Mar-2019 - 00:00,1.21,0.29,0.96,0.37,12.38,762.5,28.71,72.63,0.0,216.69,26.19,93.29,1.98,0.41,25.07,7.77,40.69,48.37,59.95,17.93,22-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
22-Mar-2019 - 00:00,0.52,0.18,0.7,0.24,9.39,763.66,29.51,64.79,0.0,201.07,25.09,55.81,2.93,0.26,20.57,7.64,33.18,39.06,56.57,16.04,23-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
23-Mar-2019 - 00:00,1.07,0.59,1.12,0.42,10.41,763.24,33.16,67.53,0.0,195.81,24.86,110.79,2.23,0.48,23.52,8.45,39.07,45.52,45.17,16.37,24-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
24-Mar-2019 - 00:00,1.26,0.43,0.95,0.36,11.58,762.11,40.49,78.58,0.0,186.52,26.46,143.72,2.33,0.67,26.86,9.36,39.75,47.1,46.12,16.32,25-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
25-Mar-2019 - 00:00,0.66,0.21,0.78,0.28,8.51,762.25,32.27,69.11,0.0,188.72,25.13,70.34,2.82,0.54,22.11,8.39,34.88,41.36,47.97,15.95,26-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
26-Mar-2019 - 00:00,1.04,0.85,1.41,0.5,10.33,763.17,33.9,63.24,0.0,205.85,24.85,113.86,2.19,0.63,24.2,9.43,45.42,51.9,47.3,15.27,27-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
27-Mar-2019 - 00:00,1.38,1.24,1.97,0.73,10.45,763.53,49.23,93.39,0.0,195.64,26.31,146.8,1.69,0.69,24.03,12.95,45.68,56.21,47.57,15.57,28-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
28-Mar-2019 - 00:00,1.54,1.18,2.8,1.1,8.97,762.2,53.65,93.47,0.0,201.07,28.69,169.02,1.66,1.0,25.65,15.87,51.52,64.74,46.6,16.04,29-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
29-Mar-2019 - 00:00,1.72,0.59,2.0,0.76,7.03,760.32,58.88,106.63,0.0,217.58,32.22,120.7,1.97,0.93,26.3,9.24,54.72,62.08,62.86,17.63,30-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
30-Mar-2019 - 00:00,1.66,0.78,2.11,0.82,6.85,759.83,56.08,113.22,0.0,125.52,30.1,204.64,1.71,0.87,33.8,11.7,54.86,56.28,43.16,16.56,31-Mar-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
31-Mar-2019 - 00:00,0.85,0.3,0.81,0.32,10.43,760.58,39.42,77.44,0.0,182.05,29.64,53.99,2.92,0.69,30.46,8.13,61.94,67.55,35.7,19.89,01-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
01-Apr-2019 - 00:00,0.63,0.3,0.7,0.25,7.24,760.78,37.22,76.69,0.0,200.66,29.75,111.17,2.08,0.67,20.65,7.92,37.94,43.87,51.89,15.91,02-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-Apr-2019 - 00:00,0.9,0.43,1.1,0.4,6.53,760.98,52.69,93.03,0.0,214.9,29.22,153.47,2.13,0.76,20.19,9.84,35.49,43.1,50.67,18.56,03-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-Apr-2019 - 00:00,1.44,0.62,1.84,0.73,6.82,760.43,52.62,109.31,0.0,217.29,30.13,174.42,1.64,0.98,20.97,13.06,53.31,63.81,49.25,16.17,04-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-Apr-2019 - 00:00,1.99,0.56,2.06,0.81,6.14,760.66,56.87,115.74,0.0,210.28,31.26,137.53,1.81,0.94,23.24,9.96,50.97,58.26,56.47,17.25,05-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-Apr-2019 - 00:00,1.66,0.63,1.44,0.52,6.61,760.2,150.68,115.74,0.01,154.58,31.59,198.35,2.02,0.76,26.14,10.6,46.94,55.14,47.97,19.94,06-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-Apr-2019 - 00:00,0.93,0.78,1.45,0.52,6.56,759.35,69.3,100.57,0.0,195.26,33.24,167.08,1.92,0.76,24.94,11.18,46.74,55.38,51.3,15.47,07-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-Apr-2019 - 00:00,1.43,0.3,0.98,0.36,8.37,758.76,130.05,182.21,0.0,181.74,31.65,116.39,2.19,0.79,29.05,9.34,47.24,53.91,68.07,17.14,08-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-Apr-2019 - 00:00,0.89,0.26,0.97,0.38,6.77,759.41,102.53,161.08,0.01,191.48,29.2,136.04,1.87,0.72,27.45,8.14,40.65,46.89,61.07,15.97,09-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-Apr-2019 - 00:00,1.29,0.56,1.11,0.39,4.79,759.28,70.08,137.05,0.0,200.46,30.68,105.99,1.77,0.85,29.87,8.09,44.17,49.91,53.03,15.16,10-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-Apr-2019 - 00:00,2.32,0.54,1.79,0.67,4.7,760.15,69.09,113.7,0.0,187.17,32.17,131.57,1.72,0.85,28.77,9.0,49.51,55.57,51.52,21.5,11-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-Apr-2019 - 00:00,1.32,0.8,1.86,0.66,5.18,760.04,57.43,109.26,0.0,194.13,32.55,154.08,1.67,0.74,22.23,10.17,37.78,46.15,60.57,27.45,12-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-Apr-2019 - 00:00,0.78,0.29,1.0,0.34,3.75,760.33,77.35,215.94,0.0,197.1,32.29,109.93,2.11,0.65,20.12,8.24,31.57,38.18,60.98,17.72,13-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-Apr-2019 - 00:00,1.06,0.39,1.19,0.42,5.66,760.72,49.11,118.09,0.0,217.77,33.39,104.1,2.38,0.69,19.89,8.01,29.8,37.77,74.06,16.95,14-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-Apr-2019 - 00:00,0.8,0.27,1.01,0.42,6.08,760.65,39.86,110.83,0.0,207.21,32.7,72.13,2.43,0.62,17.5,8.04,31.65,38.2,65.1,15.95,15-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-Apr-2019 - 00:00,1.2,0.51,1.73,0.71,4.83,759.72,50.38,116.7,0.0,184.78,33.58,153.65,2.19,0.86,16.84,13.64,38.15,50.08,64.5,15.72,16-Apr-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
