from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,BP,PM2.5,PM10,RF,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,3.93,0.24,0.76,0.48,2.04,761.77,66.42,116.83,0.0,103.34,14.45,169.82,1.3,1.52,30.55,19.85,47.76,63.67,29.38,15.55,02-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-Jan-2019 - 00:00,4.5,0.26,0.81,0.5,2.55,761.83,78.46,129.48,0.0,98.2,14.67,185.26,1.39,1.27,0.82,2.47,1.3,2.05,26.31,16.16,03-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-Jan-2019 - 00:00,3.47,0.3,0.58,0.35,1.7,762.55,62.84,112.26,0.0,96.79,14.63,151.82,1.48,1.12,11.44,3.49,13.0,16.36,32.06,13.16,04-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-Jan-2019 - 00:00,3.05,0.17,0.5,0.29,2.08,761.81,66.25,119.47,0.0,100.64,14.28,175.05,1.42,0.84,24.93,4.92,30.15,39.04,31.98,15.92,05-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-Jan-2019 - 00:00,4.83,0.22,0.71,0.44,2.66,760.8,85.99,138.81,0.0,94.76,13.88,171.75,1.41,1.55,24.86,5.08,30.4,37.68,28.29,14.27,06-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-Jan-2019 - 00:00,2.32,0.07,0.31,0.17,1.68,760.51,60.92,101.73,0.01,91.28,14.34,70.23,2.19,0.55,25.14,4.99,29.76,38.27,43.19,13.27,07-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-Jan-2019 - 00:00,1.79,0.09,0.32,0.18,1.24,761.75,38.95,85.52,0.0,109.08,13.86,111.93,2.07,0.65,26.58,7.26,25.06,32.87,38.86,14.66,08-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-Jan-2019 - 00:00,2.62,0.13,0.5,0.3,1.32,760.82,49.84,103.88,0.0,105.08,13.87,171.46,1.28,0.93,24.62,16.18,14.46,29.23,32.07,13.18,09-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-Jan-2019 - 00:00,2.16,0.15,0.35,0.2,1.66,760.61,40.09,96.61,0.0,109.9,14.2,164.94,1.56,0.76,20.31,20.22,10.21,29.07,37.86,12.3,10-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-Jan-2019 - 00:00,2.4,0.14,0.45,0.27,1.39,760.25,38.0,92.29,0.0,111.42,14.79,176.21,1.72,0.93,20.39,20.29,10.19,28.99,34.54,10.04,11-Jan-2019 - 00:00,"Moti Doongri, Alwar - RSPCB"
