from date,PM2.5,PM10,Temp,SR,BP,RH,RF,WD,WS,VWS,AT,Benzene,Xylene,SO2,Ozone,NO,NO2,NOx,NH3,CO,Toluene,to date,station
01-Jan-2019 - 00:00,65.9,145.56,32.1,116.27,721.82,58.51,0.0,212.46,0.58,0.01,26.5,0.05,0.13,18.41,21.71,8.21,39.47,27.24,11.08,0.72,0.49,02-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
02-Jan-2019 - 00:00,72.32,166.89,32.12,112.61,721.09,59.94,0.0,184.46,0.53,0.0,27.37,0.06,0.12,12.66,25.67,9.18,45.37,31.27,11.78,0.93,0.47,03-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
03-Jan-2019 - 00:00,62.73,137.67,31.94,113.98,719.96,59.32,0.0,134.84,0.52,0.0,28.27,0.06,0.1,11.58,18.1,4.77,39.52,24.9,12.25,0.65,0.44,04-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
04-Jan-2019 - 00:00,76.88,157.02,32.02,108.39,720.55,62.99,0.0,90.41,0.69,0.02,28.36,0.05,0.14,13.03,26.96,5.97,36.96,24.3,14.42,0.82,0.39,05-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
05-Jan-2019 - 00:00,70.16,148.25,31.91,111.16,720.12,62.54,0.0,116.01,0.64,0.01,28.72,0.0,0.06,10.52,30.98,0.97,29.45,16.41,13.93,0.68,0.28,06-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
06-Jan-2019 - 00:00,77.79,159.94,31.96,105.89,720.15,65.81,0.0,114.59,0.72,0.01,28.89,0.0,0.03,9.28,38.09,0.56,23.0,12.67,16.0,0.59,0.22,07-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
07-Jan-2019 - 00:00,77.23,158.4,31.91,103.17,720.0,63.19,0.0,148.97,0.59,0.0,29.1,0.03,0.02,11.54,30.31,2.23,27.72,16.51,15.39,0.6,0.34,08-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
08-Jan-2019 - 00:00,71.22,161.57,31.74,109.1,720.82,61.99,0.0,146.47,0.59,0.0,27.74,0.08,0.07,14.8,17.74,5.6,35.04,23.19,16.54,0.73,0.76,09-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
09-Jan-2019 - 00:00,71.91,160.86,31.97,110.97,721.0,58.25,0.0,237.44,0.52,0.0,27.37,0.08,0.09,15.68,17.76,15.38,42.61,35.16,15.32,0.92,0.82,10-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
10-Jan-2019 - 00:00,78.78,179.11,32.16,106.74,720.79,59.54,0.0,163.11,0.67,0.01,27.95,0.04,0.1,14.03,27.86,8.29,38.78,27.36,15.03,0.77,0.81,11-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
11-Jan-2019 - 00:00,74.91,151.13,31.7,104.84,719.77,63.54,0.0,113.75,0.73,0.01,29.39,0.0,0.04,7.63,32.65,0.6,24.0,13.22,15.85,0.61,0.21,12-Jan-2019 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
