from date,AT,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,CO,NO,NO2,NOx,Ozone,PM2.5,PM10,RH,SO2,SR,VWS,WD,WS,to date,BP,station
21-Jan-2019 - 00:00,26.8,4.09,32.38,6.95,,,0.53,61.72,88.02,56.1,27.16,146.81,,16.1,99.26,680.77,0.44,201.24,1.04,22-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Jan-2019 - 00:00,25.68,4.09,32.35,7.01,,,0.54,27.45,56.85,28.82,23.46,68.93,,13.46,58.74,749.39,0.44,201.24,1.18,23-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Jan-2019 - 00:00,26.01,4.11,32.35,6.95,,,0.63,40.75,82.4,42.3,32.64,85.63,,14.25,82.5,695.86,0.45,201.24,0.83,24-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Jan-2019 - 00:00,25.67,4.12,32.33,6.93,,,0.52,15.35,80.15,27.62,41.44,73.22,,13.44,93.01,739.64,0.45,201.24,1.24,25-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Jan-2019 - 00:00,24.66,4.07,32.31,6.95,,,0.51,11.25,65.25,21.79,42.21,52.45,,11.05,64.69,746.51,0.45,201.24,1.87,26-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Jan-2019 - 00:00,24.09,4.04,32.32,6.94,,,0.49,19.42,65.64,26.43,20.35,49.58,,9.72,62.65,702.96,0.45,201.25,1.4,27-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Jan-2019 - 00:00,24.1,4.07,32.34,6.93,,,0.52,17.79,59.22,24.0,,52.95,,9.74,36.62,704.09,0.45,201.25,1.1,28-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Jan-2019 - 00:00,24.17,4.06,32.31,6.92,,,0.58,21.65,68.26,28.3,48.36,63.23,,9.9,40.37,721.16,0.46,201.25,0.96,29-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
29-Jan-2019 - 00:00,24.21,4.04,32.28,6.92,,,0.53,14.4,77.87,26.55,39.19,72.88,,9.99,36.57,732.84,0.45,201.24,1.1,30-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-Jan-2019 - 00:00,25.18,4.01,32.3,6.94,,,0.54,43.52,80.97,43.5,39.95,55.42,,12.29,81.73,718.29,0.45,201.24,0.64,31-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
31-Jan-2019 - 00:00,25.64,4.05,32.3,6.93,,,0.59,33.46,113.86,45.73,44.38,83.81,,13.37,94.07,685.09,0.45,201.24,0.82,01-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
01-Feb-2019 - 00:00,25.77,4.05,32.3,6.93,,,0.6,13.27,75.59,25.38,36.56,74.83,,13.69,88.44,648.83,0.45,201.24,1.57,02-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Feb-2019 - 00:00,25.12,4.05,32.33,6.93,,,0.52,13.15,67.93,23.49,44.91,46.91,,12.14,71.24,630.85,0.45,201.24,1.41,03-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Feb-2019 - 00:00,25.97,4.08,32.37,6.95,,,0.58,11.3,78.44,24.96,53.37,57.68,,14.15,61.06,702.15,0.45,201.24,1.19,04-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Feb-2019 - 00:00,27.33,4.07,32.3,7.02,,,0.59,59.3,76.76,51.29,52.37,108.25,,17.35,55.88,693.52,0.45,201.24,0.87,05-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Feb-2019 - 00:00,28.06,4.12,32.37,7.05,,,0.61,47.88,117.46,54.61,43.1,108.7,,19.07,77.24,673.1,0.45,201.24,0.88,06-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Feb-2019 - 00:00,26.96,4.08,32.28,6.94,,,0.64,8.95,65.54,20.58,48.79,50.91,,16.49,57.8,652.52,0.44,201.24,1.28,07-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Feb-2019 - 00:00,25.06,4.09,32.31,6.93,,,0.58,10.74,45.83,16.89,54.63,97.1,,12.0,42.2,554.72,0.45,201.24,1.95,08-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Feb-2019 - 00:00,23.82,4.08,32.3,6.98,,,0.54,11.48,58.41,20.29,42.28,102.6,,9.08,39.97,641.52,0.45,201.24,1.28,09-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Feb-2019 - 00:00,24.47,4.07,32.33,6.9,,,0.67,18.68,78.87,29.17,41.62,46.35,,10.6,46.8,651.91,0.45,201.25,0.85,10-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Feb-2019 - 00:00,24.95,4.07,32.31,6.91,,,0.52,17.37,79.07,28.49,44.73,41.97,,11.73,51.19,677.82,0.45,201.24,0.73,11-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Feb-2019 - 00:00,26.0,4.04,32.31,6.92,,,0.54,13.57,86.32,28.1,51.37,47.26,,14.22,51.1,609.54,0.45,201.24,0.91,12-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Feb-2019 - 00:00,27.49,4.1,32.33,6.91,,,0.61,54.02,76.4,48.26,53.55,63.76,,17.73,52.73,555.81,0.45,201.24,0.8,13-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Feb-2019 - 00:00,28.3,4.09,32.28,6.99,,,0.71,47.61,82.37,47.91,52.35,80.84,,19.63,95.13,479.66,0.45,201.24,0.62,14-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Feb-2019 - 00:00,27.08,4.09,32.36,6.94,,,0.56,16.21,69.38,25.54,57.5,60.88,,16.76,34.35,526.93,0.45,201.24,1.25,15-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Feb-2019 - 00:00,27.35,4.12,32.3,6.98,,,0.53,18.75,101.29,34.54,46.87,71.41,,17.39,45.73,585.73,0.45,201.24,1.18,16-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Feb-2019 - 00:00,26.88,4.1,32.37,7.0,,,0.45,38.17,74.91,39.08,52.15,46.3,,16.3,39.39,643.17,0.45,201.24,1.0,17-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Feb-2019 - 00:00,27.1,4.09,32.34,7.02,,,0.48,31.34,86.83,38.11,51.57,54.94,,16.81,49.55,703.63,0.45,201.24,0.84,18-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Feb-2019 - 00:00,27.87,4.11,32.39,7.02,,,0.52,26.32,100.24,38.51,43.94,81.71,,18.63,88.9,688.12,0.44,201.24,0.94,19-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-Feb-2019 - 00:00,27.76,4.21,32.39,6.99,,,0.48,21.21,63.57,26.94,38.41,46.41,,18.36,39.82,621.8,0.44,201.24,1.08,20-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-Feb-2019 - 00:00,29.3,4.16,32.41,7.01,,,0.48,60.28,80.37,52.76,33.23,63.56,,22.0,38.35,686.01,0.45,201.24,0.72,21-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-Feb-2019 - 00:00,28.5,4.1,32.35,7.03,,,0.53,8.93,37.22,13.83,28.34,32.88,,20.12,22.56,612.97,0.45,201.24,1.58,22-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Feb-2019 - 00:00,28.5,4.09,32.41,7.0,,,0.47,16.05,48.58,20.5,13.73,38.08,,20.11,19.59,352.01,0.45,201.24,1.36,23-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Feb-2019 - 00:00,27.41,4.09,32.41,6.99,,,0.48,13.22,70.74,24.19,55.72,35.29,,17.55,43.82,125.11,0.45,201.24,1.13,24-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Feb-2019 - 00:00,28.17,4.15,32.4,7.01,,,0.51,67.02,72.5,54.46,39.08,65.82,,19.33,52.12,136.22,0.44,201.24,0.92,25-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Feb-2019 - 00:00,28.05,4.09,32.36,7.02,,,0.43,33.96,51.62,31.07,43.26,51.17,,19.05,37.46,135.27,0.44,201.24,1.25,26-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Feb-2019 - 00:00,27.27,4.15,32.38,7.09,,,0.43,11.03,46.13,17.12,33.87,62.72,,17.21,30.49,113.37,0.44,201.24,2.11,27-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Feb-2019 - 00:00,27.15,4.17,32.4,7.08,,,0.5,11.76,53.51,19.28,39.22,51.05,,16.93,31.11,132.06,0.44,201.24,1.5,28-Feb-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Feb-2019 - 00:00,26.77,4.15,32.38,7.03,,,0.45,15.76,75.58,26.76,47.56,33.69,,16.02,51.62,136.67,0.44,201.24,1.13,01-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
01-Mar-2019 - 00:00,27.34,4.1,32.37,6.97,,,0.45,12.71,84.48,27.18,48.1,42.53,,17.37,47.1,131.39,0.44,201.24,1.0,02-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Mar-2019 - 00:00,28.63,4.08,32.34,7.05,,,0.55,8.96,65.58,20.59,72.22,46.78,,20.43,62.89,124.48,0.44,201.24,1.28,03-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Mar-2019 - 00:00,28.34,4.16,32.44,7.05,,,0.49,17.13,49.4,21.29,18.24,61.13,,19.73,49.22,92.98,0.44,201.24,1.13,04-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Mar-2019 - 00:00,27.76,4.1,32.38,7.05,,,0.48,8.63,43.48,15.15,52.93,47.38,,18.36,26.36,148.98,0.44,201.24,1.72,05-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Mar-2019 - 00:00,27.79,4.08,32.34,7.02,,,0.43,12.99,69.39,23.74,58.45,40.23,,18.44,39.42,180.04,0.44,201.24,1.09,06-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Mar-2019 - 00:00,27.86,4.16,32.33,6.98,,,0.49,33.34,69.7,35.04,49.06,46.02,,18.62,41.66,204.43,0.44,201.24,0.97,07-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Mar-2019 - 00:00,28.38,4.12,32.38,7.03,,,0.47,26.21,76.22,32.74,53.02,56.32,,19.84,50.43,188.4,0.44,201.24,0.95,08-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Mar-2019 - 00:00,28.44,4.15,32.48,7.11,,,0.44,58.69,49.86,42.6,41.41,54.91,,19.96,44.15,209.1,0.44,201.24,1.27,09-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Mar-2019 - 00:00,28.54,4.16,32.4,7.07,,,0.44,17.12,49.08,20.93,58.69,50.07,,20.2,14.61,190.92,0.44,201.24,1.52,10-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Mar-2019 - 00:00,29.18,4.17,32.43,7.06,,,0.43,11.05,80.07,25.21,60.39,45.56,,21.71,63.86,152.96,0.44,201.24,0.99,11-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Mar-2019 - 00:00,28.29,4.12,32.41,7.08,,,0.57,18.1,52.45,22.56,46.96,45.61,,19.61,38.47,187.86,0.44,201.24,1.46,12-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Mar-2019 - 00:00,28.56,4.1,32.35,7.04,,,0.51,35.6,100.73,43.8,48.07,59.49,,20.27,60.95,188.94,0.45,201.24,0.64,13-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Mar-2019 - 00:00,28.71,4.07,32.44,7.04,,,0.49,13.3,102.99,31.91,52.29,82.08,,20.6,76.04,118.44,0.45,201.24,0.57,14-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Mar-2019 - 00:00,27.97,4.1,32.36,6.94,,,0.58,11.1,65.35,21.73,54.97,51.79,,18.87,25.29,152.53,0.45,201.24,0.93,15-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Mar-2019 - 00:00,28.68,4.11,32.38,7.0,,,0.43,30.38,85.27,37.21,57.9,66.0,,20.53,52.64,137.52,0.45,201.24,0.72,16-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Mar-2019 - 00:00,29.07,4.11,32.41,7.02,,,0.48,12.68,90.93,28.7,61.33,64.79,,21.46,58.32,143.89,0.45,201.24,0.76,17-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Mar-2019 - 00:00,29.64,4.12,32.38,6.98,,,0.5,12.59,96.19,29.9,64.06,74.17,,22.8,58.24,229.05,0.44,201.24,1.05,18-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Mar-2019 - 00:00,30.03,4.11,32.34,7.02,,,0.6,20.32,106.68,36.7,55.42,61.66,,23.73,42.17,615.6,0.44,201.24,1.24,19-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-Mar-2019 - 00:00,30.72,4.09,32.36,7.01,,,0.57,73.43,92.57,72.31,45.04,95.29,,25.34,42.59,772.42,0.44,201.23,0.89,20-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-Mar-2019 - 00:00,29.67,4.13,32.28,6.97,,,0.47,11.97,60.32,21.02,30.26,73.22,,22.88,34.82,713.64,0.44,201.24,1.57,21-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-Mar-2019 - 00:00,29.64,4.12,32.35,6.99,,,0.57,25.19,61.04,30.35,41.13,61.56,,22.8,38.62,636.15,0.44,201.24,1.09,22-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Mar-2019 - 00:00,30.7,4.11,32.35,6.99,,,0.5,49.69,64.11,45.04,47.91,73.96,,25.3,29.18,329.51,0.44,201.24,1.05,23-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Mar-2019 - 00:00,31.22,4.13,32.28,7.01,,,0.51,35.06,94.71,53.67,50.89,76.58,,26.53,53.5,454.2,0.44,201.23,0.85,24-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Mar-2019 - 00:00,31.59,4.13,32.4,7.03,,,0.54,21.51,73.9,49.27,43.79,89.21,,27.4,39.47,458.73,0.44,201.23,1.24,25-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Mar-2019 - 00:00,31.82,4.09,32.36,6.98,,,0.57,20.28,80.29,30.4,38.98,64.16,,27.94,68.75,455.03,0.44,201.24,1.77,26-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Mar-2019 - 00:00,31.56,4.12,32.34,6.99,,,0.53,14.83,85.06,28.5,49.03,67.12,,27.34,59.57,479.03,0.44,201.23,1.23,27-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Mar-2019 - 00:00,32.21,4.14,32.34,7.01,,,0.52,63.05,87.63,59.07,61.52,78.75,,28.88,70.11,391.49,0.44,201.22,0.93,28-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Mar-2019 - 00:00,32.82,4.19,32.47,7.04,,,0.53,58.39,88.38,69.47,37.82,110.87,,30.31,87.79,307.17,0.44,201.22,0.96,29-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
29-Mar-2019 - 00:00,32.67,4.2,32.48,7.07,,,0.44,42.32,62.61,45.16,24.8,117.12,,29.95,38.84,236.02,0.44,201.22,1.39,30-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-Mar-2019 - 00:00,32.73,4.14,32.47,7.05,,,0.68,30.81,68.56,33.47,17.98,84.8,,30.09,9.57,255.28,0.44,201.22,1.41,31-Mar-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
31-Mar-2019 - 00:00,32.26,4.18,32.39,7.01,,,0.56,12.39,61.76,25.36,28.45,74.41,,28.99,10.47,274.54,0.44,201.22,1.42,01-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
01-Apr-2019 - 00:00,32.1,4.21,32.43,7.09,,,0.6,15.32,85.69,42.15,30.6,97.41,,28.6,15.44,205.18,0.44,201.22,1.02,02-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Apr-2019 - 00:00,32.28,4.21,32.55,7.1,,,0.49,37.79,101.91,77.91,25.22,124.46,,29.03,15.68,228.27,0.44,201.22,0.94,03-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Apr-2019 - 00:00,33.08,4.23,32.51,7.16,,,0.55,36.5,88.82,70.6,26.94,112.23,,30.91,13.96,338.66,0.44,201.21,1.1,04-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Apr-2019 - 00:00,33.35,4.19,32.42,7.17,,,0.5,19.66,83.1,55.21,21.86,91.25,,31.57,9.56,334.3,0.44,201.21,1.41,05-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Apr-2019 - 00:00,32.24,4.2,32.52,7.07,,,0.48,23.9,74.31,54.09,17.88,94.3,,28.94,11.11,363.43,0.44,201.22,1.46,06-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Apr-2019 - 00:00,31.77,4.18,32.44,7.08,,,0.57,20.92,71.64,50.56,20.18,98.5,,27.82,12.78,276.05,0.44,201.22,1.29,07-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Apr-2019 - 00:00,31.85,4.21,32.43,7.08,,,0.53,24.94,56.66,46.25,15.03,99.15,,28.01,15.58,213.21,0.44,201.22,1.36,08-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Apr-2019 - 00:00,32.06,4.18,32.45,7.11,,,0.54,26.55,70.62,54.26,18.75,80.7,,28.52,11.6,278.38,0.44,201.22,1.2,09-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Apr-2019 - 00:00,32.04,4.23,32.52,7.1,,,0.56,18.87,63.07,44.85,25.23,72.21,,28.47,11.88,366.88,0.44,201.22,1.48,10-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Apr-2019 - 00:00,32.34,4.15,32.51,7.13,,,0.62,55.54,39.18,58.74,13.7,65.67,,29.18,6.33,307.24,0.44,201.22,1.27,11-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Apr-2019 - 00:00,33.19,4.22,32.46,7.17,,,0.57,63.19,44.95,66.85,15.72,83.41,,31.17,7.17,217.64,0.44,201.22,1.28,12-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Apr-2019 - 00:00,33.48,4.2,32.5,7.09,,,0.55,19.17,68.35,47.65,17.58,73.68,,31.86,8.53,242.05,0.44,201.22,1.41,13-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Apr-2019 - 00:00,33.13,4.23,32.6,7.16,,,0.64,20.77,68.73,49.03,27.64,70.01,,31.03,5.28,231.12,0.44,201.22,1.39,14-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Apr-2019 - 00:00,33.33,4.23,32.53,7.16,,,0.75,13.09,57.59,37.86,46.25,63.82,,31.52,7.75,294.36,0.44,201.22,1.4,15-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Apr-2019 - 00:00,32.73,4.19,32.5,7.11,,,0.65,27.33,59.59,48.59,38.35,222.23,,30.09,29.9,466.52,0.44,201.24,1.89,16-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Apr-2019 - 00:00,30.1,4.22,32.49,7.17,,,0.93,15.72,60.61,41.29,48.15,179.46,,23.9,54.89,721.16,0.44,201.24,1.9,17-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Apr-2019 - 00:00,29.5,4.19,32.49,7.11,,,1.46,8.93,61.58,36.57,76.86,94.5,,22.47,79.59,906.61,0.44,201.24,1.83,18-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Apr-2019 - 00:00,30.69,4.21,32.49,7.11,,,0.76,8.71,73.44,42.32,73.52,83.1,,25.29,36.74,951.94,0.44,201.24,1.82,19-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-Apr-2019 - 00:00,31.74,4.19,32.52,7.16,,,0.81,10.83,97.77,55.78,73.45,56.0,,27.75,58.39,946.31,0.44,201.24,1.58,20-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-Apr-2019 - 00:00,32.43,4.19,32.5,7.08,,,0.93,33.61,126.96,87.25,77.2,84.9,,29.4,92.38,966.22,0.44,201.22,1.21,21-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-Apr-2019 - 00:00,32.49,4.15,32.47,7.06,,,0.84,51.3,75.47,75.1,64.09,69.41,,29.54,50.8,929.08,0.44,201.22,1.63,22-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Apr-2019 - 00:00,32.83,4.18,32.46,7.08,,,0.78,35.4,95.61,73.06,63.51,94.43,,30.34,70.27,832.57,0.44,201.22,1.24,23-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Apr-2019 - 00:00,33.3,4.21,32.42,7.09,,,0.91,27.07,82.33,61.86,60.0,81.93,,31.44,66.96,673.99,0.44,201.22,1.38,24-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Apr-2019 - 00:00,31.28,4.32,32.52,7.14,,,0.9,8.33,35.97,23.76,39.89,69.11,,26.69,51.91,776.81,0.44,201.24,2.32,25-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
