from date,AT,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,CO,NO,NO2,NOx,Ozone,PM2.5,PM10,RH,SO2,SR,VWS,WD,WS,to date,BP,station
01-Jan-2019 - 00:00,26.09,4.08,32.32,6.93,,,0.5,42.71,114.81,103.75,56.91,113.0,,14.43,80.19,766.03,0.45,201.24,0.61,02-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Jan-2019 - 00:00,26.41,4.1,32.35,7.0,,,0.47,59.97,108.43,122.76,48.22,148.52,,15.18,47.19,716.86,0.45,201.24,0.62,03-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Jan-2019 - 00:00,26.42,4.08,32.41,7.0,,,0.51,97.39,79.97,78.25,43.76,128.37,,15.21,55.77,621.13,0.45,201.24,0.79,04-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Jan-2019 - 00:00,26.3,4.09,32.38,6.97,,,0.47,62.41,93.64,57.04,51.76,99.62,,14.93,70.8,671.22,0.45,201.24,0.7,05-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Jan-2019 - 00:00,26.4,4.12,32.44,6.99,,,0.55,66.37,109.57,62.97,58.9,114.07,,15.17,82.75,732.22,0.45,201.24,0.64,06-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Jan-2019 - 00:00,26.06,4.11,32.34,6.99,,,0.51,29.6,75.08,34.28,61.58,81.54,,14.36,53.89,681.25,0.45,201.24,1.78,07-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Jan-2019 - 00:00,24.63,4.13,32.35,6.99,,,0.54,8.07,74.62,22.25,74.26,76.89,,10.99,46.67,663.29,0.45,201.24,1.15,08-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Jan-2019 - 00:00,24.68,4.09,32.38,7.0,,,0.59,13.8,79.24,26.54,75.07,89.37,,11.1,56.45,637.28,0.45,201.24,0.88,09-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Jan-2019 - 00:00,25.19,4.12,32.39,7.07,,,0.46,27.64,93.02,37.53,71.22,85.79,,12.3,67.25,576.07,0.45,201.24,0.97,10-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Jan-2019 - 00:00,25.6,4.14,32.37,7.02,,,0.61,34.92,77.6,37.91,59.2,82.43,,13.27,58.17,666.59,0.45,201.24,0.78,11-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Jan-2019 - 00:00,25.89,4.11,32.36,7.02,,,0.78,42.23,83.01,43.27,61.51,74.84,,13.95,71.95,672.18,0.45,201.24,0.79,12-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Jan-2019 - 00:00,26.05,4.11,32.35,6.96,,,0.61,63.62,68.96,51.32,72.18,66.71,,14.35,59.54,681.33,0.45,201.24,0.94,13-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Jan-2019 - 00:00,26.14,4.16,32.41,6.96,,,0.51,49.66,86.07,48.14,60.28,115.61,,14.56,63.62,671.2,0.45,201.24,0.93,14-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Jan-2019 - 00:00,25.88,4.16,32.42,7.01,,,0.54,8.07,61.53,19.13,80.33,75.54,,13.93,33.31,693.17,0.45,201.24,1.08,15-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Jan-2019 - 00:00,24.75,4.12,32.43,7.03,,,0.61,6.96,33.66,11.88,91.14,65.05,,11.26,28.8,716.71,0.45,201.24,1.0,16-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Jan-2019 - 00:00,28.37,4.05,32.35,6.94,,,0.99,109.05,115.49,119.06,78.66,166.28,,19.81,62.94,524.7,0.45,201.24,0.64,17-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Jan-2019 - 00:00,26.55,4.12,32.36,6.97,,,0.59,102.76,94.38,80.99,53.67,122.19,,15.51,56.88,679.82,0.45,201.24,0.78,18-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Jan-2019 - 00:00,26.88,4.12,32.32,6.97,,,0.58,31.55,100.1,41.39,52.73,92.81,,16.3,80.18,717.97,0.45,201.24,0.83,19-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-Jan-2019 - 00:00,27.28,4.09,32.3,6.95,,,0.6,40.16,79.88,41.38,36.72,75.47,,17.24,56.19,653.36,0.45,201.24,0.68,20-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-Jan-2019 - 00:00,27.53,4.11,32.34,6.96,,,0.6,59.49,101.46,59.86,35.34,87.72,,17.82,79.4,623.37,0.45,201.24,0.63,21-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
