from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
26-Jan-2019 - 00:00,13.12,998.06,195.48,114.04,64.53,109.71,178.47,0.37,,3.64,14.88,28.52,24.97,52.27,43.79,37.76,22.37,0.99,27-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Jan-2019 - 00:00,11.77,998.01,232.62,149.58,66.36,82.37,186.49,0.59,,3.61,13.85,30.71,15.86,53.31,41.31,29.99,27.0,1.12,28-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Jan-2019 - 00:00,12.59,997.63,232.92,142.67,59.08,107.12,187.28,0.61,,3.74,18.47,31.05,21.52,59.03,48.92,28.57,28.19,1.14,29-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Jan-2019 - 00:00,13.28,996.15,257.15,155.44,58.79,107.63,179.63,0.56,,2.18,11.18,31.58,25.81,61.13,53.51,38.26,34.24,1.32,30-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Jan-2019 - 00:00,13.54,994.87,375.88,240.08,62.06,86.2,152.93,0.48,,4.09,25.7,35.5,68.43,73.81,92.6,38.33,35.09,2.23,31-Jan-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Jan-2019 - 00:00,15.32,993.74,355.79,216.58,62.29,76.65,70.04,0.68,,5.36,28.29,43.21,62.22,54.92,68.99,42.27,20.23,2.01,01-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Feb-2019 - 00:00,15.48,994.36,307.27,216.85,75.6,74.74,125.32,0.7,,3.23,11.94,46.14,13.04,46.01,34.29,32.55,21.13,1.49,02-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Feb-2019 - 00:00,12.46,994.59,296.33,208.65,90.92,69.16,196.76,0.75,,2.62,8.47,38.93,9.0,38.4,27.62,25.47,13.52,1.33,03-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Feb-2019 - 00:00,13.52,995.63,240.73,148.98,89.38,86.03,184.97,0.64,,2.91,8.82,36.17,13.68,36.06,30.12,26.79,12.56,1.41,04-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Feb-2019 - 00:00,14.62,996.04,334.19,197.38,80.59,100.02,157.17,0.58,,4.83,23.36,36.56,72.35,60.15,85.85,31.34,15.92,2.56,05-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Feb-2019 - 00:00,16.61,993.46,484.65,329.06,77.86,82.7,85.48,0.47,,9.4,66.03,45.88,132.45,72.81,146.68,40.46,27.72,3.71,06-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Feb-2019 - 00:00,18.75,988.4,288.19,201.62,81.61,84.69,81.38,0.71,,4.56,19.59,48.91,30.75,47.44,47.09,26.77,15.21,1.78,07-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Feb-2019 - 00:00,16.05,986.57,132.79,69.9,90.56,21.22,94.99,1.06,,1.53,7.81,38.16,5.81,32.63,19.9,29.89,11.34,0.99,08-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Feb-2019 - 00:00,14.03,992.35,167.65,77.19,74.32,126.14,157.95,0.5,,1.6,9.17,30.14,27.95,56.2,52.58,24.25,16.86,1.07,09-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Feb-2019 - 00:00,13.94,994.54,188.1,97.25,70.84,130.11,171.69,0.63,,1.67,10.35,28.21,26.61,64.06,55.75,28.87,24.0,1.08,10-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Feb-2019 - 00:00,14.29,995.96,277.35,162.29,72.65,99.56,152.82,0.57,,2.54,12.18,30.66,45.21,75.64,77.14,30.77,28.32,1.43,11-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Feb-2019 - 00:00,14.78,996.43,334.42,197.48,74.17,107.89,126.15,0.35,,3.92,29.06,33.54,85.72,87.41,117.63,36.35,28.1,1.96,12-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Feb-2019 - 00:00,16.56,996.57,390.71,240.38,76.05,93.01,98.19,0.46,,4.04,32.06,39.88,82.92,88.4,111.34,50.4,27.09,2.07,13-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Feb-2019 - 00:00,18.12,995.46,334.96,210.33,73.9,95.81,100.79,0.4,,4.79,22.44,41.74,53.33,86.3,89.38,45.8,19.73,2.26,14-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Feb-2019 - 00:00,17.55,991.21,237.25,172.1,80.13,54.18,74.35,1.02,,3.03,13.84,42.59,9.48,62.39,40.34,28.99,14.38,1.44,15-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Feb-2019 - 00:00,16.54,991.66,219.42,156.31,84.57,87.68,117.31,0.7,,2.32,9.56,37.51,19.51,54.02,43.93,23.04,17.05,1.33,16-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Feb-2019 - 00:00,15.46,993.16,192.65,134.52,89.34,58.13,186.08,0.74,,1.64,9.68,31.04,12.26,53.83,38.68,15.57,16.58,1.18,17-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Feb-2019 - 00:00,16.1,990.03,195.83,118.9,78.98,124.96,173.27,0.69,,1.89,10.05,27.68,24.73,64.8,54.63,34.84,20.71,1.3,18-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Feb-2019 - 00:00,18.5,985.41,199.77,108.78,65.16,112.1,83.64,0.66,,2.09,10.4,28.0,12.81,67.93,46.58,34.7,18.63,1.24,19-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Feb-2019 - 00:00,18.25,988.68,266.17,159.23,80.38,102.26,101.69,0.53,,3.53,13.16,37.28,35.01,71.28,66.43,41.8,15.84,1.83,20-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Feb-2019 - 00:00,18.2,993.46,189.92,108.52,83.51,41.13,61.84,0.93,,3.05,13.96,35.87,21.73,56.13,47.61,18.38,16.67,1.46,21-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Feb-2019 - 00:00,20.73,992.17,213.21,85.96,71.32,122.53,79.07,0.71,,3.56,17.18,33.96,49.34,53.58,68.8,39.71,20.64,1.91,22-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Feb-2019 - 00:00,19.01,992.71,155.62,81.15,73.22,137.29,187.67,0.58,,4.12,12.46,34.47,20.36,51.46,43.95,22.52,18.67,0.93,23-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Feb-2019 - 00:00,16.69,991.05,143.48,68.79,61.83,144.77,174.05,0.67,,2.82,9.76,23.78,15.8,60.55,45.1,33.0,22.42,0.9,24-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Feb-2019 - 00:00,17.47,987.84,180.03,98.74,59.09,142.63,161.17,0.5,,,,25.0,14.24,62.91,45.05,43.23,26.55,1.06,25-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Feb-2019 - 00:00,16.71,987.22,174.91,85.57,67.48,101.53,76.48,0.84,,3.67,19.92,28.15,9.24,58.69,38.75,55.05,18.51,1.13,26-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Feb-2019 - 00:00,15.4,987.37,139.78,62.91,71.68,92.67,65.84,0.93,,6.26,22.16,29.51,14.09,50.43,38.32,17.91,16.33,1.08,27-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Feb-2019 - 00:00,12.85,987.87,127.76,59.81,85.36,59.76,113.1,0.82,,3.63,10.16,27.09,7.95,42.69,28.75,1.2,13.18,0.92,28-Feb-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
