from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
16-Apr-2019 - 00:00,25.6,986.48,112.11,90.71,56.73,107.5,123.58,1.46,,3.52,11.4,32.64,1.45,31.8,17.98,38.15,14.36,0.78,17-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Apr-2019 - 00:00,23.47,987.6,58.33,22.73,61.72,144.02,97.13,1.32,,2.57,8.13,28.51,0.94,26.36,14.66,42.11,12.44,0.76,18-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Apr-2019 - 00:00,24.74,988.2,81.69,41.08,57.75,222.02,107.24,0.83,,3.41,13.51,26.81,6.69,42.31,27.83,43.18,17.47,0.95,19-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Apr-2019 - 00:00,27.1,985.58,122.85,73.48,44.94,223.3,165.98,0.75,,5.49,20.91,28.36,27.25,62.67,55.9,37.26,32.62,1.11,20-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Apr-2019 - 00:00,28.64,983.05,148.52,100.27,40.23,221.73,126.05,0.52,,8.8,46.07,29.21,20.27,70.28,53.92,45.49,33.06,1.46,21-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Apr-2019 - 00:00,30.52,981.3,160.82,106.03,37.88,219.88,139.2,0.71,,10.84,39.01,31.5,27.36,69.81,59.5,37.78,27.07,1.91,22-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Apr-2019 - 00:00,31.59,981.34,166.06,108.83,39.9,205.68,103.4,0.49,,12.78,28.49,35.43,24.07,69.74,56.86,43.32,34.42,1.92,23-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Apr-2019 - 00:00,33.4,982.25,186.64,111.8,37.09,207.72,119.82,0.58,,12.28,51.26,36.13,47.41,80.87,81.65,43.57,31.18,1.38,24-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Apr-2019 - 00:00,34.71,983.32,187.55,103.97,38.54,193.11,77.48,0.77,,8.83,24.07,39.13,2.7,57.49,32.77,58.24,21.23,1.15,25-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Apr-2019 - 00:00,33.26,983.34,197.17,104.17,43.02,177.59,70.69,1.03,,6.32,14.35,39.22,3.09,40.47,23.99,63.21,20.8,1.92,26-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Apr-2019 - 00:00,33.69,982.97,168.86,93.28,31.27,205.09,128.85,0.55,,7.31,35.68,32.67,21.52,69.83,54.77,32.43,35.19,1.95,27-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Apr-2019 - 00:00,35.0,982.1,195.36,99.89,22.66,222.67,202.1,0.66,,3.58,18.53,31.3,10.14,59.94,40.13,33.04,28.3,0.92,28-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Apr-2019 - 00:00,34.25,980.94,182.85,96.22,20.1,227.66,180.84,0.59,,5.12,24.84,28.47,18.57,71.91,53.38,27.31,35.3,0.73,29-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Apr-2019 - 00:00,34.48,980.26,187.95,98.69,20.45,222.63,140.18,0.51,,6.89,36.39,28.91,32.51,76.15,67.0,30.56,32.86,0.75,30-Apr-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Apr-2019 - 00:00,35.32,977.45,204.95,101.96,21.42,202.83,92.48,0.71,,9.38,26.22,32.3,5.24,57.42,34.92,51.5,27.16,0.89,01-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-May-2019 - 00:00,33.66,977.01,277.95,111.21,29.84,200.16,70.67,0.71,,11.05,32.16,38.38,12.1,60.82,42.19,51.46,30.57,1.51,02-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-May-2019 - 00:00,31.94,979.21,336.18,66.72,34.85,185.67,40.53,1.92,,5.0,17.44,36.7,2.75,26.24,16.19,59.59,20.68,1.92,03-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-May-2019 - 00:00,30.68,981.42,192.31,51.06,37.54,218.48,55.35,1.32,,6.3,16.07,32.71,8.42,34.81,25.24,61.44,21.34,0.93,04-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-May-2019 - 00:00,31.11,983.39,265.7,91.48,30.37,288.03,155.23,0.62,,5.68,29.08,36.3,14.3,58.08,42.54,43.79,37.88,0.71,05-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-May-2019 - 00:00,35.05,982.51,301.11,81.07,19.92,273.0,158.52,0.52,,8.12,33.72,24.1,31.82,59.83,57.76,51.27,22.46,1.56,06-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-May-2019 - 00:00,33.14,979.83,383.91,131.89,21.4,211.91,147.87,0.6,,10.49,58.3,33.76,47.71,66.78,74.41,44.72,30.41,1.81,07-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-May-2019 - 00:00,33.25,979.16,430.44,141.84,23.65,211.89,147.96,0.82,,10.83,53.35,33.46,42.77,60.81,67.21,26.14,23.61,1.63,08-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-May-2019 - 00:00,34.33,979.11,484.0,125.24,23.68,211.67,151.51,1.03,,13.22,70.82,34.6,61.68,61.48,82.99,31.93,30.53,1.66,09-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-May-2019 - 00:00,34.98,978.25,494.49,145.32,22.71,202.96,175.68,1.2,,10.58,41.04,32.58,16.95,55.29,42.93,33.71,32.53,1.5,10-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-May-2019 - 00:00,35.35,979.34,378.5,87.48,22.07,207.35,167.11,1.17,,4.8,14.52,25.8,3.06,34.55,20.62,39.25,23.05,0.94,11-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-May-2019 - 00:00,33.32,981.74,292.81,102.03,30.05,190.74,172.56,0.63,,4.9,18.7,30.52,7.31,42.98,27.26,50.05,29.24,1.18,12-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-May-2019 - 00:00,32.7,981.4,361.53,172.4,32.14,194.45,157.9,0.84,,4.09,14.76,29.55,9.13,56.5,37.49,40.09,33.26,1.39,13-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-May-2019 - 00:00,32.06,980.21,323.54,171.62,37.73,156.5,108.28,0.86,,8.02,15.78,35.71,9.78,45.6,31.88,52.98,47.31,1.66,14-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-May-2019 - 00:00,30.1,981.2,140.29,58.25,46.13,236.21,110.18,0.58,,3.38,15.17,34.8,5.81,45.09,28.71,41.13,22.19,1.48,15-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-May-2019 - 00:00,28.56,982.47,179.69,93.83,56.44,171.71,79.81,0.94,,10.52,34.87,41.54,21.36,56.24,47.33,26.71,36.11,1.73,16-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-May-2019 - 00:00,29.41,983.16,204.06,94.94,52.83,159.34,141.88,0.57,,6.73,28.63,48.57,16.95,53.37,42.21,26.23,26.47,2.12,17-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-May-2019 - 00:00,27.92,982.87,293.78,153.67,60.83,173.92,112.85,1.03,,8.59,31.87,45.51,18.55,39.55,36.15,32.59,17.16,1.24,18-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-May-2019 - 00:00,27.7,982.84,126.6,48.06,63.68,273.13,174.55,0.72,,3.61,18.04,42.98,3.5,35.83,21.91,33.14,18.73,1.42,19-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-May-2019 - 00:00,31.24,982.94,204.73,86.77,42.79,271.73,173.8,0.71,,3.98,32.03,36.09,17.39,59.09,45.6,41.06,34.59,1.19,20-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-May-2019 - 00:00,33.12,983.21,268.9,103.08,36.16,270.14,152.12,0.67,,6.41,27.69,34.52,23.74,58.15,50.27,37.92,31.61,1.51,21-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-May-2019 - 00:00,34.52,981.79,239.58,86.68,32.47,256.18,168.97,0.67,,6.74,31.49,36.65,6.22,44.26,28.61,40.22,29.53,1.45,22-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-May-2019 - 00:00,33.12,980.24,272.46,73.81,39.08,175.1,139.81,0.71,,9.34,40.3,39.33,25.4,47.11,45.77,26.87,24.52,1.78,23-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-May-2019 - 00:00,32.15,979.52,276.43,110.52,48.54,203.01,132.6,0.67,,9.81,37.8,44.98,19.59,47.04,40.99,39.21,28.72,1.5,24-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-May-2019 - 00:00,28.77,981.32,134.94,42.08,63.6,234.92,167.89,0.85,,4.72,20.32,48.84,5.87,40.26,26.2,21.25,18.06,1.28,25-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-May-2019 - 00:00,32.15,980.64,139.42,42.75,42.63,283.4,201.47,0.59,,3.51,11.61,31.97,4.63,51.8,31.32,34.42,22.46,1.46,26-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-May-2019 - 00:00,33.31,979.07,174.66,61.72,32.8,284.22,176.91,0.56,,4.4,22.8,28.75,5.6,55.62,34.05,40.59,28.19,1.65,27-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-May-2019 - 00:00,34.66,978.74,215.7,67.23,28.35,274.29,156.5,0.62,,5.97,30.29,28.07,17.52,66.37,49.58,36.96,28.43,1.73,28-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-May-2019 - 00:00,34.82,978.36,221.82,64.38,22.89,282.51,168.32,0.64,,7.56,36.96,27.08,37.25,80.37,73.12,35.29,33.81,1.46,29-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-May-2019 - 00:00,35.97,976.85,243.12,81.93,25.14,265.78,145.1,0.63,,8.01,45.3,29.3,24.64,75.79,60.4,39.55,36.16,1.39,30-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-May-2019 - 00:00,37.22,975.51,264.83,85.09,25.51,259.68,157.0,0.48,,15.6,60.79,31.77,42.93,72.27,73.44,32.95,34.26,1.5,31-May-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-May-2019 - 00:00,36.58,975.85,408.67,80.79,27.77,241.51,111.48,0.92,,8.51,48.19,30.38,28.12,56.58,52.52,43.46,26.09,1.7,01-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Jun-2019 - 00:00,36.44,976.04,333.0,99.54,36.56,236.53,59.85,1.11,,13.4,49.2,41.36,23.97,53.8,48.15,57.15,27.55,1.46,02-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Jun-2019 - 00:00,36.54,976.21,252.29,67.54,47.19,233.59,51.96,1.31,,4.93,12.2,44.78,0.72,27.93,15.45,52.66,25.81,1.23,03-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Jun-2019 - 00:00,35.0,976.84,349.21,52.81,46.18,229.65,53.97,1.59,,3.78,21.4,37.66,0.82,22.75,12.75,47.92,16.38,1.17,04-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Jun-2019 - 00:00,34.96,977.26,192.35,48.08,45.3,235.59,55.16,1.33,,4.66,17.92,30.22,1.03,32.25,18.0,55.76,19.7,1.22,05-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Jun-2019 - 00:00,36.76,976.54,244.75,73.06,40.6,244.18,70.26,0.92,,5.13,17.47,29.17,2.37,45.65,26.21,47.98,19.41,1.85,06-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Jun-2019 - 00:00,36.52,977.01,263.79,61.52,35.3,241.47,97.65,1.1,,4.83,17.06,25.75,7.7,43.04,29.17,45.46,22.6,1.51,07-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Jun-2019 - 00:00,33.85,979.86,172.9,53.9,45.04,264.59,57.09,1.11,,3.85,11.12,26.76,1.36,32.14,18.21,58.29,20.96,1.42,08-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Jun-2019 - 00:00,36.22,978.11,210.31,61.72,39.52,270.34,115.9,0.64,,3.59,15.73,36.77,17.2,47.77,39.44,47.92,19.42,2.0,09-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Jun-2019 - 00:00,36.32,975.51,310.56,113.77,33.84,251.18,68.12,0.78,,12.39,48.81,28.35,44.71,65.96,71.53,51.79,35.32,2.32,10-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Jun-2019 - 00:00,37.95,972.68,272.09,71.09,29.64,233.75,148.3,0.42,,,,15.52,32.13,64.57,60.53,32.72,21.58,2.11,11-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Jun-2019 - 00:00,38.21,972.79,445.14,107.66,24.41,204.41,148.49,0.84,,,,12.63,22.41,45.52,42.47,22.47,18.15,1.69,12-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Jun-2019 - 00:00,34.83,975.72,250.39,44.78,39.6,257.54,63.71,1.96,,1.9,10.73,13.62,1.67,19.08,11.51,45.49,14.9,1.11,13-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Jun-2019 - 00:00,36.14,975.83,197.94,43.96,39.38,256.76,132.23,1.01,,2.69,8.28,12.82,1.74,28.96,16.82,38.55,18.37,1.43,14-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Jun-2019 - 00:00,37.01,974.84,222.04,52.42,28.52,278.37,180.67,0.91,,3.55,10.35,11.23,12.35,46.59,34.85,36.91,27.27,1.78,15-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Jun-2019 - 00:00,37.48,974.56,302.24,78.0,24.43,255.14,162.25,0.86,,3.91,21.73,16.68,11.21,60.18,41.12,25.61,27.13,1.81,16-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Jun-2019 - 00:00,32.18,976.69,190.96,35.46,49.32,156.42,183.73,1.8,,1.62,8.73,24.43,1.86,22.95,13.73,42.86,16.38,0.91,17-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Jun-2019 - 00:00,31.34,976.29,178.17,33.82,46.49,132.45,161.84,1.77,,4.13,20.17,27.02,2.76,32.6,19.6,48.14,17.02,1.3,18-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Jun-2019 - 00:00,27.36,978.28,85.58,26.66,67.37,201.41,168.15,0.67,,4.72,33.18,25.88,5.61,44.34,28.16,53.08,11.73,1.16,19-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Jun-2019 - 00:00,31.18,977.23,233.71,73.15,56.25,263.25,74.72,0.86,,4.02,17.57,31.93,4.13,30.96,19.84,80.81,18.01,1.18,20-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Jun-2019 - 00:00,32.55,978.22,144.04,35.49,52.15,266.31,100.91,0.88,,3.55,10.86,27.75,2.02,26.09,15.53,79.12,11.86,1.11,21-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Jun-2019 - 00:00,33.98,978.15,194.83,61.31,51.26,197.66,103.55,0.54,,6.76,24.53,29.85,4.19,47.76,28.81,74.41,20.62,1.22,22-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Jun-2019 - 00:00,34.99,977.57,195.62,69.42,42.98,254.95,92.95,0.72,,6.21,25.56,30.26,14.76,54.41,40.98,89.87,30.32,1.4,23-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Jun-2019 - 00:00,34.46,977.81,135.58,36.1,53.47,249.65,58.01,1.41,,3.1,10.72,29.91,1.45,20.14,11.9,73.13,20.67,1.15,24-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Jun-2019 - 00:00,30.9,979.67,87.38,20.46,68.41,163.13,53.8,1.71,,3.56,20.18,26.2,1.69,21.66,12.89,38.28,22.16,0.91,25-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Jun-2019 - 00:00,33.22,978.69,128.9,50.94,61.08,197.13,44.68,0.95,,5.33,21.06,26.23,1.78,27.3,15.99,61.97,21.04,1.06,26-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Jun-2019 - 00:00,36.0,975.82,176.42,69.85,50.66,234.18,138.56,0.44,,7.23,20.25,28.12,3.62,32.9,20.45,55.52,22.39,0.89,27-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Jun-2019 - 00:00,35.0,973.99,268.85,69.35,46.15,223.05,163.83,0.51,,7.95,36.16,26.1,4.2,46.69,28.26,51.22,24.79,1.28,28-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Jun-2019 - 00:00,35.66,972.99,260.04,57.62,41.28,229.54,161.89,0.85,,4.17,28.21,23.05,6.24,38.56,25.61,37.78,26.4,1.08,29-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Jun-2019 - 00:00,37.39,972.14,326.4,56.04,36.22,236.57,166.17,0.92,,4.67,21.87,20.2,6.48,33.25,22.97,30.7,18.08,1.04,30-Jun-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Jun-2019 - 00:00,36.82,972.7,324.69,58.54,40.03,227.4,127.22,0.78,,4.74,19.98,19.75,7.66,33.41,24.02,43.68,16.34,1.25,01-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Jul-2019 - 00:00,36.22,973.91,214.5,51.02,41.75,229.46,93.55,0.97,,3.3,12.1,25.55,3.0,25.65,16.09,67.74,17.85,0.99,02-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Jul-2019 - 00:00,35.13,975.02,259.44,64.15,50.23,195.38,93.32,1.14,,3.07,11.18,30.58,1.43,21.41,12.56,70.14,19.36,1.04,03-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Jul-2019 - 00:00,34.81,975.43,118.33,31.67,56.33,178.96,85.58,0.75,,3.45,14.72,34.7,1.33,20.08,11.77,43.66,12.61,1.16,04-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Jul-2019 - 00:00,30.99,974.48,81.21,29.65,77.5,88.65,109.52,0.72,,3.68,16.34,32.54,2.95,23.27,14.78,19.78,12.92,1.26,05-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Jul-2019 - 00:00,30.21,972.77,109.0,47.54,79.62,128.67,88.7,0.83,,4.1,26.26,39.3,6.65,31.57,22.21,18.28,19.38,0.96,06-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Jul-2019 - 00:00,32.24,971.44,100.1,28.15,67.59,234.09,83.32,0.79,,3.4,15.48,36.11,3.59,24.02,15.7,42.26,13.58,1.12,07-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Jul-2019 - 00:00,32.14,972.22,102.28,38.53,69.63,177.33,,,,3.03,15.66,,1.74,23.62,13.98,36.83,16.69,1.65,08-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Jul-2019 - 00:00,32.46,972.43,166.76,43.78,67.53,158.04,142.98,0.76,,4.1,20.07,34.45,2.61,29.19,17.65,32.13,14.27,1.63,09-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Jul-2019 - 00:00,30.95,972.42,135.94,36.23,74.18,134.22,130.54,1.2,,3.57,16.24,33.84,1.94,25.9,15.36,21.67,13.99,1.25,10-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Jul-2019 - 00:00,33.46,971.53,324.51,70.15,65.89,190.73,129.7,0.89,,4.48,20.39,40.52,4.11,33.29,21.05,15.76,13.96,0.75,11-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Jul-2019 - 00:00,34.63,971.81,508.89,76.52,56.46,194.17,136.51,1.56,,2.62,13.72,33.17,3.16,26.15,16.48,27.1,12.36,0.52,12-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Jul-2019 - 00:00,34.47,974.15,469.24,69.56,58.2,185.24,151.12,1.09,,1.96,19.92,48.65,3.93,26.36,17.13,20.46,11.42,0.45,13-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Jul-2019 - 00:00,35.11,974.78,387.27,56.73,51.87,214.65,144.94,1.65,,3.68,11.55,35.71,2.13,19.58,12.09,25.71,11.67,0.94,14-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Jul-2019 - 00:00,33.11,973.93,365.58,52.96,57.49,160.02,107.75,1.51,,1.38,12.31,49.16,1.91,22.07,13.29,31.81,18.74,1.92,15-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Jul-2019 - 00:00,28.32,974.06,152.58,32.77,79.56,105.95,67.36,1.33,,2.07,18.41,39.61,3.26,26.22,16.59,28.86,12.74,1.14,16-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Jul-2019 - 00:00,27.4,977.28,71.83,24.6,82.88,152.0,47.3,1.69,,1.69,12.99,40.39,1.73,22.15,13.18,37.62,13.8,0.55,17-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Jul-2019 - 00:00,26.95,978.22,68.48,28.25,88.87,123.24,122.62,0.69,,1.42,24.18,39.43,2.23,30.05,17.79,37.32,10.09,0.56,18-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Jul-2019 - 00:00,27.21,977.91,82.06,28.08,88.14,139.3,136.91,0.74,,2.14,33.01,39.7,5.55,40.45,26.04,42.11,10.34,1.33,19-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Jul-2019 - 00:00,31.16,978.01,159.44,60.0,74.27,214.11,74.17,0.69,,3.7,37.28,46.96,15.64,41.49,34.81,76.77,14.94,0.93,20-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Jul-2019 - 00:00,29.9,978.82,115.94,43.44,83.16,129.47,84.88,0.76,,1.61,29.7,56.13,4.42,39.47,24.6,20.98,10.57,0.74,21-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Jul-2019 - 00:00,29.75,978.19,116.6,50.92,85.01,169.95,85.13,0.62,,1.35,30.11,71.39,18.23,35.1,33.53,42.08,11.46,1.32,22-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Jul-2019 - 00:00,30.62,977.19,137.4,67.69,84.34,204.65,59.7,0.69,,1.29,34.35,77.92,26.22,35.46,40.24,46.6,10.42,1.21,23-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Jul-2019 - 00:00,32.92,975.84,181.04,91.08,77.78,174.93,77.2,0.5,,1.03,37.17,72.66,17.75,46.31,39.11,56.12,11.14,1.4,24-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Jul-2019 - 00:00,32.05,974.3,154.31,56.0,75.99,165.75,135.97,0.75,,1.61,31.3,78.39,12.24,38.86,30.64,37.94,11.25,1.02,25-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Jul-2019 - 00:00,28.34,976.18,63.92,19.98,86.71,61.06,114.16,0.78,,3.13,24.4,53.53,4.32,26.93,17.84,19.5,10.12,0.9,26-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Jul-2019 - 00:00,28.03,974.5,58.1,23.98,90.04,107.65,52.63,1.13,,1.99,22.72,48.29,3.94,23.88,15.92,26.34,9.12,0.99,27-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Jul-2019 - 00:00,27.93,974.54,48.85,25.69,92.86,111.26,43.48,1.44,,1.36,24.62,41.48,4.77,23.77,16.53,43.29,12.47,0.99,28-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Jul-2019 - 00:00,29.58,976.4,46.0,15.44,83.15,159.8,48.05,1.51,,2.02,17.87,41.59,2.61,17.98,11.69,,13.55,0.65,29-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Jul-2019 - 00:00,31.29,977.68,67.81,22.81,74.85,181.66,47.3,1.48,,2.65,30.15,45.35,2.61,18.85,12.15,57.15,16.67,0.74,30-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Jul-2019 - 00:00,30.62,977.41,80.29,28.48,78.56,133.0,40.23,1.46,,4.8,22.69,47.48,2.7,20.34,13.03,31.28,17.15,0.99,31-Jul-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Jul-2019 - 00:00,30.81,976.71,77.5,26.31,76.19,132.34,41.79,1.33,,3.37,20.18,48.39,2.46,20.66,12.99,47.97,11.76,0.81,01-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Aug-2019 - 00:00,32.01,976.1,80.06,26.67,71.07,195.57,59.15,0.97,,3.54,25.89,40.68,3.05,26.77,16.72,28.45,13.63,0.6,02-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Aug-2019 - 00:00,30.27,975.18,76.69,25.85,80.75,113.35,72.52,0.93,,2.61,21.7,27.29,2.98,26.07,16.29,30.37,10.75,0.55,03-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Aug-2019 - 00:00,28.9,975.2,92.35,45.83,89.09,116.11,59.03,1.1,,4.37,39.24,29.03,7.97,32.88,23.99,33.54,15.1,0.75,04-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Aug-2019 - 00:00,30.39,974.15,102.48,50.5,84.65,182.07,74.41,0.88,,2.05,24.26,28.96,7.17,29.17,21.38,47.82,11.23,0.79,05-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Aug-2019 - 00:00,30.81,972.51,102.92,50.25,85.36,143.11,101.65,0.58,,1.55,28.75,29.89,6.49,37.17,25.07,41.93,11.7,1.06,06-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Aug-2019 - 00:00,27.59,973.07,54.48,27.65,95.24,51.72,76.73,0.71,,3.82,30.87,37.86,6.5,31.89,22.27,38.08,11.75,0.89,07-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Aug-2019 - 00:00,29.91,973.0,75.52,32.35,83.08,173.74,54.46,1.15,,3.61,25.99,26.69,4.92,24.64,17.12,41.07,11.34,0.76,08-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Aug-2019 - 00:00,32.49,972.62,87.5,28.81,72.35,200.23,48.09,0.94,,2.76,28.37,24.59,7.06,24.91,19.01,56.73,13.63,0.81,09-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Aug-2019 - 00:00,31.06,974.6,55.91,8.19,70.11,189.71,44.44,2.74,,1.87,14.43,21.84,2.44,13.85,9.36,48.99,10.82,0.39,10-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Aug-2019 - 00:00,29.65,975.43,44.31,11.87,78.87,156.29,63.3,1.47,,1.03,11.55,18.29,2.52,17.75,11.5,41.34,11.85,0.53,11-Aug-2019 - 00:00,"Ashok Vihar, Delhi - DPCC"
