from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
26-Apr-2019 - 00:00,0.16,0.0,0.0,0.0,751.05,114.89,83.27,0.0,19.21,36.18,292.03,1.88,0.55,28.02,8.31,22.21,30.51,24.26,7.61,27-Apr-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
27-Apr-2019 - 00:00,1.12,0.04,0.06,0.0,750.99,142.32,104.83,0.0,18.96,35.25,226.93,0.99,0.65,30.75,9.64,24.82,33.9,24.54,10.64,28-Apr-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
28-Apr-2019 - 00:00,1.26,0.06,0.15,0.0,749.79,128.25,91.02,0.0,13.81,35.62,194.02,1.27,0.66,26.25,10.2,28.3,38.49,21.89,9.72,29-Apr-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
29-Apr-2019 - 00:00,1.26,0.06,0.16,0.02,748.51,134.89,108.81,0.0,13.66,35.37,205.84,0.89,0.66,28.56,11.36,29.52,40.01,19.12,9.79,30-Apr-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
30-Apr-2019 - 00:00,0.25,0.0,0.01,0.0,746.66,103.25,75.45,0.0,12.03,36.4,253.42,1.99,0.49,16.46,7.96,23.22,29.87,23.19,8.35,01-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
01-May-2019 - 00:00,0.51,0.01,0.01,0.0,746.03,191.92,129.2,0.0,16.22,35.03,266.4,1.5,0.39,14.25,7.03,20.63,27.65,24.75,8.3,02-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
02-May-2019 - 00:00,1.04,0.13,0.3,0.04,747.02,180.56,127.2,0.0,13.65,35.64,250.58,1.62,0.35,16.38,8.37,24.02,32.36,25.96,10.83,03-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
03-May-2019 - 00:00,0.69,0.0,0.01,0.0,752.18,179.67,81.43,0.0,22.7,33.14,113.64,1.94,0.52,21.04,13.66,29.56,42.39,17.69,9.87,04-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
04-May-2019 - 00:00,0.45,0.01,0.01,0.01,755.41,84.95,51.65,0.0,26.74,32.13,173.4,1.59,0.83,71.7,10.98,42.19,52.88,30.57,8.17,05-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
05-May-2019 - 00:00,0.69,0.02,0.04,0.0,756.26,76.09,54.77,0.0,22.89,33.61,218.39,1.19,0.95,80.4,8.41,46.68,54.63,22.91,7.6,06-May-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
