from date,NO2,NH3,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,SR,RH,RF,WD,WS,Temp,to date,station
01-Jan-2019 - 00:00,12.68,10.62,1.44,7.91,0.43,84.25,20.35,0.29,1.73,5.71,45.82,94.22,20.32,130.56,25.85,0.0,159.58,2.85,28.68,02-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
02-Jan-2019 - 00:00,11.92,12.63,1.64,7.67,0.46,92.69,23.09,0.35,1.3,4.76,60.07,150.27,20.91,123.77,29.74,0.0,199.08,2.55,28.54,03-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
03-Jan-2019 - 00:00,15.84,16.21,1.77,9.85,0.55,75.82,15.86,0.52,0.55,6.15,67.64,150.98,17.8,128.2,41.16,0.0,94.41,3.24,28.7,04-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
04-Jan-2019 - 00:00,16.35,14.23,1.47,9.89,0.53,79.24,21.84,0.44,2.42,7.75,66.64,139.72,18.79,125.83,38.31,0.0,115.07,3.12,28.64,05-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
05-Jan-2019 - 00:00,14.82,11.32,1.48,9.1,0.44,81.51,32.74,0.35,1.93,7.49,58.72,142.72,21.59,123.54,30.39,0.0,198.56,2.51,28.73,06-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
06-Jan-2019 - 00:00,10.38,12.62,1.66,6.87,0.41,67.42,22.7,0.35,0.41,4.35,72.39,189.44,17.18,124.57,39.78,0.0,281.59,3.61,28.64,07-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
07-Jan-2019 - 00:00,12.64,24.21,1.59,8.02,0.83,68.97,8.03,0.88,0.38,5.32,167.06,259.77,9.88,119.36,67.36,0.0,62.5,4.64,29.3,08-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
08-Jan-2019 - 00:00,15.28,18.3,1.55,9.36,0.72,69.17,13.93,0.7,1.89,6.99,137.07,227.25,12.54,122.31,60.29,0.0,117.36,2.7,29.98,09-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
09-Jan-2019 - 00:00,22.56,20.05,1.58,13.29,0.73,56.03,19.48,0.64,2.12,8.39,99.12,180.02,14.42,121.85,48.29,0.0,83.42,3.6,30.87,10-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
10-Jan-2019 - 00:00,23.74,23.27,1.7,14.01,0.69,41.09,17.11,0.59,2.35,7.11,82.59,179.59,13.65,121.26,48.14,0.0,93.76,3.27,31.02,11-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
11-Jan-2019 - 00:00,27.57,23.43,1.94,16.23,0.71,37.24,9.37,0.62,1.68,7.88,71.06,160.98,15.69,115.62,47.57,0.0,82.92,3.68,30.77,12-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
12-Jan-2019 - 00:00,16.5,25.47,1.73,10.18,0.59,46.58,14.13,0.46,1.09,6.56,73.41,154.18,16.58,115.11,52.93,0.0,105.04,3.42,30.44,13-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
13-Jan-2019 - 00:00,15.15,23.0,1.6,9.35,0.58,42.38,14.59,0.44,0.66,6.15,76.73,152.95,16.44,122.05,53.34,0.0,96.55,3.33,31.13,14-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
14-Jan-2019 - 00:00,13.7,24.72,1.56,8.54,0.56,40.78,8.57,0.45,39.08,5.48,87.54,160.71,13.59,125.02,53.97,0.0,51.32,4.8,31.04,15-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
15-Jan-2019 - 00:00,17.62,23.25,1.58,10.65,0.63,40.52,10.0,0.54,1.46,6.79,81.32,155.0,14.0,125.52,47.72,0.0,86.75,3.26,30.84,16-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
16-Jan-2019 - 00:00,17.24,18.84,1.61,10.48,0.51,42.73,26.35,0.33,3.94,7.8,54.8,120.74,19.56,131.12,34.67,0.0,131.43,2.73,30.85,17-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
17-Jan-2019 - 00:00,17.13,18.15,1.64,10.44,0.55,42.61,18.77,0.44,2.66,7.67,53.59,130.27,19.87,128.07,31.15,0.0,176.38,2.26,30.31,18-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
18-Jan-2019 - 00:00,25.19,20.48,1.9,14.94,0.65,31.25,14.48,0.66,2.01,8.88,54.66,147.54,16.31,132.89,36.81,0.0,71.06,3.57,30.65,19-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
19-Jan-2019 - 00:00,18.78,18.16,1.62,11.29,0.48,38.14,21.28,0.33,3.79,8.84,40.1,102.1,18.12,135.2,29.29,0.0,97.28,3.09,29.83,20-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
20-Jan-2019 - 00:00,13.57,15.84,1.5,8.44,0.41,47.76,16.76,0.23,2.36,7.42,43.24,95.62,21.68,133.73,23.29,0.0,154.31,2.41,29.55,21-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
21-Jan-2019 - 00:00,17.67,16.95,1.49,10.62,0.47,47.09,19.16,0.29,2.03,6.95,54.46,142.79,21.26,116.38,32.42,0.0,193.27,4.22,30.01,22-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
22-Jan-2019 - 00:00,15.43,17.91,1.83,9.7,0.36,29.71,16.79,0.23,0.69,4.09,46.66,164.85,15.36,119.93,54.01,0.0,260.62,3.86,30.75,23-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
23-Jan-2019 - 00:00,13.5,17.51,1.61,8.48,0.44,33.14,13.24,0.38,1.62,6.35,48.97,152.91,15.26,129.14,52.11,0.0,173.69,2.25,30.77,24-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
24-Jan-2019 - 00:00,13.15,23.48,1.85,8.49,0.6,34.54,7.74,0.58,0.48,5.69,68.51,166.1,13.99,115.15,56.1,0.0,90.48,3.83,30.84,25-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
25-Jan-2019 - 00:00,7.35,35.56,1.69,5.28,0.61,27.74,4.24,0.61,0.15,4.11,97.24,158.93,8.95,87.56,79.52,0.0,127.84,4.53,30.33,26-Jan-2019 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
