from date,PM2.5,PM10,AT,VWS,RH,RF,BP,SR,Temp,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,WS,WD,to date,station
01-Jan-2019 - 00:00,130.27,262.73,22.41,0.03,60.65,0.0,765.28,127.78,30.6,30.08,24.77,104.35,75.64,12.26,1.26,62.13,6.05,9.81,4.9,1.38,174.54,02-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
02-Jan-2019 - 00:00,133.23,261.71,22.92,0.02,68.49,0.0,765.12,118.47,30.17,28.51,15.83,93.74,62.73,14.31,1.28,94.02,5.35,9.0,3.94,1.36,166.5,03-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
03-Jan-2019 - 00:00,148.16,287.66,23.42,0.03,69.54,0.0,765.57,124.16,30.48,27.85,26.63,105.63,77.83,16.71,1.35,92.75,5.79,9.77,4.88,1.26,176.58,04-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
04-Jan-2019 - 00:00,139.27,240.4,23.56,0.05,72.5,0.0,765.25,118.46,30.67,22.61,28.2,87.51,69.47,15.52,1.19,110.93,5.0,7.67,3.64,1.63,161.4,05-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
05-Jan-2019 - 00:00,116.27,170.32,23.86,0.04,71.61,0.0,762.99,116.15,30.08,13.3,3.08,41.81,24.73,15.08,0.95,141.58,3.06,4.45,1.28,1.77,143.27,06-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
06-Jan-2019 - 00:00,131.76,197.45,23.6,0.04,70.44,0.0,761.05,116.22,30.22,11.74,12.48,74.3,49.65,14.0,1.12,99.77,4.12,6.2,2.0,1.62,151.21,07-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
07-Jan-2019 - 00:00,119.74,254.97,23.59,0.04,67.9,0.0,758.73,117.66,30.28,15.18,20.15,93.61,66.17,13.74,1.23,57.75,4.96,7.79,2.74,1.48,180.46,08-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
08-Jan-2019 - 00:00,139.19,306.73,24.03,0.01,67.19,0.0,758.44,116.03,30.44,40.65,43.62,131.53,105.43,15.59,1.52,73.36,7.5,10.77,4.82,1.18,204.4,09-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
09-Jan-2019 - 00:00,135.76,274.04,23.73,0.03,74.26,0.0,759.53,91.26,30.24,20.38,27.83,83.62,67.12,15.95,1.35,109.11,4.94,7.69,3.18,1.52,153.94,10-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
10-Jan-2019 - 00:00,135.69,226.69,24.04,0.06,75.5,0.0,760.41,107.39,30.89,16.11,18.19,67.49,50.69,18.73,1.09,120.36,4.14,7.04,2.4,1.83,142.85,11-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
11-Jan-2019 - 00:00,106.26,160.93,24.36,0.05,73.1,0.0,761.79,112.79,30.76,11.76,3.27,33.49,20.48,14.91,0.85,113.1,2.62,4.02,1.1,2.02,164.68,12-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
12-Jan-2019 - 00:00,117.29,203.71,24.09,0.05,74.94,0.0,761.83,111.82,31.55,17.81,18.41,58.86,45.95,13.63,1.02,89.3,3.81,6.64,2.32,1.81,149.27,13-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
13-Jan-2019 - 00:00,120.94,207.36,24.21,0.05,72.98,0.0,761.99,124.94,29.4,15.62,15.32,59.19,43.94,11.47,1.04,96.02,4.67,7.16,2.61,1.48,166.69,14-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
14-Jan-2019 - 00:00,201.85,312.04,24.09,0.02,69.96,0.0,760.01,113.95,29.44,37.14,21.8,83.95,62.37,16.27,1.75,81.67,6.12,8.45,3.37,1.15,191.51,15-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
15-Jan-2019 - 00:00,65.0,266.89,24.18,0.04,67.14,0.0,760.5,111.48,29.06,31.6,17.32,60.86,46.44,10.71,1.17,68.99,5.57,8.88,3.78,1.54,157.57,16-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
16-Jan-2019 - 00:00,,186.74,24.34,0.05,75.0,0.0,761.01,109.01,28.91,11.41,2.4,17.27,11.14,10.73,0.88,151.95,2.47,2.82,0.56,2.22,157.84,17-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
17-Jan-2019 - 00:00,101.7,211.74,24.26,0.04,75.65,0.0,758.83,109.25,29.19,15.09,5.81,32.27,21.89,12.01,0.97,125.78,3.05,4.98,1.06,1.61,144.24,18-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
18-Jan-2019 - 00:00,124.66,252.61,24.68,0.03,75.47,0.0,759.1,117.7,29.46,21.06,16.51,57.34,43.92,11.28,1.1,110.76,4.08,6.35,1.87,1.31,181.19,19-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
19-Jan-2019 - 00:00,129.4,242.55,24.8,0.03,73.07,0.0,760.75,119.35,29.64,30.63,30.89,82.36,68.92,10.21,1.32,95.59,5.03,8.54,3.74,1.31,188.62,20-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
20-Jan-2019 - 00:00,123.59,257.01,24.52,0.03,71.9,0.0,761.84,123.0,29.86,20.94,33.25,77.83,68.44,10.17,1.26,82.76,6.0,9.28,4.0,1.45,199.35,21-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
21-Jan-2019 - 00:00,144.79,290.89,24.35,0.03,73.07,0.0,760.76,134.73,30.02,25.5,20.62,61.12,49.27,12.41,1.32,40.3,6.33,12.34,4.15,1.28,165.9,22-Jan-2019 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
