from date,Benzene,MP-Xylene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
15-Apr-2019 - 00:00,8.39,,4.3,78.38,0.85,14.63,6.89,11.77,3.71,12.86,122.47,,281.95,31.44,218.84,0.94,42.57,16-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Apr-2019 - 00:00,9.13,,3.25,70.99,0.81,11.27,5.14,8.96,3.35,11.25,109.11,,269.02,30.26,212.4,1.04,33.8,17-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Apr-2019 - 00:00,3.21,,2.94,21.77,0.53,7.19,2.44,5.2,2.91,28.35,103.41,,373.01,29.64,239.61,0.97,22.64,18-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Apr-2019 - 00:00,7.59,,4.58,43.24,0.75,12.48,6.43,10.36,3.34,17.85,111.51,,342.52,28.81,185.27,0.81,33.48,19-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Apr-2019 - 00:00,6.76,,4.65,26.36,0.9,12.76,6.11,10.29,3.19,27.16,93.14,,359.87,30.48,203.66,0.97,16.75,20-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Apr-2019 - 00:00,10.0,,8.33,53.62,1.15,19.81,8.94,15.68,3.86,20.58,127.54,,347.82,29.76,202.13,1.0,35.09,21-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Apr-2019 - 00:00,11.59,,4.2,108.11,0.94,15.27,7.82,12.65,3.51,16.7,82.11,,325.88,29.41,202.54,1.0,33.15,22-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Apr-2019 - 00:00,8.76,,4.93,50.54,0.92,13.7,6.2,10.85,3.41,17.6,89.62,,332.16,30.48,193.83,0.93,34.1,23-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Apr-2019 - 00:00,4.66,,3.81,31.85,0.7,9.39,5.15,7.98,2.99,16.84,62.22,,317.07,31.2,210.6,1.04,37.67,24-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Apr-2019 - 00:00,5.05,,3.31,30.18,0.72,8.49,5.19,7.53,2.92,12.88,47.29,,346.74,31.15,235.59,1.09,35.9,25-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Apr-2019 - 00:00,5.55,,3.01,23.5,0.7,9.25,5.35,8.03,2.99,17.27,70.77,,340.92,31.39,239.11,1.03,18.32,26-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Apr-2019 - 00:00,5.69,,2.95,18.84,0.72,15.92,5.46,11.6,6.14,19.33,206.28,,354.48,32.43,236.19,1.16,16.34,27-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Apr-2019 - 00:00,10.66,,2.17,11.8,1.1,49.84,18.02,36.84,8.38,19.71,109.28,,356.54,33.44,206.15,0.86,1.59,28-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Apr-2019 - 00:00,6.39,,1.27,7.55,0.88,36.55,7.58,23.9,7.01,13.95,97.77,,326.4,33.08,206.85,0.92,0.88,29-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Apr-2019 - 00:00,6.54,,1.34,17.71,0.83,26.93,6.89,18.58,6.28,8.66,57.27,,365.17,31.17,203.47,0.97,1.08,30-Apr-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Apr-2019 - 00:00,7.52,,1.15,13.44,0.97,36.17,12.03,26.1,7.47,5.17,52.8,,370.1,30.28,209.88,1.01,1.97,01-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-May-2019 - 00:00,6.37,,0.04,2.92,0.79,28.01,9.88,20.55,7.58,10.19,69.71,,368.48,29.8,197.96,1.06,3.65,02-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-May-2019 - 00:00,4.2,,0.51,31.83,0.92,31.11,11.37,23.23,8.89,16.03,68.95,,371.72,32.11,196.65,0.99,8.45,03-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-May-2019 - 00:00,5.36,,2.18,16.3,0.89,30.8,14.02,24.48,15.64,14.81,482.29,,363.22,34.13,198.73,0.98,13.52,04-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-May-2019 - 00:00,6.5,,3.82,36.23,0.83,34.91,20.07,30.25,23.97,9.7,144.4,,324.0,32.92,192.42,0.69,49.37,05-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-May-2019 - 00:00,5.99,,4.13,27.34,0.78,26.16,17.14,23.93,19.23,12.2,182.56,,411.99,34.82,224.39,0.87,12.67,06-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-May-2019 - 00:00,5.16,,2.8,17.68,0.74,25.13,16.24,22.85,18.04,14.26,67.18,,440.91,35.02,213.7,0.91,23.61,07-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-May-2019 - 00:00,4.17,,2.11,16.41,0.82,29.82,15.8,25.04,17.64,10.88,63.98,,427.73,34.84,217.27,0.84,44.57,08-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-May-2019 - 00:00,6.44,,1.19,21.6,0.7,29.95,17.61,26.19,17.56,10.64,80.73,,338.2,34.82,217.06,0.9,39.94,09-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-May-2019 - 00:00,4.23,,1.67,20.37,0.57,24.47,11.26,19.52,18.37,14.27,55.91,,445.17,34.8,225.92,0.88,28.05,10-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-May-2019 - 00:00,7.73,,2.13,31.22,0.98,41.42,30.43,39.85,26.75,6.07,72.49,,430.92,33.33,210.49,0.62,29.35,11-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-May-2019 - 00:00,3.71,,1.41,13.78,0.6,22.48,13.57,19.86,13.91,17.29,50.24,,433.23,35.11,201.45,0.78,29.98,12-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-May-2019 - 00:00,3.98,,1.79,18.82,0.58,18.9,11.24,16.6,10.82,13.88,57.47,,440.9,35.29,193.35,0.75,23.37,13-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-May-2019 - 00:00,4.42,,1.31,23.88,0.76,16.22,9.42,14.11,9.31,15.88,60.4,,430.74,35.47,216.51,0.77,23.89,14-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-May-2019 - 00:00,5.33,,2.79,41.56,0.68,18.71,11.47,16.64,10.17,18.52,65.66,,451.76,35.39,222.93,0.82,25.67,15-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-May-2019 - 00:00,5.51,,1.33,33.26,0.75,19.92,13.22,18.32,11.48,15.13,73.6,,443.04,35.06,214.02,0.78,28.0,16-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-May-2019 - 00:00,6.28,,2.11,19.3,1.14,27.15,19.36,25.8,15.31,11.6,87.09,,413.22,34.96,208.66,0.81,42.57,17-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-May-2019 - 00:00,2.85,,2.18,11.69,0.77,14.38,8.21,12.43,7.92,15.74,71.42,,468.83,37.5,233.22,0.93,11.21,18-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-May-2019 - 00:00,6.33,,3.36,16.75,0.9,19.43,13.53,18.25,10.39,12.27,74.38,,407.04,36.11,235.07,0.87,3.03,19-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-May-2019 - 00:00,5.94,,2.63,18.46,0.85,20.67,12.78,18.45,10.56,14.7,94.53,,425.15,36.83,211.69,0.84,21.44,20-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-May-2019 - 00:00,5.85,,3.35,13.2,0.88,16.36,9.53,14.25,9.48,18.02,70.94,,436.21,36.8,237.03,0.85,4.07,21-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-May-2019 - 00:00,6.6,,2.84,30.11,0.82,15.62,10.48,14.43,8.79,14.34,70.61,,385.36,36.69,228.05,0.84,1.67,22-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-May-2019 - 00:00,4.83,,3.04,18.38,0.69,12.15,10.89,12.87,7.98,9.21,62.47,,381.64,36.21,225.21,0.81,0.48,23-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-May-2019 - 00:00,4.03,,2.92,42.15,0.79,12.27,7.95,11.17,8.21,11.56,52.73,,404.83,36.05,195.39,0.82,10.37,24-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-May-2019 - 00:00,6.46,,3.04,20.04,0.85,14.65,9.16,13.14,9.36,12.52,68.66,,377.81,36.29,214.41,0.84,4.0,25-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-May-2019 - 00:00,5.2,,2.12,8.75,1.17,17.09,9.54,14.64,10.51,12.43,63.69,,397.99,36.57,226.62,0.86,13.51,26-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-May-2019 - 00:00,6.81,,1.04,12.37,1.09,24.46,14.11,21.23,16.02,13.77,63.66,,401.75,35.7,205.35,0.82,30.5,27-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-May-2019 - 00:00,5.18,,1.58,17.14,0.85,21.39,13.01,18.96,13.89,11.15,74.92,,387.26,36.35,221.18,0.82,23.04,28-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-May-2019 - 00:00,4.32,,0.3,16.13,0.64,17.76,10.48,15.39,11.42,12.14,79.6,,392.04,36.55,221.97,0.78,23.72,29-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-May-2019 - 00:00,4.8,,0.48,21.61,0.68,20.04,10.38,16.69,11.6,11.29,62.64,,398.26,36.53,219.6,0.81,21.07,30-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-May-2019 - 00:00,8.86,,1.18,36.76,0.67,19.33,10.79,16.56,11.34,11.23,51.84,,385.04,36.22,215.58,0.81,9.23,31-May-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
31-May-2019 - 00:00,6.9,,0.35,30.35,0.74,20.6,11.48,17.63,12.01,15.22,58.17,,387.98,36.07,203.9,0.79,8.92,01-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Jun-2019 - 00:00,5.02,,0.25,31.57,0.58,21.37,12.62,18.72,12.38,8.55,61.99,,379.4,36.31,204.05,0.85,54.67,02-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Jun-2019 - 00:00,5.11,,2.18,67.89,0.65,20.96,12.33,18.33,12.24,8.46,59.93,,368.21,36.28,202.27,0.82,39.91,03-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Jun-2019 - 00:00,4.87,,4.64,80.18,0.71,17.4,10.26,15.23,10.12,6.33,52.83,,344.09,36.5,211.57,0.92,31.96,04-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Jun-2019 - 00:00,5.65,,1.67,26.75,0.87,16.73,9.35,14.34,9.4,5.89,59.81,,257.84,36.05,217.46,0.89,24.53,05-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Jun-2019 - 00:00,6.25,,4.25,13.58,1.02,18.25,10.16,15.67,9.81,8.17,57.3,,321.97,36.35,216.2,0.78,8.34,06-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Jun-2019 - 00:00,4.45,,0.78,39.07,0.76,13.14,6.21,10.58,7.72,9.83,56.98,,347.64,36.66,228.16,0.85,4.94,07-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Jun-2019 - 00:00,6.45,,1.26,26.19,0.78,17.94,10.44,15.62,10.38,7.83,39.73,,221.44,35.19,209.5,0.62,1.71,08-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Jun-2019 - 00:00,6.03,,0.35,28.67,0.82,12.63,6.86,10.71,7.94,12.76,51.02,,286.89,37.36,225.48,0.85,12.02,09-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Jun-2019 - 00:00,5.33,,0.3,74.31,0.73,15.48,10.03,14.09,9.84,10.46,83.38,,302.73,37.26,207.37,0.88,18.43,10-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Jun-2019 - 00:00,7.73,,0.87,26.34,1.07,22.21,17.82,22.27,13.7,11.27,60.68,,248.73,36.39,196.27,0.75,17.43,11-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Jun-2019 - 00:00,6.79,,3.98,5.47,1.33,25.95,24.06,27.95,13.74,13.2,58.17,,399.05,35.64,176.47,0.59,2.35,12-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Jun-2019 - 00:00,6.24,,3.49,7.26,0.78,21.76,24.32,25.83,12.39,9.01,34.35,,199.69,33.45,139.56,0.78,4.7,13-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Jun-2019 - 00:00,4.42,,0.46,29.09,0.82,16.93,20.22,20.94,9.81,7.06,32.91,,,33.92,149.1,0.82,8.23,14-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Jun-2019 - 00:00,6.17,,0.3,14.16,0.62,15.26,19.62,19.72,9.39,7.8,34.5,,535.46,35.3,148.33,0.87,7.06,15-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Jun-2019 - 00:00,7.22,,0.56,8.72,0.85,17.27,24.28,23.55,11.21,14.75,25.17,,,35.46,112.1,0.56,8.71,16-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Jun-2019 - 00:00,5.68,,1.48,12.81,0.65,9.17,16.59,14.69,6.66,27.36,33.24,,,,,,7.67,17-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Jun-2019 - 00:00,4.7,,2.79,15.07,0.69,9.87,20.74,17.57,8.47,16.39,31.25,,272.67,34.39,164.45,0.6,8.19,18-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Jun-2019 - 00:00,5.65,,1.7,35.33,0.65,12.76,23.74,20.87,10.71,5.45,32.93,,282.16,32.8,183.21,0.76,7.53,19-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Jun-2019 - 00:00,6.26,,0.3,33.67,1.07,15.22,27.62,24.48,11.63,3.59,36.41,,204.0,33.16,182.38,0.67,8.38,20-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Jun-2019 - 00:00,5.74,,0.33,50.51,0.94,9.17,33.51,24.84,12.03,2.57,49.87,,222.58,34.92,213.53,0.72,8.85,21-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Jun-2019 - 00:00,6.23,,0.28,12.43,0.8,7.22,28.25,20.66,11.78,4.29,44.24,,289.92,35.03,200.33,0.72,7.86,22-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Jun-2019 - 00:00,9.04,,0.28,14.53,1.01,9.5,37.75,27.48,13.66,3.89,70.53,,290.99,35.14,207.38,0.66,8.42,23-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Jun-2019 - 00:00,4.38,,0.14,18.42,0.82,7.97,21.91,17.26,9.83,4.36,49.72,,302.09,35.59,220.19,0.65,8.14,24-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Jun-2019 - 00:00,9.57,,0.56,88.92,1.03,11.71,34.64,26.45,13.48,4.03,47.16,,115.78,33.0,168.83,0.4,10.6,25-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Jun-2019 - 00:00,8.92,,0.07,55.15,1.03,11.79,32.94,25.87,13.11,8.08,43.4,,271.75,34.28,196.16,0.57,8.75,26-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Jun-2019 - 00:00,7.46,,0.31,46.85,0.9,5.75,25.16,18.06,7.57,6.7,40.06,,290.39,34.39,184.88,0.55,8.18,27-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Jun-2019 - 00:00,6.74,,0.25,54.64,0.84,3.69,20.0,13.89,5.79,8.97,24.42,,223.84,33.35,183.21,0.48,8.31,28-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Jun-2019 - 00:00,2.61,,0.42,42.86,2.61,4.27,31.77,21.17,10.35,10.24,10.16,,,30.42,153.3,0.36,14.1,29-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Jun-2019 - 00:00,7.32,,0.0,0.0,2.01,,,329.64,175.0,2.61,102.41,,,,,,9.61,30-Jun-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Jun-2019 - 00:00,6.55,,0.0,0.04,0.59,,,,,5.8,,,,,,,29.27,01-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,02-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,03-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,04-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,05-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,06-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,07-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,08-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,09-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,10-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,11-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,12-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,13-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Jul-2019 - 00:00,8.38,,0.25,5.83,0.88,4.37,45.02,28.84,17.3,7.08,22.28,,127.57,31.94,203.25,0.54,8.02,14-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Jul-2019 - 00:00,4.83,,1.0,4.66,0.62,20.66,30.32,28.94,19.82,22.13,13.36,,272.79,32.72,214.45,0.83,9.16,15-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Jul-2019 - 00:00,4.91,,0.07,7.36,0.87,14.07,35.25,27.92,19.33,21.15,23.64,,221.59,34.54,212.25,0.75,10.2,16-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Jul-2019 - 00:00,7.45,,0.6,2.11,0.91,11.82,38.99,29.48,18.7,3.83,24.57,,179.23,32.76,197.34,0.59,8.37,17-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Jul-2019 - 00:00,7.18,,0.38,2.72,1.0,13.0,37.69,29.32,18.51,6.35,25.44,,259.13,33.13,210.25,0.55,8.43,18-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Jul-2019 - 00:00,7.09,,0.26,6.47,1.15,16.86,47.49,35.94,21.29,10.69,27.62,,182.76,32.48,174.51,0.46,7.27,19-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Jul-2019 - 00:00,6.39,,2.35,3.81,0.97,11.26,39.73,29.12,18.89,12.57,40.02,,271.52,34.29,209.63,0.61,8.41,20-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Jul-2019 - 00:00,5.83,,0.13,10.07,1.1,22.2,26.36,27.29,18.33,15.55,32.04,,247.58,32.48,166.9,0.5,9.06,21-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Jul-2019 - 00:00,5.07,,0.25,25.73,1.16,19.6,22.88,23.87,16.76,25.77,31.12,,295.91,33.44,205.24,0.49,9.58,22-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Jul-2019 - 00:00,6.31,,0.96,21.13,0.89,15.13,24.4,22.5,13.59,16.76,22.59,,278.82,33.9,200.74,0.53,8.51,23-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Jul-2019 - 00:00,6.69,,0.33,10.84,0.91,14.01,36.79,29.16,27.14,14.1,18.89,,258.02,33.21,139.15,0.51,8.98,24-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Jul-2019 - 00:00,6.42,,0.09,21.44,0.71,19.52,23.64,24.32,22.04,8.18,13.54,,24.6,30.25,164.24,0.41,10.71,25-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Jul-2019 - 00:00,10.44,,0.12,16.24,0.77,20.88,29.61,28.61,22.87,5.87,18.83,,26.99,30.17,168.13,0.37,11.42,26-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Jul-2019 - 00:00,5.0,,0.02,14.27,0.59,18.14,19.81,21.33,19.04,11.14,12.04,,145.22,30.39,188.19,0.51,10.32,27-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Jul-2019 - 00:00,3.74,,0.16,16.33,0.55,12.63,13.92,14.93,15.65,10.67,11.2,,196.1,29.85,192.24,0.54,9.89,28-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,29-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Jul-2019 - 00:00,6.43,,0.7,18.44,0.51,14.49,16.92,17.68,16.47,12.22,31.82,,8.81,30.12,219.48,0.62,9.53,30-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Jul-2019 - 00:00,5.13,,0.1,25.18,0.55,17.93,17.82,20.03,16.31,11.69,12.92,,1.7,29.31,193.19,0.55,9.88,31-Jul-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
31-Jul-2019 - 00:00,5.97,,0.13,26.22,0.53,17.52,14.78,18.0,18.01,9.86,14.42,,1.3,31.06,203.66,0.69,8.94,01-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Aug-2019 - 00:00,3.25,,0.01,4.42,0.75,14.66,12.87,15.36,17.27,13.38,13.75,,,31.99,213.27,1.83,10.75,02-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Aug-2019 - 00:00,1.88,,0.0,2.24,0.58,11.61,9.05,11.47,15.75,8.8,9.11,,,30.14,215.36,2.3,8.98,03-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Aug-2019 - 00:00,,,,,0.56,11.74,11.44,12.98,11.36,12.15,10.2,,,29.64,212.71,1.95,10.8,04-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Aug-2019 - 00:00,0.0,,0.03,0.01,0.52,4.0,3.6,4.23,4.74,13.36,5.36,,,29.33,209.04,2.63,10.46,05-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Aug-2019 - 00:00,0.0,,0.05,0.0,0.38,2.28,3.54,3.3,3.16,16.18,9.86,,,31.7,221.27,44.16,7.77,06-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Aug-2019 - 00:00,,,,0.0,0.45,11.21,8.02,10.65,8.29,2.81,15.89,,,31.35,211.31,23.1,8.57,07-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Aug-2019 - 00:00,,,,,0.41,13.53,7.51,11.56,12.04,1.31,14.4,,,31.75,213.07,0.4,8.86,08-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Aug-2019 - 00:00,,,,,0.48,14.93,9.85,13.69,11.98,1.14,20.99,,,31.82,209.73,0.4,9.03,09-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Aug-2019 - 00:00,,,,,0.54,10.93,6.94,9.86,10.55,3.49,18.14,,,32.04,210.75,0.42,9.37,10-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Aug-2019 - 00:00,,,,,0.33,13.95,10.66,13.67,11.98,1.37,19.02,,,32.46,205.58,0.44,9.03,11-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Aug-2019 - 00:00,,,,,0.42,16.06,12.37,15.79,12.91,0.9,21.87,,,32.24,201.16,0.41,8.76,12-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Aug-2019 - 00:00,,,,,0.65,16.64,13.51,16.78,13.66,3.89,19.04,,,32.4,205.07,0.44,9.31,13-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Aug-2019 - 00:00,,,,,0.97,15.13,18.75,19.12,14.58,10.98,17.55,,,31.71,209.93,0.44,9.32,14-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Aug-2019 - 00:00,,,,,0.85,20.06,24.65,25.21,17.83,9.82,23.05,,,32.04,190.16,0.42,9.24,15-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Aug-2019 - 00:00,,,,,0.77,12.34,10.5,12.73,11.36,10.2,14.0,,,31.87,198.08,0.43,9.12,16-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Aug-2019 - 00:00,,,,,0.7,12.4,13.04,14.28,10.62,9.02,12.32,,,32.0,199.3,0.41,9.0,17-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Aug-2019 - 00:00,,,,,0.81,19.31,19.97,22.04,14.56,10.46,25.6,,2.9,32.44,184.34,0.34,9.41,18-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Aug-2019 - 00:00,,,,,0.88,15.5,22.12,21.33,13.65,6.81,23.14,,,32.27,186.6,0.43,9.09,19-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Aug-2019 - 00:00,,,,,0.79,14.93,24.73,22.6,15.36,9.42,27.41,,,32.59,185.19,0.43,8.93,20-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Aug-2019 - 00:00,,,,,0.88,14.26,28.16,24.3,17.52,9.69,38.09,,,32.96,213.96,0.52,9.64,21-Aug-2019 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
