from date,PM2.5,RH,SR,Temp,CH4,CO,NH3,NO,NO2,NOx,SO2,to date,BP,station
01-Jan-2019 - 00:00,62.22,38.34,157.13,23.88,643.34,0.75,45.88,7.28,38.6,45.88,9.55,02-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
02-Jan-2019 - 00:00,53.54,39.23,156.89,23.5,697.82,0.73,61.58,8.95,52.64,61.03,32.1,03-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
03-Jan-2019 - 00:00,52.26,37.27,159.73,24.04,629.36,0.84,106.86,12.51,94.35,106.86,39.31,04-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
04-Jan-2019 - 00:00,45.88,33.69,146.94,24.1,714.59,1.05,77.72,9.5,67.7,75.73,17.73,05-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
05-Jan-2019 - 00:00,33.74,39.94,45.73,23.85,808.42,1.02,44.19,14.28,33.05,43.94,14.12,06-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
06-Jan-2019 - 00:00,48.79,46.99,148.0,24.0,750.8,0.97,42.28,6.43,35.85,41.83,14.85,07-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
07-Jan-2019 - 00:00,50.91,45.68,154.1,24.23,717.84,0.96,63.54,7.43,55.28,62.72,20.7,08-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
08-Jan-2019 - 00:00,59.75,34.68,152.4,24.76,628.79,0.81,67.9,6.85,61.05,67.9,28.44,09-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
09-Jan-2019 - 00:00,50.77,27.73,154.77,25.04,639.09,0.84,74.16,7.1,67.06,74.16,13.07,10-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
10-Jan-2019 - 00:00,67.82,35.67,148.17,24.59,717.08,0.94,77.56,7.37,68.75,75.95,5.71,11-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
11-Jan-2019 - 00:00,67.05,40.55,148.25,24.43,695.81,0.92,81.73,7.58,74.25,81.73,2.65,12-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
12-Jan-2019 - 00:00,70.59,43.65,124.39,24.39,724.18,0.84,79.77,7.29,72.49,79.77,2.13,13-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
13-Jan-2019 - 00:00,52.75,38.53,148.63,24.61,674.54,0.84,79.9,6.95,73.06,79.9,2.22,14-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
14-Jan-2019 - 00:00,62.27,40.96,142.12,24.45,708.14,0.88,83.24,7.69,75.66,83.24,2.82,15-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
15-Jan-2019 - 00:00,52.44,19.54,134.99,24.56,637.22,0.63,78.34,6.77,71.58,78.34,2.19,16-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
16-Jan-2019 - 00:00,66.23,32.03,151.02,24.48,758.59,0.88,83.94,7.37,76.56,82.18,2.53,17-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
17-Jan-2019 - 00:00,58.66,41.17,194.07,24.87,657.96,0.7,68.86,9.04,60.72,68.84,4.59,18-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
18-Jan-2019 - 00:00,50.45,28.95,133.93,26.0,741.33,1.01,27.86,4.5,24.09,27.86,14.6,19-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
19-Jan-2019 - 00:00,44.75,55.42,161.44,24.91,629.17,0.75,31.58,4.84,26.87,31.18,14.88,20-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
20-Jan-2019 - 00:00,28.67,82.96,129.41,24.46,734.69,0.74,25.88,3.96,21.92,25.88,9.64,21-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
21-Jan-2019 - 00:00,37.07,30.42,141.21,24.48,621.67,0.93,30.92,4.23,26.7,30.92,8.17,22-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
22-Jan-2019 - 00:00,50.4,46.34,135.24,24.05,656.85,1.1,32.15,5.25,26.91,32.15,4.24,23-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
