from date,PM2.5,RH,SR,Temp,CH4,CO,NH3,NO,NO2,NOx,SO2,to date,BP,station
23-Jan-2019 - 00:00,43.08,52.12,133.84,24.7,791.29,1.05,30.66,4.72,25.98,30.66,4.31,24-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
24-Jan-2019 - 00:00,34.95,54.21,130.84,25.31,777.44,0.86,26.45,4.36,22.15,26.45,3.69,25-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
25-Jan-2019 - 00:00,26.74,50.94,112.22,25.33,829.77,0.94,24.02,4.32,20.2,24.02,4.12,26-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
26-Jan-2019 - 00:00,32.04,57.85,98.35,25.53,837.91,0.95,23.64,4.16,19.52,23.64,4.02,27-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
27-Jan-2019 - 00:00,27.62,61.17,77.87,25.29,886.59,0.86,21.34,4.12,17.26,21.35,3.85,28-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
28-Jan-2019 - 00:00,26.2,64.68,108.81,25.0,843.24,0.79,20.92,4.13,16.81,20.92,3.98,29-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
29-Jan-2019 - 00:00,23.46,61.29,124.75,24.49,881.27,0.81,22.52,4.23,18.29,22.52,4.12,30-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
30-Jan-2019 - 00:00,31.69,55.6,177.06,24.75,738.39,0.83,21.91,4.16,17.77,21.91,3.56,31-Jan-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
31-Jan-2019 - 00:00,29.17,38.2,155.1,26.13,776.57,1.23,24.47,4.17,20.45,24.47,4.23,01-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
01-Feb-2019 - 00:00,39.64,50.46,131.65,24.24,772.08,0.93,26.69,4.28,22.42,26.69,3.68,02-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
02-Feb-2019 - 00:00,36.06,50.44,140.02,24.98,764.12,0.87,25.52,3.96,21.55,25.52,4.09,03-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
03-Feb-2019 - 00:00,26.93,50.51,139.11,25.32,757.93,0.8,23.67,3.78,19.92,23.67,3.53,04-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
04-Feb-2019 - 00:00,32.01,49.54,149.28,25.57,738.55,0.69,23.76,3.93,19.84,23.77,3.79,05-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
05-Feb-2019 - 00:00,32.1,55.32,103.98,25.69,835.98,0.9,22.68,3.69,18.99,22.68,4.14,06-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
06-Feb-2019 - 00:00,39.32,41.0,141.55,26.02,775.69,0.86,27.87,3.76,21.26,25.02,4.34,07-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
07-Feb-2019 - 00:00,43.7,45.69,105.94,26.22,779.48,0.91,32.73,3.84,23.09,26.93,4.01,08-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
08-Feb-2019 - 00:00,40.2,49.59,138.72,27.11,779.77,0.86,30.64,3.79,21.05,24.84,3.56,09-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
09-Feb-2019 - 00:00,48.31,56.69,77.14,26.54,908.78,0.9,32.49,3.96,22.73,26.69,3.24,10-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
10-Feb-2019 - 00:00,34.18,63.19,95.24,26.27,912.33,0.78,27.87,3.67,18.4,22.07,3.18,11-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
11-Feb-2019 - 00:00,30.52,59.51,131.27,25.8,869.31,0.69,27.41,3.67,17.94,21.61,3.1,12-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
12-Feb-2019 - 00:00,35.99,53.0,153.76,25.48,796.98,0.76,30.11,3.74,20.58,24.32,3.02,13-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
13-Feb-2019 - 00:00,38.7,51.3,155.57,25.77,745.32,0.76,31.2,3.76,21.94,25.4,3.09,14-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
14-Feb-2019 - 00:00,35.33,46.93,154.8,26.15,779.66,0.81,31.59,3.6,22.19,25.79,3.5,15-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
15-Feb-2019 - 00:00,41.82,54.33,146.15,26.7,793.21,0.8,29.82,3.61,20.42,24.02,3.47,16-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
16-Feb-2019 - 00:00,45.13,48.43,118.16,27.23,737.7,0.74,29.84,3.79,20.25,24.04,3.69,17-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
17-Feb-2019 - 00:00,38.61,43.57,151.1,27.58,718.6,0.8,29.61,3.69,20.11,23.81,3.26,18-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
18-Feb-2019 - 00:00,48.17,31.75,155.79,27.58,697.24,0.8,34.78,4.45,24.53,28.98,3.71,19-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
19-Feb-2019 - 00:00,50.22,53.12,135.0,27.82,823.95,0.81,30.5,3.64,21.06,24.7,3.87,20-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
20-Feb-2019 - 00:00,41.55,51.48,155.08,27.27,766.67,0.66,28.49,3.63,19.06,22.69,3.62,21-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
21-Feb-2019 - 00:00,36.53,69.12,0.91,24.33,989.4,0.65,27.65,3.58,18.26,21.85,3.37,22-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
22-Feb-2019 - 00:00,51.95,16.53,242.62,29.15,541.84,0.68,43.43,13.84,25.05,37.63,3.76,23-Feb-2019 - 00:00,999.62,"Peenya, Bengaluru - CPCB"
23-Feb-2019 - 00:00,54.89,20.73,161.31,27.5,587.28,0.67,33.51,3.64,24.07,27.71,3.75,24-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
24-Feb-2019 - 00:00,52.6,21.87,159.34,27.92,599.83,0.66,33.23,3.53,23.9,27.43,3.61,25-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
25-Feb-2019 - 00:00,53.08,19.15,157.23,28.2,568.33,0.64,37.62,4.21,27.61,31.82,3.72,26-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
26-Feb-2019 - 00:00,62.06,34.81,144.14,27.92,654.17,0.61,35.9,3.88,26.22,30.1,3.61,27-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
27-Feb-2019 - 00:00,61.31,46.15,142.01,27.72,671.75,0.54,32.28,3.8,22.68,26.48,3.8,28-Feb-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
28-Feb-2019 - 00:00,63.92,31.54,143.69,27.47,708.91,0.45,33.89,3.64,24.45,28.09,3.66,01-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
01-Mar-2019 - 00:00,72.07,44.65,114.74,27.92,732.86,0.39,35.68,3.62,26.26,29.88,3.25,02-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
02-Mar-2019 - 00:00,50.58,54.18,134.1,27.43,810.21,0.38,28.42,3.36,19.27,22.62,3.33,03-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
03-Mar-2019 - 00:00,39.39,49.72,109.44,27.39,803.39,0.46,29.35,3.36,20.19,23.55,3.48,04-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
04-Mar-2019 - 00:00,52.85,48.07,135.21,28.18,764.19,0.42,27.92,3.31,18.81,22.12,3.51,05-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
05-Mar-2019 - 00:00,62.11,49.31,127.28,28.47,771.67,0.38,29.08,3.37,19.91,23.28,3.72,06-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
06-Mar-2019 - 00:00,78.45,33.04,139.48,28.88,706.13,0.72,29.27,3.38,20.31,23.47,3.21,07-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
07-Mar-2019 - 00:00,92.52,16.82,148.93,29.34,542.33,0.89,39.34,4.44,29.15,33.54,3.73,08-Mar-2019 - 00:00,999.56,"Peenya, Bengaluru - CPCB"
08-Mar-2019 - 00:00,78.76,23.37,131.3,28.83,607.71,0.9,38.38,3.35,29.23,32.58,3.81,09-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
09-Mar-2019 - 00:00,67.64,51.02,107.41,27.94,776.14,0.91,32.85,3.42,23.63,27.05,3.68,10-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
10-Mar-2019 - 00:00,45.94,49.2,127.37,28.58,748.5,0.75,28.03,3.31,18.93,22.23,3.19,11-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
11-Mar-2019 - 00:00,47.16,40.38,136.25,28.56,750.2,0.72,28.9,3.34,19.75,23.1,3.28,12-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
12-Mar-2019 - 00:00,63.17,32.8,138.64,28.3,699.3,0.77,29.93,3.3,20.84,24.13,3.46,13-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
13-Mar-2019 - 00:00,65.78,25.68,140.54,28.33,641.66,0.8,34.32,3.7,24.83,28.52,3.32,14-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
14-Mar-2019 - 00:00,57.95,21.31,137.52,28.43,591.87,0.69,34.03,3.9,24.55,28.23,3.61,15-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
15-Mar-2019 - 00:00,59.73,18.74,140.11,28.62,563.14,0.64,34.28,3.05,25.43,28.48,3.6,16-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
16-Mar-2019 - 00:00,57.57,25.23,140.19,27.76,636.07,0.75,34.62,3.21,25.63,28.83,3.3,17-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
17-Mar-2019 - 00:00,64.47,28.27,137.99,28.03,670.94,0.77,35.62,3.18,26.65,29.82,3.35,18-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
18-Mar-2019 - 00:00,56.26,38.85,132.28,27.88,760.16,0.81,32.96,3.13,24.03,27.16,3.37,19-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
19-Mar-2019 - 00:00,54.75,44.41,132.75,28.1,730.21,0.8,31.3,3.25,22.25,25.5,3.33,20-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
20-Mar-2019 - 00:00,51.56,43.41,123.05,28.3,746.22,0.87,30.02,3.34,20.88,24.22,3.48,21-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
21-Mar-2019 - 00:00,61.11,38.42,129.28,28.57,688.75,0.83,30.13,3.3,21.04,24.33,3.53,22-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
22-Mar-2019 - 00:00,62.23,38.39,130.92,28.71,738.95,0.83,31.26,3.34,22.12,25.46,3.37,23-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
23-Mar-2019 - 00:00,66.31,35.33,123.74,29.32,745.53,0.83,32.5,3.55,23.14,26.69,3.36,24-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
24-Mar-2019 - 00:00,65.25,40.37,123.17,29.23,701.26,0.78,28.61,3.25,19.56,22.8,3.31,25-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
25-Mar-2019 - 00:00,69.71,35.53,136.02,29.49,689.9,0.84,29.94,3.45,20.69,24.14,3.39,26-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
26-Mar-2019 - 00:00,73.32,28.52,135.76,29.18,673.71,0.81,30.81,3.34,21.68,25.01,3.35,27-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
27-Mar-2019 - 00:00,96.88,32.79,135.08,28.99,676.79,0.84,32.44,3.44,23.21,26.64,3.44,28-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
28-Mar-2019 - 00:00,91.97,30.41,135.63,29.42,613.55,0.81,33.35,3.36,24.19,27.55,3.38,29-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
29-Mar-2019 - 00:00,72.23,39.31,115.85,28.94,677.64,0.84,33.07,3.58,23.69,27.26,3.49,30-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
30-Mar-2019 - 00:00,85.62,36.67,130.31,29.18,629.15,0.92,39.06,5.76,27.52,33.26,3.38,31-Mar-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
31-Mar-2019 - 00:00,61.72,46.09,129.14,28.82,623.41,0.88,31.32,3.79,21.74,25.52,3.41,01-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
01-Apr-2019 - 00:00,74.49,39.21,124.48,29.05,625.48,0.82,34.03,4.41,23.84,28.25,3.43,02-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
02-Apr-2019 - 00:00,71.36,41.62,124.11,29.08,681.75,0.86,32.09,3.76,22.55,26.29,3.26,03-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
03-Apr-2019 - 00:00,73.69,34.04,126.56,29.54,714.79,0.79,30.08,3.29,20.99,24.28,3.32,04-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
04-Apr-2019 - 00:00,151.91,34.82,140.79,29.13,676.73,0.84,29.64,3.25,20.58,23.84,3.34,05-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
05-Apr-2019 - 00:00,52.62,37.08,129.64,29.01,675.31,0.84,29.13,3.2,20.13,23.33,3.4,06-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
06-Apr-2019 - 00:00,56.5,34.79,123.77,29.29,646.14,0.88,28.1,3.15,19.15,22.3,3.29,07-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
07-Apr-2019 - 00:00,81.06,34.9,118.67,29.45,655.74,0.88,27.41,3.13,18.48,21.61,3.37,08-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
08-Apr-2019 - 00:00,106.15,43.3,119.88,28.87,812.18,0.87,28.26,3.32,19.14,22.46,3.23,09-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
09-Apr-2019 - 00:00,80.63,48.5,126.12,27.97,801.18,0.7,26.8,3.23,17.77,21.0,3.37,10-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
10-Apr-2019 - 00:00,67.82,39.78,113.51,29.29,714.95,0.87,28.65,3.3,19.54,22.85,3.25,11-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
11-Apr-2019 - 00:00,67.81,42.66,128.06,29.48,679.45,0.83,28.45,3.41,19.52,22.65,3.28,12-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
12-Apr-2019 - 00:00,61.0,32.91,130.1,30.03,687.19,0.78,28.69,3.33,19.56,22.89,3.18,13-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
13-Apr-2019 - 00:00,58.69,37.35,138.16,29.75,663.98,0.75,27.28,3.27,18.22,21.49,3.34,14-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
14-Apr-2019 - 00:00,55.05,32.26,142.81,29.78,663.57,0.75,26.22,3.2,17.22,20.42,3.35,15-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
15-Apr-2019 - 00:00,63.73,31.02,142.67,29.57,664.34,0.76,29.98,3.43,20.75,24.18,3.14,16-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
16-Apr-2019 - 00:00,56.91,39.73,146.88,29.4,676.69,0.79,28.72,3.31,19.61,22.92,3.27,17-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
17-Apr-2019 - 00:00,129.84,60.35,105.41,27.83,831.18,0.8,28.05,3.55,18.71,22.25,3.23,18-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
18-Apr-2019 - 00:00,53.94,58.4,156.92,27.81,771.43,0.75,25.96,3.37,16.79,20.16,3.23,19-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
19-Apr-2019 - 00:00,36.82,58.02,163.94,27.93,807.04,0.83,28.67,3.65,19.24,22.85,3.48,20-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
20-Apr-2019 - 00:00,30.31,57.36,145.45,27.72,895.76,0.86,26.94,3.55,17.59,21.14,3.3,21-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
21-Apr-2019 - 00:00,26.5,52.11,159.09,27.97,764.72,0.73,27.32,3.45,18.07,21.52,3.15,22-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
22-Apr-2019 - 00:00,38.44,58.86,147.81,28.39,844.63,0.81,28.66,4.13,18.74,22.86,3.39,23-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
23-Apr-2019 - 00:00,30.51,47.57,156.91,28.31,756.73,0.78,28.56,3.53,19.22,22.76,3.2,24-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
24-Apr-2019 - 00:00,41.86,39.95,173.27,29.14,732.49,0.87,30.71,3.53,21.38,24.91,3.22,25-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
25-Apr-2019 - 00:00,48.53,34.87,161.4,29.71,720.05,0.8,32.1,3.48,22.83,26.3,3.25,26-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
26-Apr-2019 - 00:00,49.41,40.24,174.27,29.67,695.1,0.84,31.28,3.5,21.99,25.49,3.23,27-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
27-Apr-2019 - 00:00,60.22,39.27,129.29,30.25,721.28,0.93,29.6,3.42,20.38,23.8,3.26,28-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
28-Apr-2019 - 00:00,52.23,41.87,81.83,29.22,800.09,0.95,30.54,3.39,21.34,24.74,3.23,29-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
29-Apr-2019 - 00:00,47.0,53.87,119.29,28.7,812.71,0.88,27.48,3.43,18.25,21.68,3.41,30-Apr-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
30-Apr-2019 - 00:00,59.76,62.55,123.8,27.42,839.8,0.82,28.23,3.9,18.53,22.43,3.39,01-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
01-May-2019 - 00:00,22.76,67.32,103.55,26.75,970.15,0.76,25.03,3.55,15.68,19.23,3.29,02-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
02-May-2019 - 00:00,41.75,55.53,142.73,27.9,735.51,0.83,26.27,3.46,17.01,20.47,3.22,03-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
03-May-2019 - 00:00,44.36,56.73,161.32,27.71,773.94,0.8,26.41,3.39,17.22,20.61,3.35,04-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
04-May-2019 - 00:00,51.94,54.37,143.47,27.93,823.13,0.85,26.99,3.43,17.76,21.19,3.2,05-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
05-May-2019 - 00:00,53.71,52.93,155.22,28.29,783.61,0.82,26.65,3.36,17.49,20.85,3.3,06-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
06-May-2019 - 00:00,46.09,50.64,124.65,28.92,807.53,0.93,26.77,3.34,17.62,20.97,3.08,07-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
07-May-2019 - 00:00,37.82,61.26,150.36,28.18,908.29,0.85,25.2,3.39,16.01,19.4,3.29,08-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
08-May-2019 - 00:00,,,,,,,,,,,,09-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
09-May-2019 - 00:00,26.95,55.5,175.36,29.29,844.58,1.0,39.82,4.14,20.65,24.79,3.42,10-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
10-May-2019 - 00:00,41.24,72.35,154.83,27.76,924.9,0.85,37.28,3.48,22.43,25.91,3.33,11-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
11-May-2019 - 00:00,44.45,80.46,120.89,27.08,995.2,0.92,25.75,3.36,17.19,20.54,3.21,12-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
12-May-2019 - 00:00,28.1,78.81,146.1,26.61,966.65,0.75,24.67,3.32,14.4,17.72,3.26,13-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
13-May-2019 - 00:00,29.65,82.55,55.64,26.57,,0.94,31.56,3.76,16.72,20.48,3.32,14-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
14-May-2019 - 00:00,33.66,78.11,145.15,26.86,972.21,0.81,26.92,3.42,15.19,18.61,3.28,15-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
15-May-2019 - 00:00,36.53,88.86,115.59,25.45,,0.91,28.44,3.49,14.68,18.17,3.32,16-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
16-May-2019 - 00:00,36.13,77.69,125.06,26.25,973.3,1.11,34.21,4.1,16.13,20.23,3.21,17-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
17-May-2019 - 00:00,41.6,86.79,88.21,25.55,,1.08,36.16,4.23,16.02,20.25,3.35,18-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
18-May-2019 - 00:00,56.7,80.79,125.48,26.95,993.6,1.12,42.88,3.83,17.26,21.05,3.81,19-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
19-May-2019 - 00:00,39.27,75.21,129.61,27.22,987.78,1.15,35.27,3.48,17.77,21.25,3.51,20-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
20-May-2019 - 00:00,49.13,79.22,115.42,27.03,,0.95,37.55,3.62,19.43,23.05,3.52,21-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
21-May-2019 - 00:00,41.26,74.62,132.33,27.52,982.22,0.79,33.55,3.49,18.84,22.33,3.6,22-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
22-May-2019 - 00:00,39.09,78.33,110.59,26.5,996.0,0.82,37.66,4.24,20.41,24.65,3.59,23-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
23-May-2019 - 00:00,31.46,87.11,114.79,26.02,,0.91,37.32,3.71,19.77,23.48,3.17,24-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
24-May-2019 - 00:00,30.27,81.88,130.25,25.98,0.0,0.91,35.13,3.8,19.25,22.84,3.54,25-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
25-May-2019 - 00:00,26.02,81.53,137.88,25.78,,0.85,32.91,3.55,18.23,21.79,3.64,26-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
26-May-2019 - 00:00,25.7,77.56,147.78,25.79,,0.74,30.24,3.31,18.3,21.61,3.49,27-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
27-May-2019 - 00:00,27.18,80.84,137.39,26.47,,0.86,37.48,3.97,21.3,25.27,3.0,28-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
28-May-2019 - 00:00,34.58,81.97,125.75,27.2,,0.99,34.53,3.67,19.42,23.09,2.34,29-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
29-May-2019 - 00:00,24.15,79.07,120.22,26.84,,0.79,33.52,3.45,20.62,24.07,2.47,30-May-2019 - 00:00,,"Peenya, Bengaluru - CPCB"
