from date,Temp,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,to date,BP,THC,station
10-Feb-2019 - 00:00,15.51,65.27,0.55,305.0,0.82,192.83,93.01,1.06,992.95,38.09,3.79,22.35,28.52,8.07,599.06,11-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
11-Feb-2019 - 00:00,15.9,61.67,-0.14,281.75,0.37,166.3,116.54,1.13,990.65,49.56,17.0,39.28,36.81,8.39,601.19,12-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
12-Feb-2019 - 00:00,16.84,65.79,-0.36,214.2,0.2,107.94,201.32,1.06,992.15,63.48,39.31,64.54,48.52,11.49,599.64,13-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
13-Feb-2019 - 00:00,17.75,68.52,-0.21,234.67,0.29,173.46,206.37,1.11,993.24,53.8,79.35,91.27,62.61,13.78,599.86,14-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
14-Feb-2019 - 00:00,18.06,74.31,-0.0,135.18,0.47,84.31,231.83,1.01,993.58,56.09,72.92,87.53,70.84,16.39,600.35,15-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
15-Feb-2019 - 00:00,18.19,81.99,0.44,123.27,0.67,109.11,128.69,1.09,992.84,43.79,7.62,28.55,35.23,12.38,599.86,16-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
16-Feb-2019 - 00:00,17.24,86.04,0.42,227.01,0.73,92.47,88.82,1.13,993.97,33.9,7.47,22.65,34.14,10.92,600.47,17-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
17-Feb-2019 - 00:00,16.26,81.95,1.25,296.95,1.31,205.23,97.71,1.12,994.07,25.2,3.02,14.63,29.49,7.83,598.73,18-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
18-Feb-2019 - 00:00,18.46,65.07,0.97,267.83,1.08,210.77,101.88,1.17,990.51,38.64,8.18,26.06,35.34,8.38,598.52,19-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
19-Feb-2019 - 00:00,20.2,69.12,0.21,139.59,0.5,164.19,160.98,1.19,993.1,46.12,35.62,52.11,54.66,9.87,600.94,20-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
20-Feb-2019 - 00:00,20.02,78.46,-0.03,204.55,0.48,89.75,195.86,1.04,991.59,47.12,18.52,39.42,45.03,13.06,601.31,21-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
21-Feb-2019 - 00:00,22.2,66.51,-0.13,149.19,0.32,153.26,143.37,0.96,992.04,50.0,39.44,57.86,57.1,11.99,601.51,22-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
22-Feb-2019 - 00:00,23.94,67.22,0.42,189.62,0.67,176.85,136.25,1.06,993.61,40.07,18.19,35.07,40.33,12.57,599.82,23-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
23-Feb-2019 - 00:00,17.79,60.09,1.86,304.29,1.6,223.14,71.8,1.09,949.98,24.07,2.49,12.11,21.09,8.93,581.58,24-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
24-Feb-2019 - 00:00,16.74,60.99,0.64,267.52,0.84,111.63,121.85,1.08,900.88,24.99,1.38,9.34,11.13,9.28,549.92,25-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
25-Feb-2019 - 00:00,19.17,59.94,-0.07,199.37,0.38,209.18,161.75,0.96,901.03,36.46,10.82,20.59,18.62,9.84,550.23,26-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
26-Feb-2019 - 00:00,19.83,50.4,0.28,75.06,0.52,135.35,162.12,0.97,899.62,33.71,2.15,14.34,14.29,14.53,549.2,27-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
27-Feb-2019 - 00:00,15.39,80.5,0.36,97.12,0.58,112.54,101.57,1.16,900.21,32.2,1.79,14.73,13.1,12.73,548.93,28-Feb-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
28-Feb-2019 - 00:00,15.0,67.05,0.55,298.94,0.8,220.4,60.69,1.04,900.75,28.77,3.72,12.6,11.72,8.89,550.47,01-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
01-Mar-2019 - 00:00,15.78,59.38,0.64,291.32,0.81,245.4,119.03,1.0,899.99,31.41,10.97,22.94,10.39,9.93,549.31,02-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
02-Mar-2019 - 00:00,17.57,60.78,0.03,176.14,0.38,116.66,203.84,1.0,901.46,37.25,13.29,30.03,6.97,11.27,551.45,03-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
03-Mar-2019 - 00:00,17.55,80.12,0.12,103.71,0.48,124.07,114.94,1.1,901.23,19.99,8.27,16.78,18.53,11.2,553.89,04-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
04-Mar-2019 - 00:00,19.69,76.18,0.11,171.8,0.53,197.36,126.82,1.01,901.17,17.16,4.65,12.73,33.11,10.53,550.96,05-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
05-Mar-2019 - 00:00,20.7,67.23,0.6,277.6,0.86,212.98,135.89,0.84,900.1,18.46,4.34,13.15,23.77,12.51,549.38,06-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
06-Mar-2019 - 00:00,18.91,54.64,0.93,316.73,0.99,248.72,101.05,1.02,897.56,15.81,5.46,12.49,9.72,12.6,549.36,07-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
07-Mar-2019 - 00:00,19.83,48.68,0.94,308.54,0.96,256.47,127.01,0.99,899.83,24.56,12.15,22.79,9.99,11.61,551.02,08-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
08-Mar-2019 - 00:00,20.58,51.72,0.67,287.73,0.9,234.75,140.34,0.95,890.04,25.08,10.28,21.05,12.19,12.87,544.01,09-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
09-Mar-2019 - 00:00,23.11,44.56,0.64,311.13,0.79,206.53,126.95,1.12,900.31,24.29,8.74,19.84,14.01,15.3,551.42,10-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
10-Mar-2019 - 00:00,22.88,46.96,0.37,250.2,0.56,238.62,134.16,0.93,898.54,23.3,9.39,19.86,14.59,15.6,549.39,11-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
11-Mar-2019 - 00:00,24.14,41.07,0.08,103.23,0.4,211.6,160.89,1.11,900.18,29.94,14.07,27.13,15.8,14.31,552.15,12-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
12-Mar-2019 - 00:00,25.17,46.09,0.29,170.85,0.49,206.01,149.92,0.86,899.16,31.24,14.32,28.01,20.74,16.52,550.99,13-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
13-Mar-2019 - 00:00,23.99,42.42,0.4,206.05,0.51,236.16,163.46,1.11,898.61,33.03,10.59,26.02,12.34,20.87,549.99,14-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
14-Mar-2019 - 00:00,24.96,43.21,0.33,243.07,0.51,174.01,162.67,1.06,900.14,30.02,11.6,25.22,15.86,15.99,550.48,15-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
15-Mar-2019 - 00:00,23.5,46.71,0.8,187.33,0.75,195.74,132.11,1.03,898.89,27.73,9.34,22.14,12.06,18.25,548.64,16-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
16-Mar-2019 - 00:00,21.5,44.21,1.24,309.61,1.05,254.7,83.53,0.95,900.38,20.05,7.72,16.45,3.85,13.39,550.22,17-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
17-Mar-2019 - 00:00,21.93,48.6,0.65,295.45,0.68,159.14,105.65,1.05,900.35,26.41,7.38,19.94,7.75,17.51,551.16,18-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
18-Mar-2019 - 00:00,22.86,47.69,0.78,299.19,0.78,232.54,141.38,0.91,900.89,28.31,7.5,21.02,8.95,13.72,550.47,19-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
19-Mar-2019 - 00:00,23.4,48.22,1.22,281.81,1.1,238.73,128.9,1.02,899.0,24.95,7.64,19.38,10.31,12.22,550.25,20-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
20-Mar-2019 - 00:00,25.48,45.72,0.58,198.89,0.52,230.43,122.09,1.11,902.22,30.85,13.11,26.89,13.45,11.87,549.21,21-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
21-Mar-2019 - 00:00,27.71,35.74,0.65,109.42,0.51,223.09,157.26,0.9,900.59,16.81,9.64,16.66,8.42,10.26,551.0,22-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
22-Mar-2019 - 00:00,26.0,37.88,1.36,287.11,1.04,237.22,75.23,1.03,899.87,8.53,7.25,10.34,5.02,8.37,549.67,23-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
23-Mar-2019 - 00:00,23.55,38.39,2.01,306.16,1.6,258.56,48.52,0.98,898.78,10.93,7.35,11.62,5.06,10.07,549.5,24-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
24-Mar-2019 - 00:00,25.38,41.83,1.29,297.43,1.29,246.23,82.99,1.0,899.14,16.49,7.49,14.58,5.68,11.52,550.68,25-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
25-Mar-2019 - 00:00,27.45,43.72,0.19,206.89,0.48,185.67,125.8,0.95,899.69,27.01,9.48,21.94,9.19,11.25,551.9,26-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
26-Mar-2019 - 00:00,26.04,45.66,0.88,279.67,0.9,254.82,95.34,0.95,900.17,21.92,8.36,18.31,3.73,11.88,549.38,27-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
27-Mar-2019 - 00:00,25.87,43.67,0.83,314.99,0.85,243.15,102.63,1.0,900.68,19.95,8.02,16.89,1.86,11.28,549.72,28-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
28-Mar-2019 - 00:00,26.5,47.09,0.37,275.83,0.58,217.25,134.91,1.1,899.67,27.04,16.99,27.94,6.99,10.37,548.83,29-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
29-Mar-2019 - 00:00,28.93,45.84,0.16,250.4,0.47,226.4,177.99,0.93,900.08,33.07,25.71,38.16,19.97,11.99,550.35,30-Mar-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
30-Mar-2019 - 00:00,31.08,42.77,0.17,217.9,0.44,226.87,182.84,0.98,900.34,30.67,26.87,37.81,23.24,13.28,549.94,31-Mar-2019 - 00:00,999.01,,"Talkatora District Industries Center, Lucknow - CPCB"
31-Mar-2019 - 00:00,28.77,38.63,1.13,349.88,1.05,8.54,266.92,1.34,897.1,16.92,6.88,14.43,5.5,20.33,556.2,01-Apr-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
01-Apr-2019 - 00:00,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,02-Apr-2019 - 00:00,,0.0,"Talkatora District Industries Center, Lucknow - CPCB"
02-Apr-2019 - 00:00,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,03-Apr-2019 - 00:00,,0.0,"Talkatora District Industries Center, Lucknow - CPCB"
03-Apr-2019 - 00:00,32.41,22.47,0.51,271.29,0.88,615.29,38.03,0.32,295.17,7.64,6.11,2.98,3.7,8.43,184.67,04-Apr-2019 - 00:00,,490.63,"Talkatora District Industries Center, Lucknow - CPCB"
04-Apr-2019 - 00:00,36.71,19.21,0.03,234.17,0.59,69.05,60.14,0.77,541.12,9.24,6.0,5.81,4.9,18.08,323.4,05-Apr-2019 - 00:00,997.33,873.46,"Talkatora District Industries Center, Lucknow - CPCB"
05-Apr-2019 - 00:00,33.21,42.94,0.39,113.84,0.47,181.38,187.93,1.63,898.69,17.95,5.24,13.74,30.54,14.65,549.21,06-Apr-2019 - 00:00,999.14,,"Talkatora District Industries Center, Lucknow - CPCB"
06-Apr-2019 - 00:00,30.93,56.07,0.67,155.39,0.75,204.01,174.98,1.95,899.31,25.64,5.48,18.02,26.66,15.38,549.1,07-Apr-2019 - 00:00,998.75,,"Talkatora District Industries Center, Lucknow - CPCB"
07-Apr-2019 - 00:00,27.0,57.2,1.3,115.59,1.11,209.93,166.4,1.98,899.45,17.29,4.88,13.05,23.16,12.75,549.8,08-Apr-2019 - 00:00,998.51,,"Talkatora District Industries Center, Lucknow - CPCB"
08-Apr-2019 - 00:00,28.33,55.25,0.32,137.32,0.51,210.8,110.46,1.49,899.72,27.62,8.35,21.33,24.32,12.25,550.76,09-Apr-2019 - 00:00,998.27,,"Talkatora District Industries Center, Lucknow - CPCB"
09-Apr-2019 - 00:00,31.46,44.83,0.5,145.5,0.55,239.99,103.73,1.0,897.87,36.01,10.52,27.57,21.28,14.4,551.19,10-Apr-2019 - 00:00,996.87,,"Talkatora District Industries Center, Lucknow - CPCB"
10-Apr-2019 - 00:00,30.1,48.7,0.52,129.5,0.53,253.48,116.42,0.94,900.01,28.0,7.39,20.81,16.75,16.02,549.62,11-Apr-2019 - 00:00,999.74,,"Talkatora District Industries Center, Lucknow - CPCB"
11-Apr-2019 - 00:00,31.57,47.02,0.39,139.96,0.52,216.63,121.96,0.96,901.95,37.25,8.12,26.31,19.5,15.14,550.28,12-Apr-2019 - 00:00,998.9,,"Talkatora District Industries Center, Lucknow - CPCB"
12-Apr-2019 - 00:00,32.7,43.66,0.46,177.53,0.52,211.97,150.62,1.04,901.22,34.92,11.22,27.54,18.95,15.23,551.62,13-Apr-2019 - 00:00,998.48,,"Talkatora District Industries Center, Lucknow - CPCB"
13-Apr-2019 - 00:00,33.93,30.05,0.67,228.94,0.64,242.87,124.4,0.96,900.01,48.41,6.13,30.64,16.25,15.0,549.76,14-Apr-2019 - 00:00,998.61,,"Talkatora District Industries Center, Lucknow - CPCB"
14-Apr-2019 - 00:00,33.67,29.99,0.97,286.7,0.86,229.53,94.39,1.0,900.07,15.25,4.46,11.67,17.79,11.91,550.43,15-Apr-2019 - 00:00,998.4,,"Talkatora District Industries Center, Lucknow - CPCB"
15-Apr-2019 - 00:00,34.14,25.99,0.88,234.83,0.74,230.0,87.75,1.0,899.49,22.65,9.51,19.49,18.61,11.46,551.43,16-Apr-2019 - 00:00,997.06,,"Talkatora District Industries Center, Lucknow - CPCB"
16-Apr-2019 - 00:00,28.78,40.41,1.38,264.29,1.19,101.5,63.25,0.95,899.25,20.38,5.97,15.61,21.2,10.28,549.71,17-Apr-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
17-Apr-2019 - 00:00,23.87,66.55,0.68,177.12,0.82,132.0,72.9,1.0,901.23,21.37,5.87,16.04,22.04,10.17,549.75,18-Apr-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
18-Apr-2019 - 00:00,26.26,56.17,0.59,236.75,0.65,246.29,73.81,0.99,899.98,25.0,5.79,17.89,18.44,11.39,548.94,19-Apr-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
19-Apr-2019 - 00:00,28.22,44.19,0.75,305.8,0.71,223.62,74.12,0.98,900.73,22.89,4.55,15.71,15.15,11.97,550.87,20-Apr-2019 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
20-Apr-2019 - 00:00,29.51,38.13,0.32,259.98,0.43,213.7,110.9,1.02,900.91,33.14,5.41,21.95,14.64,13.36,549.3,21-Apr-2019 - 00:00,998.08,,"Talkatora District Industries Center, Lucknow - CPCB"
21-Apr-2019 - 00:00,30.67,35.48,0.42,280.92,0.54,220.78,112.21,0.97,901.17,35.22,8.79,25.75,16.7,11.19,548.85,22-Apr-2019 - 00:00,996.2,,"Talkatora District Industries Center, Lucknow - CPCB"
22-Apr-2019 - 00:00,31.71,35.45,0.38,202.38,0.38,232.37,118.2,0.96,898.16,40.28,14.17,32.7,17.77,12.87,549.17,23-Apr-2019 - 00:00,995.99,,"Talkatora District Industries Center, Lucknow - CPCB"
23-Apr-2019 - 00:00,31.13,50.03,0.81,110.59,0.64,189.73,116.95,0.99,900.29,28.26,6.45,20.08,20.04,11.16,549.01,24-Apr-2019 - 00:00,998.23,,"Talkatora District Industries Center, Lucknow - CPCB"
24-Apr-2019 - 00:00,32.39,48.89,0.67,113.94,0.6,184.9,108.63,0.96,900.78,24.19,5.27,17.07,18.7,11.87,548.13,25-Apr-2019 - 00:00,999.7,,"Talkatora District Industries Center, Lucknow - CPCB"
25-Apr-2019 - 00:00,34.56,44.41,0.35,118.76,0.44,171.87,171.39,1.02,898.55,33.44,12.34,27.64,19.61,12.81,548.19,26-Apr-2019 - 00:00,998.04,,"Talkatora District Industries Center, Lucknow - CPCB"
26-Apr-2019 - 00:00,36.15,38.49,0.58,234.96,0.47,206.01,154.29,0.94,899.93,48.52,13.1,36.28,17.96,14.4,550.11,27-Apr-2019 - 00:00,995.56,,"Talkatora District Industries Center, Lucknow - CPCB"
27-Apr-2019 - 00:00,34.21,22.53,1.25,325.28,1.11,210.13,108.24,0.83,899.95,19.56,5.02,14.26,10.13,11.0,549.06,28-Apr-2019 - 00:00,995.5,,"Talkatora District Industries Center, Lucknow - CPCB"
28-Apr-2019 - 00:00,35.32,15.38,1.57,314.52,1.22,211.62,137.29,0.98,899.19,18.72,5.72,14.39,8.34,7.04,549.36,29-Apr-2019 - 00:00,994.04,,"Talkatora District Industries Center, Lucknow - CPCB"
29-Apr-2019 - 00:00,35.68,16.42,1.04,298.84,0.85,196.27,186.68,0.96,900.61,29.5,8.25,22.16,11.42,6.58,551.63,30-Apr-2019 - 00:00,993.84,,"Talkatora District Industries Center, Lucknow - CPCB"
30-Apr-2019 - 00:00,35.87,25.54,0.45,116.67,0.42,173.87,205.58,0.97,900.57,55.0,26.75,50.65,27.24,8.63,550.39,01-May-2019 - 00:00,991.91,,"Talkatora District Industries Center, Lucknow - CPCB"
01-May-2019 - 00:00,34.9,41.57,0.73,101.28,0.64,172.07,197.45,0.98,901.01,27.68,7.34,20.57,23.54,10.45,547.97,02-May-2019 - 00:00,990.36,,"Talkatora District Industries Center, Lucknow - CPCB"
02-May-2019 - 00:00,35.51,31.79,1.38,127.4,0.96,171.22,133.25,1.02,899.29,26.16,5.0,17.9,15.69,10.25,549.47,03-May-2019 - 00:00,991.57,,"Talkatora District Industries Center, Lucknow - CPCB"
03-May-2019 - 00:00,32.65,38.01,1.27,82.97,0.89,170.07,99.61,0.95,900.56,31.81,7.72,22.64,15.1,9.63,549.19,04-May-2019 - 00:00,994.83,,"Talkatora District Industries Center, Lucknow - CPCB"
04-May-2019 - 00:00,32.21,43.1,0.82,236.04,0.71,161.89,79.03,0.98,899.11,22.81,4.76,15.88,15.57,10.51,551.28,05-May-2019 - 00:00,996.84,,"Talkatora District Industries Center, Lucknow - CPCB"
05-May-2019 - 00:00,33.1,18.74,1.65,294.26,1.27,207.4,77.21,0.96,900.23,21.19,6.71,15.48,6.61,6.76,548.59,06-May-2019 - 00:00,997.31,,"Talkatora District Industries Center, Lucknow - CPCB"
06-May-2019 - 00:00,34.25,13.35,1.6,299.13,1.29,200.96,68.41,1.0,900.34,17.71,8.89,13.4,15.6,5.99,549.06,07-May-2019 - 00:00,994.19,,"Talkatora District Industries Center, Lucknow - CPCB"
07-May-2019 - 00:00,35.04,15.35,1.37,293.12,1.14,196.02,82.6,1.04,900.87,24.76,14.82,23.66,10.29,6.35,549.69,08-May-2019 - 00:00,992.57,,"Talkatora District Industries Center, Lucknow - CPCB"
08-May-2019 - 00:00,36.36,17.39,1.63,295.91,1.24,177.71,107.94,0.92,900.34,28.04,8.28,20.5,8.91,8.19,550.26,09-May-2019 - 00:00,991.68,,"Talkatora District Industries Center, Lucknow - CPCB"
09-May-2019 - 00:00,36.37,17.35,1.86,301.2,1.4,170.37,116.46,0.97,898.89,20.18,4.1,13.75,12.21,7.93,548.25,10-May-2019 - 00:00,990.68,,"Talkatora District Industries Center, Lucknow - CPCB"
10-May-2019 - 00:00,35.75,19.99,1.49,295.44,1.21,138.83,118.66,0.99,900.23,19.11,4.3,13.59,21.79,7.33,549.73,11-May-2019 - 00:00,992.38,,"Talkatora District Industries Center, Lucknow - CPCB"
11-May-2019 - 00:00,35.73,20.41,1.21,262.59,0.94,174.54,135.2,1.02,900.17,23.73,4.97,16.47,16.33,10.06,548.89,12-May-2019 - 00:00,994.6,,"Talkatora District Industries Center, Lucknow - CPCB"
12-May-2019 - 00:00,34.3,27.69,1.52,296.59,1.12,160.7,137.83,0.98,900.04,12.34,4.27,9.84,17.88,6.31,550.28,13-May-2019 - 00:00,994.63,,"Talkatora District Industries Center, Lucknow - CPCB"
13-May-2019 - 00:00,33.53,32.25,1.43,264.85,1.1,180.46,113.07,1.02,901.57,13.32,4.05,10.23,17.17,4.02,550.3,14-May-2019 - 00:00,994.5,,"Talkatora District Industries Center, Lucknow - CPCB"
14-May-2019 - 00:00,32.7,32.12,0.63,262.82,0.59,183.73,106.38,1.02,899.92,19.12,4.11,13.35,14.97,5.4,549.39,15-May-2019 - 00:00,995.31,,"Talkatora District Industries Center, Lucknow - CPCB"
15-May-2019 - 00:00,33.99,33.12,0.71,259.07,0.5,191.7,129.01,0.97,900.74,27.03,5.43,18.7,16.27,4.39,550.14,16-May-2019 - 00:00,996.4,,"Talkatora District Industries Center, Lucknow - CPCB"
16-May-2019 - 00:00,34.63,29.71,0.89,229.79,0.62,177.36,110.78,0.97,900.81,22.08,4.38,15.15,13.47,6.33,550.3,17-May-2019 - 00:00,997.04,,"Talkatora District Industries Center, Lucknow - CPCB"
17-May-2019 - 00:00,34.21,28.93,0.75,211.73,0.6,175.8,108.2,1.02,901.23,23.53,4.73,16.29,12.97,7.01,549.87,18-May-2019 - 00:00,996.34,,"Talkatora District Industries Center, Lucknow - CPCB"
18-May-2019 - 00:00,30.24,47.21,1.7,279.28,1.26,200.01,72.01,0.97,898.84,14.07,4.27,10.84,13.25,4.59,550.02,19-May-2019 - 00:00,996.14,,"Talkatora District Industries Center, Lucknow - CPCB"
19-May-2019 - 00:00,32.7,39.24,1.29,311.11,0.96,186.76,68.1,0.98,899.32,11.71,4.14,9.5,12.92,4.05,550.86,20-May-2019 - 00:00,996.92,,"Talkatora District Industries Center, Lucknow - CPCB"
20-May-2019 - 00:00,34.85,29.26,1.17,297.03,0.87,216.23,94.88,0.99,900.95,18.16,4.51,13.2,12.05,5.12,552.09,21-May-2019 - 00:00,997.7,,"Talkatora District Industries Center, Lucknow - CPCB"
21-May-2019 - 00:00,36.93,22.57,1.21,299.11,0.96,208.64,96.6,1.01,900.14,18.81,5.73,14.54,10.84,6.96,550.76,22-May-2019 - 00:00,996.0,,"Talkatora District Industries Center, Lucknow - CPCB"
22-May-2019 - 00:00,36.34,26.76,0.49,214.48,0.48,145.36,115.96,1.04,899.62,26.9,6.3,19.14,20.82,7.15,549.83,23-May-2019 - 00:00,994.26,,"Talkatora District Industries Center, Lucknow - CPCB"
23-May-2019 - 00:00,37.18,28.05,0.66,236.29,0.53,153.94,114.62,0.96,900.75,28.24,6.24,19.99,28.03,5.76,550.5,24-May-2019 - 00:00,993.08,,"Talkatora District Industries Center, Lucknow - CPCB"
24-May-2019 - 00:00,36.05,37.46,0.91,221.28,0.67,169.52,103.91,0.97,898.45,28.19,6.23,19.98,27.99,5.4,550.57,25-May-2019 - 00:00,992.52,,"Talkatora District Industries Center, Lucknow - CPCB"
25-May-2019 - 00:00,34.41,32.62,1.88,320.97,1.27,189.41,86.25,0.98,900.67,28.2,6.21,19.99,28.0,5.09,548.76,26-May-2019 - 00:00,992.48,,"Talkatora District Industries Center, Lucknow - CPCB"
26-May-2019 - 00:00,34.32,28.68,1.56,300.08,1.12,194.35,76.8,1.02,899.17,28.17,6.24,19.99,28.01,4.19,550.55,27-May-2019 - 00:00,992.3,,"Talkatora District Industries Center, Lucknow - CPCB"
27-May-2019 - 00:00,35.82,24.69,1.2,300.3,0.96,178.31,92.74,0.96,899.19,28.19,6.24,20.0,28.01,5.62,549.34,28-May-2019 - 00:00,991.86,,"Talkatora District Industries Center, Lucknow - CPCB"
28-May-2019 - 00:00,36.68,19.53,1.31,296.56,0.91,185.01,103.78,0.95,899.68,28.27,6.23,19.99,28.0,5.69,548.3,29-May-2019 - 00:00,991.47,,"Talkatora District Industries Center, Lucknow - CPCB"
29-May-2019 - 00:00,36.19,21.66,0.79,237.33,0.61,171.54,109.56,1.03,900.69,28.22,6.23,20.0,28.0,7.14,549.28,30-May-2019 - 00:00,990.34,,"Talkatora District Industries Center, Lucknow - CPCB"
30-May-2019 - 00:00,36.73,31.96,0.62,183.94,0.48,141.82,136.11,1.0,900.64,28.23,6.27,20.0,27.99,6.17,549.31,31-May-2019 - 00:00,989.02,,"Talkatora District Industries Center, Lucknow - CPCB"
31-May-2019 - 00:00,34.4,44.57,1.01,114.13,0.65,144.2,114.45,0.93,900.82,28.21,6.25,19.99,28.0,4.7,551.06,01-Jun-2019 - 00:00,989.99,,"Talkatora District Industries Center, Lucknow - CPCB"
01-Jun-2019 - 00:00,34.1,52.67,0.7,118.71,0.71,137.93,97.11,1.0,899.98,28.19,6.26,20.01,28.0,4.67,550.29,02-Jun-2019 - 00:00,991.22,,"Talkatora District Industries Center, Lucknow - CPCB"
02-Jun-2019 - 00:00,34.4,55.79,0.66,65.72,0.81,125.1,174.76,0.98,900.07,28.19,6.26,20.03,27.99,4.03,550.13,03-Jun-2019 - 00:00,990.86,,"Talkatora District Industries Center, Lucknow - CPCB"
03-Jun-2019 - 00:00,32.52,46.95,1.3,35.11,1.15,127.75,128.47,1.04,898.81,28.18,6.23,20.01,28.02,4.4,549.7,04-Jun-2019 - 00:00,992.65,,"Talkatora District Industries Center, Lucknow - CPCB"
04-Jun-2019 - 00:00,33.93,48.78,0.79,56.23,0.75,120.03,113.69,0.96,898.29,28.17,6.26,20.0,28.0,5.34,551.09,05-Jun-2019 - 00:00,991.49,,"Talkatora District Industries Center, Lucknow - CPCB"
05-Jun-2019 - 00:00,35.86,48.49,0.45,110.71,0.53,117.1,95.14,0.93,898.92,28.21,6.26,20.01,28.0,4.76,550.13,06-Jun-2019 - 00:00,990.47,,"Talkatora District Industries Center, Lucknow - CPCB"
06-Jun-2019 - 00:00,35.49,53.86,0.61,108.07,0.74,116.44,100.59,1.02,900.25,28.19,6.24,19.98,28.01,3.83,547.61,07-Jun-2019 - 00:00,991.76,,"Talkatora District Industries Center, Lucknow - CPCB"
07-Jun-2019 - 00:00,32.04,61.69,0.45,89.5,0.68,124.25,72.34,1.01,901.08,28.18,6.25,20.0,27.99,5.14,549.36,08-Jun-2019 - 00:00,993.76,,"Talkatora District Industries Center, Lucknow - CPCB"
