from date,Temp,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,to date,BP,THC,station
16-Nov-2019 - 00:00,22.63,65.29,-0.36,265.43,0.26,100.95,193.38,0.7,215.47,36.1,13.92,30.34,35.28,7.32,299.69,17-Nov-2019 - 00:00,,502.16,"Talkatora District Industries Center, Lucknow - CPCB"
17-Nov-2019 - 00:00,22.32,64.17,0.7,299.61,0.96,153.08,118.01,0.72,215.25,38.24,12.73,30.53,26.33,6.99,301.98,18-Nov-2019 - 00:00,,500.26,"Talkatora District Industries Center, Lucknow - CPCB"
18-Nov-2019 - 00:00,20.94,57.29,0.53,307.78,0.84,143.22,112.06,0.79,216.59,38.34,12.85,30.63,26.38,2.98,300.42,19-Nov-2019 - 00:00,,501.45,"Talkatora District Industries Center, Lucknow - CPCB"
19-Nov-2019 - 00:00,20.45,58.17,0.2,288.37,0.6,133.57,129.26,0.79,216.72,38.25,12.8,30.58,26.35,8.28,299.79,20-Nov-2019 - 00:00,,500.53,"Talkatora District Industries Center, Lucknow - CPCB"
20-Nov-2019 - 00:00,20.36,63.19,-0.42,244.91,0.21,114.18,174.92,0.93,214.46,38.36,12.82,30.66,26.4,6.59,300.71,21-Nov-2019 - 00:00,,499.52,"Talkatora District Industries Center, Lucknow - CPCB"
21-Nov-2019 - 00:00,20.75,67.73,-0.48,194.96,0.18,98.76,185.26,0.75,215.98,38.26,12.8,30.59,26.36,13.3,301.07,22-Nov-2019 - 00:00,,497.65,"Talkatora District Industries Center, Lucknow - CPCB"
22-Nov-2019 - 00:00,20.88,68.54,-0.06,296.47,0.47,101.21,188.52,0.89,217.02,38.24,12.71,30.51,26.31,2.72,301.19,23-Nov-2019 - 00:00,,501.19,"Talkatora District Industries Center, Lucknow - CPCB"
23-Nov-2019 - 00:00,20.97,62.45,0.28,293.12,0.68,124.39,179.16,1.01,214.31,38.26,12.77,30.56,26.35,3.81,300.52,24-Nov-2019 - 00:00,,500.45,"Talkatora District Industries Center, Lucknow - CPCB"
24-Nov-2019 - 00:00,21.12,68.79,0.14,302.41,0.64,122.53,137.5,0.9,216.06,38.3,12.77,30.58,24.2,4.17,297.88,25-Nov-2019 - 00:00,,499.17,"Talkatora District Industries Center, Lucknow - CPCB"
25-Nov-2019 - 00:00,20.63,75.42,-0.42,218.88,0.22,53.64,177.67,1.06,216.0,38.19,12.67,30.45,20.29,12.4,299.19,26-Nov-2019 - 00:00,,501.55,"Talkatora District Industries Center, Lucknow - CPCB"
