from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
23-Nov-2019 - 00:00,182.95,114.93,32.53,31.19,63.72,1.83,,16.0,0.0,0.0,0.0,0.0,24-Nov-2019 - 00:00,"Lodhi Road, Delhi - IMD"
24-Nov-2019 - 00:00,130.52,88.06,14.84,24.66,39.51,1.14,,24.39,0.0,0.0,0.0,0.0,25-Nov-2019 - 00:00,"Lodhi Road, Delhi - IMD"
25-Nov-2019 - 00:00,161.34,100.0,57.31,38.85,96.15,2.26,,23.53,0.0,0.0,0.0,0.0,26-Nov-2019 - 00:00,"Lodhi Road, Delhi - IMD"
26-Nov-2019 - 00:00,164.7,93.5,44.42,33.5,77.93,1.94,,24.2,0.0,0.0,0.0,0.0,27-Nov-2019 - 00:00,"Lodhi Road, Delhi - IMD"
27-Nov-2019 - 00:00,98.8,54.76,14.35,23.94,38.29,0.91,,24.42,0.0,0.0,0.0,0.0,28-Nov-2019 - 00:00,"Lodhi Road, Delhi - IMD"
28-Nov-2019 - 00:00,48.17,27.4,6.64,18.44,25.08,0.6,,23.9,0.0,0.0,0.0,0.0,29-Nov-2019 - 00:00,"Lodhi Road, Delhi - IMD"
29-Nov-2019 - 00:00,76.19,45.82,29.46,26.15,55.61,1.31,,19.99,0.0,0.0,0.0,0.0,30-Nov-2019 - 00:00,"Lodhi Road, Delhi - IMD"
30-Nov-2019 - 00:00,115.15,67.84,34.94,25.51,60.45,1.47,,18.88,0.0,0.0,0.0,0.0,01-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
01-Dec-2019 - 00:00,135.89,87.26,38.68,27.41,66.09,1.35,,21.23,0.0,0.0,0.0,0.0,02-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
02-Dec-2019 - 00:00,154.68,98.25,49.18,32.43,81.61,1.49,,18.8,0.0,0.0,0.0,0.0,03-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
03-Dec-2019 - 00:00,176.21,100.74,50.65,35.65,86.3,1.62,,21.12,0.0,0.0,0.0,0.0,04-Dec-2019 - 00:00,"Lodhi Road, Delhi - IMD"
