from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
01-Jan-2019 - 00:00,0.2,195.47,64.29,758.93,56.72,189.27,131.42,219.29,23.53,305.84,18.93,3.24,11.77,0.65,8.77,29.09,10.65,7.89,6.92,02-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
02-Jan-2019 - 00:00,0.18,135.23,66.34,758.91,49.86,160.53,135.86,198.16,25.38,297.71,18.98,3.2,9.19,0.67,7.89,25.78,8.09,5.2,5.95,03-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
03-Jan-2019 - 00:00,0.2,238.78,74.76,759.7,54.03,65.17,124.1,113.18,18.16,336.17,16.49,2.88,7.19,0.9,13.54,41.9,8.97,6.92,7.91,04-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
04-Jan-2019 - 00:00,0.26,205.6,80.34,758.6,59.02,76.63,95.99,111.65,15.02,219.36,14.72,2.41,9.47,0.77,7.64,22.11,4.38,3.24,3.85,05-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
05-Jan-2019 - 00:00,0.19,114.78,66.51,757.08,88.8,56.26,91.01,93.86,20.66,217.75,17.04,2.04,13.92,1.11,7.93,17.43,3.59,1.67,2.73,06-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
06-Jan-2019 - 00:00,0.31,153.16,73.25,756.71,94.09,17.03,74.69,52.87,21.94,101.42,16.87,1.3,4.43,0.97,2.13,6.6,0.36,1.09,1.38,07-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
07-Jan-2019 - 00:00,0.29,241.74,78.49,757.94,102.56,42.21,79.68,76.14,16.67,103.87,16.17,0.8,4.4,0.52,2.03,8.75,0.88,2.56,1.74,08-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
08-Jan-2019 - 00:00,0.21,271.07,74.11,756.14,85.76,24.16,74.22,58.93,20.82,96.23,16.13,1.36,16.4,0.84,3.97,7.71,0.54,0.47,0.99,09-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
09-Jan-2019 - 00:00,0.21,274.98,63.25,755.18,69.75,26.07,68.81,57.41,27.8,110.96,16.36,1.38,15.16,0.78,3.17,9.57,1.44,0.93,1.08,10-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
10-Jan-2019 - 00:00,0.21,232.64,64.28,755.01,59.66,65.86,93.09,98.69,25.34,158.27,15.07,1.84,16.03,0.9,7.13,22.95,5.34,5.25,4.46,11-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
11-Jan-2019 - 00:00,-0.03,109.22,62.06,755.84,53.15,155.11,136.46,193.66,24.96,282.74,16.11,2.99,14.45,0.6,9.07,30.27,9.16,5.62,5.85,12-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
12-Jan-2019 - 00:00,0.21,129.23,81.44,755.59,14.94,252.89,157.39,277.57,9.13,358.74,13.1,4.33,10.61,0.49,11.61,37.99,13.61,8.19,8.4,13-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
16-Jan-2019 - 00:00,0.19,130.83,58.91,756.45,171.05,104.26,144.23,159.03,23.73,248.39,18.51,3.22,13.31,0.8,10.53,21.41,7.19,3.25,5.87,17-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
17-Jan-2019 - 00:00,0.36,205.94,70.27,756.16,167.81,130.2,124.47,176.75,24.04,275.62,17.23,3.66,5.12,0.59,7.3,25.61,6.75,4.79,6.46,18-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
18-Jan-2019 - 00:00,0.29,217.41,72.24,756.46,177.64,111.0,105.22,144.74,20.94,243.31,16.34,2.08,2.89,0.74,9.84,25.79,5.06,3.11,6.38,19-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
19-Jan-2019 - 00:00,0.26,189.75,63.79,756.19,169.35,185.58,107.33,205.55,22.9,371.25,18.47,2.73,4.63,0.69,10.89,40.09,14.04,7.33,11.12,20-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
20-Jan-2019 - 00:00,0.27,160.05,66.55,755.33,158.37,120.68,144.0,182.33,19.24,170.72,21.31,3.37,2.82,0.6,13.42,43.87,16.38,9.29,10.82,21-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
21-Jan-2019 - 00:00,0.39,118.47,78.01,753.5,130.69,35.69,71.92,59.85,20.54,35.55,19.96,0.92,0.65,1.65,2.56,7.57,1.05,0.43,3.17,22-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
22-Jan-2019 - 00:00,0.41,106.53,84.5,754.15,167.77,16.17,42.69,21.34,18.94,64.25,17.36,0.7,6.16,1.46,1.35,3.6,0.26,0.0,0.84,23-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
