from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
23-Jan-2019 - 00:00,0.43,187.53,81.62,756.47,188.19,90.23,70.58,109.72,15.99,183.65,16.78,0.67,12.97,0.56,6.68,22.15,3.68,3.06,4.59,24-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
24-Jan-2019 - 00:00,0.54,121.49,65.01,757.76,159.12,46.09,61.5,69.8,18.83,171.63,17.88,0.75,10.61,0.99,2.51,12.46,1.04,1.74,2.51,25-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
25-Jan-2019 - 00:00,0.66,200.24,62.88,757.89,175.75,17.72,57.22,44.61,21.93,110.63,16.71,0.63,12.28,0.99,0.78,8.59,0.11,0.34,0.63,26-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
26-Jan-2019 - 00:00,0.51,288.45,46.61,759.65,181.96,14.99,52.88,40.12,28.45,124.78,15.9,0.23,14.78,0.8,0.71,2.42,0.0,0.07,0.03,27-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
27-Jan-2019 - 00:00,0.35,286.65,49.92,759.76,151.74,17.2,59.29,45.3,23.85,156.32,14.56,0.6,15.16,1.03,1.66,6.3,0.04,0.03,0.32,28-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
28-Jan-2019 - 00:00,0.45,293.83,40.08,759.49,141.8,21.23,63.13,50.56,25.26,146.7,14.94,0.66,16.72,0.94,1.56,4.68,0.04,0.44,1.07,29-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
29-Jan-2019 - 00:00,0.41,287.63,37.87,758.47,102.58,35.44,64.23,62.52,26.1,166.94,15.13,0.74,17.98,0.93,3.59,9.03,0.83,1.0,1.75,30-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
30-Jan-2019 - 00:00,0.51,222.61,39.09,757.54,97.04,80.77,86.64,110.7,25.06,274.56,15.26,1.49,23.44,0.87,7.13,20.69,4.38,3.0,4.22,31-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
31-Jan-2019 - 00:00,0.36,119.24,40.9,756.55,95.57,85.5,83.03,112.32,22.72,257.02,16.54,1.34,16.8,1.19,5.33,15.51,3.67,1.55,5.03,01-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
01-Feb-2019 - 00:00,0.28,191.09,58.14,756.96,99.5,30.65,62.5,57.75,22.58,202.19,16.03,0.89,10.66,0.9,3.51,8.78,0.0,0.24,1.39,02-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
02-Feb-2019 - 00:00,0.24,285.62,83.5,757.29,88.82,18.96,42.6,37.82,20.65,203.98,12.42,1.12,10.07,1.08,2.99,8.83,0.54,0.31,1.04,03-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
03-Feb-2019 - 00:00,0.22,250.46,82.2,757.91,101.02,37.47,43.05,52.87,20.63,169.96,13.37,1.36,11.88,0.91,2.26,11.37,2.57,1.07,2.41,04-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
04-Feb-2019 - 00:00,0.07,218.78,68.18,758.24,125.82,86.63,74.11,115.42,24.39,241.04,14.77,2.05,12.12,0.73,7.01,26.82,7.01,4.5,7.47,05-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
05-Feb-2019 - 00:00,0.12,127.04,58.92,756.36,87.02,117.79,106.92,192.71,22.17,397.59,17.46,3.37,16.26,0.77,12.19,42.6,14.56,8.69,9.19,06-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
06-Feb-2019 - 00:00,0.19,136.69,68.07,752.92,78.94,19.61,59.47,47.32,25.86,211.75,18.79,1.29,8.19,1.25,2.72,7.04,0.3,0.11,3.28,07-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
07-Feb-2019 - 00:00,0.2,153.92,82.94,751.83,37.5,14.66,29.48,24.93,28.75,70.91,16.01,0.38,7.84,1.86,0.96,2.43,0.21,0.0,0.44,08-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
08-Feb-2019 - 00:00,-0.05,228.19,62.05,755.9,113.4,43.61,55.52,63.08,21.1,115.39,14.47,0.82,5.6,0.78,2.02,7.85,0.0,0.19,1.17,09-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
09-Feb-2019 - 00:00,-0.03,276.51,58.9,757.36,104.71,23.54,46.96,43.81,25.34,119.7,14.25,0.91,5.85,0.85,3.29,7.71,0.74,0.84,1.36,10-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
10-Feb-2019 - 00:00,-0.05,241.38,59.87,758.27,97.66,51.83,62.42,73.52,24.73,192.08,14.65,0.79,7.7,0.72,3.63,9.81,1.47,0.77,2.28,11-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
11-Feb-2019 - 00:00,0.14,178.72,61.47,758.48,103.14,101.19,78.68,122.81,26.45,286.92,15.45,1.57,7.3,0.53,4.14,17.98,3.66,2.29,4.63,12-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
12-Feb-2019 - 00:00,-0.07,115.58,63.5,758.37,90.94,128.62,103.48,157.43,28.35,284.88,17.02,2.55,5.97,0.68,6.78,32.59,7.59,4.84,7.49,13-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
13-Feb-2019 - 00:00,0.07,146.26,57.67,757.62,97.65,69.44,88.88,102.33,19.15,197.4,18.67,0.98,9.09,0.71,3.41,9.95,3.81,1.9,3.85,14-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
14-Feb-2019 - 00:00,0.15,122.9,71.11,754.8,78.66,15.89,47.78,38.13,12.75,138.39,17.6,0.53,7.14,1.51,2.11,6.37,0.07,0.07,2.12,15-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
15-Feb-2019 - 00:00,0.18,198.32,74.93,755.13,86.32,27.31,41.92,44.13,10.51,122.65,16.73,0.97,8.75,0.82,2.4,7.57,0.16,0.36,1.54,16-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
16-Feb-2019 - 00:00,0.23,293.37,85.85,756.21,73.03,16.97,27.49,28.09,11.22,100.35,15.3,0.96,8.38,0.93,2.1,7.31,0.1,1.02,1.0,17-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
17-Feb-2019 - 00:00,0.21,261.9,73.33,754.2,123.29,19.48,34.69,34.04,24.66,102.71,15.88,0.9,9.57,0.98,2.05,6.26,0.97,0.38,1.58,18-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
18-Feb-2019 - 00:00,-0.02,118.62,52.38,751.01,101.97,19.56,44.51,39.33,24.64,110.97,18.42,0.89,10.93,1.13,1.33,5.45,0.07,0.4,1.73,19-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
19-Feb-2019 - 00:00,0.14,159.16,71.89,753.1,105.25,33.39,57.53,57.3,20.22,146.76,18.44,1.38,9.18,0.75,3.14,13.4,3.41,1.6,3.21,20-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
20-Feb-2019 - 00:00,0.0,93.7,74.36,756.23,57.86,32.06,50.89,52.39,10.64,125.56,18.42,1.03,8.37,1.08,4.02,12.17,0.97,0.35,4.07,21-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
21-Feb-2019 - 00:00,0.03,118.9,56.89,755.31,116.07,43.89,42.41,57.67,16.73,127.44,20.9,1.39,11.35,1.12,4.32,12.91,3.18,1.12,3.04,22-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
22-Feb-2019 - 00:00,-0.12,199.7,67.31,755.81,115.6,19.07,25.14,28.63,24.04,94.02,18.61,0.62,8.05,1.06,1.51,5.57,0.9,0.66,0.63,23-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
23-Feb-2019 - 00:00,-0.12,301.01,50.08,754.94,126.34,12.1,30.73,26.03,35.77,62.19,16.56,0.28,10.33,1.06,0.65,2.83,0.0,0.62,0.55,24-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
24-Feb-2019 - 00:00,0.09,247.7,46.01,752.72,126.22,18.49,44.19,38.3,33.02,98.3,17.42,0.5,14.1,0.77,1.58,6.51,0.24,0.7,1.43,25-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
25-Feb-2019 - 00:00,0.06,112.81,49.39,752.27,93.87,23.43,56.03,48.55,27.33,109.33,17.49,0.48,13.99,1.1,1.36,5.41,0.07,0.07,1.26,26-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
26-Feb-2019 - 00:00,0.17,104.1,55.5,752.4,75.61,22.7,45.83,42.54,20.19,80.56,15.86,0.7,13.86,1.15,1.13,5.07,0.0,0.03,0.61,27-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
27-Feb-2019 - 00:00,-0.12,133.68,62.6,752.55,93.66,17.91,37.96,34.52,21.12,72.93,15.06,0.69,12.23,1.28,0.92,6.16,0.0,0.83,0.58,28-Feb-2019 - 00:00,"Shadipur, Delhi - CPCB"
28-Feb-2019 - 00:00,-0.16,222.8,57.19,754.19,122.42,47.26,45.43,62.07,22.25,133.99,15.39,0.86,14.04,0.92,2.3,11.95,0.38,0.77,2.65,01-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
01-Mar-2019 - 00:00,-0.25,202.32,46.13,753.13,121.36,25.98,44.65,44.54,25.53,116.3,16.83,0.9,13.91,0.85,1.74,9.46,0.15,0.95,2.13,02-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
02-Mar-2019 - 00:00,-0.27,127.82,66.67,752.82,33.74,40.95,60.48,64.93,12.82,133.37,15.68,1.2,12.67,0.84,3.46,12.24,0.82,0.76,4.34,03-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
03-Mar-2019 - 00:00,-0.31,114.65,80.06,750.61,92.68,23.94,31.49,35.91,22.96,72.85,16.73,1.41,8.78,0.98,1.65,7.42,2.39,1.01,2.33,04-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
04-Mar-2019 - 00:00,-0.17,239.61,77.66,748.7,103.96,50.25,28.32,55.27,23.9,142.9,18.37,1.12,10.22,0.88,2.34,8.49,1.54,2.28,2.29,05-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
05-Mar-2019 - 00:00,-0.07,278.59,63.85,749.53,117.92,18.76,31.46,31.02,27.12,87.8,17.68,1.01,8.89,0.99,7.69,21.1,14.38,15.39,5.95,06-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
06-Mar-2019 - 00:00,-0.11,237.02,50.95,750.15,129.03,30.23,46.1,48.41,28.4,127.44,18.4,0.97,8.51,1.0,13.83,26.38,20.02,18.77,3.81,07-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
07-Mar-2019 - 00:00,-0.15,197.43,47.79,750.36,127.35,78.84,69.58,100.06,32.93,164.56,19.24,1.36,8.69,0.7,27.51,51.52,39.18,18.0,4.49,08-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
08-Mar-2019 - 00:00,-0.18,129.01,46.24,751.4,108.5,45.43,72.16,74.73,26.62,131.36,19.97,0.99,8.31,0.99,19.99,71.75,25.54,13.76,2.77,09-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
09-Mar-2019 - 00:00,-0.22,240.91,41.76,751.41,116.01,21.13,49.01,42.87,28.47,91.19,20.07,0.78,9.92,1.07,9.5,59.22,13.31,15.63,1.56,10-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
10-Mar-2019 - 00:00,-0.08,240.52,34.03,751.55,124.15,16.87,54.7,42.58,36.52,93.18,20.18,0.83,9.78,0.87,14.11,33.47,16.28,10.69,1.77,11-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
11-Mar-2019 - 00:00,-0.21,123.57,34.55,751.03,109.02,19.07,66.01,50.35,33.68,119.32,21.93,1.04,12.93,1.36,17.81,48.12,22.46,9.15,2.23,12-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
12-Mar-2019 - 00:00,-0.19,138.53,42.49,752.59,108.85,19.99,54.25,44.85,28.72,73.21,20.72,0.97,8.62,1.49,10.67,52.51,11.31,23.52,1.45,13-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
13-Mar-2019 - 00:00,-0.19,83.5,39.12,752.76,66.23,37.0,79.48,71.87,22.63,154.04,19.92,1.02,19.26,0.98,21.1,67.16,27.74,21.82,3.14,14-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
14-Mar-2019 - 00:00,-0.17,156.12,57.26,753.4,86.27,50.05,61.79,72.9,19.02,141.14,18.08,1.0,8.08,1.27,21.08,72.34,22.89,29.81,2.44,15-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
15-Mar-2019 - 00:00,-0.13,285.63,55.46,754.24,140.84,25.58,43.23,43.44,27.9,83.39,18.85,0.96,8.83,0.89,12.45,56.19,15.57,23.74,1.81,16-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
16-Mar-2019 - 00:00,0.16,286.46,42.84,753.19,132.39,10.72,41.92,30.88,39.35,77.43,19.9,0.87,8.54,0.95,8.42,31.88,8.97,18.44,1.06,17-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
17-Mar-2019 - 00:00,-0.15,230.33,38.42,751.88,131.24,15.34,56.2,42.15,35.24,109.38,21.1,1.04,14.72,0.91,14.95,41.22,13.82,16.54,1.62,18-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
18-Mar-2019 - 00:00,-0.24,235.77,42.65,751.61,132.02,32.03,69.64,62.42,36.22,109.28,21.21,1.33,10.09,0.82,17.14,46.34,21.51,26.48,2.15,19-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
19-Mar-2019 - 00:00,-0.17,208.31,35.14,749.22,144.39,33.56,73.93,66.16,32.33,112.8,23.13,1.42,12.57,0.9,14.96,50.01,22.13,27.05,2.48,20-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
20-Mar-2019 - 00:00,-0.16,162.03,29.26,748.02,139.75,27.38,69.61,58.92,30.2,87.52,25.47,1.57,8.24,1.03,16.64,45.71,21.68,16.13,2.26,21-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
21-Mar-2019 - 00:00,-0.05,141.46,34.02,750.3,146.11,17.06,42.49,36.25,34.65,87.99,24.37,1.41,6.68,1.28,17.04,29.42,10.13,12.81,1.09,22-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
22-Mar-2019 - 00:00,0.14,298.48,30.3,751.75,169.05,9.61,35.54,26.59,38.38,41.75,23.11,0.99,7.79,1.26,5.73,21.33,5.56,17.21,0.58,23-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
23-Mar-2019 - 00:00,0.11,306.12,38.16,751.29,164.78,8.93,33.11,24.76,45.64,48.94,23.09,1.07,7.8,1.31,7.81,28.13,6.35,17.04,0.69,24-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
24-Mar-2019 - 00:00,0.14,283.35,42.87,750.2,157.22,10.84,36.5,28.09,32.81,49.64,23.54,0.96,8.71,1.42,6.44,29.42,6.29,13.05,0.67,25-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
25-Mar-2019 - 00:00,-0.08,277.87,56.88,750.47,147.97,13.35,37.46,30.6,27.0,50.93,22.49,1.18,5.33,1.4,8.78,41.01,7.2,14.89,0.82,26-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
26-Mar-2019 - 00:00,0.05,297.83,49.49,751.35,163.11,12.39,46.76,34.77,32.7,62.31,23.15,1.18,7.22,1.07,9.42,30.89,8.99,17.58,0.98,27-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
27-Mar-2019 - 00:00,0.12,251.1,41.45,751.71,147.81,20.4,62.38,49.49,37.98,88.25,24.4,1.36,9.37,1.04,8.97,22.91,10.76,16.95,7.91,28-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
28-Mar-2019 - 00:00,0.23,203.31,42.05,750.26,154.94,105.82,80.24,127.32,40.73,166.67,26.33,2.24,11.8,0.65,24.36,32.12,20.96,27.69,21.38,29-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
29-Mar-2019 - 00:00,0.22,176.48,47.34,748.22,150.99,78.25,79.35,104.81,36.35,146.51,28.15,1.73,6.4,0.83,19.1,40.75,15.01,27.4,24.7,30-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
30-Mar-2019 - 00:00,0.24,132.09,44.34,747.5,147.07,32.91,77.95,67.79,42.84,137.19,29.33,1.5,4.82,0.94,16.57,41.51,9.91,12.81,14.23,31-Mar-2019 - 00:00,"Shadipur, Delhi - CPCB"
31-Mar-2019 - 00:00,0.3,300.44,32.63,748.15,165.39,9.24,43.99,30.77,41.73,88.7,27.6,1.13,6.33,1.15,5.02,20.12,3.32,10.0,3.59,01-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
01-Apr-2019 - 00:00,0.21,274.48,30.4,748.38,155.05,10.5,52.31,36.23,45.88,75.79,26.32,1.09,11.05,1.51,5.9,21.19,3.29,8.64,4.55,02-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
02-Apr-2019 - 00:00,0.17,228.54,29.53,748.87,145.43,29.92,81.24,67.14,46.26,97.95,27.01,1.3,12.42,0.82,11.81,40.64,7.97,16.03,12.87,03-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
03-Apr-2019 - 00:00,0.31,199.26,30.05,748.15,150.79,28.86,78.39,64.75,39.79,124.1,27.72,1.51,9.07,0.96,13.6,27.22,10.02,15.88,14.71,04-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
04-Apr-2019 - 00:00,0.33,167.51,32.44,748.39,143.92,53.49,92.3,91.84,48.26,154.49,29.55,1.57,14.64,0.76,17.78,39.9,8.97,20.7,21.04,05-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
05-Apr-2019 - 00:00,0.32,188.87,33.31,747.69,140.56,75.61,95.15,111.07,54.75,167.47,30.31,1.9,12.77,0.77,20.24,43.5,10.79,22.5,20.44,06-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
06-Apr-2019 - 00:00,0.36,157.71,28.74,746.92,137.54,35.46,72.47,66.92,38.88,171.65,31.12,1.39,11.77,0.88,17.0,39.29,8.39,15.85,15.86,07-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
07-Apr-2019 - 00:00,0.16,142.04,50.2,746.49,123.47,30.38,53.5,52.74,45.05,236.84,29.11,1.45,6.8,1.26,15.03,27.92,5.63,7.56,11.88,08-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
08-Apr-2019 - 00:00,0.23,126.36,42.16,747.15,141.56,15.28,55.43,41.71,42.94,146.63,27.66,1.05,5.8,1.01,8.16,22.1,5.44,4.11,4.82,09-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
09-Apr-2019 - 00:00,0.03,88.58,37.27,746.92,146.45,25.6,75.7,60.75,47.93,118.35,28.79,1.68,8.36,0.93,14.22,33.14,10.05,7.86,10.49,10-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
10-Apr-2019 - 00:00,0.4,199.2,31.54,747.67,150.8,36.97,69.69,66.64,43.34,133.57,30.74,1.39,9.46,0.88,14.18,36.32,11.9,21.34,11.88,11-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
11-Apr-2019 - 00:00,0.47,165.7,26.03,747.46,144.67,19.26,68.12,51.65,38.78,110.46,31.35,1.13,11.75,0.9,7.18,30.03,7.95,14.08,8.37,12-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
12-Apr-2019 - 00:00,0.2,136.68,32.27,747.92,140.35,13.26,57.24,39.87,36.98,108.13,29.66,1.03,10.08,1.31,5.3,25.22,3.06,10.24,6.52,13-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
13-Apr-2019 - 00:00,-0.07,195.2,27.64,748.26,158.8,17.79,57.21,44.67,35.29,91.71,30.31,1.03,12.02,1.51,5.44,29.78,2.21,9.15,6.35,14-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
14-Apr-2019 - 00:00,0.06,286.41,27.22,748.11,156.88,9.03,42.99,30.09,35.72,72.39,30.57,0.96,11.62,1.09,2.95,16.31,1.73,6.24,4.98,15-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
15-Apr-2019 - 00:00,0.21,247.93,23.4,746.74,160.89,43.69,56.51,65.0,32.96,100.77,32.09,1.5,16.56,1.12,8.6,22.58,3.55,10.75,12.44,16-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
16-Apr-2019 - 00:00,0.07,175.64,56.15,749.25,84.16,7.4,34.22,23.6,38.74,131.32,24.72,0.48,5.74,1.82,4.84,12.4,2.06,4.23,6.32,17-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
17-Apr-2019 - 00:00,0.24,157.15,61.98,749.95,106.86,5.11,25.71,17.73,41.7,29.31,22.46,0.45,3.35,1.59,0.33,0.67,0.12,0.13,0.31,18-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
18-Apr-2019 - 00:00,-0.04,166.45,57.48,750.33,159.01,10.09,46.46,32.78,41.92,55.87,23.86,0.72,3.77,1.0,2.24,12.61,1.02,7.39,4.04,19-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
19-Apr-2019 - 00:00,-0.08,235.59,40.54,748.67,154.22,11.16,65.54,43.78,35.2,70.61,26.12,1.31,8.26,0.91,0.89,2.76,3.22,2.17,2.19,20-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
20-Apr-2019 - 00:00,0.03,228.42,33.39,746.97,156.28,40.56,84.98,77.52,43.66,100.86,28.05,1.69,11.63,0.67,1.41,4.34,4.04,2.73,2.91,21-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
21-Apr-2019 - 00:00,0.16,195.02,28.26,745.77,153.21,51.44,89.01,88.09,35.87,136.69,30.04,1.7,11.23,0.89,0.0,0.0,0.0,0.0,0.0,22-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
22-Apr-2019 - 00:00,0.23,154.71,30.06,745.7,137.51,56.22,94.9,93.55,40.2,153.75,31.27,1.89,10.38,0.67,0.96,3.01,3.54,2.37,2.41,23-Apr-2019 - 00:00,"Shadipur, Delhi - CPCB"
