from date,PM2.5,PM10,NO2,NO,NOx,NH3,CO,Ozone,Benzene,Xylene,Toluene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Samanpura, Patna - BSPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Samanpura, Patna - BSPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Samanpura, Patna - BSPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"Samanpura, Patna - BSPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
03-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
04-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
06-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
07-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
08-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
10-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
11-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
12-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
13-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
14-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
15-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
16-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
17-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
18-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
19-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
20-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
21-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
22-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
23-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
24-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
25-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
26-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
27-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
28-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
29-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Jun-2019 - 00:00,"Samanpura, Patna - BSPCB"
30-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
01-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
02-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
03-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
04-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
05-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
06-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,07-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
07-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,08-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
08-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
09-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
10-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
11-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
12-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
13-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
14-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
15-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
16-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
17-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
18-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
19-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
20-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
21-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
22-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
23-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Jul-2019 - 00:00,"Samanpura, Patna - BSPCB"
