from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
25-Jan-2019 - 00:00,24.33,997.77,129.82,80.51,73.35,80.96,287.26,1.26,2.25,31.99,36.81,63.0,24.72,53.64,21.95,16.54,1.03,26-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Jan-2019 - 00:00,24.37,,166.62,105.5,64.07,88.42,302.52,1.56,2.52,29.45,35.9,56.47,18.92,45.46,26.44,15.73,1.01,27-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Jan-2019 - 00:00,24.4,,216.88,144.96,65.98,78.52,300.43,2.05,2.55,26.17,40.1,63.47,29.55,57.85,20.73,14.95,1.11,28-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Jan-2019 - 00:00,24.41,999.84,212.47,127.39,58.17,93.65,301.44,2.29,2.46,26.2,39.22,68.04,41.41,69.91,23.18,15.12,1.23,29-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Jan-2019 - 00:00,24.39,998.38,239.42,147.28,58.4,92.77,301.55,1.9,2.98,31.26,43.64,79.16,77.02,104.87,23.02,18.18,1.46,30-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Jan-2019 - 00:00,24.38,997.15,355.08,217.78,59.42,88.83,264.34,1.2,4.08,38.54,49.82,105.45,115.35,144.25,23.07,23.72,2.31,31-Jan-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
31-Jan-2019 - 00:00,24.4,996.19,363.26,217.39,60.95,65.2,133.26,1.62,5.27,46.24,55.56,113.14,139.25,208.43,12.87,18.24,2.57,01-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Feb-2019 - 00:00,24.25,996.66,267.53,187.93,68.88,76.1,192.34,1.87,3.42,31.5,61.23,74.17,41.62,73.42,17.68,14.65,1.13,02-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Feb-2019 - 00:00,24.07,996.76,287.14,203.01,83.92,65.09,294.2,2.48,2.87,27.38,55.96,45.16,19.36,39.81,20.13,8.25,0.57,03-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Feb-2019 - 00:00,24.08,997.91,223.42,145.45,86.01,75.58,293.32,1.82,2.68,26.03,49.55,44.68,29.18,47.54,20.11,7.09,0.48,04-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Feb-2019 - 00:00,24.11,998.35,225.93,130.32,76.27,101.25,290.88,1.12,3.33,29.76,45.85,81.5,94.6,126.22,24.63,7.86,1.51,05-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Feb-2019 - 00:00,24.16,995.96,381.39,237.42,74.02,83.25,186.31,0.91,6.32,51.55,57.2,105.06,145.83,181.44,14.31,13.07,5.98,06-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Feb-2019 - 00:00,24.17,991.1,272.15,185.18,78.03,77.59,115.57,2.22,3.84,30.6,68.09,63.98,64.28,85.62,17.5,10.41,1.49,07-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Feb-2019 - 00:00,24.4,989.18,102.94,65.52,85.13,20.53,151.21,2.82,1.69,21.46,53.23,40.32,15.76,34.29,15.35,9.0,1.33,08-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Feb-2019 - 00:00,20.89,994.62,149.22,63.91,69.56,111.59,285.68,1.73,2.22,25.04,38.72,48.65,41.99,60.06,24.43,8.65,1.29,09-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Feb-2019 - 00:00,21.81,996.84,158.33,77.99,64.5,124.41,301.09,2.32,1.89,23.03,39.94,43.82,46.7,61.29,32.89,8.17,1.63,10-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Feb-2019 - 00:00,24.07,998.35,,159.15,68.74,100.46,294.5,1.34,3.25,32.38,0.76,59.0,103.82,116.02,24.07,9.87,2.01,11-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Feb-2019 - 00:00,24.07,998.79,290.37,194.62,70.19,92.21,288.42,0.79,4.33,39.54,62.55,90.94,173.29,190.29,22.61,13.17,2.84,12-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Feb-2019 - 00:00,24.05,998.94,392.12,235.89,70.93,78.23,232.4,0.55,6.09,53.61,56.56,114.11,219.86,239.99,26.91,13.94,3.32,13-Feb-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
