from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
19-Apr-2019 - 00:00,26.86,986.5,150.38,61.31,0.82,175.07,289.43,1.42,2.23,24.52,30.79,65.82,27.76,57.66,53.01,35.69,1.93,20-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Apr-2019 - 00:00,28.48,983.98,192.16,81.15,0.83,186.87,286.26,0.99,1.87,17.08,32.35,84.98,61.35,94.26,69.98,38.04,2.47,21-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Apr-2019 - 00:00,30.49,982.16,208.32,79.98,0.8,184.52,285.45,1.48,4.02,31.21,31.33,87.22,84.19,115.03,55.18,35.33,2.4,22-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Apr-2019 - 00:00,31.52,982.2,246.83,92.7,0.82,165.89,250.25,1.06,2.36,21.7,36.29,98.08,128.72,157.05,58.18,41.11,2.95,23-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Apr-2019 - 00:00,33.18,983.59,271.33,84.7,0.83,179.64,250.86,1.22,4.03,34.44,41.5,97.19,112.38,143.34,54.41,37.27,2.86,24-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Apr-2019 - 00:00,35.01,984.73,282.73,72.16,0.8,166.82,144.15,1.68,2.29,21.44,44.01,78.59,12.71,52.21,69.26,33.5,2.11,25-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Apr-2019 - 00:00,34.16,984.73,296.8,73.99,0.75,150.23,115.52,1.43,2.44,22.71,46.24,61.05,4.93,36.46,75.02,33.36,2.0,26-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Apr-2019 - 00:00,33.31,984.28,249.66,65.16,0.7,171.94,301.28,1.48,2.22,22.98,44.49,72.64,55.19,83.63,49.38,35.85,2.36,27-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Apr-2019 - 00:00,34.59,983.56,335.71,52.42,0.64,190.49,303.49,2.95,1.86,19.28,29.8,55.16,8.28,36.11,57.81,32.65,1.75,28-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Apr-2019 - 00:00,33.97,982.45,305.76,59.66,0.6,197.22,295.41,2.49,3.2,,24.71,58.18,20.64,47.79,55.96,35.16,1.85,29-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Apr-2019 - 00:00,33.51,981.58,270.26,67.34,0.6,190.23,281.5,1.37,3.2,48.75,26.22,87.97,69.39,101.95,54.33,39.08,2.37,30-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Apr-2019 - 00:00,35.55,978.98,293.12,84.66,0.61,180.96,152.76,1.22,2.78,22.21,25.71,106.19,56.96,102.97,55.35,35.66,2.26,01-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-May-2019 - 00:00,34.31,978.36,350.6,108.22,0.56,171.64,218.11,0.88,2.79,19.94,36.67,110.51,37.2,88.93,55.14,46.25,2.43,02-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-May-2019 - 00:00,32.71,980.57,295.19,62.01,0.51,153.71,109.8,1.91,1.89,17.66,38.03,62.4,12.54,43.39,72.49,40.39,1.91,03-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-May-2019 - 00:00,30.96,982.85,145.09,41.67,0.6,177.57,127.95,1.59,1.33,15.59,38.46,65.74,20.54,51.95,71.71,35.23,1.85,04-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-May-2019 - 00:00,30.15,984.83,197.82,79.36,0.54,255.71,282.51,1.32,2.76,24.57,45.11,76.28,41.25,74.18,56.1,33.03,1.92,05-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-May-2019 - 00:00,34.91,984.11,200.35,57.33,0.31,259.42,289.38,2.3,1.59,18.45,26.68,75.3,73.44,98.25,87.62,30.27,2.37,06-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-May-2019 - 00:00,32.31,982.03,274.06,84.39,0.3,193.9,287.82,1.94,3.18,26.07,30.69,96.87,114.75,143.2,58.41,34.08,2.84,07-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-May-2019 - 00:00,32.78,980.56,400.3,99.76,0.3,188.9,288.69,1.93,2.12,20.39,35.32,97.97,104.96,146.1,36.55,32.86,3.25,08-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-May-2019 - 00:00,33.97,980.55,405.45,101.45,0.3,191.0,282.43,2.3,3.4,31.31,34.55,86.87,107.06,128.85,40.33,30.26,2.95,09-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-May-2019 - 00:00,35.11,979.82,459.95,99.42,0.33,183.39,286.99,2.57,2.77,23.47,30.51,75.61,59.04,87.31,48.36,28.15,2.15,10-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-May-2019 - 00:00,35.27,980.99,312.16,62.19,0.3,187.74,274.4,2.51,1.76,22.18,19.52,50.8,8.3,33.78,53.4,18.91,1.51,11-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-May-2019 - 00:00,33.13,983.29,336.06,92.51,0.3,180.96,274.69,2.03,2.38,28.3,28.36,52.72,17.92,42.57,68.8,27.02,2.04,12-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-May-2019 - 00:00,32.44,982.9,384.03,138.84,0.3,179.44,297.4,2.55,2.14,24.7,27.44,53.75,15.13,40.92,66.03,21.23,1.99,13-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-May-2019 - 00:00,32.37,981.66,354.48,167.79,5.54,143.57,248.32,1.57,3.76,29.8,35.63,74.76,24.86,60.02,76.01,31.62,2.33,14-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-May-2019 - 00:00,29.95,982.75,106.08,43.49,33.63,203.72,255.27,1.2,1.62,22.53,31.4,54.55,14.0,40.43,65.66,17.72,1.84,15-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-May-2019 - 00:00,29.05,984.09,175.53,74.02,21.75,156.47,131.08,1.52,3.32,33.88,42.45,96.04,52.84,94.14,40.88,26.85,2.41,16-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-May-2019 - 00:00,30.24,984.64,203.0,67.55,0.3,147.38,250.22,1.58,2.98,31.73,47.6,74.73,47.99,78.88,45.37,15.79,2.17,17-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-May-2019 - 00:00,28.79,984.41,335.82,59.04,10.43,148.64,207.35,1.61,2.87,31.17,43.46,61.21,39.93,65.13,46.57,18.06,2.02,18-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-May-2019 - 00:00,27.34,984.33,96.38,34.66,23.11,201.83,295.87,2.02,1.76,28.07,43.08,45.24,4.81,27.99,58.58,15.92,1.62,19-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-May-2019 - 00:00,30.94,984.46,167.21,79.46,0.3,202.64,297.71,1.99,2.05,27.64,36.58,61.79,22.74,51.39,73.03,20.62,1.96,20-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-May-2019 - 00:00,32.89,984.71,211.75,82.67,0.33,202.64,285.49,1.79,3.11,33.87,29.44,81.01,57.11,89.52,58.43,21.72,2.17,21-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-May-2019 - 00:00,34.34,983.36,191.1,67.46,0.77,195.09,291.46,1.6,2.01,22.81,26.72,72.22,25.63,59.28,67.79,23.02,1.81,22-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-May-2019 - 00:00,33.09,981.93,207.21,47.18,0.76,107.91,282.04,1.41,2.13,28.35,24.16,82.67,53.27,87.42,35.91,18.39,2.25,23-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-May-2019 - 00:00,32.54,981.07,213.45,72.25,1.82,156.17,275.54,1.31,3.68,35.67,31.64,76.01,53.05,83.69,56.4,23.04,2.13,24-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-May-2019 - 00:00,29.37,982.84,117.6,33.71,22.79,180.12,268.25,1.54,2.43,29.54,63.82,57.03,27.55,52.73,41.74,16.19,1.97,25-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-May-2019 - 00:00,31.91,982.29,111.84,32.19,0.3,222.06,301.9,2.89,1.87,25.57,38.37,41.85,3.19,24.86,68.28,16.91,1.64,26-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-May-2019 - 00:00,32.56,980.79,134.07,48.05,0.3,225.3,296.51,2.0,1.94,28.19,32.2,58.5,23.82,50.54,76.52,21.56,1.89,27-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-May-2019 - 00:00,34.16,980.41,161.98,49.7,0.3,221.54,294.42,2.06,2.72,30.96,21.57,81.81,62.52,94.47,63.74,20.92,2.16,28-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-May-2019 - 00:00,34.56,980.06,175.66,53.44,0.3,224.85,297.6,2.28,3.46,31.23,17.99,85.59,52.04,87.89,67.04,25.42,2.1,29-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-May-2019 - 00:00,35.33,978.56,187.09,55.68,0.3,213.06,284.96,1.6,3.12,30.69,18.86,96.56,76.53,113.72,62.19,24.89,2.38,30-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-May-2019 - 00:00,36.71,977.19,237.93,68.27,0.3,206.94,301.94,1.56,4.75,38.24,21.29,106.16,143.91,173.13,60.62,22.85,2.89,31-May-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
31-May-2019 - 00:00,37.46,977.57,348.68,64.04,0.69,195.5,250.91,1.46,3.03,28.65,22.34,92.26,72.75,107.84,66.58,22.33,2.36,01-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Jun-2019 - 00:00,36.74,977.91,291.8,80.02,0.51,184.42,125.25,1.47,3.67,32.28,34.25,86.67,64.8,98.94,40.92,21.59,2.47,02-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Jun-2019 - 00:00,36.86,978.09,234.22,65.01,0.4,184.31,98.55,2.23,1.68,18.11,57.77,47.44,3.49,28.07,60.38,18.0,,03-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Jun-2019 - 00:00,35.13,978.77,334.05,51.13,0.4,180.22,109.66,2.99,1.47,10.95,53.18,44.35,4.42,27.26,59.59,18.3,1.89,04-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Jun-2019 - 00:00,35.26,979.2,183.59,49.51,0.4,183.94,103.92,2.35,2.34,65.16,36.52,63.53,7.62,39.99,70.43,19.74,2.07,05-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Jun-2019 - 00:00,37.15,978.48,220.54,60.62,0.4,180.24,121.33,1.37,3.15,12.05,38.7,66.36,8.44,42.15,71.09,20.71,2.12,06-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Jun-2019 - 00:00,36.81,978.81,226.05,55.18,0.4,168.16,172.97,1.48,2.67,9.68,32.86,60.58,18.68,47.44,59.69,21.48,1.9,07-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Jun-2019 - 00:00,34.45,981.79,155.09,49.14,0.41,189.69,102.36,1.32,1.62,11.53,30.42,49.81,3.86,29.63,76.42,21.6,1.89,08-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Jun-2019 - 00:00,36.96,980.2,181.69,57.95,0.39,200.07,233.0,0.91,3.0,19.4,36.49,71.08,54.11,81.89,52.35,20.55,2.42,09-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Jun-2019 - 00:00,37.1,977.43,244.61,81.9,0.8,180.54,192.72,0.77,4.78,32.75,31.16,100.71,136.04,164.48,47.62,27.2,3.14,10-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Jun-2019 - 00:00,37.92,974.58,217.53,55.21,0.9,170.35,261.47,1.15,2.19,17.62,27.3,92.97,95.27,127.11,51.68,19.63,2.63,11-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Jun-2019 - 00:00,38.89,974.75,391.69,92.83,0.38,210.32,256.07,1.66,0.98,10.3,21.44,71.89,55.9,84.1,38.86,17.52,2.08,12-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Jun-2019 - 00:00,35.3,977.74,246.48,42.0,1.86,228.39,126.41,2.7,1.1,9.37,27.33,42.5,7.59,28.8,68.42,17.32,1.67,13-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Jun-2019 - 00:00,36.44,978.21,199.38,45.96,1.63,232.56,224.95,1.37,1.29,10.91,28.96,57.87,10.26,39.12,62.18,19.04,1.83,14-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Jun-2019 - 00:00,36.63,976.92,195.99,53.91,1.31,253.28,282.68,2.56,1.67,11.88,22.63,62.15,45.25,69.98,71.32,19.62,2.08,15-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Jun-2019 - 00:00,37.23,976.39,288.71,84.18,0.41,228.14,290.98,2.32,2.19,17.44,19.64,64.83,43.94,69.97,65.31,23.58,2.02,16-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Jun-2019 - 00:00,32.01,978.57,168.27,28.54,6.33,150.56,280.59,3.73,0.49,3.35,19.26,23.29,2.96,14.79,55.03,17.14,1.5,17-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Jun-2019 - 00:00,30.97,978.24,132.55,28.43,5.43,93.18,251.04,2.76,0.84,5.0,25.63,36.73,5.48,23.98,48.39,19.91,1.61,18-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Jun-2019 - 00:00,28.01,980.09,79.25,23.22,22.4,187.0,263.29,2.08,1.29,19.23,23.67,57.27,18.77,46.16,51.92,14.3,1.57,19-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Jun-2019 - 00:00,31.62,979.12,207.51,67.75,8.88,217.36,174.55,1.04,1.84,17.6,35.39,55.89,14.9,41.89,50.12,18.98,1.87,20-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Jun-2019 - 00:00,32.88,980.22,128.64,37.32,0.4,238.95,138.56,0.99,1.03,8.45,32.42,45.29,5.68,28.72,70.94,17.76,1.8,21-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Jun-2019 - 00:00,34.63,980.11,175.11,55.94,0.39,193.89,195.91,1.25,1.86,15.02,32.61,63.74,12.0,43.67,73.59,20.17,2.03,22-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Jun-2019 - 00:00,35.39,979.51,164.4,53.56,0.38,237.39,238.72,1.28,1.82,19.83,32.35,68.33,6.57,41.73,75.4,20.3,1.9,23-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Jun-2019 - 00:00,34.63,979.85,118.4,29.27,0.4,238.52,113.39,2.61,0.85,5.67,32.79,29.06,3.7,18.49,60.63,17.31,1.74,24-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Jun-2019 - 00:00,31.28,981.68,78.55,16.66,0.41,149.37,104.26,2.44,0.72,6.06,33.51,33.64,5.34,22.23,36.51,16.35,1.75,25-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Jun-2019 - 00:00,33.71,980.65,117.33,40.89,0.4,171.14,148.62,0.93,1.41,13.69,34.15,50.92,5.67,31.69,60.7,16.98,1.97,26-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Jun-2019 - 00:00,35.82,977.74,144.95,50.84,0.38,190.38,281.81,1.33,1.51,13.7,32.01,59.87,6.79,37.39,64.72,17.84,1.95,27-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Jun-2019 - 00:00,34.78,975.82,229.01,51.33,0.36,200.53,289.66,1.9,1.77,17.54,29.5,63.52,20.25,50.44,63.08,18.96,2.05,28-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Jun-2019 - 00:00,35.24,974.76,240.45,46.12,0.35,197.68,302.68,2.38,1.46,13.6,25.99,47.81,18.48,40.49,50.39,17.42,1.8,29-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Jun-2019 - 00:00,37.31,974.05,278.88,41.27,0.38,222.68,285.93,2.29,1.03,9.99,22.72,48.35,13.96,37.09,42.75,14.64,1.73,30-Jun-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Jun-2019 - 00:00,37.57,974.55,290.42,46.02,0.39,209.29,265.33,1.78,1.36,12.99,21.53,41.01,27.03,43.92,54.36,14.16,1.82,01-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Jul-2019 - 00:00,36.72,975.77,186.42,38.57,0.37,216.9,237.05,1.29,1.05,9.98,21.42,43.57,6.18,28.21,79.67,15.59,1.75,02-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Jul-2019 - 00:00,35.5,976.87,253.67,54.97,0.38,179.35,216.73,1.81,1.03,8.94,26.14,41.19,3.68,24.9,82.05,16.41,1.81,03-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Jul-2019 - 00:00,34.87,977.59,106.95,27.85,0.4,169.03,116.61,1.96,0.78,7.21,31.39,40.2,6.41,26.59,35.5,14.25,1.96,04-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Jul-2019 - 00:00,32.1,976.46,92.36,31.45,24.56,94.22,171.64,1.45,0.95,13.1,36.94,47.46,17.34,39.37,28.47,15.44,2.08,05-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Jul-2019 - 00:00,29.67,974.84,86.61,37.84,58.89,83.23,185.96,1.29,0.9,17.92,39.44,57.2,20.21,46.93,9.91,12.13,2.06,06-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Jul-2019 - 00:00,31.86,973.57,68.23,30.27,26.87,209.46,136.33,1.72,0.87,10.22,49.14,47.08,12.13,34.97,30.18,13.96,1.95,07-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Jul-2019 - 00:00,32.18,974.17,75.99,29.38,9.96,168.7,203.88,1.26,0.98,11.91,39.16,43.15,7.15,29.03,46.76,14.42,1.93,08-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Jul-2019 - 00:00,33.14,974.4,142.81,37.37,0.38,160.69,216.72,1.54,0.94,11.17,34.45,55.26,8.77,36.56,38.1,15.38,1.96,09-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Jul-2019 - 00:00,31.3,974.36,119.77,30.8,0.37,94.17,194.06,1.74,0.71,13.01,32.04,48.2,8.47,32.54,25.61,13.3,1.83,10-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Jul-2019 - 00:00,33.52,973.5,289.78,68.92,13.43,161.61,211.59,1.75,0.56,9.9,31.88,42.65,18.44,37.7,20.27,15.36,1.79,11-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Jul-2019 - 00:00,34.91,973.8,380.88,54.67,0.49,168.96,232.39,2.48,0.49,8.53,33.46,39.07,13.42,31.71,23.08,13.91,1.79,12-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Jul-2019 - 00:00,34.52,976.3,378.46,49.92,8.92,143.59,236.14,2.29,0.41,8.09,47.47,38.65,10.8,29.4,13.97,14.29,1.68,13-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Jul-2019 - 00:00,35.07,976.73,321.83,44.25,5.04,175.98,229.61,2.91,0.27,5.76,35.56,35.87,6.64,24.54,20.46,12.89,1.63,14-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Jul-2019 - 00:00,33.76,975.82,326.46,45.55,0.61,140.5,199.73,2.27,0.42,6.95,27.69,34.84,6.17,23.56,26.28,13.57,1.64,15-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Jul-2019 - 00:00,28.83,976.07,160.71,26.7,27.62,93.61,126.37,1.66,0.71,13.57,24.43,47.81,18.17,40.2,26.53,14.94,1.88,16-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Jul-2019 - 00:00,28.55,979.26,87.31,23.53,36.35,135.54,97.15,1.73,0.66,12.3,25.51,46.91,9.32,32.57,25.28,12.82,1.78,17-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Jul-2019 - 00:00,27.68,980.28,69.61,28.28,66.76,112.98,204.29,1.2,0.94,15.99,27.5,47.97,8.55,32.48,46.51,13.29,1.86,18-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Jul-2019 - 00:00,27.35,980.02,73.4,23.5,81.64,102.79,215.75,0.92,0.76,14.73,26.28,65.6,25.21,55.55,25.87,11.92,2.07,19-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Jul-2019 - 00:00,31.53,980.04,157.33,51.47,51.92,190.94,117.99,0.96,0.63,20.72,27.16,59.55,39.2,63.5,67.93,12.98,2.21,20-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Jul-2019 - 00:00,30.84,980.78,116.19,37.81,48.99,136.53,139.54,1.11,0.51,16.33,26.58,66.51,22.82,53.98,34.33,13.69,2.14,21-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Jul-2019 - 00:00,30.0,980.25,125.96,38.07,60.73,163.96,148.19,1.08,0.46,17.82,31.0,52.78,41.98,61.99,19.23,12.78,2.27,22-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Jul-2019 - 00:00,31.19,979.24,90.65,48.18,50.47,175.91,118.07,0.96,0.39,17.42,49.23,48.92,41.43,59.77,29.74,11.31,2.24,23-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Jul-2019 - 00:00,33.36,977.9,158.59,61.93,28.6,168.77,143.97,0.88,0.7,22.98,59.68,80.36,38.44,74.09,34.22,12.35,2.51,24-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Jul-2019 - 00:00,32.06,976.31,152.3,53.41,42.11,144.7,210.52,1.1,0.58,18.79,54.28,78.03,23.48,60.52,30.69,9.38,2.08,25-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Jul-2019 - 00:00,28.37,978.23,57.68,14.68,69.52,52.89,204.4,1.28,0.39,10.94,38.64,49.63,18.61,41.55,13.6,12.27,1.89,26-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Jul-2019 - 00:00,28.06,976.5,57.66,24.78,75.12,77.94,127.31,1.35,0.49,15.37,31.21,48.67,12.16,35.8,27.02,11.92,1.86,27-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Jul-2019 - 00:00,28.06,976.49,42.38,16.32,81.03,93.72,104.12,1.91,0.39,11.88,26.79,38.96,16.47,34.17,13.66,12.5,1.9,28-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Jul-2019 - 00:00,29.68,978.32,44.04,12.23,60.36,147.15,104.9,2.6,0.35,7.8,27.19,32.4,11.47,26.59,14.09,11.64,1.73,29-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Jul-2019 - 00:00,31.19,979.61,52.43,12.54,26.56,140.6,102.69,2.65,0.45,7.28,28.81,37.66,11.62,29.51,14.75,11.68,1.79,30-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Jul-2019 - 00:00,30.94,979.36,67.85,18.8,19.42,124.45,95.99,2.29,0.67,10.73,30.76,41.88,10.17,30.56,17.37,12.85,1.83,31-Jul-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
31-Jul-2019 - 00:00,31.34,978.65,66.38,18.78,14.9,118.01,98.75,2.16,0.67,8.65,32.49,41.72,10.23,30.5,21.7,12.83,1.81,01-Aug-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Aug-2019 - 00:00,32.2,978.17,71.01,22.99,8.29,184.64,111.67,2.06,0.68,9.76,31.55,45.71,12.15,34.27,22.24,13.32,1.85,02-Aug-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Aug-2019 - 00:00,30.6,977.23,77.22,26.44,41.81,109.14,141.71,1.62,0.56,9.99,27.61,48.91,9.91,34.09,30.48,12.31,1.91,03-Aug-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Aug-2019 - 00:00,29.56,977.29,70.12,28.8,68.18,109.77,115.73,1.48,0.8,12.9,28.52,48.03,12.72,35.92,10.86,12.63,1.93,04-Aug-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Aug-2019 - 00:00,30.36,976.18,88.64,39.64,62.75,120.09,139.55,0.87,0.8,12.9,24.84,46.49,17.36,38.89,25.6,12.21,2.01,05-Aug-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Aug-2019 - 00:00,31.84,974.45,98.61,45.86,35.17,137.32,136.03,1.18,0.89,14.44,22.39,54.23,18.19,43.66,16.03,12.36,2.05,06-Aug-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Aug-2019 - 00:00,28.0,974.73,56.0,23.4,89.29,44.46,134.24,1.07,0.67,13.86,42.36,60.44,21.52,49.7,8.95,10.86,2.05,07-Aug-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Aug-2019 - 00:00,30.33,974.97,76.93,28.26,96.39,174.11,130.24,1.79,0.57,17.97,37.78,52.49,41.78,61.95,24.85,13.07,2.21,08-Aug-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
