from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,to date,station
13-Jan-2019 - 00:00,37.32,2.7,23.86,36.36,17.57,1.07,19.21,69.88,146.73,5.02,0.22,3.32,6.06,77.14,0.6,190.84,14-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
14-Jan-2019 - 00:00,23.39,1.96,15.99,29.78,10.21,0.47,22.29,40.87,76.54,2.14,0.12,1.63,3.45,60.18,0.42,241.28,15-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
15-Jan-2019 - 00:00,35.07,5.54,24.97,27.56,20.2,0.84,16.8,42.39,91.37,3.42,0.15,1.89,4.35,63.3,0.46,214.03,16-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
16-Jan-2019 - 00:00,59.16,12.4,43.05,30.75,22.37,1.26,15.29,76.61,164.03,6.21,0.26,3.76,7.44,74.44,0.6,113.82,17-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
17-Jan-2019 - 00:00,49.48,4.19,31.41,31.09,24.11,1.27,16.73,131.42,225.69,6.48,0.24,3.8,6.15,73.0,0.45,256.29,18-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
18-Jan-2019 - 00:00,48.73,10.03,35.7,42.96,13.69,1.27,12.3,98.15,170.52,5.83,0.21,2.89,6.42,76.81,0.32,247.09,19-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
19-Jan-2019 - 00:00,60.54,16.07,46.72,47.33,23.54,1.51,13.0,80.43,161.54,7.88,0.36,4.26,9.99,70.07,0.29,148.24,20-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
20-Jan-2019 - 00:00,56.05,4.7,35.25,37.25,42.69,1.28,16.65,82.18,168.83,6.73,0.39,5.05,9.31,64.25,0.67,89.63,21-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
21-Jan-2019 - 00:00,53.14,4.42,33.5,34.23,37.77,1.11,15.98,73.28,172.85,5.88,0.29,3.97,8.08,70.77,1.15,108.15,22-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
22-Jan-2019 - 00:00,41.75,2.74,26.21,31.99,9.71,0.6,14.05,31.71,58.51,2.87,0.19,2.7,6.21,78.82,0.71,135.78,23-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
23-Jan-2019 - 00:00,44.94,4.21,29.05,31.01,8.8,0.81,8.69,36.77,65.62,3.63,0.21,2.84,6.4,91.54,0.4,200.51,24-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
24-Jan-2019 - 00:00,38.52,3.16,24.85,30.52,8.73,0.72,11.76,37.04,69.23,3.01,0.17,2.28,5.27,84.07,0.77,264.55,25-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
25-Jan-2019 - 00:00,35.61,2.85,23.09,27.77,9.52,0.61,12.28,41.49,68.78,2.31,0.13,1.66,4.09,81.33,0.37,252.53,26-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
26-Jan-2019 - 00:00,38.07,2.35,23.97,27.54,12.9,0.66,14.74,53.03,89.77,3.12,0.14,1.74,4.28,73.18,0.53,259.1,27-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
27-Jan-2019 - 00:00,33.08,1.89,21.0,24.61,18.37,0.65,14.28,52.14,90.81,3.14,0.12,1.51,3.66,72.77,0.45,237.2,28-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
28-Jan-2019 - 00:00,28.75,1.65,18.54,23.69,15.11,0.54,15.36,45.88,77.41,2.48,0.1,1.27,3.05,60.98,0.51,236.14,29-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
29-Jan-2019 - 00:00,34.21,1.92,21.61,24.08,25.83,0.64,12.99,48.96,87.35,3.06,0.13,1.54,3.83,56.36,0.53,248.28,30-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
30-Jan-2019 - 00:00,42.31,1.72,25.69,25.81,28.3,0.8,12.65,49.81,96.2,3.48,0.15,1.83,4.62,57.25,0.44,208.11,31-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
31-Jan-2019 - 00:00,57.5,3.14,34.76,28.8,37.27,0.98,10.6,79.63,142.98,4.58,0.4,2.65,5.31,70.67,1.24,92.05,01-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
01-Feb-2019 - 00:00,46.67,2.56,28.64,28.0,14.08,0.9,9.08,71.85,128.52,4.39,0.18,2.55,5.06,87.32,0.65,202.8,02-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
02-Feb-2019 - 00:00,38.8,1.82,23.93,26.12,12.36,0.76,13.31,70.85,123.5,3.27,0.13,1.81,3.93,86.59,0.33,242.37,03-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
03-Feb-2019 - 00:00,48.8,3.05,30.14,26.68,13.42,0.9,10.53,51.42,89.89,3.68,0.17,2.15,4.96,87.08,0.34,232.85,04-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
04-Feb-2019 - 00:00,51.06,3.22,30.87,29.85,15.16,0.98,10.45,61.9,105.93,4.04,0.29,3.4,3.99,68.03,0.42,222.1,05-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
05-Feb-2019 - 00:00,53.8,2.05,28.45,30.05,35.52,1.11,17.55,87.73,170.31,5.16,0.19,5.21,4.22,57.84,1.3,96.1,06-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
06-Feb-2019 - 00:00,56.99,2.09,33.65,27.09,23.65,1.03,14.69,56.19,130.49,4.57,0.24,3.29,5.9,74.56,1.17,113.66,07-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
07-Feb-2019 - 00:00,52.12,2.06,31.08,25.62,18.28,0.76,10.14,42.96,107.33,2.82,0.15,1.86,4.27,89.3,1.64,140.11,08-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
08-Feb-2019 - 00:00,45.01,2.82,27.97,24.74,13.75,0.52,11.5,35.49,89.18,2.57,0.14,1.62,4.13,69.4,0.5,213.55,09-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
09-Feb-2019 - 00:00,34.88,2.41,22.35,23.21,16.76,0.67,11.15,41.24,97.31,2.88,0.14,1.52,3.67,67.15,0.33,232.74,10-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
10-Feb-2019 - 00:00,48.53,2.19,29.3,23.97,19.52,0.79,9.48,45.47,99.99,3.56,0.16,1.7,4.36,69.15,0.34,215.2,11-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
11-Feb-2019 - 00:00,54.65,4.8,34.6,25.72,14.77,0.91,10.65,49.67,105.06,3.2,0.18,2.01,5.17,71.9,0.29,211.0,12-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
12-Feb-2019 - 00:00,50.63,1.93,30.2,27.32,17.07,0.84,9.96,46.93,106.71,3.13,0.18,1.95,4.87,70.46,0.38,195.32,13-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
13-Feb-2019 - 00:00,56.02,1.93,33.02,26.56,34.28,0.98,8.8,67.02,141.97,4.02,0.21,2.5,5.13,71.07,0.73,89.02,14-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
14-Feb-2019 - 00:00,52.84,1.56,31.05,23.13,28.97,0.94,6.29,67.17,141.01,4.28,0.19,3.06,5.1,74.68,2.04,102.39,15-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
15-Feb-2019 - 00:00,37.66,1.89,23.39,25.08,11.65,0.84,7.66,50.95,93.32,3.08,0.12,1.63,3.29,86.06,0.48,218.67,16-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
16-Feb-2019 - 00:00,34.71,2.16,22.06,26.62,12.28,0.76,7.1,47.33,76.62,3.03,0.15,1.67,3.86,90.05,0.46,242.79,17-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
17-Feb-2019 - 00:00,38.71,3.39,25.14,23.98,12.27,0.75,12.17,42.29,74.66,2.93,0.15,1.65,4.09,73.3,0.47,225.49,18-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
18-Feb-2019 - 00:00,51.98,4.2,32.73,25.94,24.2,0.95,14.09,67.24,126.61,3.8,0.21,2.38,5.62,71.8,0.93,87.14,19-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
19-Feb-2019 - 00:00,35.28,1.85,22.12,25.31,12.17,0.79,15.75,46.81,90.26,2.42,0.16,1.68,3.62,72.94,0.47,160.27,20-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
20-Feb-2019 - 00:00,55.52,2.46,33.18,32.27,14.39,0.97,7.3,63.53,112.9,3.72,0.22,2.47,4.92,89.24,0.93,78.65,21-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
21-Feb-2019 - 00:00,39.21,3.08,25.15,34.73,15.28,0.92,23.52,54.15,99.48,3.3,0.35,2.41,4.59,71.9,0.98,180.9,22-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
22-Feb-2019 - 00:00,28.23,2.57,19.01,45.75,5.56,0.63,18.05,38.02,54.86,2.47,0.15,1.73,3.41,74.83,0.52,253.95,23-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
23-Feb-2019 - 00:00,25.09,1.78,16.73,31.83,13.34,0.7,21.73,36.92,59.89,2.9,0.12,1.82,3.04,63.26,0.57,256.79,24-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
24-Feb-2019 - 00:00,33.66,1.53,21.01,28.13,19.92,0.87,19.88,39.61,66.23,3.74,0.18,2.8,4.25,62.83,0.41,202.63,25-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
25-Feb-2019 - 00:00,40.86,1.45,24.7,27.78,23.61,0.97,22.0,52.48,97.78,4.19,0.23,2.98,4.91,65.34,0.83,87.82,26-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
26-Feb-2019 - 00:00,39.73,1.27,23.97,25.94,19.87,0.81,18.43,31.73,67.48,2.82,0.18,2.29,3.94,70.83,0.99,121.02,27-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
27-Feb-2019 - 00:00,32.71,1.26,20.3,24.08,15.89,0.55,13.98,27.61,43.72,1.98,0.14,1.61,3.07,75.44,1.02,218.06,28-Feb-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
28-Feb-2019 - 00:00,40.3,2.1,24.93,24.63,16.63,0.84,12.24,40.86,78.68,2.72,0.16,1.69,3.77,70.38,0.55,216.52,01-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
01-Mar-2019 - 00:00,39.26,1.72,24.09,23.89,18.17,0.78,12.78,48.09,85.38,2.28,0.15,1.45,3.26,60.96,0.62,221.54,02-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
02-Mar-2019 - 00:00,41.87,1.33,25.14,23.55,19.53,0.85,12.06,37.89,65.94,2.52,0.16,1.63,3.57,81.2,0.98,140.8,03-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
03-Mar-2019 - 00:00,45.95,1.68,27.57,22.54,20.98,0.98,13.6,43.71,69.16,3.63,0.24,2.71,4.69,87.74,1.11,120.52,04-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
04-Mar-2019 - 00:00,92.43,20.65,89.03,56.1,17.74,0.87,13.35,41.31,68.08,3.51,0.22,1.71,3.07,85.72,0.46,252.65,05-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
05-Mar-2019 - 00:00,47.09,132.6,54.52,95.33,17.77,0.74,15.46,47.56,71.99,1.51,0.1,0.46,1.19,70.2,0.67,253.9,06-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
06-Mar-2019 - 00:00,39.45,2.14,24.52,22.89,18.15,0.47,14.39,34.99,67.81,1.76,0.12,0.98,2.58,59.05,0.74,238.47,07-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
07-Mar-2019 - 00:00,45.3,3.13,28.37,26.53,19.2,0.69,14.69,47.18,91.53,3.26,0.18,1.02,2.56,57.85,0.55,172.26,08-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
08-Mar-2019 - 00:00,29.0,1.51,18.56,24.53,22.27,0.47,13.83,41.87,81.82,1.89,0.14,1.13,2.55,63.16,1.06,261.59,09-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
09-Mar-2019 - 00:00,24.61,1.44,16.17,22.2,24.4,0.5,12.58,46.23,72.21,1.82,0.1,0.93,2.03,63.8,0.89,290.85,10-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
10-Mar-2019 - 00:00,28.73,1.34,18.29,21.35,26.36,0.47,14.63,48.69,76.27,2.6,0.14,1.14,2.75,53.28,0.67,204.43,11-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
11-Mar-2019 - 00:00,40.74,2.64,25.58,19.84,42.25,0.77,14.51,68.73,127.92,3.27,0.18,1.62,3.75,57.12,1.96,171.65,12-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
12-Mar-2019 - 00:00,24.87,1.48,16.54,21.8,19.83,0.55,14.35,38.3,78.83,1.82,0.14,0.92,2.17,59.85,0.96,300.69,13-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
13-Mar-2019 - 00:00,29.8,1.61,19.05,23.18,26.01,0.54,12.25,68.75,117.94,2.34,0.14,1.2,2.89,66.53,0.59,189.16,14-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
14-Mar-2019 - 00:00,35.26,1.67,21.8,23.63,19.29,0.67,10.23,52.76,88.01,2.36,0.17,1.43,3.29,85.44,0.81,183.33,15-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
15-Mar-2019 - 00:00,30.7,2.01,19.85,22.22,18.12,0.53,12.35,44.82,68.2,2.64,0.14,1.16,2.85,73.88,0.73,264.19,16-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
16-Mar-2019 - 00:00,23.68,1.35,15.59,22.8,18.85,0.55,14.86,47.61,77.63,2.37,0.11,0.85,2.01,62.44,0.48,251.75,17-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
17-Mar-2019 - 00:00,28.58,1.31,18.18,24.19,18.04,0.48,14.93,46.44,75.15,2.08,0.17,1.14,2.74,56.69,0.67,254.87,18-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
18-Mar-2019 - 00:00,32.44,1.49,20.27,24.06,18.29,0.54,15.0,55.06,91.02,2.04,0.18,1.02,2.58,56.95,0.53,252.49,19-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
19-Mar-2019 - 00:00,33.03,1.52,20.67,26.15,21.81,0.58,20.22,62.76,101.52,2.54,0.26,1.36,3.11,51.84,0.75,153.01,20-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
20-Mar-2019 - 00:00,33.79,1.4,20.97,23.03,24.35,0.68,27.01,62.15,122.37,3.29,0.25,2.16,3.65,52.76,1.5,216.46,21-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
21-Mar-2019 - 00:00,21.85,1.31,14.66,25.37,14.9,0.54,27.66,43.07,77.87,2.26,0.26,1.28,2.68,62.51,1.28,319.17,22-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
22-Mar-2019 - 00:00,21.37,1.2,14.33,22.95,19.96,0.41,28.44,42.36,72.02,1.85,0.17,0.97,2.26,51.22,0.81,278.97,23-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
23-Mar-2019 - 00:00,18.13,1.09,12.54,22.78,20.91,0.46,46.66,49.98,86.18,2.31,0.15,0.86,2.0,47.16,1.06,288.29,24-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
24-Mar-2019 - 00:00,15.79,1.17,11.37,21.96,16.42,0.41,36.92,48.7,84.65,1.65,0.13,0.73,1.62,57.88,1.01,281.87,25-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
25-Mar-2019 - 00:00,17.29,1.33,12.3,22.87,18.07,0.54,32.86,45.65,79.85,2.5,0.2,0.94,2.22,63.71,1.01,284.34,26-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
26-Mar-2019 - 00:00,20.97,1.47,14.33,31.29,15.87,0.5,32.89,56.62,85.33,2.24,0.19,0.96,2.32,44.06,0.87,280.01,27-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
27-Mar-2019 - 00:00,27.7,1.49,17.86,38.45,16.79,0.55,34.02,52.86,92.24,2.49,0.27,1.31,3.21,46.46,0.8,195.42,28-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
28-Mar-2019 - 00:00,32.72,2.77,21.5,41.54,14.17,0.68,37.03,71.88,120.28,3.1,0.3,1.65,4.04,47.85,0.78,133.15,29-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
29-Mar-2019 - 00:00,24.23,2.88,14.3,42.14,22.2,0.69,37.44,72.01,114.93,2.21,2.55,1.08,2.61,58.22,0.93,113.78,30-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
30-Mar-2019 - 00:00,24.07,5.28,12.81,40.87,25.65,0.75,25.72,75.13,127.27,1.0,16.06,0.25,0.65,56.74,1.54,180.83,31-Mar-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
31-Mar-2019 - 00:00,23.54,5.2,12.46,40.34,20.1,0.42,24.18,46.89,96.85,0.59,0.13,0.18,0.51,44.03,1.71,300.61,01-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
01-Apr-2019 - 00:00,23.15,5.42,12.43,40.28,18.51,0.42,21.04,56.62,118.47,0.61,0.09,0.13,0.4,39.67,1.68,289.56,02-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
02-Apr-2019 - 00:00,26.46,5.56,14.28,44.31,17.81,0.52,22.67,63.84,115.65,0.78,0.13,0.19,0.57,39.11,1.16,185.96,03-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
03-Apr-2019 - 00:00,26.73,5.19,14.12,41.72,17.1,0.51,31.81,49.66,91.19,0.69,0.16,0.2,0.62,39.03,0.93,180.02,04-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
04-Apr-2019 - 00:00,29.95,5.57,16.1,36.31,38.52,0.68,42.79,87.0,129.07,1.03,0.15,0.23,0.61,41.83,1.05,98.05,05-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
05-Apr-2019 - 00:00,28.17,5.33,14.99,39.16,33.82,0.74,45.5,89.04,141.92,1.01,0.14,0.22,0.61,46.07,1.22,128.86,06-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
06-Apr-2019 - 00:00,29.23,5.47,15.62,40.76,24.26,0.54,36.04,78.74,165.39,0.78,0.21,0.24,0.74,40.69,0.94,107.96,07-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
07-Apr-2019 - 00:00,29.29,5.28,15.49,42.54,22.67,0.63,44.31,103.11,174.84,0.86,0.22,0.27,0.73,48.58,1.32,211.6,08-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
08-Apr-2019 - 00:00,26.96,5.37,14.38,39.37,20.46,0.53,38.25,124.93,277.21,0.66,0.14,0.18,0.54,50.63,1.17,102.77,09-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
09-Apr-2019 - 00:00,24.8,5.69,13.51,24.43,37.33,0.62,39.97,84.67,141.7,0.89,0.14,0.19,0.5,43.06,1.25,94.62,10-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
10-Apr-2019 - 00:00,18.59,5.13,9.81,26.76,18.92,0.49,41.28,68.01,117.32,0.72,0.15,0.18,0.49,39.51,1.21,125.15,11-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
11-Apr-2019 - 00:00,15.64,5.1,8.25,25.34,14.35,0.44,36.54,53.68,101.86,0.48,0.15,0.15,0.44,37.76,1.3,176.78,12-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
12-Apr-2019 - 00:00,12.37,5.04,6.54,25.75,13.1,0.39,36.13,49.51,102.44,0.41,0.13,0.12,0.35,43.59,1.56,228.63,13-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
13-Apr-2019 - 00:00,13.8,5.04,7.25,25.01,17.24,0.42,34.5,47.06,88.37,0.45,0.12,0.13,0.36,41.29,1.88,197.79,14-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
14-Apr-2019 - 00:00,14.33,5.05,7.53,23.59,15.9,0.41,33.09,42.95,90.03,0.48,0.15,0.16,0.44,39.82,1.52,263.36,15-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
15-Apr-2019 - 00:00,14.75,5.15,7.83,19.18,14.39,0.41,35.26,52.49,97.24,0.41,0.11,0.13,0.38,36.87,1.42,247.59,16-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
16-Apr-2019 - 00:00,12.03,5.15,6.41,19.67,12.22,0.35,36.03,60.53,95.07,0.29,0.04,0.09,0.25,62.04,2.37,157.2,17-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
17-Apr-2019 - 00:00,13.37,5.05,7.02,16.95,14.9,0.38,31.25,25.76,48.56,0.33,0.05,0.1,0.31,65.48,1.88,125.69,18-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
18-Apr-2019 - 00:00,15.67,5.17,8.32,17.58,14.39,0.41,29.95,30.72,49.36,0.43,0.06,0.11,0.34,61.07,1.1,182.35,19-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
19-Apr-2019 - 00:00,18.39,4.96,9.58,19.43,17.3,0.49,31.54,47.06,73.27,0.56,0.07,0.12,0.38,48.47,1.01,270.33,20-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
20-Apr-2019 - 00:00,18.42,5.32,9.88,20.65,16.97,0.53,33.54,49.65,76.15,0.54,0.1,0.13,0.4,37.92,0.71,252.96,21-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
21-Apr-2019 - 00:00,23.28,5.24,12.35,24.78,16.06,0.58,32.42,13.85,103.83,0.69,0.16,0.19,0.57,31.83,1.24,253.62,22-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
22-Apr-2019 - 00:00,21.76,5.15,11.47,25.85,22.21,0.53,34.6,25.29,120.48,0.65,0.13,0.15,0.45,29.63,1.04,229.18,23-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
23-Apr-2019 - 00:00,23.3,6.31,13.23,25.62,18.84,0.6,32.91,94.6,131.91,0.61,0.12,0.17,0.53,19.19,0.93,221.06,24-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
24-Apr-2019 - 00:00,23.82,5.51,12.86,26.63,30.3,0.69,35.84,135.08,168.78,1.02,0.13,0.23,0.62,30.6,1.24,179.39,25-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
25-Apr-2019 - 00:00,17.84,5.04,9.35,38.21,18.65,0.5,37.54,109.34,185.54,0.56,0.15,0.18,0.46,33.41,0.94,192.7,26-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
26-Apr-2019 - 00:00,21.05,5.28,11.22,38.42,18.63,0.49,32.28,89.66,130.55,0.59,0.18,0.19,0.5,31.66,1.08,277.43,27-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
27-Apr-2019 - 00:00,25.67,5.09,13.48,34.82,17.63,0.37,29.72,97.71,180.52,0.45,0.13,0.17,0.45,23.77,1.82,275.92,28-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
28-Apr-2019 - 00:00,25.58,5.06,13.42,31.71,23.47,0.44,28.23,110.24,184.92,0.49,0.1,0.15,0.43,28.44,1.2,280.51,29-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
29-Apr-2019 - 00:00,26.48,5.14,16.49,23.21,20.36,0.52,37.26,118.17,176.18,0.65,0.18,0.37,0.39,19.61,0.82,223.48,30-Apr-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
30-Apr-2019 - 00:00,34.7,5.66,22.17,18.66,30.71,0.7,39.71,120.45,193.3,1.05,0.18,1.08,0.29,15.39,1.23,158.12,01-May-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
