from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,to date,station
01-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,02-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
02-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,03-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
03-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,04-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
04-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,05-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
05-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,06-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
06-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,07-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
07-Jan-2019 - 00:00,50.51,20.32,60.1,45.64,15.88,0.84,39.7,91.24,127.78,1.76,0.26,1.18,1.18,70.6,0.41,259.66,08-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
08-Jan-2019 - 00:00,42.73,53.2,67.18,42.94,15.73,1.43,28.73,66.68,104.28,1.12,0.13,0.55,1.01,75.5,0.4,245.88,09-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
09-Jan-2019 - 00:00,23.67,2.57,16.63,30.03,11.79,0.64,27.42,47.82,92.46,1.7,0.11,0.94,2.02,69.03,0.38,241.48,10-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
10-Jan-2019 - 00:00,33.51,6.22,24.69,32.32,13.07,0.89,21.35,53.46,119.45,4.3,0.19,2.39,5.51,68.62,0.49,194.01,11-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
11-Jan-2019 - 00:00,43.59,5.05,29.02,33.93,25.19,1.21,18.62,81.34,165.34,6.43,0.25,3.52,6.95,71.17,0.49,157.19,12-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
12-Jan-2019 - 00:00,45.74,3.31,28.75,37.04,26.98,1.35,21.68,84.94,188.31,6.43,0.26,3.85,7.0,71.58,0.55,142.23,13-Jan-2019 - 00:00,"H.B. Colony, Bhiwani - HSPCB"
