from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2019 - 00:00,13.26,997.34,485.6,319.94,72.51,79.77,217.56,2.57,10.28,57.74,47.03,111.62,123.46,61.08,,20.23,15.32,02-Jan-2019 - 00:00,"Vivek Vihar, Delhi - DPCC"
02-Jan-2019 - 00:00,14.18,997.66,613.71,357.69,77.67,71.88,,,12.91,83.38,55.65,154.9,160.72,64.85,,16.05,16.14,03-Jan-2019 - 00:00,"Vivek Vihar, Delhi - DPCC"
03-Jan-2019 - 00:00,14.95,998.47,538.6,367.83,72.88,77.81,,,10.95,62.29,49.45,64.1,83.57,58.84,,15.68,12.27,04-Jan-2019 - 00:00,"Vivek Vihar, Delhi - DPCC"
04-Jan-2019 - 00:00,12.81,997.48,411.15,279.73,81.09,56.71,,,8.49,36.03,45.29,33.38,52.72,47.26,,12.14,11.41,05-Jan-2019 - 00:00,"Vivek Vihar, Delhi - DPCC"
05-Jan-2019 - 00:00,14.2,996.01,455.12,283.69,72.83,79.42,,,11.23,55.02,67.18,46.25,67.74,57.74,,45.91,26.19,06-Jan-2019 - 00:00,"Vivek Vihar, Delhi - DPCC"
06-Jan-2019 - 00:00,14.34,995.51,299.65,210.25,79.97,67.33,,,6.89,26.26,55.99,16.48,39.65,48.94,,16.51,18.58,07-Jan-2019 - 00:00,"Vivek Vihar, Delhi - DPCC"
07-Jan-2019 - 00:00,14.67,997.02,274.39,177.58,76.91,92.06,,,5.73,29.83,51.71,14.68,37.7,48.45,,18.31,22.72,08-Jan-2019 - 00:00,"Vivek Vihar, Delhi - DPCC"
08-Jan-2019 - 00:00,14.82,995.14,228.67,147.92,71.06,101.88,,,5.11,19.55,44.27,8.13,31.4,46.6,,25.62,16.14,09-Jan-2019 - 00:00,"Vivek Vihar, Delhi - DPCC"
09-Jan-2019 - 00:00,14.98,994.46,240.98,141.65,61.68,110.54,,,5.28,20.64,40.69,7.3,33.07,50.99,,36.55,16.7,10-Jan-2019 - 00:00,"Vivek Vihar, Delhi - DPCC"
10-Jan-2019 - 00:00,14.26,994.26,315.08,182.75,66.06,101.78,,,7.27,28.04,44.11,49.4,73.35,62.16,,33.56,19.02,11-Jan-2019 - 00:00,"Vivek Vihar, Delhi - DPCC"
11-Jan-2019 - 00:00,13.1,995.88,499.04,293.14,75.3,81.8,100.2,2.06,12.08,50.48,52.24,122.54,138.93,73.36,,38.27,32.76,12-Jan-2019 - 00:00,"Vivek Vihar, Delhi - DPCC"
