from date,NO,NO2,NOx,Ozone,CO,NH3,PM10,PM2.5,SO2,to date,station
09-Feb-2019 - 00:00,15.97,15.66,21.29,15.96,0.77,11.89,129.43,80.19,,10-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
10-Feb-2019 - 00:00,31.81,20.02,36.48,13.11,1.14,20.48,204.53,140.14,,11-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
11-Feb-2019 - 00:00,55.91,25.86,56.27,13.35,1.78,31.19,268.74,190.41,,12-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
12-Feb-2019 - 00:00,71.91,28.85,73.54,15.92,2.31,40.14,309.16,213.09,,13-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
13-Feb-2019 - 00:00,59.98,29.43,64.42,12.36,1.87,35.55,298.91,212.16,,14-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
14-Feb-2019 - 00:00,30.74,22.71,37.07,10.0,1.23,20.66,210.35,156.04,,15-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
15-Feb-2019 - 00:00,,,0.0,11.8,0.99,,193.75,145.49,,16-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
16-Feb-2019 - 00:00,,,0.0,11.4,0.76,,156.28,118.47,,17-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
17-Feb-2019 - 00:00,,,0.0,15.44,0.84,,139.06,99.97,,18-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
18-Feb-2019 - 00:00,34.09,25.56,23.23,10.56,1.12,23.97,160.69,102.14,,19-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
19-Feb-2019 - 00:00,54.46,27.44,58.79,14.94,1.63,32.98,235.34,156.28,,20-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
20-Feb-2019 - 00:00,49.72,25.82,54.16,6.44,1.18,30.21,166.35,99.73,,21-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
21-Feb-2019 - 00:00,57.79,25.11,60.33,8.86,1.38,33.82,149.6,79.24,39.13,22-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
22-Feb-2019 - 00:00,20.74,31.74,18.94,13.82,0.54,17.68,113.86,78.36,24.65,23-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
23-Feb-2019 - 00:00,6.38,36.88,23.16,17.58,0.39,15.5,80.47,54.0,20.15,24-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
24-Feb-2019 - 00:00,14.62,42.51,33.37,16.13,0.63,21.79,119.15,90.56,7.03,25-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
25-Feb-2019 - 00:00,49.67,54.13,68.92,9.03,1.08,40.74,140.45,108.78,10.12,26-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
26-Feb-2019 - 00:00,43.45,45.11,59.29,6.88,0.84,34.99,102.0,74.03,11.38,27-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
27-Feb-2019 - 00:00,22.62,33.04,35.87,9.13,0.6,21.46,79.62,49.15,7.32,28-Feb-2019 - 00:00,"ITO, Delhi - CPCB"
28-Feb-2019 - 00:00,54.62,36.91,63.87,11.18,1.11,36.72,143.68,98.19,9.68,01-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
01-Mar-2019 - 00:00,47.47,41.66,60.57,10.42,1.16,35.57,150.92,92.62,10.19,02-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
02-Mar-2019 - 00:00,59.47,50.7,75.23,4.0,1.41,44.14,144.03,97.33,10.92,03-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
03-Mar-2019 - 00:00,51.62,34.27,60.03,7.2,1.28,36.02,107.41,71.12,6.26,04-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
04-Mar-2019 - 00:00,59.0,32.16,64.73,12.02,1.4,37.45,185.58,131.11,7.93,05-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
05-Mar-2019 - 00:00,20.89,33.52,34.27,12.22,0.73,21.69,105.27,69.94,7.52,06-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
06-Mar-2019 - 00:00,38.61,38.24,51.37,11.75,1.08,30.76,132.94,86.45,9.66,07-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
07-Mar-2019 - 00:00,64.79,41.64,73.52,13.98,1.41,43.22,169.47,105.07,12.3,08-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
08-Mar-2019 - 00:00,32.28,35.55,43.4,12.17,0.94,27.23,152.96,89.01,15.35,09-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
09-Mar-2019 - 00:00,13.47,28.58,24.73,14.22,0.56,16.75,123.99,73.79,16.36,10-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
10-Mar-2019 - 00:00,12.3,31.39,19.9,24.1,0.39,14.23,105.61,68.51,13.22,11-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
11-Mar-2019 - 00:00,32.27,39.73,33.02,22.64,0.85,21.38,108.31,56.4,10.43,12-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
12-Mar-2019 - 00:00,12.12,28.03,23.92,12.78,0.57,16.01,102.59,51.54,10.48,13-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
13-Mar-2019 - 00:00,41.75,40.29,42.1,7.77,1.31,44.18,194.35,90.04,22.04,14-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
14-Mar-2019 - 00:00,45.46,32.04,53.72,8.53,1.41,50.41,200.64,119.94,16.36,15-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
15-Mar-2019 - 00:00,24.58,27.6,34.24,11.84,0.78,32.74,121.11,74.85,12.83,16-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
16-Mar-2019 - 00:00,12.65,25.34,23.17,15.57,0.7,22.82,112.51,66.97,13.48,17-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
17-Mar-2019 - 00:00,17.39,29.55,29.12,14.98,0.87,28.55,145.98,94.33,17.04,18-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
18-Mar-2019 - 00:00,31.95,34.94,44.07,15.07,1.23,41.87,165.85,103.62,15.25,19-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
19-Mar-2019 - 00:00,43.23,33.96,52.49,12.48,1.43,49.96,173.15,100.02,17.11,20-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
20-Mar-2019 - 00:00,50.38,43.85,62.62,7.94,1.63,61.61,200.79,126.52,18.91,21-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
21-Mar-2019 - 00:00,31.31,36.17,6.45,15.81,1.07,44.19,160.0,124.24,19.04,22-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
22-Mar-2019 - 00:00,8.04,19.83,8.65,18.31,0.47,16.76,78.73,41.82,17.48,23-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
23-Mar-2019 - 00:00,9.46,17.24,16.34,18.72,0.59,16.09,101.72,47.69,14.67,24-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
24-Mar-2019 - 00:00,11.44,21.54,20.32,13.14,0.68,19.81,121.28,59.44,26.66,25-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
25-Mar-2019 - 00:00,12.47,24.37,22.5,11.31,0.84,22.25,127.41,69.69,19.56,26-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
26-Mar-2019 - 00:00,10.4,26.72,22.18,13.4,0.8,21.82,128.73,69.39,19.61,27-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
27-Mar-2019 - 00:00,26.32,30.52,36.98,14.89,1.25,35.5,137.28,69.94,18.91,28-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
28-Mar-2019 - 00:00,46.77,39.3,58.83,14.88,1.97,54.85,200.86,114.49,26.76,29-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
29-Mar-2019 - 00:00,36.89,39.4,47.31,13.14,1.69,41.62,200.33,121.56,17.56,30-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
30-Mar-2019 - 00:00,42.56,34.79,52.78,15.19,1.69,24.98,222.25,148.3,19.89,31-Mar-2019 - 00:00,"ITO, Delhi - CPCB"
31-Mar-2019 - 00:00,23.4,28.51,6.95,19.03,0.69,16.14,96.2,58.73,17.72,01-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
01-Apr-2019 - 00:00,10.41,22.91,11.1,18.56,0.74,12.16,112.51,63.07,20.07,02-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
02-Apr-2019 - 00:00,25.66,31.48,37.48,15.97,1.14,18.39,151.49,94.21,22.8,03-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
03-Apr-2019 - 00:00,25.06,30.46,36.22,15.44,1.3,17.93,131.95,83.72,17.07,04-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
04-Apr-2019 - 00:00,44.58,39.41,34.38,18.0,2.43,27.06,227.56,154.73,26.03,05-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
05-Apr-2019 - 00:00,78.08,39.34,84.29,20.39,2.37,38.63,238.36,134.37,20.87,06-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
06-Apr-2019 - 00:00,37.97,21.69,42.2,14.43,1.52,22.02,292.32,100.42,3.02,07-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
07-Apr-2019 - 00:00,77.08,21.65,9.27,11.27,1.75,35.22,340.81,175.5,2.7,08-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
08-Apr-2019 - 00:00,20.01,30.19,17.93,14.13,1.18,16.9,266.84,83.18,5.75,09-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
09-Apr-2019 - 00:00,35.44,29.2,32.96,16.78,2.06,21.28,222.53,90.85,21.22,10-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
10-Apr-2019 - 00:00,,,0.0,16.81,1.75,,202.53,102.92,14.93,11-Apr-2019 - 00:00,"ITO, Delhi - CPCB"
