from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,RF,SR,to date,station
25-Jan-2019 - 00:00,45.95,5.88,29.23,28.27,14.43,0.74,37.75,77.62,137.18,0.49,4.72,14.36,2.7,54.67,58.49,742.0,0.02,69.28,26-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
26-Jan-2019 - 00:00,39.5,2.73,23.24,25.91,25.27,0.72,57.71,92.8,157.48,0.54,2.74,13.64,3.69,46.09,50.58,742.26,0.0,75.39,27-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
27-Jan-2019 - 00:00,56.66,4.85,34.08,28.45,11.34,0.88,38.79,117.76,179.86,0.65,3.25,11.87,2.87,44.04,52.3,742.25,0.0,58.71,28-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
28-Jan-2019 - 00:00,65.21,7.18,40.52,27.35,11.56,0.92,38.96,104.23,182.24,0.63,3.51,12.65,3.41,39.58,48.31,742.23,0.0,76.51,29-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
29-Jan-2019 - 00:00,83.22,14.92,56.4,29.78,16.11,1.13,38.49,122.98,220.68,0.85,6.35,13.37,2.51,36.36,48.81,742.08,0.0,75.84,30-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
30-Jan-2019 - 00:00,119.08,44.87,99.82,33.13,16.71,1.74,31.71,192.55,337.46,1.3,9.77,13.68,1.38,63.21,50.31,742.0,0.0,62.17,31-Jan-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
31-Jan-2019 - 00:00,51.71,4.86,31.45,34.46,9.69,1.33,39.87,175.25,292.19,1.18,14.17,14.74,2.82,97.67,53.12,742.0,0.0,50.2,01-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
01-Feb-2019 - 00:00,58.9,4.6,35.08,38.52,12.12,1.28,47.44,174.45,245.77,0.91,5.2,16.53,2.74,83.82,54.98,742.0,0.0,64.28,02-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
02-Feb-2019 - 00:00,76.4,9.93,48.71,45.89,7.88,1.24,24.0,221.73,308.89,1.06,5.31,12.92,2.99,44.39,65.3,742.0,0.0,56.8,03-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
03-Feb-2019 - 00:00,53.93,11.35,37.92,32.68,5.03,1.34,23.21,166.07,265.61,0.94,5.05,13.33,2.18,69.02,68.85,742.0,0.0,54.52,04-Feb-2019 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
